Date,blockchain/utxo_count
2009-08-24,20391.0
2009-08-25,20441.0
2009-08-26,20446.0
2009-08-27,20475.0
2009-08-28,20550.0
2009-08-29,20628.0
2009-08-30,20725.0
2009-08-31,20806.0
2009-09-01,20884.0
2009-09-02,20950.0
2009-09-03,20998.0
2009-09-04,21062.0
2009-09-05,21138.0
2009-09-06,21206.0
2009-09-07,21272.0
2009-09-08,21341.0
2009-09-09,21395.0
2009-09-10,21462.0
2009-09-11,21529.0
2009-09-12,21598.0
2009-09-13,21673.0
2009-09-14,21747.0
2009-09-15,21791.0
2009-09-16,21863.0
2009-09-17,21848.0
2009-09-18,21926.0
2009-09-19,22000.0
2009-09-20,22078.0
2009-09-21,22140.0
2009-09-22,22126.0
2009-09-23,22162.0
2009-09-24,22259.0
2009-09-25,22326.0
2009-09-26,22426.0
2009-09-27,22498.0
2009-09-28,22583.0
2009-09-29,22630.0
2009-09-30,22715.0
2009-10-01,22797.0
2009-10-02,22860.0
2009-10-03,22918.0
2009-10-04,22971.0
2009-10-05,23026.0
2009-10-06,23056.0
2009-10-07,23116.0
2009-10-08,23186.0
2009-10-09,23265.0
2009-10-10,23342.0
2009-10-11,23416.0
2009-10-12,23401.0
2009-10-13,23458.0
2009-10-14,23527.0
2009-10-15,23598.0
2009-10-16,23578.0
2009-10-17,23635.0
2009-10-18,23703.0
2009-10-19,23815.0
2009-10-20,23811.0
2009-10-21,23874.0
2009-10-22,23925.0
2009-10-23,24014.0
2009-10-24,24070.0
2009-10-25,24146.0
2009-10-26,24217.0
2009-10-27,24266.0
2009-10-28,24332.0
2009-10-29,24339.0
2009-10-30,24399.0
2009-10-31,24445.0
2009-11-01,24470.0
2009-11-02,24503.0
2009-11-03,24565.0
2009-11-04,24587.0
2009-11-05,24644.0
2009-11-06,24706.0
2009-11-07,24775.0
2009-11-08,24848.0
2009-11-09,24912.0
2009-11-10,24990.0
2009-11-11,25012.0
2009-11-12,25078.0
2009-11-13,25150.0
2009-11-14,25229.0
2009-11-15,25325.0
2009-11-16,25422.0
2009-11-17,25514.0
2009-11-18,25593.0
2009-11-19,25574.0
2009-11-20,25660.0
2009-11-21,25733.0
2009-11-22,25839.0
2009-11-23,25935.0
2009-11-24,26028.0
2009-11-25,26118.0
2009-11-26,26202.0
2009-11-27,26276.0
2009-11-28,26347.0
2009-11-29,26407.0
2009-11-30,26482.0
2009-12-01,26389.0
2009-12-02,26483.0
2009-12-03,26571.0
2009-12-04,26607.0
2009-12-05,26655.0
2009-12-06,26758.0
2009-12-07,26870.0
2009-12-08,26947.0
2009-12-09,27037.0
2009-12-10,27141.0
2009-12-11,27253.0
2009-12-12,27298.0
2009-12-13,27412.0
2009-12-14,27188.0
2009-12-15,27293.0
2009-12-16,27413.0
2009-12-17,27577.0
2009-12-18,27802.0
2009-12-19,28000.0
2009-12-20,28175.0
2009-12-21,28350.0
2009-12-22,28512.0
2009-12-23,28666.0
2009-12-24,28820.0
2009-12-25,28970.0
2009-12-26,29144.0
2009-12-27,29307.0
2009-12-28,29444.0
2009-12-29,29615.0
2009-12-30,29756.0
2009-12-31,29894.0
2010-01-01,30026.0
2010-01-02,30152.0
2010-01-03,30338.0
2010-01-04,30440.0
2010-01-05,30638.0
2010-01-06,30801.0
2010-01-07,30955.0
2010-01-08,31108.0
2010-01-09,31259.0
2010-01-10,31449.0
2010-01-11,31608.0
2010-01-12,31555.0
2010-01-13,31721.0
2010-01-14,31858.0
2010-01-15,31995.0
