Date,blockchain/block_size_mean
2009-01-09,215.0
2009-01-10,215.229508196721
2009-01-11,215.408602150538
2009-01-12,234.372340425532
2009-01-13,215.666666666667
2009-01-14,219.193798449612
2009-01-15,238.579365079365
2009-01-16,220.87037037037
2009-01-17,215.853211009174
2009-01-18,219.943925233645
2009-01-19,232.895652173913
2009-01-20,224.728070175439
2009-01-21,218.990196078431
2009-01-22,228.747252747253
2009-01-23,229.238095238095
2009-01-24,222.059701492537
2009-01-25,217.0
2009-01-26,239.947916666667
2009-01-27,220.309278350515
2009-01-28,215.651785714286
2009-01-29,227.256198347107
2009-01-30,215.871794871795
2009-01-31,232.463768115942
2009-02-01,218.203539823009
2009-02-02,217.09375
2009-02-03,248.496402877698
2009-02-04,215.739495798319
2009-02-05,215.722222222222
2009-02-06,215.83606557377
2009-02-07,240.31007751938
2009-02-08,217.575757575758
2009-02-09,253.60447761194
2009-02-10,215.666666666667
2009-02-11,229.127819548872
2009-02-12,215.873949579832
2009-02-13,215.903225806452
2009-02-14,215.786764705882
2009-02-15,229.3828125
2009-02-16,244.172131147541
2009-02-17,215.897435897436
2009-02-18,215.940677966102
2009-02-19,231.048387096774
2009-02-20,215.852459016393
2009-02-21,215.964912280702
2009-02-22,228.545454545455
2009-02-23,215.990740740741
2009-02-24,215.933962264151
2009-02-25,215.866666666667
2009-02-26,215.96261682243
2009-02-27,251.8
2009-02-28,224.525252525253
2009-03-01,215.952380952381
2009-03-02,215.962962962963
2009-03-03,225.428571428571
2009-03-04,244.711538461538
2009-03-05,224.410714285714
2009-03-06,215.923076923077
2009-03-07,215.97247706422
2009-03-08,243.591304347826
2009-03-09,215.712962962963
2009-03-10,215.971962616822
2009-03-11,215.885964912281
2009-03-12,219.533898305085
2009-03-13,229.389380530973
2009-03-14,215.790909090909
2009-03-15,215.967479674797
2009-03-16,261.512396694215
2009-03-17,215.964912280702
2009-03-18,230.710526315789
2009-03-19,215.786885245902
2009-03-20,227.85593220339
2009-03-21,215.88
2009-03-22,227.126050420168
2009-03-23,215.923076923077
2009-03-24,215.980952380952
2009-03-25,215.786324786325
2009-03-26,243.606837606838
2009-03-27,215.952830188679
2009-03-28,236.235294117647
2009-03-29,215.965517241379
2009-03-30,215.85
2009-03-31,249.518181818182
2009-04-01,215.859649122807
2009-04-02,215.886956521739
2009-04-03,215.948275862069
2009-04-04,215.743362831858
2009-04-05,231.553846153846
2009-04-06,215.981651376147
2009-04-07,215.99
2009-04-08,216.0
2009-04-09,215.737373737374
2009-04-10,215.944444444444
2009-04-11,223.333333333333
2009-04-12,224.71186440678
2009-04-13,217.965217391304
2009-04-14,215.951612903226
2009-04-15,215.743362831858
2009-04-16,215.894308943089
2009-04-17,215.857142857143
