Date,blockchain/utxo_created_value_mean
2009-08-20,50.0
2009-08-21,50.0
2009-08-22,50.0
2009-08-23,50.0
2009-08-24,50.0
2009-08-25,50.0
2009-08-26,89.5860377358491
2009-08-27,50.0
2009-08-28,50.0
2009-08-29,50.0
2009-08-30,50.0
2009-08-31,52.8735632183908
2009-09-01,50.0
2009-09-02,50.0
2009-09-03,60.4838709677419
2009-09-04,50.0
2009-09-05,50.0
2009-09-06,50.0
2009-09-07,57.5949367088608
2009-09-08,50.0
2009-09-09,50.0
2009-09-10,50.0
2009-09-11,50.0
2009-09-12,50.0
2009-09-13,50.0
2009-09-14,50.0
2009-09-15,50.0
2009-09-16,49.3287671232877
2009-09-17,107.558139534884
2009-09-18,50.0
2009-09-19,50.0
2009-09-20,50.0
2009-09-21,55.0
2009-09-22,125.0
2009-09-23,50.0
2009-09-24,50.0
2009-09-25,62.9032258064516
2009-09-26,50.0
2009-09-27,58.5227272727273
2009-09-28,50.0
2009-09-29,72.7777777777778
2009-09-30,50.0
2009-10-01,50.0
2009-10-02,56.1643835616439
2009-10-03,50.0
2009-10-04,50.0
2009-10-05,50.0
2009-10-06,67.7777777777778
2009-10-07,50.0
2009-10-08,50.0
2009-10-09,50.0
2009-10-10,50.0
2009-10-11,50.0
2009-10-12,134.745762711864
2009-10-13,50.0
2009-10-14,50.0
2009-10-15,50.0
2009-10-16,208.196721311475
2009-10-17,50.0
2009-10-18,54.0
2009-10-19,50.0
2009-10-20,101.029690721649
2009-10-21,60.4908641975309
2009-10-22,180.769230769231
2009-10-23,50.0
2009-10-24,243.650793650794
2009-10-25,50.0
2009-10-26,50.0
2009-10-27,249.230769230769
2009-10-28,50.0
2009-10-29,90.625
2009-10-30,50.0
2009-10-31,50.0
2009-11-01,50.0
2009-11-02,50.0
2009-11-03,50.0
2009-11-04,291.40625
2009-11-05,50.0
2009-11-06,50.0
2009-11-07,50.0
2009-11-08,50.0
2009-11-09,50.0
2009-11-10,50.0
2009-11-11,1179.74683544304
2009-11-12,50.0
2009-11-13,54.1176470588235
2009-11-14,50.0
2009-11-15,50.0
2009-11-16,50.0
2009-11-17,50.0
2009-11-18,50.0
2009-11-19,664.583333333333
2009-11-20,50.0
2009-11-21,50.0
2009-11-22,50.0
2009-11-23,50.0
2009-11-24,50.0
2009-11-25,50.0
2009-11-26,50.0
2009-11-27,50.0
2009-11-28,50.0
2009-11-29,50.0
2009-11-30,50.0
2009-12-01,182.666666666667
2009-12-02,50.0
2009-12-03,50.0
2009-12-04,50.0
2009-12-05,62.1212121212121
2009-12-06,49.9056603773585
2009-12-07,50.0
2009-12-08,63.0841121495327
2009-12-09,62.2173913043479
2009-12-10,50.0
2009-12-11,50.0
2009-12-12,95.5357142857143
2009-12-13,50.0
2009-12-14,348.571296296296
2009-12-15,96.9823008849557
2009-12-16,55.8394160583942
2009-12-17,50.2844827586207
2009-12-18,50.0
2009-12-19,50.0
2009-12-20,50.0
2009-12-21,50.0
2009-12-22,50.0
2009-12-23,50.0
2009-12-24,50.0
2009-12-25,49.6688741721854
2009-12-26,50.0
2009-12-27,51.1904761904762
2009-12-28,50.0
2009-12-29,50.0
2009-12-30,50.0
2009-12-31,50.0
2010-01-01,50.0
2010-01-02,50.0
2010-01-03,50.0
2010-01-04,162.251902173913
2010-01-05,50.0
2010-01-06,50.0
2010-01-07,50.0
2010-01-08,50.0
2010-01-09,50.0
2010-01-10,50.0
2010-01-11,50.0
2010-01-12,115.029938650307
2010-01-13,49.1547619047619
2010-01-14,51.7465753424657
2010-01-15,51.0615492957747
2010-01-16,51.5952380952381
2010-01-17,50.0
2010-01-18,49.6062992125984
2010-01-19,50.0
2010-01-20,50.0
2010-01-21,49.6752105263158
2010-01-22,50.3649635036496
2010-01-23,49.3926380368098
2010-01-24,50.0
2010-01-25,64.1203703703704
2010-01-26,52.5891089108911
2010-01-27,55.421686746988
2010-01-28,55.3072625698324
2010-01-29,53.7313432835821
2010-01-30,57.0093457943925
2010-01-31,55.9880239520958
2010-02-01,60.2040816326531
2010-02-02,56.8493150684932
2010-02-03,50.7352941176471
2010-02-04,57.2033474576271
2010-02-05,102.17903930131
2010-02-06,56.7961165048544
2010-02-07,50.6651785714286
2010-02-08,79.9186602870813
2010-02-09,148.104265402844
2010-02-10,223.699421965318
2010-02-11,69.8275862068966
2010-02-12,88.888888888889
2010-02-13,75.4194915254237
2010-02-14,135.857511312217
2010-02-15,70.6348148148148
2010-02-16,51.79
2010-02-17,279.337944664031
2010-02-18,61.5694444444444
2010-02-19,49.2386294416243
2010-02-20,52.6190476190476
2010-02-21,76.3896052631579
2010-02-22,102.631578947368
2010-02-23,50.0
2010-02-24,78.2485875706214
2010-02-25,115.822784810127
2010-02-26,109.825842696629
2010-02-27,51.72
2010-02-28,81.86875
2010-03-01,57.035175879397
2010-03-02,59.0673575129534
2010-03-03,112.658227848101
2010-03-04,152.127659574468
2010-03-05,50.2890173410405
2010-03-06,177.159728260869
2010-03-07,89.4021739130435
2010-03-08,115.872575757576
2010-03-09,76.6891891891892
2010-03-10,62.2092441860465
2010-03-11,72.4264705882353
2010-03-12,52.0325203252033
2010-03-13,61.3636363636364
2010-03-14,61.4173228346457
2010-03-15,48.2657342657343
2010-03-16,58.1472868217054
2010-03-17,57.9136690647482
2010-03-18,72.0394736842105
2010-03-19,85.8650306748467
2010-03-20,69.2857142857143
2010-03-21,50.5368421052631
2010-03-22,61.2903225806452
2010-03-23,64.8729864253393
2010-03-24,56.5573770491803
2010-03-25,163.975490196078
2010-03-26,64.7196261682243
2010-03-27,62.1621621621622
2010-03-28,59.6354166666667
2010-03-29,63.768115942029
2010-03-30,51.131221719457
2010-03-31,55.4613953488372
2010-04-01,54.7486033519553
2010-04-02,54.6583850931677
2010-04-03,58.1754761904762
2010-04-04,64.8648648648649
2010-04-05,93.7804615384615
2010-04-06,73.1340782122905
2010-04-07,73.5589320388349
2010-04-08,61.8118181818182
2010-04-09,161.858755186722
2010-04-10,91.206045751634
2010-04-11,99.393309090909
2010-04-12,149.3584375
2010-04-13,55.9715639810426
2010-04-14,65.7399574468085
2010-04-15,373.871385542169
2010-04-16,95.4882987551867
2010-04-17,59.7378125
2010-04-18,7.70218564742588
2010-04-19,125.511742160279
2010-04-20,99.5381526104418
2010-04-21,73.8475097276265
2010-04-22,143.169174757282
2010-04-23,49.8001304347826
2010-04-24,98.7166346153846
2010-04-25,114.094736842105
2010-04-26,89.6277092511013
2010-04-27,68.9088537549407
2010-04-28,73.2039495798319
2010-04-29,69.8668108108108
2010-04-30,385.507415730337
2010-05-01,67.3643192488263
2010-05-02,55.5193370165746
2010-05-03,84.2157894736842
2010-05-04,140.934725274725
2010-05-05,153.926547619047
2010-05-06,131.185449438202
2010-05-07,254.364779874214
2010-05-08,136.109513513513
2010-05-09,87.3251282051282
2010-05-10,94.8060869565217
2010-05-11,57.5768939393939
2010-05-12,174.037950310559
2010-05-13,101.810470588235
2010-05-14,136.630875
2010-05-15,67.6229565217392
2010-05-16,60.8168421052631
2010-05-17,98.2224175824175
2010-05-18,76.8142241379311
2010-05-19,107.32698630137
2010-05-20,57.3154508196722
2010-05-21,203.45589958159
2010-05-22,233.594549356223
2010-05-23,101.206086956522
2010-05-24,61.6377952755905
2010-05-25,70.2334630350194
2010-05-26,95.2073809523811
2010-05-27,88.0418545454545
2010-05-28,139.852103448276
2010-05-29,215.528225806452
2010-05-30,64.5615
2010-05-31,70.1557788944724
2010-06-01,74.698817204301
2010-06-02,75.5418181818182
2010-06-03,67.476953125
2010-06-04,219.757670454545
2010-06-05,69.4871794871795
2010-06-06,79.2243069306931
2010-06-07,166.90380952381
2010-06-08,77.3377777777778
2010-06-09,347.80849137931
2010-06-10,174.73845814978
2010-06-11,68.8558088235294
2010-06-12,93.6372197309417
2010-06-13,90.2450592885375
2010-06-14,175.825410958904
2010-06-15,152.10472972973
2010-06-16,176.350147783251
2010-06-17,137.209669811321
2010-06-18,96.8867005076143
2010-06-19,288.915745614035
2010-06-20,151.325041666667
2010-06-21,165.609021739131
2010-06-22,157.889230769231
2010-06-23,175.232974910394
2010-06-24,160.181843137255
2010-06-25,121.9
