Date,market/price_drawdown_relative
2010-07-17,0.0
2010-07-18,-0.00011648223645888134
2010-07-19,-0.1318362522832277
2010-07-20,-0.1970201640342396
2010-07-21,-0.1489201676157731
2010-07-22,-0.3988933061136779
2010-07-23,-0.3307904444683213
2010-07-24,-0.4139894702911787
2010-07-25,-0.45739765767701723
2010-07-26,-0.39830235306758355
2010-07-27,-0.35699533206785816
2010-07-28,-0.3671430106371548
2010-07-29,-0.2564736220049424
2010-07-30,-0.30930124279216364
2010-07-31,-0.2709788331363491
2010-08-01,-0.34350488879338126
2010-08-02,-0.35532394971526815
2010-08-03,-0.35532394971526815
2010-08-04,-0.3773503814333298
2010-08-05,-0.3445793488771892
2010-08-06,-0.33276028795530244
2010-08-07,-0.36606855055334697
2010-08-08,-0.34565380896099707
2010-08-09,-0.23713334049640067
2010-08-10,-0.24787794133447938
2010-08-11,-0.28011174384871595
2010-08-12,-0.24787794133447938
2010-08-13,-0.3069732459439132
2010-08-14,-0.28011174384871595
2010-08-15,-0.2984850112818309
2010-08-16,-0.29622864510583424
2010-08-17,-0.24787794133447938
2010-08-18,-0.26936714301063713
2010-08-19,-0.2833351241001397
2010-08-20,-0.29622864510583424
2010-08-21,-0.2865585043515634
2010-08-22,-0.2908563446867949
2010-08-23,-0.3025679596003009
2010-08-24,-0.3016009455248737
2010-08-25,-0.3037498656924895
2010-08-26,-0.31234554636295264
2010-08-27,-0.3016009455248737
2010-08-28,-0.3058987858601052
2010-08-29,-0.31234554636295264
2010-08-30,-0.3019232835500161
2010-08-31,-0.35532394971526815
2010-09-01,-0.3306113677876865
2010-09-02,-0.3220156871172236
2010-09-03,-0.34619103900290105
2010-09-04,-0.3297517997206404
2010-09-05,-0.3381325883743419
2010-09-06,-0.3381325883743419
2010-09-07,-0.3391533254539594
2010-09-08,-0.3392607714623401
2010-09-09,-0.3433974427850004
2010-09-10,-0.3359836682067261
2010-09-11,-0.3159987106478993
2010-09-12,-0.33920704845814975
2010-09-13,-0.3319007198882563
2010-09-14,-0.6457714285714286
2010-09-15,-0.6548571428571428
2010-09-16,-0.6468571428571428
2010-09-17,-0.6606857142857143
2010-09-18,-0.6514285714285715
2010-09-19,-0.6417142857142857
2010-09-20,-0.6451428571428571
2010-09-21,-0.642
2010-09-22,-0.6454971428571428
2010-09-23,-0.6439428571428572
2010-09-24,-0.6445714285714286
2010-09-25,-0.6456
2010-09-26,-0.6446285714285713
2010-09-27,-0.6445714285714286
2010-09-28,-0.6462571428571429
2010-09-29,-0.6466857142857143
2010-09-30,-0.6462857142857144
2010-10-01,-0.6458857142857143
2010-10-02,-0.649142857142857
2010-10-03,-0.6507999999999999
2010-10-04,-0.6497714285714286
2010-10-05,-0.649142857142857
2010-10-06,-0.6401333333333332
2010-10-07,-0.6171428571428571
2010-10-08,-0.5147142857142857
2010-10-09,-0.46399999999999997
2010-10-10,-0.4485714285714285
2010-10-11,-0.4571428571428571
2010-10-12,-0.45771428571428574
2010-10-13,-0.4
