Date,market/marketcap_usd
2010-11-15,1286088.578816933
2010-11-16,1210980.4479681228
2010-11-17,1151484.2505374998
2010-11-18,1166098.0629798397
2010-11-19,1255353.1107096793
2010-11-20,1287941.8037556508
2010-11-21,1289340.6268235235
2010-11-22,1278869.8903829583
2010-11-23,1318765.85917403
2010-11-24,1315650.0100666657
2010-11-25,1319552.321548201
2010-11-26,1324016.4559868583
2010-11-27,1332202.2485274994
2010-11-28,1318616.7653151406
2010-11-29,1245636.6134054344
2010-11-30,1028325.9020094888
2010-12-01,1021440.3401635187
2010-12-02,1116669.1156245428
2010-12-03,1179967.2673883012
2010-12-04,1156897.8070865532
2010-12-05,1009615.2791509092
2010-12-06,932112.0468310917
2010-12-07,962661.7091581613
2010-12-08,1115673.307926703
2010-12-09,1026916.6365610457
2010-12-10,942704.0235204998
2010-12-11,1057607.668454935
2010-12-12,1026220.123592306
2010-12-13,1066022.5417160278
2010-12-14,1100104.4308415682
2010-12-15,1195584.2241631937
2010-12-16,1174901.237871748
2010-12-17,1213191.2419902917
2010-12-18,1221964.305636362
2010-12-19,1216174.2185760795
2010-12-20,1262343.4597179478
2010-12-21,1261138.9332901505
2010-12-22,1224301.9365269453
2010-12-23,1233581.050512863
2010-12-24,1240200.095124845
2010-12-25,1240605.7275773208
2010-12-26,1275170.7246859747
2010-12-27,1278616.0856115094
2010-12-28,1342717.5093851255
2010-12-29,1453978.1034784222
2010-12-30,1465971.9773195838
2010-12-31,1484341.493212667
2011-01-01,1503338.021978018
2011-01-02,1492915.8979572644
2011-01-03,1474493.433866924
2011-01-04,1489228.4738533248
2011-01-05,1501518.7907703856
2011-01-06,1494599.3558603
2011-01-07,1591013.0487045748
2011-01-08,1605417.229514893
2011-01-09,1644624.2782035188
2011-01-10,1670845.5927256693
2011-01-11,1666642.1424600987
2011-01-12,1672662.970448887
2011-01-13,1897239.017002631
2011-01-14,1929372.2124712688
2011-01-15,2013782.7871929882
2011-01-16,2030336.6866867929
2011-01-17,1972476.356221849
2011-01-18,1770607.5286935417
2011-01-19,1614146.9584397613
2011-01-20,1752103.7500645139
2011-01-21,2009525.9479658178
2011-01-22,2185591.364775708
2011-01-23,2287350.2309268285
2011-01-24,2135511.105516154
2011-01-25,2180017.666716502
2011-01-26,2144970.25483977
2011-01-27,2180088.118516123
2011-01-28,2261865.877147056
2011-01-29,2310682.5900000045
2011-01-30,2412883.8233130137
2011-01-31,2592138.9886737783
2011-02-01,3532293.855013636
2011-02-02,3853554.844624852
2011-02-03,3795619.0594788212
2011-02-04,4006944.447676973
2011-02-05,4658739.622103486
2011-02-06,4765492.5316228485
2011-02-07,4690605.217198212
2011-02-08,4761071.679038313
2011-02-09,4925762.959914838
2011-02-10,5587139.126624992
2011-02-11,5282287.900393461
2011-02-12,5618477.193713115
2011-02-13,5660539.536443463
2011-02-14,5718568.696169515
2011-02-15,5690117.807583333
2011-02-16,5659034.661291651
2011-02-17,5701627.711072239
2011-02-18,5494673.187136874
2011-02-19,5140760.851962241
2011-02-20,4767381.09345083
2011-02-21,4684673.253143556
2011-02-22,4708940.135711201
2011-02-23,4988972.527450844
2011-02-24,5183110.643554219
2011-02-25,5386470.443347571
2011-02-26,5239332.310818763
2011-02-27,5212160.638002079
2011-02-28,4968505.0497665545
2011-03-01,5141416.37904787
2011-03-02,5137485.822170832
2011-03-03,5205336.662479233
2011-03-04,5111324.528309529
2011-03-05,5086038.63191537
2011-03-06,4749714.67864937
2011-03-07,4915026.564903382
2011-03-08,4931462.301581252
2011-03-09,4847128.937030483
2011-03-10,4882440.96956413
2011-03-11,5065479.864079272
2011-03-12,5091260.228639088
2011-03-13,5145746.92397175
2011-03-14,5044789.213784847
2011-03-15,5030750.625138556
2011-03-16,4895611.913873257
2011-03-17,4787185.404109818
2011-03-18,4573116.611304213
2011-03-19,4388969.402258349
2011-03-20,4400507.03391398
2011-03-21,4329298.742226053
2011-03-22,4458244.419530046
2011-03-23,4766361.648359741
2011-03-24,4901073.334189369
2011-03-25,5036077.328168501
2011-03-26,5014337.434695696
2011-03-27,4895521.9253188055
2011-03-28,4682069.810955312
2011-03-29,4564942.722979173
2011-03-30,4553849.560338025
2011-03-31,4580659.791122548
2011-04-01,4540846.878465706
2011-04-02,4587904.610788756
2011-04-03,4553406.634184989
2011-04-04,4044943.468526593
2011-04-05,3839575.031446616
2011-04-06,4190386.5418839986
2011-04-07,4418656.921535188
2011-04-08,4495562.506948402
2011-04-09,4409559.128118543
2011-04-10,4372415.321302979
2011-04-11,4438345.777241351
2011-04-12,4952551.269512085
2011-04-13,5424839.650089557
2011-04-14,5533653.938370704
2011-04-15,6017049.124802623
2011-04-16,6101349.295426483
2011-04-17,6237419.17304064
2011-04-18,6826065.683606016
2011-04-19,7000651.4049433945
2011-04-20,6960518.487243954
2011-04-21,6969084.9680077005
2011-04-22,7610590.335952424
2011-04-23,8776404.098263033
2011-04-24,10078406.04227118
2011-04-25,9569591.993051406
2011-04-26,9842698.327553548
2011-04-27,11150780.51738755
2011-04-28,12118551.962026494
2011-04-29,15026583.518472698
2011-04-30,18986448.926861636
2011-05-01,20306135.866149284
2011-05-02,19326151.594971087
2011-05-03,19841908.34251417
2011-05-04,20693513.524526034
2011-05-05,20828347.321504124
2011-05-06,21236270.79100816
2011-05-07,21565893.442732405
2011-05-08,23007226.863092076
2011-05-09,23398676.06225466
2011-05-10,28592443.959944647
2011-05-11,34437239.320319325
2011-05-12,34669234.20815289
2011-05-13,46073101.92809995
2011-05-14,51142649.00656297
2011-05-15,41312602.01972168
2011-05-16,47583051.14035762
2011-05-17,47481838.027953595
2011-05-18,44677580.9266093
2011-05-19,43567718.79175929
2011-05-20,41524376.33950622
2011-05-21,36834227.594203964
2011-05-22,39968581.08704862
2011-05-23,44499422.037790634
2011-05-24,44724469.24974276
2011-05-25,46849406.78590039
2011-05-26,53970842.57103338
2011-05-27,55253571.20792134
2011-05-28,53842912.58372939
2011-05-29,52791258.13546066
2011-05-30,54748179.14911258
2011-05-31,56777381.28078638
2011-06-01,57807948.287554786
2011-06-02,64296955.12082992
2011-06-03,81569939.12556864
2011-06-04,104285097.1817021
2011-06-05,112332151.53567138
2011-06-06,117877259.24010953
2011-06-07,122885713.79182531
2011-06-08,176429871.00455385
2011-06-09,191879712.86616513
2011-06-10,172773359.87164006
2011-06-11,129534497.52521577
2011-06-12,108893534.82245773
2011-06-13,136264486.91705385
2011-06-14,125774650.0526812
2011-06-15,129128228.49451189
2011-06-16,126716174.39021859
2011-06-17,103666938.22914544
2011-06-18,104463276.84904084
2011-06-19,116142258.86789842
2011-06-20,114873873.18151346
2011-06-21,117637343.87134588
2011-06-22,116682289.3919436
2011-06-23,120585949.7699311
2011-06-24,119642222.52555004
2011-06-25,121731129.84674248
2011-06-26,115562637.28423968
2011-06-27,113477687.90438972
2011-06-28,112583277.21531838
2011-06-29,112992722.08849768
2011-06-30,112631573.59896877
2011-07-01,108254014.27786861
2011-07-02,104644877.89794727
2011-07-03,104166908.04135948
2011-07-04,100815752.26310499
2011-07-05,89523168.70205902
2011-07-06,97931377.36790402
2011-07-07,102310564.66294956
2011-07-08,97875448.02541155
2011-07-09,97184423.57862607
2011-07-10,100179894.89834914
2011-07-11,98594324.144499
2011-07-12,96303089.04935275
2011-07-13,95521636.75608793
2011-07-14,95152794.47168347
2011-07-15,95303922.53669119
2011-07-16,93311227.34274909
2011-07-17,91325765.29951999
2011-07-18,89361296.47237603
2011-07-19,94553913.27963294
2011-07-20,94529885.98665377
2011-07-21,93670005.9512939
2011-07-22,93732547.59139389
2011-07-23,93930226.00461793
2011-07-24,94693495.99406771
2011-07-25,97442229.90099077
2011-07-26,96260976.20013897
2011-07-27,96550737.54972984
2011-07-28,94476521.73032226
2011-07-29,93737783.49075204
2011-07-30,93868027.63596854
2011-07-31,92973257.66102344
2011-08-01,92619182.44451782
2011-08-02,88314902.75797103
2011-08-03,77628047.29495117
2011-08-04,73874296.20483546
2011-08-05,74059988.96698232
2011-08-06,62070684.57029383
2011-08-07,53834527.72920141
2011-08-08,54700574.02476339
2011-08-09,65749565.239984006
2011-08-10,70738327.31845517
2011-08-11,69334444.71445185
2011-08-12,65768678.46611232
2011-08-13,67311798.03155306
2011-08-14,73685178.4141378
2011-08-15,79270412.14620504
2011-08-16,78238796.12740389
2011-08-17,77219284.0241034
2011-08-18,77178581.73536487
2011-08-19,79821907.81375676
2011-08-20,81350255.22824866
2011-08-21,80862641.01070496
2011-08-22,79317427.91547734
2011-08-23,78438414.14255421
2011-08-24,77921011.20540583
2011-08-25,73593672.17056713
2011-08-26,65065410.69042965
2011-08-27,61727671.5651653
2011-08-28,62891394.36143128
2011-08-29,64192911.72861727
2011-08-30,63082422.196714595
2011-08-31,61120700.675944254
2011-09-01,59026752.84945125
2011-09-02,60351739.86780447
2011-09-03,61382650.761577144
2011-09-04,59504224.72081287
2011-09-05,56063581.9170024
2011-09-06,48788316.779858194
2011-09-07,50374123.63658517
2011-09-08,49831608.3215817
2011-09-09,39995486.26106708
2011-09-10,36533517.36117726
2011-09-11,39106630.34983155
2011-09-12,44418129.55296667
2011-09-13,42682632.82491605
2011-09-14,40944990.67860791
2011-09-15,37624626.148442194
2011-09-16,35080423.19920768
2011-09-17,35003384.4005637
2011-09-18,35512536.58335128
2011-09-19,37738222.521007545
2011-09-20,43247768.24522695
2011-09-21,42066688.127484344
2011-09-22,40440496.02489096
2011-09-23,40584992.1220574
2011-09-24,40247742.37269796
2011-09-25,39599351.62897712
2011-09-26,37335518.68739584
2011-09-27,35945584.025985405
2011-09-28,35392596.4121661
2011-09-29,34852457.865815036
2011-09-30,36570131.20334827
2011-10-01,37101475.680230945
2011-10-02,36943466.318016335
2011-10-03,36652875.0950642
2011-10-04,36701129.7567147
2011-10-05,36225002.673261896
2011-10-06,35080876.4272231
2011-10-07,33599234.13554968
2011-10-08,30181106.8146292
2011-10-09,30832743.77807851
2011-10-10,30578069.35296944
2011-10-11,29589087.009752423
2011-10-12,29866289.04345944
2011-10-13,30477389.01728765
2011-10-14,29983267.59622108
2011-10-15,29251900.795473605
2011-10-16,28126532.04516862
2011-10-17,22119018.505070455
2011-10-18,19680132.95063078
2011-10-19,17329959.283304177
2011-10-20,17283974.336409736
2011-10-21,19015493.118108112
2011-10-22,21922302.85844589
2011-10-23,23327199.105314676
2011-10-24,21921161.510205224
2011-10-25,20513676.071930755
2011-10-26,20656125.281251352
2011-10-27,21577237.475534294
2011-10-28,23407473.74466187
2011-10-29,26597904.049307432
2011-10-30,26210607.995702084
2011-10-31,24057470.64336643
2011-11-01,24335303.477864463
2011-11-02,24389137.927767277
2011-11-03,24406614.727453034
2011-11-04,23979337.162782516
2011-11-05,23146654.785142925
2011-11-06,22526626.04357912
2011-11-07,22700500.71141389
2011-11-08,23374700.264912322
2011-11-09,22839214.335136414
2011-11-10,22098459.85707338
2011-11-11,22228050.100274052
2011-11-12,23255864.077091135
2011-11-13,22910888.087340917
2011-11-14,19217744.12112684
2011-11-15,17703591.528495934
2011-11-16,18541617.458330665
2011-11-17,17559756.816530105
2011-11-18,17137545.16289449
2011-11-19,16791294.642770458
2011-11-20,17569622.53318134
2011-11-21,17123803.568411585
2011-11-22,17713277.58647156
2011-11-23,17951023.705257963
2011-11-24,18304199.186992522
2011-11-25,19059547.613887995
2011-11-26,19183678.91340131
2011-11-27,18991212.56753448
2011-11-28,19441683.23894231
2011-11-29,21670270.040956043
2011-11-30,22128090.000667457
2011-12-01,23672623.062590122
2011-12-02,24020557.48792385
2011-12-03,23447187.70153587
2011-12-04,21499636.723845012
2011-12-05,22351543.29719627
2011-12-06,23190351.628393073
2011-12-07,23317168.17072287
2011-12-08,23103885.372142266
2011-12-09,23334754.521949004
2011-12-10,23407160.863693688
2011-12-11,25133184.088918902
2011-12-12,25168163.53329336
2011-12-13,25159026.739128068
2011-12-14,24842260.88726192
2011-12-15,24916062.77213924
2011-12-16,25076175.213425413
2011-12-17,25177528.943696994
2011-12-18,25244196.389981806
2011-12-19,26588706.97005306
2011-12-20,31442184.354448475
2011-12-21,31238908.72915677
2011-12-22,30679057.56175994
2011-12-23,31015557.2143481
2011-12-24,31109743.09950464
2011-12-25,32675094.018782835
2011-12-26,32190625.899583817
2011-12-27,31931968.45642815
2011-12-28,32906161.794089798
2011-12-29,33560291.920956574
2011-12-30,33473517.17617376
2011-12-31,35609668.79462916
2012-01-01,39491699.48456344
2012-01-02,42334466.25220148
2012-01-03,40286216.19106911
2012-01-04,41096725.91520608
2012-01-05,49450370.127897985
2012-01-06,54740518.55447528
2012-01-07,53698832.220012546
2012-01-08,56394895.457205564
2012-01-09,53779464.85219614
2012-01-10,51615535.50298376
2012-01-11,54740451.931581065
2012-01-12,54726059.227242775
2012-01-13,53662842.957822695
2012-01-14,52830358.11016909
2012-01-15,55618686.88099061
2012-01-16,56105158.971761756
2012-01-17,53706174.33621724
2012-01-18,47824288.4495587
2012-01-19,50119566.58228455
2012-01-20,52226132.83188404
2012-01-21,51742163.2675838
2012-01-22,50755722.97439561
2012-01-23,51334617.98255449
2012-01-24,51475112.24592802
2012-01-25,49973024.38928479
2012-01-26,46399414.46256304
2012-01-27,43383963.131806135
2012-01-28,45071207.14218139
2012-01-29,45260702.909413934
2012-01-30,45134195.781562805
2012-01-31,45351924.90232077
2012-02-01,46092340.23077257
2012-02-02,49497369.805233724
2012-02-03,49035732.86924066
2012-02-04,48824973.55147237
2012-02-05,47233518.988033384
2012-02-06,46348009.89432393
2012-02-07,46114523.188306615
2012-02-08,46731986.36741123
2012-02-09,47214235.612804405
2012-02-10,48674597.36791063
2012-02-11,48408596.92132412
2012-02-12,47088647.30999693
2012-02-13,44859333.58828792
2012-02-14,39838552.24443784
2012-02-15,38729979.15682648
2012-02-16,35417713.57559949
2012-02-17,37112261.647278816
2012-02-18,36085568.74074535
2012-02-19,35889357.77347091
2012-02-20,36615872.11990159
2012-02-21,36373173.41591026
2012-02-22,37309376.55521435
2012-02-23,39988277.03481517
2012-02-24,41815860.890416525
2012-02-25,41401669.50894262
2012-02-26,41238169.0770656
2012-02-27,41641676.76342914
2012-02-28,41390980.244753286
2012-02-29,40925867.95252193
2012-03-01,41512357.709750414
2012-03-02,39894383.86102752
2012-03-03,39592543.72279102
2012-03-04,39835170.56564927
2012-03-05,41460723.49303811
2012-03-06,41861869.033247225
2012-03-07,42022776.774436206
2012-03-08,41387658.65157551
2012-03-09,41639973.7649494
2012-03-10,41042138.97227196
2012-03-11,41546977.39919843
2012-03-12,41538498.1903284
2012-03-13,42830217.28694059
2012-03-14,45581356.94641626
2012-03-15,45472068.341002755
2012-03-16,45568210.0675678
2012-03-17,45701352.59868218
2012-03-18,44919497.270687
2012-03-19,43777161.968749814
2012-03-20,41183810.239901535
2012-03-21,41385474.306927085
2012-03-22,41288884.66877189
2012-03-23,40492906.279369555
2012-03-24,40211032.96392257
2012-03-25,39475875.92678603
2012-03-26,39991345.990295954
2012-03-27,40384243.06693239
2012-03-28,41479393.88349223
2012-03-29,41166898.239989065
