Date,transactions/size_mean
2009-01-12,253.857142857143
2009-01-14,427.0
2009-01-15,356.5
2009-01-16,294.0
2009-01-18,426.0
2009-01-19,973.0
2009-01-20,997.0
2009-01-21,312.0
2009-01-22,1185.0
2009-01-23,577.5
2009-01-24,1227.0
2009-01-25,200.0
2009-01-26,2324.0
2009-01-27,426.0
2009-01-29,1417.0
2009-01-31,2326.0
2009-02-01,271.0
2009-02-02,159.0
2009-02-03,283.25
2009-02-07,789.75
2009-02-08,224.0
2009-02-09,5055.0
2009-02-11,883.0
2009-02-15,580.666666666667
2009-02-16,3463.0
2009-02-19,1871.0
2009-02-22,388.75
2009-02-27,4150.0
2009-02-28,844.0
2009-03-03,499.0
2009-03-04,1509.0
2009-03-05,953.0
2009-03-08,1061.33333333333
2009-03-12,427.0
2009-03-13,1521.0
2009-03-16,5511.0
2009-03-18,843.5
2009-03-20,1410.0
2009-03-22,671.0
2009-03-26,3235.0
2009-03-28,804.666666666667
2009-03-31,3693.0
2009-04-05,1012.0
2009-04-11,887.0
2009-04-12,519.5
2009-04-13,234.0
2009-04-18,193.75
2009-04-19,954.0
2009-04-20,6620.0
2009-04-21,234.0
2009-04-26,901.0
2009-04-29,2318.0
2009-05-02,974.0
2009-05-03,282.0
2009-05-04,3469.0
2009-05-05,1187.0
2009-05-11,350.0
2009-05-13,218.6
2009-05-14,249.666666666667
2009-05-15,1182.0
2009-05-29,6883.0
2009-06-01,276.0
2009-06-22,6876.0
2009-06-24,273.5
2009-06-25,2321.0
2009-06-28,235.0
2009-06-29,234.0
2009-06-30,453.0
2009-07-01,273.0
2009-07-02,235.0
2009-07-20,13918.0
2009-07-29,271.0
2009-07-30,233.0
2009-08-07,12767.0
2009-08-26,1919.0
2009-08-30,159.0
2009-08-31,729.0
2009-09-03,1642.0
2009-09-07,1526.0
2009-09-16,224.0
2009-09-17,11634.0
2009-09-21,954.0
2009-09-22,4606.0
2009-09-25,1527.0
2009-09-27,1867.0
2009-09-29,2494.0
2009-10-02,1183.0
2009-10-06,931.0
2009-10-12,8617.0
2009-10-16,9408.0
2009-10-18,841.0
2009-10-20,11633.0
2009-10-21,2095.0
2009-10-22,4736.0
2009-10-24,907.0
2009-10-27,1933.0
2009-10-29,2385.0
2009-11-04,4960.0
2009-11-11,824.111111111111
2009-11-13,611.0
2009-11-19,5591.5
2009-12-01,19569.0
2009-12-05,2170.0
2009-12-06,252.5
2009-12-08,1753.0
2009-12-09,349.769230769231
2009-12-12,3901.0
2009-12-14,7668.2
2009-12-15,624.0
2009-12-16,1985.0
2009-12-17,540.0
2009-12-19,159.0
2009-12-21,158.0
2009-12-25,233.0
2009-12-27,656.0
2010-01-01,158.0
2010-01-04,4824.5
2010-01-12,12441.0
2010-01-13,233.0
2010-01-14,648.0
2010-01-15,615.0
2010-01-16,833.0
2010-01-18,233.0
2010-01-21,380.888888888889
2010-01-22,260.0
2010-01-23,230.0
2010-01-24,157.0
2010-01-25,1882.75
2010-01-26,472.166666666667
2010-01-27,1182.0
2010-01-28,1239.5
2010-01-29,595.25
2010-01-30,1033.25
2010-01-31,1090.5
2010-02-01,371.444444444444
2010-02-02,2436.0
2010-02-03,386.5
2010-02-04,1017.0
2010-02-05,7079.75
2010-02-06,293.5
2010-02-07,311.0
2010-02-08,1876.5
2010-02-09,15953.0
2010-02-10,13875.8
2010-02-11,1730.0
2010-02-12,1474.4
2010-02-13,3320.66666666667
2010-02-14,701.363636363636
2010-02-15,1234.0
2010-02-16,385.0
2010-02-17,397.272727272727
2010-02-18,1000.85714285714
2010-02-19,291.333333333333
2010-02-20,805.0
2010-02-21,3653.5
2010-02-22,6154.6
2010-02-23,158.0
2010-02-24,2089.0
2010-02-25,4135.0
2010-02-26,667.5
2010-02-27,445.666666666667
2010-02-28,4093.66666666667
2010-03-01,957.25
2010-03-02,964.2
2010-03-03,2389.66666666667
2010-03-04,14760.3333333333
2010-03-05,191.0
2010-03-06,1855.33333333333
2010-03-07,3355.5
2010-03-08,4201.0
2010-03-09,4658.5
