Date,Daily Return in USD,Log Price in USD,Volatility Daily Log Return in Percent 5D,market/price_usd_close,market/price_drawdown_relative,market/price_realized_usd,market/mvrv,mining/difficulty_latest,mining/hash_rate_mean,blockchain/block_count,blockchain/block_interval_mean,blockchain/block_size_sum,fees/volume_sum,fees/volume_mean,fees/fee_ratio_multiple,blockchain/utxo_created_count,blockchain/utxo_spent_count,blockchain/utxo_created_value_sum,blockchain/utxo_spent_value_sum,blockchain/utxo_profit_relative,blockchain/utxo_profit_count,blockchain/utxo_loss_count,supply/current,supply/profit_relative,supply/profit_sum,supply/loss_sum,supply/active_24h,supply/active_1d_1w,supply/active_1w_1m,supply/active_1m_3m,supply/active_3m_6m,supply/active_6m_12m,supply/active_1y_2y,supply/active_2y_3y,supply/active_3y_5y,supply/active_5y_7y,supply/active_7y_10y,supply/active_more_10y,supply/issued,supply/inflation_rate,transactions/count,transactions/size_sum,transactions/transfers_volume_sum,indicators/nvt,indicators/velocity,indicators/cdd,indicators/average_dormancy,indicators/liveliness,indicators/asol,indicators/net_unrealized_profit_loss,indicators/unrealized_profit,indicators/unrealized_loss,indicators/nupl_more_155,indicators/nupl_less_155,addresses/active_count,addresses/sending_count,addresses/receiving_count,addresses/new_non_zero_count,addresses/non_zero_count,addresses/min_point_zero_1_count,addresses/min_point_1_count,addresses/min_1_count,addresses/min_10_count,addresses/min_100_count,addresses/min_1k_count,addresses/min_10k_count,transactions/transfers_volume_to_exchanges_sum,transactions/transfers_volume_from_exchanges_sum,transactions/transfers_to_exchanges_count,transactions/transfers_from_exchanges_count,transactions/transfers_volume_exchanges_net,distribution/balance_exchanges
2016-01-01,0.010175872674577646,-0.05944764141306862,2.116876710220069,0.9422848690038804,-0.6715887016753913,2.0583372872761676,0.455809047296634,8359187813093.0,483146737803.456,4885.0,17.6874104401228,4321262.0,15.6508949367188,0.00190099537674223,1666.7394101366083,361519.0,329094.0,957481.33860626,954106.33860626,0.829427271604509,28239896.0,5807569.0,76153277.58878127,0.148429284593761,10774142.392628,61810906.999937,54674.1432694927,54674.1432694927,1269326.56610062,13857661.6781541,56628565.0082396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26070.3125,0.13307221043834017,8232.0,0.0,344547.756629631,221.02386715186674,0.00452439826017927,12464247.8000515,36.175675389608905,0.182093453282161,8.923818269698,-1.23045854092931,0.0207145972456311,1.25117313817494,-2.04494099585791,-0.170675081084985,2350.0,1521.0,1950.0,115.0,30383.0,23056.0,17186.0,14175.0,11692.0,8977.0,5188.0,997.0,65606.2068031777,99629.94602902,2397.0,98.0,-34023.73922584229,10305440.971821476
2016-01-02,-0.007053791651919106,-0.06696163867499305,2.061647970493665,0.9352310773519613,-0.6740471353728006,2.0572689053503215,0.462652310154431,8204538787080.0,480570757251.188,5095.0,16.9491658488714,4858390.0,19.3597908118577,0.00211259175162131,1415.4732510863496,455120.0,423876.0,1037919.8070222,1034294.8070222,0.825199921745862,28121748.0,5956961.0,76179803.35863803,0.143725250932725,10436552.766065,62047014.988684,79266.7531800098,79266.7531800098,1259968.61658439,13787519.7401265,56689753.0544274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27383.90625,0.1401739393261694,9164.0,0.0,259240.009990057,293.85820252653076,0.003403001826738921,7144353.26254684,27.558837321526322,0.18195260776785,10.3676636047536,-1.24628912366995,0.0196612631952671,1.26595038686522,-2.06786544101418,-0.176830757234999,2410.0,1601.0,1957.0,132.0,30497.0,23109.0,17232.0,14203.0,11710.0,8979.0,5192.0,999.0,58695.3426562497,81816.2333596,2505.0,104.0,-23120.8907033503,10282319.959149823
2016-01-03,0.0386689958119838,-0.026446574890286536,2.149514941827671,0.9739000731639451,-0.6605699635139897,2.056584686053192,0.466157849134774,8361240176043.0,493841843786.117,5134.0,16.8282041293339,4903207.0,19.4483166824665,0.00210070389743643,1424.042502950958,478708.0,387214.0,898547.95905675,894922.95905675,0.814203532826539,27821500.0,6348703.0,76207326.40822572,0.166560681243358,12099104.037255,60519056.858129,61680.7197571619,61680.7197571619,1274710.70906983,13515799.2772475,56957718.435871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27675.78125,0.14171430595462775,9258.0,0.0,370819.993497967,205.51029541141372,0.004865936268536266,10157711.4764559,27.392566891115028,0.181289163153235,9.73013088896233,-1.15579563981138,0.0255589012120897,1.18135454102347,-1.94414208126547,-0.137967892904951,2454.0,1603.0,2018.0,144.0,30619.0,23197.0,17311.0,14251.0,11729.0,8982.0,5197.0,998.0,49153.8226061001,93886.16069361,2520.0,114.0,-44732.3380875099,10237587.483762853
2016-01-04,-0.02775198068141571,-0.055356176217680825,2.6396912070128806,0.9461480924825294,-0.670242265708864,2.0559452779724188,0.462306984246383,8194539681122.0,491178701739.228,5096.0,16.9635007849294,5000778.0,21.3104318963137,0.00224935949929425,1287.7231003771092,492865.0,497320.0,1067068.3864188,1062543.3864188,0.821300414672613,28060343.0,6105405.0,76234913.99503127,0.148375081745061,10782056.127427,61518532.79672,17995.2088271927,17995.2088271927,1046915.73371013,13797650.7171344,56963943.4991256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27420.625,0.14026621248409832,9469.0,0.0,154125.471932754,494.62890876527587,0.002021717660005485,1269191.91653028,8.234796627802295,0.18069736457432,10.1275630590675,-1.2189239257923,0.0211490796111851,1.24007300540348,-2.0304423788366,-0.169010502813591,2537.0,1610.0,2080.0,161.0,30734.0,23269.0,17379.0,14274.0,11752.0,8999.0,5204.0,1001.0,28160.291433728,58217.39501737,2445.0,142.0,-30057.103583641998,10207530.20833952
2016-01-05,0.006921493005561996,-0.04806736069231817,2.552356185863426,0.9530695854880914,-0.6678299416027746,2.0553519903360957,0.463477978718396,8515768057445.0,492699537663.071,5126.0,16.8540772532189,7155015.0,60.3564445042775,0.00367355109581725,462.24683086703385,506371.0,499843.0,1392599.19758624,1388674.19758624,0.81276292512679,27773959.0,6398317.0,76262548.1877396,0.157723108028142,11465438.862756,61108344.962581,113417.04713571,113417.04713571,1161289.03991446,13788865.6029283,56978164.6377103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27839.21875,0.14249778482331887,16424.0,0.0,1036290.68490783,73.59184956344808,0.013588461302876187,35894662.1463254,34.63763852081519,0.180954504822787,12.027515585661,-1.20197755846721,0.0221756782687728,1.22415323673598,-2.00841880234813,-0.159867271730566,2533.0,1609.0,2075.0,147.0,30844.0,23358.0,17461.0,14310.0,11766.0,8997.0,5203.0,1000.0,352868.247793595,34860.62270084,2489.0,71.0,318007.625092755,10525537.745874565
2016-01-06,0.00037948263029508045,-0.04766927108056558,2.5294440608579274,0.9534490681183865,-0.6676976818293172,2.0541970485168286,0.462891981622065,8568980053660.0,495954801382.63,5090.0,16.971905697446,7902225.0,66.5339184501612,0.00389679737906532,416.2088046744686,440544.0,455650.0,1337496.90880526,1333971.90880526,0.805784583441778,27523321.0,6633849.0,76290169.93361634,0.157495367704207,11496534.890833,61337646.9628,49982.5179184249,49982.5179184249,1410627.3280952,13828790.3116784,56928158.0233805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27625.46875,0.14127538360196112,17059.0,0.0,261874.023822953,291.3239305674486,0.00343260506629913,49233422.9072899,188.00422504133317,0.183405206099157,13.3099977268931,-1.19600655470825,0.022114782732796,1.21812133744105,-2.00711731073835,-0.156924384298507,2645.0,1650.0,2172.0,227.0,31011.0,23472.0,17566.0,14329.0,11807.0,9025.0,5212.0,1001.0,58131.6283233053,55478.92410867,2552.0,91.0,2652.704214635298,10528190.339814208
2016-01-07,-0.009846058298351723,-0.05804974173344697,2.5604640883272856,0.9436030098200348,-0.6711292945989882,2.0529571097533963,0.464266457887399,8088360544905.0,473114572208.916,4981.0,17.3507327845814,7718921.0,65.5065476024396,0.00296745402502558,413.511244891093,535250.0,495914.0,1606573.86367237,1602898.86367237,0.870892423921906,29781478.0,4415028.0,76317460.35950609,0.147837426038192,10796962.933629,62200425.708221,63261.2314808318,63261.2314808318,1453689.6343301,13834568.5448907,56925371.1312913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27022.1875,0.13793463553268115,22063.0,0.0,350229.829059073,217.9067972723525,0.004589117973911306,12239942.659167,34.948315773247565,0.184673061029125,14.3299628393204,-1.21782734661913,0.0205948163403273,1.23842216295946,-2.03839066158619,-0.167647680536223,2683.0,1689.0,2358.0,181.0,31166.0,23559.0,17653.0,14414.0,11840.0,9049.0,5209.0,1001.0,65364.1106187166,141241.1705358,2497.0,151.0,-75877.05991708339,10452313.088937744
2016-01-08,0.045606554261747534,-0.010849074880016008,2.8178232188519554,0.9892095640817823,-0.6552341994001811,2.0520794748467206,0.471274275592406,8496155461196.0,497219883977.125,5176.0,16.6862442040185,5588918.0,26.0495075445064,0.00238570450998319,1075.7504037136491,490006.0,504512.0,1195551.72997421,1191226.72997421,0.856466502837751,29275738.0,4906262.0,76345172.98266147,0.180149910774024,13160359.194862,59796134.807047,103393.424189255,103393.424189255,1833204.30083823,13780667.718154,56985359.2390358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27996.71875,0.14319328766427541,10916.0,0.0,196293.490596427,388.9337988269038,0.002571131650209328,3143188.10777172,16.012696591320044,0.184269504256653,10.1294810812672,-1.11449662926109,0.0280387286766678,1.14253535793776,-1.89821182909431,-0.113458603152996,2610.0,1620.0,2285.0,188.0,31314.0,23654.0,17732.0,14486.0,11872.0,9063.0,5216.0,1003.0,32422.7881816801,95444.53861613,2511.0,165.0,-63021.7504344499,10389292.132229075
2016-01-09,-0.0022861388242426672,-0.01316282588409176,2.2573436328569625,0.9869234252575396,-0.6560309794866676,2.0515841497729315,0.478974155411135,8478564112315.0,497444348472.355,5099.0,16.9505785448127,6166658.0,39.30051752086,0.00333252925641143,703.1734824573916,551926.0,471467.0,849532.15428726,845757.15428726,0.845145498751272,28956763.0,5305696.0,76372802.8643889,0.180153904954721,13165396.138835,59892516.60024,71742.8921702008,71742.8921702008,1805210.64227343,13791788.1598229,57029263.8875547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27595.78125,0.140950413823961,11774.0,0.0,210778.67218016,362.33648345175243,0.0027598656102019513,2084626.68015555,9.890121512738943,0.183344204555044,14.8821115984726,-1.11896922942204,0.0275782624439582,1.146547491866,-1.90391380251132,-0.104677003792057,2624.0,1656.0,2185.0,244.0,31513.0,23869.0,17926.0,14618.0,11906.0,9072.0,5205.0,1002.0,31916.5130650776,32228.97461028,2444.0,149.0,-312.4615452024009,10388979.489827355
2016-01-10,0.0156494487859542,0.0025695698693411102,2.278078998977619,1.0025728740434938,-0.6505767310285631,2.0511235477548433,0.482190993799422,8510737033832.0,491487344559.202,5093.0,16.9568034557235,5315621.0,26.3260527733229,0.00255097410594214,1037.53855687974,514568.0,445483.0,1160859.93187497,1156484.93187497,0.846453657895491,29060061.0,5271483.0,76400354.21692798,0.188305204114871,13766156.531429,59293770.110967,22905.4004212047,22905.4004212047,1744828.83014227,13902997.1811521,57031124.5008834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27287.96875,0.13922024521875698,10320.0,0.0,140901.897458439,542.2237428666518,0.0018442571229233837,2539781.18858546,18.02517378685127,0.182323291646343,8.52804509423096,-1.08498489573429,0.0302686450245884,1.11525354075888,-1.8580538934966,-0.0866747645275316,2797.0,1814.0,2268.0,219.0,31670.0,23828.0,17814.0,14574.0,11901.0,9080.0,5208.0,1003.0,38016.2911270003,37506.89891066,2597.0,158.0,509.392216340304,10389488.694401905
