Date,Log Price in USD,Volatility Daily Log Return in Percent 5D,market/price_usd_close,market/price_drawdown_relative,market/price_realized_usd,market/mvrv,mining/difficulty_latest,mining/hash_rate_mean,blockchain/block_count,blockchain/block_interval_mean,blockchain/block_size_sum,fees/volume_sum,fees/volume_mean,fees/fee_ratio_multiple,blockchain/utxo_created_count,blockchain/utxo_spent_count,blockchain/utxo_created_value_sum,blockchain/utxo_spent_value_sum,blockchain/utxo_profit_relative,blockchain/utxo_profit_count,blockchain/utxo_loss_count,supply/current,supply/profit_relative,supply/profit_sum,supply/loss_sum,supply/active_more_1y_percent,supply/active_more_2y_percent,supply/active_more_3y_percent,supply/active_more_5y_percent,supply/active_24h,supply/active_1d_1w,supply/active_1w_1m,supply/active_1m_3m,supply/active_3m_6m,supply/active_6m_12m,supply/active_1y_2y,supply/active_2y_3y,supply/active_3y_5y,supply/active_5y_7y,supply/active_7y_10y,supply/active_more_10y,supply/issued,supply/inflation_rate,transactions/count,transactions/size_sum,transactions/transfers_volume_sum,transactions/transfers_volume_adjusted_sum,indicators/sopr_adjusted,indicators/nvt,indicators/velocity,indicators/cdd,indicators/reserve_risk,indicators/average_dormancy,indicators/liveliness,indicators/asol,indicators/sol_1h,indicators/sol_1h_24h,indicators/sol_1d_1w,indicators/sol_1w_1m,indicators/sol_1m_3m,indicators/sol_3m_6m,indicators/sol_6m_12m,indicators/sol_1y_2y,indicators/sol_2y_3y,indicators/sol_3y_5y,indicators/sol_5y_7y,indicators/sol_7y_10y,indicators/net_unrealized_profit_loss,indicators/unrealized_profit,indicators/unrealized_loss,indicators/net_realized_profit_loss,indicators/realized_profit,indicators/realized_loss,indicators/nupl_more_155,indicators/nupl_less_155,indicators/puell_multiple,indicators/stock_to_flow_deflection,indicators/difficulty_ribbon_compression,addresses/active_count,addresses/sending_count,addresses/receiving_count,addresses/new_non_zero_count,addresses/non_zero_count,addresses/min_point_zero_1_count,addresses/min_point_1_count,addresses/min_1_count,addresses/min_10_count,addresses/min_100_count,addresses/min_1k_count,addresses/min_10k_count,transactions/transfers_volume_to_exchanges_sum,transactions/transfers_volume_from_exchanges_sum,transactions/transfers_to_exchanges_count,transactions/transfers_from_exchanges_count,transactions/transfers_volume_exchanges_net,distribution/balance_exchanges,Close Gold,Close Silver,Close WTI Crude Oil,Close Natural Gas,Close Treasury Yield 5 Years,Close Treasury Yield 10 Years,Treasury Yield 30 Years,Close Dow Jones Industrial Average,Close Russell 2000,Close S&P 500,Close EURO STOXX 50,Close NASDAQ,Close VIX,Close CBOE Skew,Dow Jones Industrial Average Daily Change,Russell 2000 Daily Change,S&P 500 Daily Change,EURO STOXX 50 Daily Change,NASDAQ Daily Change,VIX Daily Change,CBOE Skew Daily Change,Close USD Index,Close EUR/USD,Close JPY/USD,Close GBP/USD,Close CAD/USD,Close SEK/USD,Close CHF/USD,Daily Return in USD_ohneshift,percentage_daily_return_bef_shift,market/price_usd_close_cummax,price_usd_close_percent_of_maxtilnow,Class
2020-12-22,10.075713891500087,0,23758.933628169103,-0.016667705021668366,8286.352932193824,2.7868250840485964,8.01877633691337e+22,1.32165952003621e+20,143.0,606.72027972028,186197300.0,133.02681427,0.00041055124458366804,7.7185702740049535,940355.0,881579.0,2040795.08399801,2039901.33399801,0.9979685055916321,115536726.0,228390.0,18578462.5,0.9938005237871891,18450395.768873103,95579.73050281,0.5969839432291539,0.473156636245536,0.33758016441762106,0.219012052430803,375438.87647345796,928000.853458459,1219032.1448473998,2020672.59678513,1195736.43766039,1748508.8333611,2300520.97927139,2518802.39773737,2202813.2222429,795407.551748272,1412919.63134694,1860580.02003861,893.75,0.017713609776157657,324020.0,186139711.0,2039768.30718374,734478.5888004671,1.11778977850897,25.294763909104425,0.0395338736346168,38593112.502022,0.0036493499699326096,52.544911574687774,0.607591067848675,43.654548047190396,175881.0,350843.0,192885.0,75899.0,31817.0,16756.0,12723.0,11365.0,8062.0,3796.0,1106.0,445.0,0.6481398369477529,0.6481677974917671,2.79605440139052e-05,1643315945.24001,1741228980.95201,97913035.7119942,0.7691998792019721,0.2958209589886236,1.65114722989568,0.7199635361591569,0.02141684549351941,1099356.0,669771.0,738830.0,528210.0,33068915.0,8550157.0,3139132.0,829715.0,153788.0,16136.0,2252.0,105.0,59177.6506534254,78803.8796383303,61549.0,48885.0,-19626.228984904894,2395347.741116731,1866.6,25.434,47.02,2.78,0.364,0.9179999999999999,1.653,30015.51,1989.88,3687.26,3497.49,12807.92,24.23,146.53,-200.94000000000236,19.550000000000182,-7.6599999999998545,48.80999999999993,65.39999999999964,-0.9299999999999996,-0.4900000000000091,90.65,1.2237,0.0097,1.345,0.778,0.1212,1.1293,883.477928438133,0.03718508339914139,23758.933628169103,1.0,0.0
2020-12-21,10.03781981124501,0,22875.45569973097,-0.05323299841950657,8205.792035083816,2.832762300659064,8.01877633691337e+22,1.25467801265571e+20,136.0,639.1102941176471,182970116.0,138.56269222,0.000513769817425417,7.1344073673917245,801093.0,872946.0,1743577.76419702,1742727.76419702,0.988271608565803,114356011.0,1357129.0,18577568.75,0.960470304904417,17830745.4333287,733852.91216951,0.599138335887927,0.47395519460390595,0.337243974510285,0.21909558135243398,287238.624739189,948249.099909088,1210315.82671688,2025418.73569575,1195285.81804553,1780498.06414591,2325598.41354513,2539762.09018575,2194909.89659201,797116.556064952,1413085.12929262,1860061.54003861,850.0,0.01684008790392655,269698.0,182916163.0,1742589.2015048,577583.682002097,1.0661096247478299,32.164289485471556,0.031090380543045876,16416212.3907165,0.003676305635579371,28.422223311109573,0.6072462255950329,41.3757761726713,145616.0,227289.0,185611.0,169677.0,104814.0,10600.0,9769.0,8240.0,6635.0,3604.0,878.0,213.0,0.638453653193255,0.63905144515612,0.000597791962864344,719923075.44778,871530051.640369,151606976.19258898,0.7596913370898319,0.2776456086309107,1.58051089903257,0.6984754297015786,0.0218514299143409,1125440.0,715418.0,649831.0,461211.0,33047778.0,8550819.0,3133729.0,828815.0,153675.0,16081.0,2266.0,107.0,56111.70984258,50546.54635469,53645.0,38496.0,5565.16348789,2414987.04953512,1879.2,26.278000000000002,47.74,2.705,0.38299999999999995,0.941,1.6840000000000002,30216.45,1970.33,3694.92,3448.68,12742.52,25.16,147.02,37.400000000001455,0.3399999999999181,-14.489999999999783,-97.05999999999996,-13.11999999999898,3.59,-0.04999999999998295,90.04,1.2216,0.0097,1.3402,0.7806,0.1207,1.1293,-203.30825585312778,-0.00888761555274804,23758.933628169103,0.9628149166008586,1.0
2020-12-18,10.046668164403876,0,23078.763955584098,-0.023314110735414117,8072.92628161948,2.832392202228172,8.01877633691337e+22,1.45575084110429e+20,157.0,550.834394904459,199631150.0,195.47135264,0.000520712622112352,6.019917173270758,1078949.0,924253.0,2435931.4752293,2434950.2252293,0.998366750326022,115783670.0,189413.0,18574787.5,0.9954736266013029,18477799.3803657,84017.71513254,0.602424582873064,0.4741048818817671,0.335505614318585,0.21909018602875305,469177.405950138,784324.686991913,1286622.89942178,1857496.45819917,1206576.24876899,1780652.23399561,2383511.17797715,2574451.94264188,2162391.84220513,803749.397037853,1407528.79313236,1858275.45864946,981.25,0.019468425354656427,375392.0,199567830.0,2434754.75387666,851353.467012321,1.16018900362446,21.817950146118545,0.04583382001071727,30237920.324882105,0.003626913881692033,35.517468943888716,0.60679175229586,63.9305803829819,221301.0,326619.0,190572.0,84683.0,35042.0,14586.0,15129.0,13624.0,12183.0,6271.0,3685.0,558.0,0.6472414996655109,0.6472725961856421,3.1096520131804904e-05,2485756111.76763,2575478072.32668,89721960.5590505,0.75937649793503,0.29588068796415656,1.8073849779818898,0.7193297266810429,0.024192256531281358,1193436.0,694062.0,851911.0,596314.0,33275082.0,8591227.0,3136115.0,828900.0,154158.0,16145.0,2306.0,107.0,64980.4869977,71305.36476933,75454.0,44378.0,-6324.877771630003,2412934.589779699,1885.7,25.949,49.1,2.7,0.381,0.948,1.7,30179.05,1969.99,3709.41,3545.74,12755.64,21.57,147.07,-124.31999999999971,-8.059999999999945,-13.070000000000164,-15.13000000000011,-9.110000000000582,-0.35999999999999943,2.2800000000000007,90.02,1.2263,0.0097,1.357,0.7855,0.1208,1.1303,287.95741730772716,0.012477159429417947,23758.933628169103,0.9713720454280582,0.0
2020-12-17,10.034112511621258,0,22790.80653827637,-0.035500376288231106,7935.705886335388,2.844188200999334,8.01877633691337e+22,1.20924230791745e+20,129.0,663.124031007752,167687467.0,162.99271891,0.000526884322422354,5.9465399767040426,933975.0,772889.0,2503111.83156245,2502305.58156245,0.997526834836683,115531949.0,286438.0,18573806.25,0.9858389791580359,18297995.4622459,262840.38325238,0.6034650682567281,0.47436802160241,0.33530468766572097,0.21912855400745399,469946.87966929603,593655.747914936,1370742.97677989,1893996.32239543,1243019.17938902,1793772.93237885,2397823.53200478,2582935.42101924,2157832.99744276,807671.808189653,1404658.14913812,1857721.34864946,806.25,0.015969715488745928,309352.0,167634703.0,2502142.58884354,832136.830548613,1.1609292740183301,22.3206155143435,0.04480163189753382,26088423.6594591,0.0035838823544802507,31.351122437711915,0.606452928341012,75.6025393548019,172112.0,241965.0,116791.0,112539.0,53041.0,17346.0,18329.0,18160.0,15786.0,5977.0,715.0,127.0,0.648695025236856,0.648862816892517,0.000167791655661221,2412120883.0533104,2522094364.3027897,109973481.24948101,0.7569486843171326,0.3082462531912633,1.47633662992041,0.7181285449845066,0.025071296899500932,1068910.0,589572.0,754474.0,533017.0,33176605.0,8594349.0,3143395.0,829368.0,154265.0,16127.0,2292.0,104.0,87233.0508750323,78062.3982632056,72210.0,54185.0,9170.652611826708,2419278.391671929,1887.2,26.1,48.36,2.636,0.377,0.93,1.676,30303.37,1978.05,3722.48,3560.87,12764.75,21.93,144.79,148.82999999999808,25.329999999999927,21.309999999999945,17.86999999999989,106.55999999999949,-0.5700000000000003,5.8400000000000025,89.82,1.22,0.0097,1.3503,0.7845,0.1198,1.1294,1445.8452570293084,0.06343984600110844,23758.933628169103,0.9592520815519725,1.0
2020-12-16,9.968570985240877,0,21344.961281247062,-0.005309991372239198,7816.375335292952,2.5636373164136734,8.01877633691337e+22,1.3212635719389e+20,143.0,606.902097902098,187263176.0,79.9044725,0.0002536054149184,12.185231214685762,942823.0,873610.0,2709597.5989032,2708703.8489032,0.999872813909085,115642591.0,6269.0,18573000.0,0.997869622681535,18520489.729418,9153.77382026,0.603996916400823,0.47423118355888894,0.335128542685026,0.219126226040368,330908.23034333,587484.897087888,1508075.24435988,1857227.33309514,1245806.41687051,1825434.19490167,2410138.95607351,2583553.3489503996,2154511.02704123,830139.634136043,1382871.40346238,1856820.35864946,893.75,0.01771886527990496,315074.0,187205339.0,2708623.9444307005,782107.47730913,1.0975780047750798,23.74737557030026,0.04210991640064233,21499503.160790697,0.0031849963492030764,27.489192706302394,0.6060531015529351,51.7081279379685,185922.0,318368.0,168934.0,98660.0,36755.0,17376.0,19289.0,13299.0,8342.0,5326.0,1270.0,69.0,0.6310172352148851,0.631018041786651,8.06571765083699e-07,1216165692.31561,1239183592.5033698,23017900.187767398,0.7402758318379941,0.28102463301150826,1.44473371797961,0.6774312558876117,0.02605267891675831,1093051.0,645112.0,751141.0,520297.0,33057526.0,8555996.0,3140055.0,828702.0,154269.0,16108.0,2280.0,105.0,62314.8651325317,64195.029834459005,63937.0,43585.0,-1880.1647019273005,2410122.1432290003,1856.1,24.985,47.82,2.677,0.37,0.92,1.666,30154.54,1952.72,3701.17,3543.0,12658.19,22.5,138.95,-44.77000000000044,-7.0399999999999645,6.550000000000183,21.5,63.13000000000102,-0.39000000000000057,-0.3400000000000034,90.45,1.2154,0.0096,1.3444,0.7874,0.1194,1.1294,1921.143864671929,0.0900045607653446,23758.933628169103,0.8983972772220726,1.0
2020-12-15,9.874255293927027,0,19423.817416575133,-0.020936205915790932,7767.907884033563,2.4879930628673423,8.01877633691337e+22,1.30096496450177e+20,140.0,616.371428571429,180951395.0,70.05172631,0.00021870660727443,13.49076997942722,918314.0,840308.0,2160315.23957714,2159440.23957714,0.997303052542923,115276353.0,311735.0,18572106.25,0.9924939472836191,18419829.9934715,139305.85202679,0.605112676289763,0.474640051039362,0.334866273130349,0.219092369812015,280844.454157389,576109.6122595121,1521212.32767321,1857781.29332562,1306073.12188776,1791839.56839207,2423151.45886715,2595893.45429024,2150165.23340533,837631.838377243,1375359.32368645,1856015.60864946,875.0,0.017344786579227334,320300.0,180894901.0,2159370.18785083,592347.232018164,1.05441167923669,31.353411050345716,0.03189445634461433,15023840.174182199,0.003073709195938536,25.363231837844573,0.605907291724405,47.570385435331296,197384.0,313245.0,185041.0,71982.0,25309.0,11536.0,8769.0,7130.0,16215.0,2969.0,692.0,36.0,0.5979261240681031,0.597954823407723,2.86993396194492e-05,485536451.02810097,512266775.082229,26730324.0541276,0.7141429653927662,0.21907991403015825,1.3696413547880801,0.6203073063970327,0.027125424344781702,1047008.0,644895.0,722537.0,521913.0,32998200.0,8541131.0,3137130.0,827728.0,154348.0,16078.0,2275.0,105.0,49672.358982928396,49515.87694892,56633.0,40251.0,156.4820340084043,2412009.41926344,1852.3,24.581,47.62,2.682,0.375,0.9229999999999999,1.665,30199.31,1959.76,3694.62,3521.5,12595.06,22.89,139.29,337.76000000000204,45.9000000000001,47.1300000000001,17.539999999999964,155.01999999999862,-1.8299999999999983,-0.6299999999999955,90.47,1.2149,0.0096,1.3331,0.7837,0.1191,1.1279,177.33902927245435,0.00912997818446974,23758.933628169103,0.8175374248929185,1.0
2020-12-14,9.865083382060858,0,19246.47838730268,-0.02987503699698368,7741.973709523863,2.4732592043415056,8.01877633691337e+22,1.33107721500645e+20,145.0,602.427586206897,169878972.0,59.2358478,0.0001885261144794,16.299012906167942,884516.0,788573.0,2076030.48156883,2075124.23156883,0.994365080616946,114859192.0,645911.0,18571231.25,0.9825597399718561,18234599.950682603,323316.66735209,0.605843235488437,0.47501460899193,0.33442109497510397,0.219060683873352,228760.998482609,667239.59427471,1469579.72465413,1855898.115177,1372644.53641623,1725824.49846224,2429648.67678677,2610994.66105675,2142384.8716657,839752.394748042,1373187.08459778,1855287.13864946,906.25,0.017970615469274698,314205.0,169819291.0,2075064.99572103,519587.81415737706,1.0417354845454498,35.74223787391402,0.027978102645045518,13632835.3119513,0.003046921784618032,26.237788763502593,0.60585125037573,33.438225336055304,197495.0,278408.0,185691.0,65681.0,26389.0,10789.0,9096.0,6883.0,4425.0,2962.0,706.0,48.0,0.595609075922906,0.595718816016283,0.000109740093376471,359217765.81403,390657083.872744,31439318.0587146,0.7116534810694597,0.2159169685732284,1.4053142676016,0.6197030060384382,0.02827032995458933,978879.0,601599.0,696644.0,504683.0,32959358.0,8536095.0,3132393.0,827105.0,154422.0,16083.0,2280.0,106.0,42522.43408580001,37057.7112309306,54410.0,35227.0,5464.7228548693965,2411859.0495574707,1828.7,23.985,46.99,2.682,0.358,0.892,1.6280000000000001,29861.55,1913.86,3647.49,3503.96,12440.04,24.72,139.92,-184.8199999999997,2.1599999999998545,-15.970000000000255,18.11999999999989,62.170000000000066,1.41,4.20999999999998,90.72,1.2133,0.0096,1.3318,0.7843,0.1186,1.1254,1167.1662540955076,0.06064310730556883,23758.933628169103,0.8100733260386586,1.0
2020-12-11,9.802523587492718,0,18079.31213320717,-0.08870642922818639,7645.389101550876,2.3476613784924703,8.22793530270419e+22,1.32026589122716e+20,138.0,623.202898550725,182979309.0,70.49629972,0.000231441214851098,13.234684705803168,904183.0,862698.0,1421781.01792184,1420918.51792184,0.967706326375683,111768843.0,3729878.0,18568525.0,0.920039396353751,17071841.2490513,1483713.34644697,0.608692596081159,0.47615257223400803,0.332798454182407,0.21896223443155396,260325.08713075,488104.901247933,1542668.40379287,1844115.51472218,1361136.44035672,1769622.01007256,2461072.74630667,2661874.52489426,2113770.69234921,842549.422307882,1370407.60314094,1852848.69864946,862.5,0.017098228846559538,304597.0,182924038.0,1420848.02162212,496283.51850407,1.02659616255267,37.41515546591282,0.02672713737381241,32886639.6308013,0.0028602125603240753,66.2658307290364,0.604990202656845,26.8138703096356,187637.0,305382.0,193212.0,114026.0,31874.0,10906.0,6895.0,5595.0,4107.0,2592.0,386.0,86.0,0.5751170214099921,0.5782842749157969,0.00316725350580551,220802601.479243,355699252.260144,134896650.780901,0.6914489251270458,0.17670874275533344,1.2569243212316101,0.5929990359446857,0.02998282986556497,1075098.0,676839.0,711673.0,508289.0,32913650.0,8553424.0,3132127.0,825602.0,154275.0,16120.0,2268.0,106.0,49264.638073794296,43100.4941066647,57049.0,38274.0,6164.143967129603,2403645.03946557,1839.8,24.031999999999996,46.57,2.591,0.361,0.893,1.626,30046.37,1911.7,3663.46,3485.84,12377.87,23.31,135.71,47.11000000000058,-11.0,-4.639999999999873,-36.46999999999979,-27.939999999998694,0.7899999999999991,-0.039999999999992035,90.98,1.2144,0.0096,1.3306,0.785,0.1184,1.1288,-193.4041103538766,-0.010697536993049733,23758.933628169103,0.7609479624023172,1.0
2020-12-10,9.813164310656449,0,18272.716243561048,-0.07895783254332678,7633.699005018429,2.3984813343055897,8.22793530270419e+22,1.23907511074607e+20,130.0,664.038461538462,169872368.0,72.83286894,0.00023230767175195098,12.15567753714797,902820.0,778738.0,1965927.79908411,1965115.29908411,0.9699181781902351,111984072.0,3464689.0,18567662.5,0.9217222541860749,17102272.6239912,1451390.87357485,0.610044697233736,0.477566551607782,0.33139837449089193,0.21889895982072896,273708.37440398696,524764.982544314,1483825.98829842,1821419.48273582,1360964.47375033,1775846.19508735,2459809.49660881,2714001.38094679,2088851.16304313,842927.7436777321,1369870.96522529,1851643.29864946,812.5,0.0160998678840647,313519.0,169819492.0,1965042.46621517,662573.5892293521,1.0492362296897702,28.02354757544184,0.03568427577942845,16614857.545458801,0.0029187766329881897,25.076244836115126,0.6048209940366079,27.479616039930896,186122.0,322521.0,146175.0,71489.0,21811.0,8620.0,8952.0,7520.0,3210.0,2010.0,270.0,38.0,0.5802916106158821,0.582784753100675,0.00249314248479338,517090313.36227995,624121717.868966,107031404.506687,0.6945621657429524,0.18812045880267006,1.20748767521546,0.6033884903637061,0.02934410938847364,993039.0,608059.0,713590.0,512866.0,32923687.0,8542072.0,3128929.0,825050.0,154177.0,16125.0,2270.0,106.0,48757.1240535429,53977.8687264011,54866.0,41854.0,-5220.7446728582,2397488.18156842,1833.6,24.031,46.78,2.553,0.38299999999999995,0.9079999999999999,1.6369999999999998,29999.26,1922.7,3668.1,3522.31,12405.81,22.52,135.75,-69.55000000000291,20.54999999999995,-4.7200000000002555,-6.7100000000000355,66.85999999999876,0.25,0.8499999999999943,90.79,1.2079,0.0096,1.3367,0.7798,0.1177,1.1244,-292.1881226854057,-0.015990404425415796,23758.933628169103,0.7690882313799018,0.0
2020-12-09,9.829028215304966,0,18564.904366246454,-0.06422999579283306,7602.780101411333,2.4041562646200547,8.22793530270419e+22,1.3232017945413e+20,139.0,621.820143884892,177338690.0,72.45729357,0.000225765855206581,12.989821275351838,941097.0,829649.0,1967186.96005315,1966318.21005315,0.9761887808946941,112586931.0,2740193.0,18566850.0,0.9362143578331071,17370408.470812198,1161725.64482162,0.610346974163934,0.47758484489597997,0.33101503345972305,0.218820461133883,226559.30868895,535181.4845056529,1491304.06055157,1811117.50439639,1360290.57124074,1810147.39833198,2464974.53979894,2721339.70346543,2083099.79518801,843949.8400270421,1367823.45012726,1851033.38864946,868.75,0.017224754110182428,320940.0,177283488.0,1966245.75275958,516853.554287525,1.03202531639546,35.922844770979914,0.027837438999481604,13072680.977463901,0.002915484730172965,25.292814316589922,0.604676574546336,36.419557727244,195932.0,330819.0,172031.0,64324.0,27519.0,12116.0,9006.0,8601.0,4674.0,3262.0,1217.0,148.0,0.588423534804717,0.589928962348602,0.0015054275438844801,264011269.463177,397252225.691752,133240956.228575,0.6990162128801316,0.20451916130423986,1.2916495250457098,0.6168015917589615,0.02889230527922265,1058484.0,640704.0,748553.0,530363.0,32861238.0,8531808.0,3125127.0,824225.0,153996.0,16135.0,2263.0,106.0,50866.5826076524,58318.7328774646,58797.0,41136.0,-7452.1502698121985,2402716.8905521003,1834.6,23.93,45.52,2.4419999999999997,0.408,0.941,1.689,30068.81,1902.15,3672.82,3529.02,12338.95,22.27,134.9,-105.06999999999971,-15.629999999999884,-29.429999999999836,3.1500000000000914,-243.8199999999997,1.59,2.4600000000000084,91.09,1.2111,0.0096,1.3366,0.7803,0.1182,1.1255,237.20954867004912,0.012777310563545302,23758.933628169103,0.7813862632384941,0.0
