Date,supply/active_1m_3m
2009-07-28,"279025,0"
2009-07-29,"276555,0"
2009-07-30,"274700,0"
2009-07-31,"271750,0"
2009-08-01,"270650,0"
2009-08-02,"266750,0"
2009-08-03,"263800,0"
2009-08-04,"260900,0"
2009-08-05,"258850,0"
2009-08-06,"256900,0"
2009-08-07,"256300,0"
2009-08-08,"256050,0"
2009-08-09,"253750,0"
2009-08-10,"251050,0"
2009-08-11,"249198,99"
2009-08-12,"245748,99"
2009-08-13,"242148,99"
2009-08-14,"238448,99"
2009-08-15,"235548,99"
2009-08-16,"231898,99"
2009-08-17,"227998,99"
2009-08-18,"225648,99"
2009-08-19,"230999,13"
2009-08-20,"232049,13"
2009-08-21,"233499,13"
2009-08-22,"232249,13"
2009-08-23,"230449,13"
2009-08-24,"225849,13"
2009-08-25,"220749,13"
2009-08-26,"219549,13"
2009-08-27,"213149,13"
2009-08-28,"208949,13"
2009-08-29,"205049,13"
2009-08-30,"202499,12"
2009-08-31,"197899,12"
2009-09-01,"195099,12"
2009-09-02,"192149,12"
2009-09-03,"194449,12"
2009-09-04,"197049,12"
2009-09-05,"200299,12"
2009-09-06,"205149,12"
2009-09-07,"204599,12"
2009-09-08,"205299,12"
2009-09-09,"204549,12"
2009-09-10,"203949,12"
2009-09-11,"203299,12"
2009-09-12,"203799,12"
2009-09-13,"202949,12"
2009-09-14,"200699,12"
2009-09-15,"197699,12"
2009-09-16,"194599,12"
2009-09-17,"190999,12"
2009-09-18,"188199,12"
2009-09-19,"185249,12"
2009-09-20,"179249,12"
2009-09-21,"176099,12"
2009-09-22,"172200,14"
2009-09-23,"168800,14"
2009-09-24,"167050,14"
2009-09-25,"167998,67"
2009-09-26,"167123,67"
2009-09-27,"166743,67"
2009-09-28,"166498,67"
2009-09-29,"166598,67"
2009-09-30,"166648,67"
2009-10-01,"166548,67"
2009-10-02,"165498,67"
2009-10-03,"165398,67"
2009-10-04,"163998,67"
2009-10-05,"163848,67"
2009-10-06,"163698,67"
2009-10-07,"163898,67"
2009-10-08,"163098,67"
2009-10-09,"161998,67"
2009-10-10,"161348,67"
2009-10-11,"160798,67"
2009-10-12,"159048,67"
2009-10-13,"160248,67"
2009-10-14,"160498,67"
2009-10-15,"160398,67"
2009-10-16,"163299,67"
2009-10-17,"169049,67"
2009-10-18,"163449,53"
2009-10-19,"162999,53"
2009-10-20,"163749,65"
2009-10-21,"163899,65"
2009-10-22,"163199,65"
2009-10-23,"163499,65"
2009-10-24,"166699,65"
2009-10-25,"168149,65"
2009-10-26,"170699,65"
2009-10-27,"173499,65"
2009-10-28,"176749,65"
2009-10-29,"181599,65"
2009-10-30,"184449,65"
2009-10-31,"187449,65"
2009-11-01,"190699,65"
2009-11-02,"188999,65"
2009-11-03,"186949,65"
2009-11-04,"185149,65"
2009-11-05,"177749,65"
2009-11-06,"176299,65"
2009-11-07,"174599,65"
2009-11-08,"174449,65"
2009-11-09,"174299,65"
2009-11-10,"174049,65"
2009-11-11,"172599,65"
2009-11-12,"171749,65"
2009-11-13,"173199,65"
2009-11-14,"175249,65"
2009-11-15,"176749,65"
2009-11-16,"178499,65"
2009-11-17,"181249,65"
2009-11-18,"185399,65"
2009-11-19,"193849,77"
2009-11-20,"197999,53"
2009-11-21,"201299,53"
2009-11-22,"204549,53"
2009-11-23,"204499,53"
2009-11-24,"203051,0"
2009-11-25,"204751,0"
2009-11-26,"204551,0"
2009-11-27,"203901,0"
2009-11-28,"203601,0"
2009-11-29,"202301,0"
2009-11-30,"200501,0"
2009-12-01,"194401,0"
2009-12-02,"192401,0"
2009-12-03,"192601,0"
2009-12-04,"192251,0"
2009-12-05,"191501,0"
2009-12-06,"190851,0"
2009-12-07,"191001,0"
2009-12-08,"191401,0"
2009-12-09,"191351,0"
2009-12-10,"192001,0"
2009-12-11,"192351,0"
2009-12-12,"192351,0"
2009-12-13,"192251,0"
2009-12-14,"193701,0"
2009-12-15,"194650,0"
2009-12-16,"190099,88"
2009-12-17,"190199,88"
2009-12-18,"189949,88"
2009-12-19,"211849,88"
2009-12-20,"212399,88"
2009-12-21,"213099,88"
2009-12-22,"215749,88"
2009-12-23,"215399,88"
2009-12-24,"214549,88"
2009-12-25,"214499,88"
2009-12-26,"214299,88"
2009-12-27,"213549,88"
2009-12-28,"210849,88"
2009-12-29,"209599,88"
2009-12-30,"208949,88"
2009-12-31,"219249,88"
2010-01-01,"221149,88"
2010-01-02,"222599,88"
2010-01-03,"221599,88"
2010-01-04,"223195,53"
2010-01-05,"224195,53"
2010-01-06,"225195,53"
2010-01-07,"225595,53"
2010-01-08,"225498,53"
2010-01-09,"226048,53"
2010-01-10,"228648,53"
2010-01-11,"230848,53"
2010-01-12,"224848,53"
2010-01-13,"227036,53"
2010-01-14,"235087,53"
2010-01-15,"238837,53"
2010-01-16,"243187,53"
2010-01-17,"249037,53"
2010-01-18,"249337,41"
2010-01-19,"253087,65"
2010-01-20,"257787,65"
2010-01-21,"261887,65"
2010-01-22,"267137,65"
2010-01-23,"271687,65"
2010-01-24,"276187,65"
2010-01-25,"281987,65"
2010-01-26,"287987,65"
2010-01-27,"291587,65"
2010-01-28,"297687,65"
2010-01-29,"303287,65"
2010-01-30,"308587,65"
2010-01-31,"313687,65"
2010-02-01,"317337,65"
2010-02-02,"323587,65"
2010-02-03,"350992,0"
2010-02-04,"358442,0"
2010-02-05,"361892,0"
2010-02-06,"366292,0"
2010-02-07,"370592,0"
2010-02-08,"371942,0"
2010-02-09,"370342,0"
2010-02-10,"361892,0"
2010-02-11,"376741,26"
2010-02-12,"381243,26"
2010-02-13,"385098,26"
2010-02-14,"387249,0"
2010-02-15,"389050,0"
2010-02-16,"391750,0"
2010-02-17,"371750,0"
2010-02-18,"373500,0"
2010-02-19,"376350,0"
2010-02-20,"378950,0"
2010-02-21,"380601,0"
2010-02-22,"383351,0"
2010-02-23,"386201,0"
2010-02-24,"392801,0"
2010-02-25,"396351,0"
2010-02-26,"400251,0"
2010-02-27,"404351,0"
2010-02-28,"409251,0"
2010-03-01,"403951,0"
2010-03-02,"405551,0"
2010-03-03,"409001,0"
2010-03-04,"399101,0"
2010-03-05,"406555,35"
2010-03-06,"414855,37"
2010-03-07,"431122,17"
2010-03-08,"428072,17"
2010-03-09,"431469,17"
2010-03-10,"441369,17"
2010-03-11,"444919,17"
2010-03-12,"476719,17"
2010-03-13,"480919,17"
2010-03-14,"484131,17"
2010-03-15,"481579,17"
2010-03-16,"485079,17"
2010-03-17,"488065,78"
2010-03-18,"485778,15"
2010-03-19,"512161,39"
2010-03-20,"513761,39"
2010-03-21,"512511,39"
