Date,indicators/stock_to_flow_deflection
2010-12-19,"0,9286491801874647"
2010-12-20,"1,024879038787706"
2010-12-21,"0,9145086661830114"
2010-12-22,"0,9460371907923268"
2010-12-23,"0,9351156856288901"
2010-12-24,"0,9261757817860811"
2010-12-25,"0,927528072535805"
2010-12-26,"0,9761617460797203"
2010-12-27,"0,9693029311030031"
2010-12-28,"1,022160038019851"
2010-12-29,"1,0826932090662995"
2010-12-30,"1,077260179338698"
2010-12-31,"1,0712565447498883"
2011-01-01,"1,0657733818831614"
2011-01-02,"1,0604930366543202"
2011-01-03,"1,0346476437836878"
2011-01-04,"1,040326986450574"
2011-01-05,"1,0313628710564737"
2011-01-06,"1,0211011818070506"
2011-01-07,"1,0896296565089074"
2011-01-08,"1,0927542943815949"
2011-01-09,"1,0864409679168525"
2011-01-10,"1,089765335036495"
2011-01-11,"1,082784650623735"
2011-01-12,"1,050188888798688"
2011-01-13,"1,0394841962572126"
2011-01-14,"1,3020183495562287"
2011-01-15,"1,2494562873934032"
2011-01-16,"1,2462351501918782"
2011-01-17,"1,1206430242684529"
2011-01-18,"0,9986737636905527"
2011-01-19,"0,9941060872951673"
2011-01-20,"1,2311790430065117"
2011-01-21,"1,3163066301507398"
2011-01-22,"1,3848324807811632"
2011-01-23,"1,3712144773199741"
2011-01-24,"1,293928658503888"
2011-01-25,"1,2522132143424924"
2011-01-26,"1,2535033929238442"
2011-01-27,"1,2680093972778403"
2011-01-28,"1,30018267614558"
2011-01-29,"1,3015178336942115"
2011-01-30,"1,410152264686101"
2011-01-31,"1,6062290116677063"
2011-02-01,"2,051212586012369"
2011-02-02,"2,06370719433388"
2011-02-03,"1,9838639466249564"
2011-02-04,"2,28898255730916"
2011-02-05,"2,5376137549289535"
2011-02-06,"2,489077096474943"
2011-02-07,"2,449149112850138"
2011-02-08,"2,5058677964330576"
2011-02-09,"2,9363138133363096"
2011-02-10,"2,623767926609736"
2011-02-11,"2,860878609597858"
2011-02-12,"2,8675642895326288"
2011-02-13,"2,7624729386917517"
2011-02-14,"2,8063767321764765"
2011-02-15,"2,723479518026726"
2011-02-16,"2,6494776533981534"
2011-02-17,"2,6543901891702992"
2011-02-18,"2,276406497514797"
2011-02-19,"2,3850226221544544"
2011-02-20,"2,1193535203543052"
2011-02-21,"2,0626397625044333"
2011-02-22,"2,201667951384829"
2011-02-23,"2,1810085895523645"
2011-02-24,"2,393870588975506"
2011-02-25,"2,1842303243138894"
2011-02-26,"2,285004858524347"
2011-02-27,"2,111384200762748"
