Date,supply/active_more_3y_percent
2011-09-08,"0,0"
2011-09-09,"0,0"
2011-09-10,"0,0"
2011-09-11,"0,0"
2011-09-12,"0,0"
2011-09-13,"0,0"
2011-09-14,"0,0"
2011-09-15,"0,0"
2011-09-16,"0,0"
2011-09-17,"0,0"
2011-09-18,"0,0"
2011-09-19,"0,0"
2011-09-20,"0,0"
2011-09-21,"0,0"
2011-09-22,"0,0"
2011-09-23,"0,0"
2011-09-24,"0,0"
2011-09-25,"0,0"
2011-09-26,"0,0"
2011-09-27,"0,0"
2011-09-28,"0,0"
2011-09-29,"0,0"
2011-09-30,"0,0"
2011-10-01,"0,0"
2011-10-02,"0,0"
2011-10-03,"0,0"
2011-10-04,"0,0"
2011-10-05,"0,0"
2011-10-06,"0,0"
2011-10-07,"0,0"
2011-10-08,"0,0"
2011-10-09,"0,0"
2011-10-10,"0,0"
2011-10-11,"0,0"
2011-10-12,"0,0"
2011-10-13,"0,0"
2011-10-14,"0,0"
2011-10-15,"0,0"
2011-10-16,"0,0"
2011-10-17,"0,0"
2011-10-18,"0,0"
2011-10-19,"0,0"
2011-10-20,"0,0"
2011-10-21,"0,0"
2011-10-22,"0,0"
2011-10-23,"0,0"
2011-10-24,"0,0"
2011-10-25,"0,0"
2011-10-26,"0,0"
2011-10-27,"0,0"
2011-10-28,"0,0"
2011-10-29,"0,0"
2011-10-30,"0,0"
2011-10-31,"0,0"
2011-11-01,"0,0"
2011-11-02,"0,0"
2011-11-03,"0,0"
2011-11-04,"0,0"
2011-11-05,"0,0"
2011-11-06,"0,0"
2011-11-07,"0,0"
2011-11-08,"0,0"
2011-11-09,"0,0"
2011-11-10,"0,0"
2011-11-11,"0,0"
2011-11-12,"0,0"
2011-11-13,"0,0"
2011-11-14,"0,0"
2011-11-15,"0,0"
2011-11-16,"0,0"
2011-11-17,"0,0"
2011-11-18,"0,0"
2011-11-19,"0,0"
2011-11-20,"0,0"
2011-11-21,"0,0"
2011-11-22,"0,0"
2011-11-23,"0,0"
2011-11-24,"0,0"
2011-11-25,"0,0"
2011-11-26,"0,0"
2011-11-27,"0,0"
2011-11-28,"0,0"
2011-11-29,"0,0"
2011-11-30,"0,0"
2011-12-01,"0,0"
2011-12-02,"0,0"
2011-12-03,"0,0"
2011-12-04,"0,0"
2011-12-05,"0,0"
2011-12-06,"0,0"
2011-12-07,"0,0"
2011-12-08,"0,0"
2011-12-09,"0,0"
2011-12-10,"0,0"
2011-12-11,"0,0"
2011-12-12,"0,0"
2011-12-13,"0,0"
2011-12-14,"0,0"
2011-12-15,"0,0"
2011-12-16,"0,0"
2011-12-17,"0,0"
2011-12-18,"0,0"
2011-12-19,"0,0"
2011-12-20,"0,0"
2011-12-21,"0,0"
2011-12-22,"0,0"
2011-12-23,"0,0"
2011-12-24,"0,0"
2011-12-25,"0,0"
2011-12-26,"0,0"
2011-12-27,"0,0"
2011-12-28,"0,0"
2011-12-29,"0,0"
2011-12-30,"0,0"
2011-12-31,"0,0"
2012-01-01,"0,0"
2012-01-02,"0,0"
2012-01-03,"6,23052959501558e-06"
2012-01-04,"6,22475085434705e-06"
2012-01-05,"6,21906017562626e-06"
2012-01-06,"6,21245348425454e-06"
2012-01-07,"6,20536019013224e-06"
2012-01-08,"6,19908997359188e-06"
2012-01-09,"8,66991169075664e-05"
2012-01-10,"0,000464054350045477"
2012-01-11,"0,00103231708824766"
2012-01-12,"0,001609243671531"
2012-01-13,"0,00230509604052645"
2012-01-14,"0,00298242477668802"
2012-01-15,"0,00371590825100397"
2012-01-16,"0,00429638471193365"
2012-01-17,"0,00485161782061369"
2012-01-18,"0,00542514249213836"
2012-01-19,"0,00600309266963661"
2012-01-20,"0,00657405079976213"
2012-01-21,"0,00706966773847803"
2012-01-22,"0,00755334708189779"
2012-01-23,"0,00797341989595369"
2012-01-24,"0,00912106034693379"
2012-01-25,"0,0101990626601899"
2012-01-26,"0,0106782678682487"
2012-01-27,"0,0112295686183726"
2012-01-28,"0,0117674628101186"
2012-01-29,"0,0123635678193349"
2012-01-30,"0,0129276989145422"
2012-01-31,"0,0135531402285458"
2012-02-01,"0,0140569481330568"
2012-02-02,"0,0146370569599166"
2012-02-03,"0,0152808888942683"
2012-02-04,"0,0158528549662628"
2012-02-05,"0,0164493880559147"
2012-02-06,"0,0170686294391734"
2012-02-07,"0,0178023217807153"
2012-02-08,"0,0183471241097574"
2012-02-09,"0,0189812763754357"
2012-02-10,"0,0196091332880198"
2012-02-11,"0,0203066100156852"
2012-02-12,"0,020875733832862"
2012-02-13,"0,0214464803772181"
2012-02-14,"0,0220701040567757"
2012-02-15,"0,0227171975132662"
2012-02-16,"0,0233028509191881"
2012-02-17,"0,0238436863251543"
2012-02-18,"0,024386745268087"
2012-02-19,"0,0248888599815019"
2012-02-20,"0,0254225643165897"
2012-02-21,"0,0259511218082381"
2012-02-22,"0,0265455625457554"
2012-02-23,"0,027030720839106"
2012-02-24,"0,027541627902832"
2012-02-25,"0,028042705631688"
2012-02-26,"0,0285692237448338"
2012-02-27,"0,0291000408775037"
2012-02-28,"0,0296525127695212"
2012-02-29,"0,0301473346892442"
2012-03-01,"0,0306698068959814"
2012-03-02,"0,0312121850301911"
2012-03-03,"0,0316868569136574"
2012-03-04,"0,0321917098384521"
2012-03-05,"0,0326706529420078"
2012-03-06,"0,033138571252052"
2012-03-07,"0,0338257661354324"
2012-03-08,"0,0343057481660725"
2012-03-09,"0,0347765347853383"
2012-03-10,"0,0352645994044409"
2012-03-11,"0,0357582123821238"
2012-03-12,"0,0363905509783728"
2012-03-13,"0,0368592718174165"
2012-03-14,"0,0373847038138242"
2012-03-15,"0,0379069988442276"
2012-03-16,"0,038398056768941"
2012-03-17,"0,0390125648898548"
2012-03-18,"0,0395350302973859"
2012-03-19,"0,0400372199604513"
2012-03-20,"0,0401394514816967"
2012-03-21,"0,0406657432455967"
2012-03-22,"0,0412084702115813"
2012-03-23,"0,0416883981871081"
2012-03-24,"0,0421532221366665"
2012-03-25,"0,0426531214752173"
2012-03-26,"0,0431013534912214"
2012-03-27,"0,0437034447716381"
2012-03-28,"0,0441906057459328"
2012-03-29,"0,0446564422411805"
2012-03-30,"0,0451521847553777"
2012-03-31,"0,0456315963292195"
2012-04-01,"0,0461062605636232"
2012-04-02,"0,0465635982374198"
2012-04-03,"0,0470217433236125"
2012-04-04,"0,0476157675253681"
2012-04-05,"0,0480825428489539"
2012-04-06,"0,0485663203235082"
2012-04-07,"0,049028696040386"
2012-04-08,"0,049449573099248"
2012-04-09,"0,0498997183034209"
2012-04-10,"0,0503659530252686"
2012-04-11,"0,0509415318969304"
2012-04-12,"0,0514176895101068"
2012-04-13,"0,0518886441962073"
2012-04-14,"0,0523655548472292"
2012-04-15,"0,0528740840183168"
2012-04-16,"0,0533746318451789"
2012-04-17,"0,0539073125851885"
2012-04-18,"0,0544634220532319"
2012-04-19,"0,0549535888233059"
2012-04-20,"0,0554664861404592"
2012-04-21,"0,0559841494269138"
2012-04-22,"0,0562791595735656"
2012-04-23,"0,0567504922294433"
2012-04-24,"0,057208843061077"
2012-04-25,"0,0577547024800384"
2012-04-26,"0,0582003698483396"
2012-04-27,"0,0586575003521028"
2012-04-28,"0,0591983406226605"
2012-04-29,"0,0597516790751029"
2012-04-30,"0,0601915546442715"
2012-05-01,"0,0606279967449561"
2012-05-02,"0,0609975585274904"
2012-05-03,"0,0614817448401049"
2012-05-04,"0,061986082517506"
2012-05-05,"0,0624762308466614"
2012-05-06,"0,0629218231797256"
2012-05-07,"0,0633533139087042"
2012-05-08,"0,0635866815368315"
2012-05-09,"0,0638621451174399"
2012-05-10,"0,0643952656924148"
2012-05-11,"0,0649670664411909"
2012-05-12,"0,0654155712189265"
2012-05-13,"0,0659368104156946"
2012-05-14,"0,0664520582766755"
2012-05-15,"0,0669254851501622"
2012-05-16,"0,0674296777054178"
2012-05-17,"0,0679343288542278"
2012-05-18,"0,0682893600535733"
2012-05-19,"0,0687363113539339"
2012-05-20,"0,0690541160608706"
2012-05-21,"0,069287684152402"
2012-05-22,"0,0693982264161355"
2012-05-23,"0,0697675678954479"
2012-05-24,"0,0702154604066788"
2012-05-25,"0,0706532790722007"
2012-05-26,"0,0710602895456521"
2012-05-27,"0,0714379939744464"
2012-05-28,"0,071854706263665"
2012-05-29,"0,0722935858585859"
2012-05-30,"0,0726366063053031"
2012-05-31,"0,0728995916219461"
2012-06-01,"0,0733646962170215"
2012-06-02,"0,0736405452585381"
2012-06-03,"0,0739120666181866"
