Date,indicators/sopr_adjusted
2011-06-27,"1,06020605166058"
2011-06-28,"1,05221912296912"
2011-06-29,"1,05379829037296"
2011-06-30,"1,04312908066338"
2011-07-01,"0,985574301683617"
2011-07-02,"0,978563210711142"
2011-07-03,"1,00757385593357"
2011-07-04,"0,98086092893333"
2011-07-05,"1,02465526688011"
2011-07-06,"1,00751417255492"
2011-07-07,"0,999348120580135"
2011-07-08,"0,966128868158143"
2011-07-09,"0,991577654967276"
2011-07-10,"1,1023184675858"
2011-07-11,"1,02024535458835"
2011-07-12,"1,00066625903225"
2011-07-13,"1,00685852243453"
2011-07-14,"0,99887750100777"
2011-07-15,"1,01086644873144"
2011-07-16,"0,988870766430935"
2011-07-17,"1,00516082098584"
2011-07-18,"0,831540862081706"
2011-07-19,"1,03664961701548"
2011-07-20,"0,879708044952154"
2011-07-21,"0,990380382042669"
2011-07-22,"0,987749679847746"
2011-07-23,"1,00336404478616"
2011-07-24,"1,00880363531908"
2011-07-25,"1,01628017886886"
2011-07-26,"1,0055392765896"
2011-07-27,"1,01321545779542"
2011-07-28,"0,968534940802929"
2011-07-29,"1,00583164816478"
2011-07-30,"1,02530677104557"
2011-07-31,"0,982719674735906"
2011-08-01,"0,988953359735331"
2011-08-02,"0,978519208797134"
2011-08-03,"0,866913574906817"
2011-08-04,"0,945738760766984"
2011-08-05,"0,965884021916638"
2011-08-06,"0,800203702830056"
2011-08-07,"0,780126362122972"
2011-08-08,"0,851166059494876"
2011-08-09,"1,02984211069385"
2011-08-10,"0,980801325304607"
2011-08-11,"0,967803740154353"
2011-08-12,"0,971619970324636"
2011-08-13,"0,997440895834174"
2011-08-14,"1,00086092070721"
2011-08-15,"1,06285290857048"
2011-08-16,"1,04108525797216"
2011-08-17,"1,02379594453093"
2011-08-18,"1,01869094338674"
2011-08-19,"1,00923207976448"
2011-08-20,"1,02622072705908"
2011-08-21,"0,993797964545419"
2011-08-22,"1,00182376199535"
2011-08-23,"0,976029454456767"
2011-08-24,"0,987226889282791"
2011-08-25,"1,33155359072158"
2011-08-26,"1,04772205615861"
2011-08-27,"0,710885169525486"
2011-08-28,"1,00903548711393"
2011-08-29,"1,03785498879911"
2011-08-30,"0,958866557901656"
2011-08-31,"0,962444423044591"
2011-09-01,"0,932487742873132"
2011-09-02,"1,00608773916739"
2011-09-03,"0,987875174430092"
2011-09-04,"0,964342251067213"
2011-09-05,"0,929330725567494"
2011-09-06,"0,852333405325257"
2011-09-07,"0,924341812572998"
2011-09-08,"0,809131067043688"
2011-09-09,"0,878557648574637"
2011-09-10,"0,884620845629943"
2011-09-11,"0,726188409185175"
2011-09-12,"0,864790342303275"
2011-09-13,"0,872315646339907"
2011-09-14,"0,936155378358759"
2011-09-15,"0,90557013799873"
2011-09-16,"0,922056138056608"
2011-09-17,"0,957526896961753"
2011-09-18,"0,963471548584566"
2011-09-19,"0,925175833827182"
2011-09-20,"0,997081562119558"
2011-09-21,"0,998685040018759"
2011-09-22,"0,905727204343646"
2011-09-23,"0,967963738955002"
2011-09-24,"0,972977410409242"
2011-09-25,"0,731467448301721"
2011-09-26,"0,92774601937316"
2011-09-27,"0,953544992407882"
2011-09-28,"0,941504277329689"
2011-09-29,"0,966821086760162"
2011-09-30,"0,996788662669276"
2011-10-01,"0,90828096297712"
2011-10-02,"0,901191391302068"
2011-10-03,"0,9395780170731"
2011-10-04,"0,959110414742965"
2011-10-05,"0,953262618159845"
2011-10-06,"0,964175581376383"
2011-10-07,"0,887655227553694"
2011-10-08,"0,915971625230479"
2011-10-09,"0,886766372942686"
2011-10-10,"0,950931272651417"
2011-10-11,"0,846625168127297"
2011-10-12,"0,895667955149608"
2011-10-13,"0,959963076579534"
2011-10-14,"0,898693422158242"
2011-10-15,"0,944415682667227"
2011-10-16,"0,924318577613631"
2011-10-17,"0,726628845978949"
2011-10-18,"0,78537475149996"
2011-10-19,"0,63455920395191"
2011-10-20,"0,899645993672339"
2011-10-21,"0,932095609223703"
2011-10-22,"0,932076077355877"
2011-10-23,"0,978656928184658"
2011-10-24,"0,93872085262606"
2011-10-25,"0,948154025248778"
2011-10-26,"0,81582827031129"
2011-10-27,"0,978249448793605"
2011-10-28,"1,0198116947173"
2011-10-29,"1,00203588974204"
2011-10-30,"0,99236448874413"
2011-10-31,"0,961682106041579"
2011-11-01,"0,972926124091647"
2011-11-02,"0,988380417758115"
2011-11-03,"0,907377445422102"
2011-11-04,"0,961162658775556"
2011-11-05,"0,960896393826546"
2011-11-06,"0,971154710603771"
2011-11-07,"0,963809336343195"
2011-11-08,"0,959167280339472"
2011-11-09,"0,600275875170387"
2011-11-10,"0,97402509459228"
2011-11-11,"0,934096640909306"
2011-11-12,"0,997486426902937"
2011-11-13,"0,976527020585147"
2011-11-14,"0,876310773985552"
2011-11-15,"0,939966238829275"
2011-11-16,"0,630849009599277"
2011-11-17,"0,99465291670533"
2011-11-18,"0,969243357301126"
2011-11-19,"0,990959278712619"
2011-11-20,"0,997029458693833"
2011-11-21,"0,987577155790517"
2011-11-22,"0,998814853915007"
2011-11-23,"0,975987575195007"
2011-11-24,"1,01438614402341"
2011-11-25,"1,02724928870604"
2011-11-26,"0,952752168808993"
2011-11-27,"0,995050901505038"
2011-11-28,"0,957474592457885"
2011-11-29,"1,01537917482544"
2011-11-30,"1,00933022213631"
2011-12-01,"1,00173961816746"
2011-12-02,"1,00357052842776"
2011-12-03,"0,983861103914214"
2011-12-04,"0,999583394454789"
2011-12-05,"0,99854436131222"
2011-12-06,"1,0020262775618"
2011-12-07,"0,985488939398358"
2011-12-08,"0,998953821055185"
2011-12-09,"1,00429788914462"
2011-12-10,"0,99844855083998"
2011-12-11,"1,04527155453487"
2011-12-12,"1,01034431589583"
2011-12-13,"0,999420000011869"
2011-12-14,"0,935650528355949"
2011-12-15,"1,00532300592339"
2011-12-16,"1,0078023891124"
2011-12-17,"0,997187585419737"
2011-12-18,"0,991009790236869"
2011-12-19,"1,05146739189989"
2011-12-20,"1,11139794862492"
2011-12-21,"1,03895900942363"
2011-12-22,"1,03158323429141"
2011-12-23,"1,05663992819808"
2011-12-24,"0,996163471320225"
2011-12-25,"0,98536584192362"
2011-12-26,"1,02237545901488"
2011-12-27,"1,01501022905289"
2011-12-28,"1,04252974483158"
2011-12-29,"1,00670865334549"
2011-12-30,"1,03211674451145"
2011-12-31,"1,06869018673698"
2012-01-01,"1,09114778469307"
2012-01-02,"0,950995975001926"
2012-01-03,"1,0418476150922"
2012-01-04,"1,08851539720021"
2012-01-05,"1,17504676878672"
2012-01-06,"1,15628862519372"
2012-01-07,"1,0908730225595"
2012-01-08,"1,121934910547"
2012-01-09,"1,1107712045775"
2012-01-10,"0,987976138924224"
2012-01-11,"1,09102593934332"
2012-01-12,"1,18651705931714"
2012-01-13,"1,0616659649463"
2012-01-14,"1,05604060967747"
2012-01-15,"1,03961137626871"
2012-01-16,"1,04676409752238"
2012-01-17,"1,03284306351534"
2012-01-18,"0,956150112375442"
2012-01-19,"1,06214474981181"
2012-01-20,"1,00744608637503"
2012-01-21,"1,0115035884326"
2012-01-22,"1,00419170786663"
2012-01-23,"1,01150479085565"
2012-01-24,"1,01488421264797"
2012-01-25,"0,994434800767571"
2012-01-26,"0,93318113346386"
2012-01-27,"0,93451598282376"
2012-01-28,"0,970462162860671"
2012-01-29,"0,967658813909121"
2012-01-30,"0,971039467611637"
2012-01-31,"0,960726948443223"
2012-02-01,"1,00829930065964"
2012-02-02,"1,02673695959173"
2012-02-03,"1,00944184995048"
2012-02-04,"1,00154412919304"
2012-02-05,"0,98626505467682"
2012-02-06,"0,947675317108608"
2012-02-07,"0,984907986165133"
2012-02-08,"0,992610044763238"
2012-02-09,"0,99718994424648"
2012-02-10,"0,984201388165145"
2012-02-11,"1,08439552233293"
2012-02-12,"0,996184338798481"
2012-02-13,"0,799801279516404"
