Date,mining/hash_rate_mean
2009-07-15,"2244261,17720828"
2009-07-16,"3506539,23480981"
2009-07-17,"3329651,68264441"
2009-07-18,"168153,131939551"
2009-07-19,"3091556,74893057"
2009-07-20,"3472524,63900022"
2009-07-21,"4029003,90413325"
2009-07-22,"3335033,48984082"
2009-07-23,"3377734,58159316"
2009-07-24,"3691050,72292334"
2009-07-25,"2449019,12815396"
2009-07-26,"760716,174385358"
2009-07-27,"3671845,2356108"
2009-07-28,"2087357,56781489"
2009-07-29,"1032026,23715095"
2009-07-30,"673494,981444118"
2009-07-31,"858115,153102119"
2009-08-01,"1423841,58709937"
2009-08-02,"1114304,94645294"
2009-08-03,"610984,619192698"
2009-08-04,"3865943,07055307"
2009-08-05,"4296992,31536701"
2009-08-06,"4422937,62460524"
2009-08-07,"3977005,69100421"
2009-08-08,"4000947,65518928"
2009-08-09,"4919109,79073539"
2009-08-10,"3737787,73729404"
2009-08-11,"3448190,28237183"
2009-08-12,"3159649,9135654"
2009-08-13,"4147935,19321009"
2009-08-14,"3160609,49700389"
2009-08-15,"1299264,08637781"
2009-08-16,"1190470,59905468"
2009-08-17,"750698,567086838"
2009-08-18,"454503,512878579"
2009-08-19,"887685,424762605"
2009-08-20,"1148847,74535241"
2009-08-21,"686112,669663844"
2009-08-22,"337741,904040801"
2009-08-23,"748130,494925332"
2009-08-24,"736987,615997072"
2009-08-25,"2880054,24601684"
2009-08-26,"2112798,53865705"
2009-08-27,"1456925,8937666"
2009-08-28,"3643714,1247667"
2009-08-29,"3866035,60237265"
2009-08-30,"4743766,75485921"
2009-08-31,"4235570,80310988"
2009-09-01,"4074574,60061543"
2009-09-02,"3136573,62695436"
2009-09-03,"2991914,82014914"
2009-09-04,"3190911,80980683"
2009-09-05,"3748134,23773654"
2009-09-06,"3444158,77883912"
2009-09-07,"3774731,82070986"
2009-09-08,"3450013,89333985"
2009-09-09,"2667037,33839307"
2009-09-10,"3290410,02609342"
2009-09-11,"3301092,19510852"
2009-09-12,"3434102,49978562"
2009-09-13,"3742956,12646843"
2009-09-14,"3703075,68513772"
2009-09-15,"2305291,31726359"
2009-09-16,"3365302,48462292"
2009-09-17,"4137828,3388462"
2009-09-18,"3822758,59060877"
2009-09-19,"3624610,31298041"
2009-09-20,"3884189,37133184"
2009-09-21,"3438086,51605044"
2009-09-22,"1322391,00459377"
2009-09-23,"1687554,68229593"
2009-09-24,"4722633,39657205"
2009-09-25,"4509698,31580648"
2009-09-26,"4897340,1322691"
2009-09-27,"4197838,00963904"
2009-09-28,"4168395,201699"
2009-09-29,"4277516,97108387"
2009-09-30,"3518429,2613724"
2009-10-01,"3579757,86743645"
2009-10-02,"3597334,26371811"
2009-10-03,"2878331,79081644"
2009-10-04,"2655265,62409453"
2009-10-05,"2672147,70344562"
2009-10-06,"2205414,23828232"
2009-10-07,"2922011,49492017"
2009-10-08,"3390521,47463151"
2009-10-09,"3596324,3811038"
2009-10-10,"2974220,33574056"
2009-10-11,"3667523,42377106"
2009-10-12,"2880595,10127431"
2009-10-13,"2824821,27585531"
2009-10-14,"3411293,86725603"
2009-10-15,"3543084,78297141"
2009-10-16,"3035956,24231286"
2009-10-17,"2775375,9352447"
2009-10-18,"3691848,89944128"
2009-10-19,"5547005,73284133"
2009-10-20,"4700983,84837836"
2009-10-21,"4004724,86165179"
2009-10-22,"4371665,74275342"
2009-10-23,"4430880,83162165"
2009-10-24,"3158888,37637904"
2009-10-25,"3709205,63732642"
2009-10-26,"3510778,13486225"
2009-10-27,"3198151,31000942"
2009-10-28,"3426007,27019579"
2009-10-29,"2166748,87166327"
2009-10-30,"3049211,81072734"
2009-10-31,"2248443,65607894"
2009-11-01,"1239643,28480552"
2009-11-02,"1660347,69654655"
2009-11-03,"3085608,02261877"
2009-11-04,"3116022,61329403"
2009-11-05,"2932104,53292452"
2009-11-06,"3000732,15708635"
2009-11-07,"3478645,21814255"
2009-11-08,"3519437,53909705"
2009-11-09,"3188653,87093556"
2009-11-10,"3900061,10838436"
2009-11-11,"3160715,06369083"
2009-11-12,"3305323,41665792"
2009-11-13,"3989380,73193387"
2009-11-14,"3976774,96025597"
2009-11-15,"4670875,46067925"
2009-11-16,"4844717,91555127"
2009-11-17,"4545043,4934321"
2009-11-18,"3927520,41745089"
2009-11-19,"3501685,46576906"
2009-11-20,"4284505,13230484"
2009-11-21,"3597001,23453221"
2009-11-22,"5287587,059105"
2009-11-23,"4762374,51103052"
2009-11-24,"4656958,16217603"
2009-11-25,"4482276,65719686"
2009-11-26,"4157282,07305662"
2009-11-27,"3646191,56221965"
2009-11-28,"3528612,33529276"
2009-11-29,"2989605,76533098"
2009-11-30,"3726157,00817823"
2009-12-01,"3607015,54948633"
2009-12-02,"4651124,69556001"
2009-12-03,"4518369,87947256"
2009-12-04,"1729014,18665712"
2009-12-05,"3214269,59171169"
2009-12-06,"5163485,63160782"
2009-12-07,"5506557,42701787"
2009-12-08,"5242940,95308958"
2009-12-09,"4767881,54693679"
2009-12-10,"5129673,72307268"
2009-12-11,"5694220,23665333"
2009-12-12,"5376529,52658412"
2009-12-13,"5649772,93359334"
2009-12-14,"5087996,37862071"
2009-12-15,"5511121,50992698"
2009-12-16,"6678430,33346672"
2009-12-17,"8335624,07294609"
2009-12-18,"11179505,5772145"
2009-12-19,"9904421,38582127"
2009-12-20,"8794880,43435017"
2009-12-21,"8575429,8649142"
2009-12-22,"8103617,49749013"
2009-12-23,"7580801,87488825"
2009-12-24,"7675814,82632007"
2009-12-25,"7491894,39239514"
2009-12-26,"8550719,22452202"
2009-12-27,"8405516,55219613"
2009-12-28,"5879284,18249036"
2009-12-29,"8360723,6420928"
2009-12-30,"7930568,77364936"
2009-12-31,"8201663,98831553"
2010-01-01,"5948447,36110698"
2010-01-02,"5272978,53069775"
2010-01-03,"10918642,534864"
2010-01-04,"10626972,4655993"
2010-01-05,"11601489,2886101"
2010-01-06,"9594317,43095381"
2010-01-07,"9061630,2773436"
2010-01-08,"8987590,95587913"
2010-01-09,"8914633,92399623"
2010-01-10,"11163642,2112479"
2010-01-11,"9348500,2000573"
2010-01-12,"10332583,633628"
2010-01-13,"10608924,1030724"
2010-01-14,"9509692,85825823"
2010-01-15,"8925274,80062274"
2010-01-16,"8116043,23928466"
2010-01-17,"8509556,16417861"
2010-01-18,"8131868,20956356"
2010-01-19,"8082009,06556788"
2010-01-20,"10157956,8682745"
2010-01-21,"11405795,9270926"
2010-01-22,"8573696,56702827"
2010-01-23,"10421128,1552119"
2010-01-24,"9993408,81094251"
2010-01-25,"13831564,2885242"
2010-01-26,"13069426,2447149"
2010-01-27,"10855868,2766394"
2010-01-28,"11815012,0239479"
2010-01-29,"13161759,0983156"
2010-01-30,"14077381,4858044"
2010-01-31,"11015904,7308865"
2010-02-01,"12354550,4562281"
2010-02-02,"9728229,48356918"
2010-02-03,"17533334,2827323"
2010-02-04,"15207146,2882458"
2010-02-05,"20281318,3303582"
2010-02-06,"17310973,8583843"
2010-02-07,"19804811,6946759"
2010-02-08,"17797657,6414118"
2010-02-09,"18524832,715018"
2010-02-10,"15221952,087873"
2010-02-11,"15153131,8553294"
2010-02-12,"16698436,781574"
2010-02-13,"20951526,1197296"
2010-02-14,"18767737,5548916"
2010-02-15,"22069477,8424213"
2010-02-16,"24429405,2375877"
2010-02-17,"30141677,4198906"
2010-02-18,"26191925,130483"
2010-02-19,"24024736,0001885"
2010-02-20,"26140381,7406723"
2010-02-21,"27882840,92169"
2010-02-22,"32838938,1929377"
2010-02-23,"31125081,6119804"
2010-02-24,"27306691,9278735"
2010-02-25,"28976217,9685209"
2010-02-26,"32403970,8032457"
2010-02-27,"32635289,8223106"
2010-02-28,"29308388,7453478"
2010-03-01,"36220654,4523197"
2010-03-02,"35323635,079497"
2010-03-03,"28543023,098475"
2010-03-04,"34952042,010549"
2010-03-05,"32404661,0806846"
2010-03-06,"32309226,8829285"
2010-03-07,"33728214,8300921"
2010-03-08,"27874068,6943393"
2010-03-09,"32787322,5562578"
2010-03-10,"36606025,7883178"
2010-03-11,"29779929,2975062"
2010-03-12,"27319016,181667"
2010-03-13,"34435214,9791779"
2010-03-14,"28193993,9442868"
2010-03-15,"30554690,0682403"
2010-03-16,"28132292,0474411"
2010-03-17,"30694987,7501841"
2010-03-18,"30414703,3399329"
2010-03-19,"34267576,6325766"
2010-03-20,"41528472,7027226"
2010-03-21,"40926951,1181012"
2010-03-22,"40319521,0259397"
2010-03-23,"47156300,8512664"
