Date,indicators/unrealized_profit
2010-12-28,"0,612135453664286"
2010-12-29,"0,629047090256895"
2010-12-30,"0,627367672017599"
2010-12-31,"0,626007256652673"
2011-01-01,"0,624665916128923"
2011-01-02,"0,622456002684804"
2011-01-03,"0,615284439350442"
2011-01-04,"0,618613274094294"
2011-01-05,"0,617196981115477"
2011-01-06,"0,615032216898036"
2011-01-07,"0,637365276528179"
2011-01-08,"0,63837651767062"
2011-01-09,"0,636943567540508"
2011-01-10,"0,636404552155935"
2011-01-11,"0,629700164750014"
2011-01-12,"0,62071600039398"
2011-01-13,"0,615006062652395"
2011-01-14,"0,685963109235765"
2011-01-15,"0,673370909372043"
2011-01-16,"0,670721909390102"
2011-01-17,"0,636607433165514"
2011-01-18,"0,60107198323499"
2011-01-19,"0,597302960142226"
2011-01-20,"0,665550265723778"
2011-01-21,"0,686866854347285"
2011-01-22,"0,701176281438262"
2011-01-23,"0,695454555239372"
2011-01-24,"0,676987953514839"
2011-01-25,"0,667784426214109"
2011-01-26,"0,666490170443266"
2011-01-27,"0,638908680002511"
2011-01-28,"0,656131622250126"
2011-01-29,"0,646844807337789"
2011-01-30,"0,674948195422297"
2011-01-31,"0,711108005915418"
2011-02-01,"0,7686425115044"
2011-02-02,"0,764634689242031"
2011-02-03,"0,754128913908278"
2011-02-04,"0,784144560075771"
2011-02-05,"0,802640985857528"
2011-02-06,"0,794798795299833"
2011-02-07,"0,783636788502649"
2011-02-08,"0,787870885239693"
2011-02-09,"0,813977434566056"
2011-02-10,"0,790720438077647"
2011-02-11,"0,804307315701064"
2011-02-12,"0,8033753968549"
2011-02-13,"0,795155277751695"
2011-02-14,"0,792885194721814"
2011-02-15,"0,785899056115392"
2011-02-16,"0,779892806842187"
2011-02-17,"0,779847539004321"
2011-02-18,"0,737446056333242"
2011-02-19,"0,758481733777806"
2011-02-20,"0,735525638993691"
2011-02-21,"0,730442520498697"
2011-02-22,"0,735619433883183"
2011-02-23,"0,73978027054107"
2011-02-24,"0,757354778361885"
2011-02-25,"0,737740117735414"
2011-02-26,"0,743125807413603"
2011-02-27,"0,723409200246203"
2011-02-28,"0,715731678013456"
2011-03-01,"0,690812713940945"
2011-03-02,"0,693344253309411"
2011-03-03,"0,691856191334296"
2011-03-04,"0,682118475606717"
2011-03-05,"0,681041543265627"
2011-03-06,"0,676019026216227"
