Date,indicators/nupl_less_155
2010-12-15,"0,28265088464462673"
2010-12-16,"0,30923662148142717"
2010-12-17,"0,2789994514414348"
2010-12-18,"0,27941519690428984"
2010-12-19,"0,2753035761291015"
2010-12-20,"0,3437849929738208"
2010-12-21,"0,26239523803094955"
2010-12-22,"0,2894648099099931"
2010-12-23,"0,2827865134881137"
2010-12-24,"0,2784415625536927"
2010-12-25,"0,27986455259868526"
2010-12-26,"0,31304284804154625"
2010-12-27,"0,3099865670273956"
2010-12-28,"0,34436767123458567"
2010-12-29,"0,3744801472400473"
2010-12-30,"0,37011852320590133"
2010-12-31,"0,3671796910534382"
2011-01-01,"0,36337391450318113"
2011-01-02,"0,35874446332444454"
2011-01-03,"0,3437847544838075"
2011-01-04,"0,3494887344330947"
2011-01-05,"0,3462486707245177"
2011-01-06,"0,3413498268815396"
2011-01-07,"0,3822020887223795"
2011-01-08,"0,3838881254841148"
2011-01-09,"0,38087362340307507"
2011-01-10,"0,3785429767144046"
2011-01-11,"0,3666045321401007"
2011-01-12,"0,34735719544934796"
2011-01-13,"0,32693982401606914"
2011-01-14,"0,4589847839086567"
2011-01-15,"0,43351345387804563"
2011-01-16,"0,4278911483887713"
2011-01-17,"0,36035832337187224"
2011-01-18,"0,28418261146277946"
2011-01-19,"0,2780055858360294"
2011-01-20,"0,41700238716692284"
2011-01-21,"0,4542047953510515"
2011-01-22,"0,4777702397751037"
2011-01-23,"0,4655394334677171"
2011-01-24,"0,4312760950560135"
2011-01-25,"0,4130188018331743"
2011-01-26,"0,41093738969777416"
2011-01-27,"0,3488260947026708"
2011-01-28,"0,36549419366950053"
2011-01-29,"0,3649072257892997"
2011-01-30,"0,4147639816102876"
2011-01-31,"0,4775448004490943"
2011-02-01,"0,5778867652152821"
2011-02-02,"0,5639610065815728"
2011-02-03,"0,5456037423497349"
2011-02-04,"0,6032035696571636"
2011-02-05,"0,6361029648245482"
2011-02-06,"0,6197463517237147"
2011-02-07,"0,5960914304486743"
2011-02-08,"0,6038066959118358"
2011-02-09,"0,65249730071434"
2011-02-10,"0,6048398260316408"
2011-02-11,"0,6318917068357914"
2011-02-12,"0,6292310378704151"
2011-02-13,"0,6128840975124805"
2011-02-14,"0,6107535224317036"
2011-02-15,"0,5970179524062563"
2011-02-16,"0,5841356987397129"
2011-02-17,"0,58432837306778"
2011-02-18,"0,5128767302440058"
2011-02-19,"0,5356607829900493"
2011-02-20,"0,4749652648535503"
