Date,supply/loss_sum
2010-07-18,"605,2"
2010-07-19,"35202,17"
2010-07-20,"56781,55"
2010-07-21,"43268,85"
2010-07-22,"107226,92"
2010-07-23,"96472,88"
2010-07-24,"126052,26"
2010-07-25,"187494,06"
2010-07-26,"124095,11"
2010-07-27,"83761,82"
2010-07-28,"132026,55"
2010-07-29,"45714,67"
2010-07-30,"80761,45"
2010-07-31,"61143,74"
2010-08-01,"118100,8"
2010-08-02,"202773,1"
2010-08-03,"217706,1"
2010-08-04,"282284,5"
2010-08-05,"177962,45"
2010-08-06,"110885,43"
2010-08-07,"311782,19"
2010-08-08,"207685,56"
2010-08-09,"50310,89"
2010-08-10,"62135,29"
2010-08-11,"126178,97"
2010-08-12,"74775,78"
2010-08-13,"172884,9"
2010-08-14,"141989,11"
2010-08-15,"187187,83"
2010-08-16,"188723,47"
2010-08-17,"64558,88"
2010-08-18,"129341,14"
2010-08-19,"196835,32"
2010-08-20,"246377,8"
2010-08-21,"187636,86"
2010-08-22,"200154,28"
2010-08-23,"284979,74"
2010-08-24,"277756,61"
2010-08-25,"312917,05"
2010-08-26,"359203,11"
2010-08-27,"275343,77"
2010-08-28,"340251,1000003"
2010-08-29,"385008,16"
2010-08-30,"290072,7"
2010-08-31,"565006,06"
2010-09-01,"430353,9900011"
2010-09-02,"406013,410001"
2010-09-03,"545776,7900014"
2010-09-04,"412031,2800011"
2010-09-05,"496540,2300012"
2010-09-06,"440228,1900012"
2010-09-07,"523583,7299996"
2010-09-08,"523454,1600012"
2010-09-09,"576325,2899994"
2010-09-10,"419641,5200012"
2010-09-11,"345675,7500009"
2010-09-12,"523221,1400012"
2010-09-13,"396808,210001"
2010-09-14,"428355,290001"
2010-09-15,"704050,2299998"
2010-09-16,"479593,80039758"
2010-09-17,"826801,17"
2010-09-18,"604023,3500014"
2010-09-19,"361339,110001"
2010-09-20,"416683,150001"
2010-09-21,"388930,4400011"
2010-09-22,"449631,2600011"
2010-09-23,"451016,0900011"
2010-09-24,"483418,8700011"
2010-09-25,"497080,1100011"
2010-09-26,"480477,2000011"
2010-09-27,"490572,0800011"
2010-09-28,"632626,320001"
2010-09-29,"663511,7000012"
2010-09-30,"620924,770001"
2010-10-01,"563552,320001"
2010-10-02,"810838,39999952"
2010-10-03,"992086,6200015"
2010-10-04,"839359,87223327"
2010-10-05,"795786,28223337"
2010-10-06,"317734,670001"
2010-10-07,"108815,74"
2010-10-08,"19347,68"
2010-10-09,"26094,2"
2010-10-10,"76283,62"
2010-10-11,"48574,52"
2010-10-12,"94149,13"
2010-10-13,"9369,83"
2010-10-14,"38370,61"
2010-10-15,"63221,83"
2010-10-16,"123357,82"
2010-10-17,"128897,95"
2010-10-18,"113766,93"
2010-10-19,"291071,44000109"
2010-10-20,"274897,44000109"
2010-10-21,"32542,08"
2010-10-22,"51689,34"
2010-10-23,"129940,88"
2010-10-24,"27337,29"
2010-10-25,"25223,01"
2010-10-26,"45328,74"
2010-10-27,"6770,93"
2010-10-28,"158609,82"
2010-10-29,"13474,96"
2010-10-30,"0,0"
2010-10-31,"52981,19"
2010-11-01,"25461,1"
2010-11-02,"58589,51"
2010-11-03,"79608,63"
2010-11-04,"29192,67"
2010-11-05,"310,05"
2010-11-06,"8413,7"
2010-11-07,"50655,37"
2010-11-08,"352504,08"
2010-11-09,"426240,78108788"
2010-11-10,"366800,3"
2010-11-11,"414390,51108788"
2010-11-12,"317161,3"
2010-11-13,"337319,62"
2010-11-14,"332255,51"
2010-11-15,"390587,51"
2010-11-16,"540776,38108788"
2010-11-17,"463017,48"
2010-11-18,"429468,21"
2010-11-19,"361278,09"
2010-11-20,"309575,06"
2010-11-21,"369704,29"
2010-11-22,"304255,24"
2010-11-23,"351575,47"
2010-11-24,"335305,7"
2010-11-25,"422272,3"
2010-11-26,"247094,03"
2010-11-27,"336716,07"
2010-11-28,"543740,86"
2010-11-29,"728584,20108788"
2010-11-30,"753707,17108788"
2010-12-01,"681771,63108788"
2010-12-02,"579493,31108788"
2010-12-03,"590591,77108788"
2010-12-04,"850367,2070413"
2010-12-05,"919294,79108788"
2010-12-06,"832529,02495491"
2010-12-07,"660917,11837885"
2010-12-08,"661814,11309319"
2010-12-09,"956750,68964569"
2010-12-10,"872756,07151816"
2010-12-11,"697483,98132945"
2010-12-12,"771656,82609555"
2010-12-13,"662863,70338604"
2010-12-14,"544631,35683358"
2010-12-15,"630180,84147441"
2010-12-16,"538960,99566723"
2010-12-17,"653002,59104331"
2010-12-18,"656006,63359855"
2010-12-19,"688765,41472163"
2010-12-20,"471279,98755392"
2010-12-21,"763852,59031104"
2010-12-22,"578795,04714873"
2010-12-23,"634259,37057869"
2010-12-24,"664591,97756599"
2010-12-25,"622136,89211792"
2010-12-26,"467326,28651044"
2010-12-27,"460269,24045201"
2010-12-28,"302627,77"
2010-12-29,"181893,69"
2010-12-30,"181137,69"
2010-12-31,"180837,69"
2011-01-01,"180569,69"
2011-01-02,"216559,6"
2011-01-03,"282818,09508889"
2011-01-04,"254370,48946495"
2011-01-05,"268780,50967271"
2011-01-06,"275608,86275872"
2011-01-07,"175797,19199995"
2011-01-08,"172590,43"
2011-01-09,"172590,43"
2011-01-10,"215552,71971559"
2011-01-11,"203481,83971559"
2011-01-12,"318861,78298404"
2011-01-13,"393753,36279173"
2011-01-14,"37112,42840926"
2011-01-15,"106415,21957118"
2011-01-16,"128778,7974355"
2011-01-17,"206205,01612384"
2011-01-18,"523357,83303367"
2011-01-19,"510842,23543221"
2011-01-20,"85010,8674355"
2011-01-21,"6495,26"
2011-01-22,"5202,64"
2011-01-23,"61027,22091382"
2011-01-24,"89827,20878779"
2011-01-25,"124550,03776859"
2011-01-26,"120900,49776859"
2011-01-27,"73513,78736122"
2011-01-28,"50,0"
2011-01-29,"64174,7128699"
2011-01-30,"6411,35"
2011-01-31,"12882,85"
2011-02-01,"48298,89097152"
2011-02-02,"109906,03097152"
2011-02-03,"147887,51002799"
2011-02-04,"11097,52404358"
2011-02-05,"5006,29826263"
2011-02-06,"52494,69826263"
