,compound,Daily Return in USD,Log Price in USD,Volatility Daily Log Return in Percent 5D,market/price_usd_close,market/price_drawdown_relative,market/price_realized_usd,market/mvrv,mining/difficulty_latest,mining/hash_rate_mean,blockchain/block_count,blockchain/block_interval_mean,blockchain/block_size_sum,fees/volume_sum,fees/volume_mean,fees/fee_ratio_multiple,blockchain/utxo_created_count,blockchain/utxo_spent_count,blockchain/utxo_created_value_sum,blockchain/utxo_spent_value_sum,blockchain/utxo_profit_relative,blockchain/utxo_profit_count,blockchain/utxo_loss_count,supply/current,supply/profit_relative,supply/profit_sum,supply/loss_sum,supply/active_more_1y_percent,supply/active_more_2y_percent,supply/active_more_3y_percent,supply/active_more_5y_percent,supply/active_24h,supply/active_1d_1w,supply/active_1w_1m,supply/active_1m_3m,supply/active_3m_6m,supply/active_6m_12m,supply/active_1y_2y,supply/active_2y_3y,supply/active_3y_5y,supply/active_5y_7y,supply/active_7y_10y,supply/active_more_10y,supply/issued,supply/inflation_rate,transactions/count,transactions/size_sum,transactions/transfers_volume_sum,transactions/transfers_volume_adjusted_sum,indicators/sopr_adjusted,indicators/nvt,indicators/velocity,indicators/cdd,indicators/reserve_risk,indicators/average_dormancy,indicators/liveliness,indicators/asol,indicators/sol_1h,indicators/sol_1h_24h,indicators/sol_1d_1w,indicators/sol_1w_1m,indicators/sol_1m_3m,indicators/sol_3m_6m,indicators/sol_6m_12m,indicators/sol_1y_2y,indicators/sol_2y_3y,indicators/sol_3y_5y,indicators/sol_5y_7y,indicators/sol_7y_10y,indicators/net_unrealized_profit_loss,indicators/unrealized_profit,indicators/unrealized_loss,indicators/net_realized_profit_loss,indicators/realized_profit,indicators/realized_loss,indicators/nupl_more_155,indicators/nupl_less_155,indicators/puell_multiple,indicators/stock_to_flow_deflection,indicators/difficulty_ribbon_compression,addresses/active_count,addresses/sending_count,addresses/receiving_count,addresses/new_non_zero_count,addresses/non_zero_count,addresses/min_point_zero_1_count,addresses/min_point_1_count,addresses/min_1_count,addresses/min_10_count,addresses/min_100_count,addresses/min_1k_count,addresses/min_10k_count
2012-11-27,0.0,-0.03428499999999701,2.500394425932906,1.2601597515687015,12.187300000000002,-0.6178883867275369,7.0524685255627935,1.7180010001510038,1.47700015178049e+16,24527728558999.1,148.0,602.175675675676,13191355.0,82.01676744,0.00298416414786785,91.22545305035985,68144.0,62603.0,1431090.11406301,1423690.11406301,0.783931304655153,2313473.0,637644.0,10494350.0,0.8328150942708691,8739844.70936635,1754495.23414548,0.462277694908048,0.20743054967649602,0.0975177347810965,0.0,266594.556554069,540981.425315357,953144.0341091291,1424837.62736917,1227570.62203696,1229907.7505689,2674455.13856083,1153463.54899757,1023385.24,0.0,0.0,0.0,7400.0,0.2934148451144287,27484.0,13144516.0,1423608.09729557,1339049.69322717,1.0061127430706,7.83716246908518,0.12759720165871827,3474828.4434907995,0.003724735600553743,2.5949958848176182,0.384506827515734,16.1765446779572,27047.0,18275.0,8929.0,3741.0,2867.0,1197.0,310.0,234.0,3.0,0.0,0.0,0.0,0.42133567302176,0.455235857780771,0.0339001847590109,31706.536744605,95068.11026450619,63361.5735199012,0.5127974962786538,0.07675500763858789,1.61856635923417,1.1653188473298275,0.1096691817965684,38330.0,23774.0,30157.0,19227.0,1013614.0,356612.0,217823.0,156926.0,88922.0,10145.0,1182.0,87.0
2012-11-28,0.0,0.10871583333333312,2.5092752939170966,1.3569996123344945,12.296015833333335,-0.6144797906920523,7.064882542749613,1.7330087764029316,1.47700015178049e+16,28263542577794.0,172.0,522.581395348837,17124215.0,43.59397007,0.0011755465988027198,164.44003513695122,90213.0,80439.0,1891268.83720604,1884143.83720604,0.797767631432565,2362103.0,598788.0,10501475.0,0.8466617489971271,8891188.67610574,1610276.26740609,0.46241795516392,0.207475716411031,0.0976372595278282,0.0,227133.10062278897,572428.3266978271,970253.6534311691,1417856.0302653,1228619.84374606,1229103.39304368,2677269.54670759,1153465.80899757,1025335.24,0.0,0.0,0.0,7125.0,0.2808959719623991,37084.0,17078507.0,1884100.24323597,1768412.30150526,1.01936714898458,5.938363463690691,0.16839656348324972,2762360.84445333,0.003753401558417162,1.5620570169648946,0.38439710494033397,16.824993242029098,41113.0,21292.0,7450.0,5848.0,2628.0,1312.0,601.0,194.0,1.0,0.0,0.0,0.0,0.424288273556539,0.45682935482476295,0.0325410812682237,97657.49897312571,123477.349326251,25819.850353125697,0.5209388695884178,0.09028779872752224,1.57005404357971,1.1828198162405466,0.10897503555170608,43608.0,27749.0,33830.0,21790.0,1014890.0,358022.0,218412.0,157157.0,88922.0,10171.0,1181.0,87.0
2012-11-29,0.0,0.15398416666666392,2.5217206229107165,1.481241636125132,12.45,-0.6096518847290077,7.074303317837597,1.7445104059228955,1.47700015178049e+16,27053971244282.7,166.0,545.94578313253,17407864.0,29.66282715,0.0007961678919397701,140.90574731849188,87851.0,82047.0,1210830.35709083,1206680.35759083,0.849451662540302,2520064.0,446631.0,10505625.0,0.904463785800631,9501948.26352016,1003666.67949167,0.46247876074023103,0.207494121387117,0.0977509895889107,0.0,208970.202337659,575919.793449557,960661.0264190191,1435067.50156844,1235669.86453252,1230698.12390307,2678773.00180415,1152920.18899757,1026935.24,0.0,0.0,0.0,4150.0,0.15506450638272296,37257.0,17350398.0,1206650.69476368,1124227.15584697,1.01966695814198,9.344752922362273,0.10701192512077767,2087195.73598315,0.003772638848162193,1.8565605048124811,0.3841582052263471,12.918896803469801,46757.0,18175.0,10415.0,3746.0,1585.0,680.0,552.0,133.0,4.0,0.0,0.0,0.0,0.43581123085028606,0.46515664286688796,0.0293454120166023,82232.22810168451,99336.347721245,17104.1196195605,0.5265543673757386,0.09920933546733746,0.9198967289954529,1.1895388575049723,0.10828872091081633,41690.0,27028.0,31128.0,20997.0,1015333.0,356823.0,218398.0,157308.0,88955.0,10225.0,1177.0,87.0
2012-11-30,0.0,0.10498000000000117,2.5301173996174398,1.4456863364664616,12.55498,-0.606360419255823,7.089945337009702,1.761388465663071,1.47700015178049e+16,21284631140125.3,125.0,693.928,13329930.0,22.53063094,0.0007603223075625151,139.7000660710303,72601.0,61818.0,789652.19251186,786527.19301186,0.8324837328772869,2478702.0,498776.0,10508750.0,0.8785658465720401,9232620.00399832,1276119.93851351,0.462884609609879,0.20752173560105,0.09793129154276199,0.0,209546.878328889,593718.054379057,908034.8887225691,1476640.58867292,1231762.50276444,1224698.38840617,2683544.60224037,1151658.57899757,1029135.46,0.0,0.0,0.0,3125.0,0.11463206816797822,29633.0,13295604.0,786504.66238092,730617.791341569,1.03393251364284,14.383375445461994,0.06952470953648808,4669750.53994405,0.0038067018718061217,6.391509480448593,0.38412307638812104,12.4283565234932,30687.0,16733.0,7838.0,4057.0,1537.0,486.0,262.0,216.0,2.0,0.0,0.0,0.0,0.430190218394863,0.460610236113561,0.0304200177186982,144653.87828052,155318.192481067,10664.3142005473,0.5292445354734587,0.10236322171098887,0.701672534844088,1.1869425032612702,0.10761021545947792,36891.0,22580.0,28760.0,18936.0,1018186.0,357483.0,218108.0,157023.0,88773.0,10248.0,1178.0,86.0
2012-12-01,0.0,0.023950297707243,2.532023215678114,0.6117031614498686,12.578930297707243,-0.6056094992903449,7.0979751918392076,1.7637338970860224,1.47700015178049e+16,26212993405528.4,167.0,563.461077844311,15324195.0,26.44757959,0.000793625794148537,158.85943608913817,79316.0,71448.0,628526.65333422,624351.65383422,0.8455773635618791,2524341.0,461005.0,10512925.0,0.895321155296277,9412435.15141352,1100479.79059831,0.462767522416354,0.207562518423516,0.0981159344330907,0.0,187427.193389539,581449.441735737,924616.7622038091,1495211.05122697,1230253.31917722,1228916.91867963,2682951.06660151,1150603.72899757,1031485.46,0.0,0.0,0.0,4175.0,0.15595142310738552,33325.0,15269709.0,624325.20625463,558540.12119095,1.01695380325239,18.82214831332754,0.05312889811265181,2337994.04639283,0.0038051391631123564,4.18590170641212,0.38409092753856605,12.607045525801698,39479.0,16525.0,7568.0,5007.0,2078.0,344.0,235.0,211.0,1.0,0.0,0.0,0.0,0.43419350394569106,0.463395256004187,0.0292017520584967,58404.2938191812,81040.0671775512,22635.77335837,0.5290379636851186,0.09931079035261893,0.93695043671173,1.179241292061329,0.10693949718268818,34392.0,22498.0,26346.0,17749.0,1020542.0,357604.0,217700.0,156612.0,88544.0,10293.0,1180.0,87.0
2012-12-02,0.0,-0.1429127977072433,2.5205968994004064,0.9444929071582466,12.4360175,-0.6100902817187086,7.103407801032359,1.7587356605284776,1.47700015178049e+16,23305529445376.1,143.0,633.755244755245,9747860.0,15.21461215,0.000743518162048575,235.97148430431727,52959.0,45354.0,1012070.13393342,1008495.13393342,0.831042005031155,2487268.0,505683.0,10516500.0,0.8746812076220072,9198576.122423599,1317913.81958823,0.463070301624906,0.207625316312227,0.0982727580468787,0.0,141134.90426883902,608241.558735157,915502.396967489,1519998.12461005,1230324.02867877,1231410.10171323,2686387.18804088,1150006.17899757,1033485.46,0.0,0.0,0.0,3575.0,0.13208123942632688,20463.0,9696464.0,1008479.91932127,962119.362149801,1.010531821858,10.93055645039871,0.09148665070601446,1516467.51231993,0.003786426103147919,1.5761739883619736,0.383794072414633,13.022896394175902,20730.0,12837.0,5711.0,3572.0,1587.0,628.0,202.0,87.0,0.0,0.0,0.0,0.0,0.430580838121295,0.46055968537433,0.0299788472530356,37444.3985176421,52393.084973725,14948.686456083,0.5259935874130524,0.09243373372609354,0.799826194013657,1.1646554763457873,0.1062516809900468,27546.0,16705.0,21473.0,12937.0,1021204.0,358528.0,217979.0,156750.0,88554.0,10297.0,1176.0,87.0
2012-12-03,0.0,0.2182933443981554,2.537997935335115,1.115104184541396,12.654310844398156,-0.6032460732398313,7.114568370318144,1.759113056295642,1.47700015178049e+16,24589626183418.6,147.0,600.659863945578,10352162.0,18.28932863,0.0008501919221829679,201.93684543301902,53616.0,48779.0,1732242.63318312,1728567.63418312,0.8558944128137149,2565790.0,431998.0,10520175.0,0.907388355874024,9545875.16934827,974289.77166356,0.46302565580421,0.20771680309477103,0.0982526868611976,0.0,244074.80051505897,517052.726218477,916475.3140529591,1504653.04269014,1236283.59400501,1230514.53498016,2685893.80955261,1151581.65899757,1033635.46,0.0,0.0,0.0,3675.0,0.13596526453118396,21512.0,10313473.0,1728549.34485449,1648874.88408543,1.01755860500991,6.380214230648041,0.15673454900564202,3396199.16906472,0.0037824596347497204,2.0597070170963683,0.383567806094404,13.868016500211501,21283.0,13230.0,7457.0,4100.0,1756.0,519.0,297.0,135.0,2.0,0.0,0.0,0.0,0.437072577387312,0.46530848506908296,0.0282359076817715,101279.551127185,126813.569556187,25534.0184290019,0.5340938304305543,0.10595786247124672,0.822819684275405,1.1789997504832368,0.10557161150242514,29928.0,18495.0,23636.0,14392.0,1022296.0,358442.0,217406.0,156284.0,88143.0,10290.0,1179.0,86.0
2012-12-04,0.0,0.7556891556018446,2.596000697293587,2.6307362343767515,13.41,-0.5795527529490756,7.162608524091543,1.7863210913567131,1.47700015178049e+16,18836498901107.3,112.0,784.116071428571,15380065.0,28.15664675,0.000873236780486292,100.44365978168192,76341.0,72486.0,2489158.49724505,2486358.49824505,0.879359071015441,2639522.0,362121.0,10522975.0,0.9223991342602521,9706373.7505179,816591.18949393,0.460983519824891,0.20633167892136398,0.0983496691762548,0.0,287589.54837474896,486737.662628067,949986.9482423291,1476002.86928228,1238767.78468665,1232962.07226845,2679694.95553189,1136291.98899757,1034931.11,0.0,0.0,0.0,2800.0,0.10197927610618528,32244.0,15326483.0,2486330.3415983,2418670.48578928,1.08860168507132,4.3507270055292615,0.2298466437285349,21059443.5288129,0.0038556665471257963,8.707032914382554,0.384739970791545,28.0568104639927,34178.0,17252.0,6455.0,6625.0,3519.0,3354.0,799.0,295.0,9.0,0.0,0.0,0.0,0.46397463955648205,0.486276160504147,0.0223015209476653,520332.092394781,540427.967135623,20095.8747408415,0.5580278032920842,0.1515147990011192,0.641597237835797,1.2403178703345976,0.10489927564203967,42093.0,28705.0,28462.0,20431.0,1020080.0,358302.0,217709.0,156607.0,88285.0,10343.0,1198.0,84.0
2012-12-05,0.0,-0.20866333333333564,2.580318087091874,2.976252569551688,13.201336666666664,-0.5860950291653673,7.194630119605303,1.8413020159296003,1.47700015178049e+16,19331218327420.7,122.0,764.049180327869,16453237.0,27.22445881,0.000809721575456546,113.03161176815328,79012.0,77875.0,2821654.36638257,2818604.36838257,0.876429841680043,2631726.0,371054.0,10526025.0,0.9162754985823258,9644729.585411802,881285.35260003,0.461081794992846,0.206330945347131,0.0984779259027031,0.0,292165.600060989,541141.173466437,892876.5224465091,1476666.43028954,1236636.97357268,1233169.73703613,2681513.81214213,1135263.57899757,1036581.11,0.0,0.0,0.0,3050.0,0.11153990085171596,33622.0,16413153.0,2818577.14392376,2761483.27409409,1.04463180658,3.811728681736479,0.2623481584068145,3943198.19460312,0.0039802752671225,1.427927603833376,0.38629538653136897,22.552414662102198,36615.0,18704.0,7737.0,8924.0,2617.0,2095.0,848.0,328.0,7.0,0.0,0.0,0.0,0.459925229548409,0.482553879358597,0.0226286498101877,292928.651101156,326006.815351788,33078.1642506315,0.5509083882270525,0.13183766682663212,0.7216050151537421,1.2114127311589102,0.10407924243058668,44265.0,27525.0,31094.0,22786.0,1021247.0,357871.0,217803.0,156835.0,88402.0,10365.0,1199.0,85.0
2012-12-06,0.0,0.15622334015330885,2.5920825172087776,2.9413429282959083,13.357560006819973,-0.5811969178087261,7.215932986790535,1.8592810935277344,1.47700015178049e+16,22333342986394.3,137.0,661.3430656934311,17910918.0,31.15000691,0.0008413008942364821,110.95182151630542,89391.0,83304.0,3259297.24735023,3255872.24785023,0.862653284442283,2595609.0,413258.0,10529450.0,0.886266776502847,9331892.79179895,1197547.14571288,0.461522756629984,0.206586896656287,0.0986215908713181,0.0,326437.73476545897,511688.86851974705,868848.9166662891,1492889.73732375,1239522.00095545,1230471.88948358,2684334.39080014,1136815.28899757,1038431.11,0.0,0.0,0.0,3425.0,0.1260401866147065,37026.0,17878575.0,3255841.09784332,3175513.44387941,1.0264364704173,3.3158259872257227,0.3015839805383387,2082212.52942796,0.0040189246874645385,0.6557089321858439,0.386246476619099,16.2290767173265,45682.0,20182.0,7757.0,5806.0,2464.0,652.0,356.0,404.0,1.0,0.0,0.0,0.0,0.455114884064039,0.47876175850668795,0.0236468744426489,204559.461605358,240719.999938941,36160.5383335831,0.5560488602910225,0.13735728466668418,0.8189314706796129,1.2189946526695246,0.10326889556530301,40947.0,25066.0,30573.0,22208.0,1023686.0,358407.0,217870.0,156871.0,88324.0,10382.0,1202.0,84.0
