Date,mining/difficulty_latest
2015-07-30,338279223318.0
2015-07-31,823192697153.0
2015-08-01,956650629556.0
2015-08-02,1102546374148.0
2015-08-03,1154731637775.0
2015-08-04,1292410800806.0
2015-08-05,1363540293481.0
2015-08-06,1444940803341.0
2015-08-07,1531935261642.0
2015-08-08,1606016380751.0
2015-08-09,1741399466631.0
2015-08-10,1948102094734.0
2015-08-11,2171897473895.0
2015-08-12,2248237602936.0
2015-08-13,2419921828013.0
2015-08-14,3177173581368.0
2015-08-15,3636757923666.0
2015-08-16,3884083612249.0
2015-08-17,4207278821566.0
2015-08-18,4329807603837.0
2015-08-19,4447080996921.0
2015-08-20,4358975163151.0
2015-08-21,4543159200971.0
2015-08-22,5127285198053.0
2015-08-23,5052173588916.0
2015-08-24,5270732444669.0
2015-08-25,5416196196676.0
2015-08-26,5821461040988.0
2015-08-27,6061793170675.0
2015-08-28,6309007190651.0
2015-08-29,6728846144873.0
2015-08-30,6969565602067.0
2015-08-31,7466284315477.0
2015-09-01,7744921922844.0
2015-09-02,9388467648838.0
2015-09-03,7073560351653.0
2015-09-04,6229957047055.0
2015-09-05,6333624444484.0
2015-09-06,6317516078127.0
2015-09-07,6215989018136.0
2015-09-08,6101115187404.0
2015-09-09,6275668103821.0
2015-09-10,6355160382386.0
2015-09-11,6817242565107.0
2015-09-12,6954324825068.0
2015-09-13,6933257412384.0
2015-09-14,6589374921913.0
2015-09-15,6265614006381.0
2015-09-16,6225329753414.0
2015-09-17,5771072493774.0
2015-09-18,5554883577537.0
2015-09-19,5789606409462.0
2015-09-20,6533964944180.0
2015-09-21,6668567418347.0
2015-09-22,6759595756571.0
2015-09-23,7055478507749.0
2015-09-24,6952113414449.0
2015-09-25,7168415486574.0
2015-09-26,7255735433571.0
2015-09-27,7059454584749.0
2015-09-28,6405284077299.0
2015-09-29,5766572950633.0
2015-09-30,5448599135063.0
2015-10-01,5922281950460.0
2015-10-02,6181529805617.0
2015-10-03,6345945017870.0
2015-10-04,6219579639704.0
2015-10-05,6428856045865.0
2015-10-06,6089175906202.0
2015-10-07,5973670381327.0
2015-10-08,6159510934256.0
2015-10-09,6255905784456.0
2015-10-10,6001003274861.0
2015-10-11,6178694969553.0
2015-10-12,6272144944853.0
2015-10-13,6354615181665.0
2015-10-14,6469817240920.0
2015-10-15,6127885182677.0
2015-10-16,5806888805954.0
2015-10-17,6046368510534.0
2015-10-18,5882682633080.0
2015-10-19,5922413457156.0
2015-10-20,5890061155249.0
2015-10-21,5996801348240.0
2015-10-22,5638480891519.0
2015-10-23,6209965033382.0
2015-10-24,6400016435480.0
2015-10-25,6484177295086.0
2015-10-26,6317914968583.0
2015-10-27,6793791413111.0
2015-10-28,6954179467569.0
2015-10-29,7198583101540.0
2015-10-30,7665556270422.0
2015-10-31,7702128773721.0
2015-11-01,7697394352697.0
2015-11-02,7419785552975.0
2015-11-03,7543104420309.0
2015-11-04,7683428365755.0
2015-11-05,7645085287936.0
2015-11-06,7829229401047.0
2015-11-07,7591307980985.0
2015-11-08,7816137603769.0
2015-11-09,7834376590330.0
2015-11-10,7802943052331.0
2015-11-11,7760282862653.0
2015-11-12,7812597894060.0
2015-11-13,8051746620579.0
2015-11-14,8042898894265.0
2015-11-15,8477308032117.0
2015-11-16,8344941438828.0
2015-11-17,8450483526511.0
2015-11-18,8743290890055.0
2015-11-19,8802339777810.0
2015-11-20,7580119726184.0
2015-11-21,7608935745293.0
2015-11-22,7468207589503.0
2015-11-23,7592327643841.0
2015-11-24,7726132886555.0
2015-11-25,7418526923454.0
2015-11-26,7242410704157.0
2015-11-27,7667223349130.0
2015-11-28,7610444708322.0
2015-11-29,7870324555962.0
2015-11-30,7888637366954.0
2015-12-01,7891566394061.0
2015-12-02,7525856198254.0
2015-12-03,7680773103616.0
2015-12-04,7989772468550.0
2015-12-05,8214376452919.0
2015-12-06,7845106957848.0
2015-12-07,7647624641214.0
2015-12-08,7211696309313.0
2015-12-09,7494323503357.0
2015-12-10,7903009272026.0
2015-12-11,8061889788712.0
2015-12-12,8199892334120.0
2015-12-13,8723247724140.0
2015-12-14,8637544590792.0
2015-12-15,8768265154123.0
2015-12-16,8518367974611.0
2015-12-17,8835087129925.0
2015-12-18,8684423263169.0
2015-12-19,8670737675440.0
2015-12-20,8636057682507.0
2015-12-21,8630936578890.0
2015-12-22,8655193872500.0
2015-12-23,8582606961631.0
2015-12-24,8746650149738.0
2015-12-25,8538861806013.0
2015-12-26,8625935362559.0
2015-12-27,8445784297364.0
2015-12-28,8755506619822.0
2015-12-29,8535097004387.0
2015-12-30,8655853479591.0
2015-12-31,8466782972844.0
2016-01-01,8359187813093.0
2016-01-02,8204538787080.0
2016-01-03,8361240176043.0
2016-01-04,8194539681122.0
2016-01-05,8515768057445.0
2016-01-06,8568980053660.0
2016-01-07,8088360544905.0
2016-01-08,8496155461196.0
2016-01-09,8478564112315.0
2016-01-10,8510737033832.0
2016-01-11,9032041128264.0
2016-01-12,8783254069357.0
2016-01-13,8566306420709.0
2016-01-14,9051169529686.0
2016-01-15,9215092639668.0
2016-01-16,9191581621469.0
2016-01-17,9043648790664.0
2016-01-18,9706028557048.0
2016-01-19,9484829036542.0
2016-01-20,9590871755528.0
2016-01-21,9712403494572.0
2016-01-22,9990309037602.0
2016-01-23,9820053112624.0
2016-01-24,10673829150215.0
2016-01-25,10194036677515.0
2016-01-26,10866035724310.0
2016-01-27,10582154731629.0
2016-01-28,10747566224048.0
2016-01-29,10905010125617.0
2016-01-30,10808399163929.0
2016-01-31,10665854699497.0
2016-02-01,10853809465133.0
2016-02-02,10325422811950.0
2016-02-03,11195728881641.0
2016-02-04,11365176391486.0
2016-02-05,11291984412211.0
2016-02-06,10879470742546.0
2016-02-07,11389113681186.0
2016-02-08,11555831770426.0
2016-02-09,11599734510731.0
2016-02-10,11920062458355.0
2016-02-11,11825999133899.0
2016-02-12,11870959401668.0
2016-02-13,12585810018227.0
2016-02-14,12652244288763.0
2016-02-15,12850142859521.0
2016-02-16,12674250410862.0
2016-02-17,12452279040255.0
2016-02-18,12186292371444.0
2016-02-19,12719915312718.0
2016-02-20,12619492665515.0
2016-02-21,13223604301783.0
2016-02-22,13695122446225.0
2016-02-23,13653638985401.0
2016-02-24,13572362760788.0
2016-02-25,13723958725525.0
2016-02-26,14493733626280.0
2016-02-27,14584470894038.0
2016-02-28,15031073578097.0
2016-02-29,14320521202740.0
2016-03-01,14737397033606.0
2016-03-02,15360115670751.0
2016-03-03,15931304389478.0
2016-03-04,16093781371468.0
2016-03-05,17171487455802.0
2016-03-06,17153070676641.0
2016-03-07,17463847706371.0
2016-03-08,17410849843455.0
2016-03-09,17683150842648.0
2016-03-10,18775256745910.0
2016-03-11,19255854116419.0
2016-03-12,19671858756523.0
2016-03-13,20948092768367.0
2016-03-14,18481253246040.0
2016-03-15,17742534216664.0
2016-03-16,18122109077330.0
2016-03-17,18922768545310.0
2016-03-18,18317664294185.0
2016-03-19,19118332703884.0
2016-03-20,19451762077814.0
2016-03-21,19183195731954.0
2016-03-22,19962159514629.0
2016-03-23,19313938405800.0
2016-03-24,20444410900077.0
2016-03-25,21005495277903.0
2016-03-26,22442762759629.0
2016-03-27,22813035310149.0
2016-03-28,22520065696335.0
2016-03-29,22492506144259.0
2016-03-30,22953522708469.0
2016-03-31,23503128272540.0
2016-04-01,24637619774037.0
2016-04-02,24106504729121.0
2016-04-03,24455972749921.0
2016-04-04,25711600260911.0
2016-04-05,26059710715142.0
2016-04-06,25913912972977.0
2016-04-07,25331165732156.0
2016-04-08,27706133402612.0
2016-04-09,26520399158286.0
2016-04-10,27664125672752.0
2016-04-11,26376649499074.0
2016-04-12,26615341237104.0
2016-04-13,26698904370237.0
2016-04-14,27740433945177.0
2016-04-15,28698213125810.0
2016-04-16,28634353416539.0
2016-04-17,29320358434882.0
2016-04-18,30362547693219.0
2016-04-19,29405002460165.0
2016-04-20,30539452606524.0
2016-04-21,30074659552686.0
2016-04-22,30197835381006.0
2016-04-23,30921984757890.0
2016-04-24,30184556615651.0
2016-04-25,31873040610285.0
2016-04-26,30644557453320.0
2016-04-27,32012267370198.0
2016-04-28,32667462530832.0
2016-04-29,33092446430869.0
2016-04-30,34401336525063.0
2016-05-01,32432433259410.0
2016-05-02,34229092701507.0
2016-05-03,35065295125416.0
2016-05-04,34260186346568.0
2016-05-05,34537171246968.0
2016-05-06,33944291108047.0
2016-05-07,33655992760662.0
2016-05-08,34697990053281.0
2016-05-09,35616128660185.0
2016-05-10,36204023794590.0
2016-05-11,34183799937063.0
2016-05-12,36167294246319.0
2016-05-13,37288679261920.0
2016-05-14,36952594428255.0
2016-05-15,37144077640852.0
2016-05-16,36363021340583.0
2016-05-17,37913214547840.0
2016-05-18,39069084425467.0
2016-05-19,39462878552522.0
2016-05-20,40152934901839.0
2016-05-21,38754146451076.0
2016-05-22,40803193119414.0
2016-05-23,40732356704929.0
2016-05-24,40841540510846.0
2016-05-25,41211740468457.0
2016-05-26,41788476400851.0
2016-05-27,43043342774845.0
2016-05-28,43690635491406.0
2016-05-29,43676717675673.0
2016-05-30,43411758669769.0
2016-05-31,41329660079004.0
2016-06-01,42217059433525.0
2016-06-02,44686670530369.0
2016-06-03,45487381622724.0
