Date,indicators/rhodl_ratio
2010-08-17,0.202553667525591
2010-08-18,0.388193959261902
2010-08-19,0.581369858516071
2010-08-20,0.735484516748159
2010-08-21,0.965442367551538
2010-08-22,1.19573789581825
2010-08-23,1.23935505333949
2010-08-24,1.42805903966874
2010-08-25,1.49559762626887
2010-08-26,1.62702580130278
2010-08-27,1.79084731125796
2010-08-28,1.68968362289619
2010-08-29,1.87113334015738
2010-08-30,1.97832076469051
2010-08-31,2.37094704239871
2010-09-01,2.6911415605511
2010-09-02,2.8312026169037
2010-09-03,2.85648736982813
2010-09-04,3.02256294249591
2010-09-05,4.60556460705735
2010-09-06,5.04111944299311
2010-09-07,4.97135145768471
2010-09-08,4.94054237576998
2010-09-09,5.38716349622057
2010-09-10,5.46470597457739
2010-09-11,5.50303053017915
2010-09-12,5.55683721467626
2010-09-13,5.53685379461218
2010-09-14,5.8369874078342
2010-09-15,6.40222687813995
2010-09-16,6.66660450814561
2010-09-17,7.92271718237071
2010-09-18,8.7734843756773
2010-09-19,9.19408457276161
2010-09-20,7.72621963009579
2010-09-21,7.79411869909714
2010-09-22,7.96312637175523
2010-09-23,9.84568842862192
2010-09-24,8.99997201345037
2010-09-25,9.0173764262605
2010-09-26,9.08715691394769
2010-09-27,9.99406717105224
2010-09-28,12.8513328396532
2010-09-29,13.1397263808307
2010-09-30,11.0931608568862
2010-10-01,12.9888331116661
2010-10-02,19.3765772794946
2010-10-03,19.7780811158584
2010-10-04,21.7284422065024
2010-10-05,23.3972977791803
2010-10-06,24.1990685862574
2010-10-07,25.3461135058225
2010-10-08,27.1887064687785
2010-10-09,23.6215172068495
2010-10-10,27.2880563552903
2010-10-11,28.5096151041648
2010-10-12,29.3029379374332
2010-10-13,31.5501068159929
2010-10-14,33.2902033052017
2010-10-15,35.802146677722
2010-10-16,33.3265747327571
2010-10-17,31.5190129200538
2010-10-18,33.0348499146002
2010-10-19,31.4997957736924
2010-10-20,33.5211383054135
2010-10-21,33.9253073136943
2010-10-22,34.302958120575
2010-10-23,30.9342759315851
2010-10-24,37.3798941968764
2010-10-25,40.4978592775662
2010-10-26,46.7688008607967
2010-10-27,55.1504836632149
2010-10-28,64.9575812869174
2010-10-29,66.9102802611134
2010-10-30,71.5080309107384
2010-10-31,74.9982606037594
2010-11-01,76.3293711298659
2010-11-02,75.0320835080593
2010-11-03,66.2377029816666
2010-11-04,75.397008180993
2010-11-05,77.1160086823471
2010-11-06,108.556875716621
2010-11-07,120.139421500131
2010-11-08,197.628519589546
2010-11-09,199.74144357982
2010-11-10,200.063171393569
2010-11-11,194.229371683956
2010-11-12,193.194439117404
2010-11-13,192.207631435793
2010-11-14,191.389437981094
2010-11-15,73.93391299144
2010-11-16,74.7785107215925
2010-11-17,77.2006284670565
2010-11-18,82.3263331787373
2010-11-19,87.1300127669915
2010-11-20,91.5676916237354
2010-11-21,90.8294755336541
2010-11-22,73.5291835204253
2010-11-23,77.8885708005254
2010-11-24,77.7094853682413
2010-11-25,81.6903792688713
2010-11-26,107.37549390536
