Date,mining/hash_rate_mean
2016-02-13,712689177617.338
2016-02-14,721498640763.999
2016-02-15,741058722988.967
2016-02-16,738332185091.311
2016-02-17,714848930939.545
2016-02-18,704824841219.741
2016-02-19,736779414800.902
2016-02-20,748841498916.51
2016-02-21,758044434793.575
2016-02-22,793015312798.94
2016-02-23,792457058660.897
2016-02-24,792648621325.361
2016-02-25,805314992344.29
2016-02-26,821333995638.91
2016-02-27,841180455088.384
2016-02-28,857758345615.535
2016-02-29,832831284915.998
2016-03-01,844942991115.509
2016-03-02,881585537104.896
2016-03-03,905016871675.279
2016-03-04,932909383622.856
2016-03-05,978599559270.244
2016-03-06,984746985611.435
2016-03-07,998092568614.756
2016-03-08,1015547043083.15
2016-03-09,1031525925506.85
2016-03-10,1082624584189.15
2016-03-11,1094414377160.44
2016-03-12,1142609455345.31
2016-03-13,1207900218125.62
2016-03-14,1186054890902.04
2016-03-15,1215375125403.31
2016-03-16,1239257546869.25
2016-03-17,1268238807056.8
2016-03-18,1261434319181.37
2016-03-19,1312355643168.22
2016-03-20,1355676098749.33
2016-03-21,1335378401631.16
2016-03-22,1373775960784.34
2016-03-23,1296762734433.17
2016-03-24,1396919607370.06
2016-03-25,1464960914632.31
2016-03-26,1509675663909.0
2016-03-27,1536410708511.78
2016-03-28,1510422156990.27
2016-03-29,1565721993096.95
2016-03-30,1596193946003.67
2016-03-31,1663960868285.17
2016-04-01,1670747166343.63
2016-04-02,1614896639791.99
2016-04-03,1695778266448.92
2016-04-04,1777768930741.77
2016-04-05,1794023546703.12
2016-04-06,1782894541114.0
2016-04-07,1697538599126.0
2016-04-08,1842874459546.51
2016-04-09,1841653239722.35
2016-04-10,1900053119899.68
2016-04-11,1855611584581.53
2016-04-12,1814699497260.76
2016-04-13,1895340876900.16
2016-04-14,1918999537859.25
2016-04-15,1984157715155.39
2016-04-16,2011090549586.44
2016-04-17,1962359936995.21
2016-04-18,2068407493597.93
2016-04-19,2072532550474.97
2016-04-20,2110782142048.38
2016-04-21,2138775782154.9
2016-04-22,2074420213381.04
2016-04-23,2160894559430.04
2016-04-24,2117868254334.7
2016-04-25,2224772864811.25
2016-04-26,2168856113290.69
2016-04-27,2178399983115.12
2016-04-28,2233718374900.62
2016-04-29,2278954747898.62
2016-04-30,2361382555432.34
2016-05-01,2369696942872.72
2016-05-02,2267977994882.44
2016-05-03,2392758702954.58
2016-05-04,2363732565097.67
2016-05-05,2366467277962.28
2016-05-06,2373610233594.37
2016-05-07,2361234608406.11
2016-05-08,2412603547685.22
2016-05-09,2439237559919.42
2016-05-10,2483511305346.57
2016-05-11,2384366771047.25
2016-05-12,2436675319709.34
2016-05-13,2583580216797.62
2016-05-14,2538872202601.7
2016-05-15,2582559551050.92
2016-05-16,2577261799293.25
2016-05-17,2560311190364.75
2016-05-18,2658026153875.42
2016-05-19,2748023535112.2
2016-05-20,2797605735642.18
2016-05-21,2812221418861.53
2016-05-22,2818330188815.01
2016-05-23,2806391422688.82
2016-05-24,2857372144738.03
2016-05-25,2861044767914.74
2016-05-26,2921978133177.15
2016-05-27,2917554314820.2
2016-05-28,2973488399011.02
2016-05-29,3028664629188.21
2016-05-30,3016046670196.75
2016-05-31,2990224714550.21
2016-06-01,2933851746159.95
2016-06-02,3012733548812.44
2016-06-03,3138174730794.0
2016-06-04,3132572462968.73
2016-06-05,3096063643372.75
2016-06-06,3197055459042.03
2016-06-07,3201914472481.92
2016-06-08,3231445941930.04
2016-06-09,3393361638416.47
2016-06-10,3198728417836.73
2016-06-11,3311606001745.56
2016-06-12,3322502696078.66
2016-06-13,3457671599699.97
2016-06-14,3465721350154.18
2016-06-15,3457012445283.43
2016-06-16,3456545569897.99
2016-06-17,3268714290093.75
2016-06-18,3111181220786.91
2016-06-19,3557228613129.39
2016-06-20,3521785341476.48
2016-06-21,3468494113026.75
2016-06-22,3618415737265.44
2016-06-23,3712609072635.69
2016-06-24,3689142552299.52
2016-06-25,3709819751246.82
2016-06-26,3771934329024.34
2016-06-27,3872950751424.46
2016-06-28,3918598911945.42
2016-06-29,3808123065531.97
2016-06-30,3807078116210.57
2016-07-01,3914906769303.22
2016-07-02,3931412057252.86
2016-07-03,4037673032455.83
2016-07-04,4028808235797.38
2016-07-05,4018328025058.61
2016-07-06,4017642955808.5
2016-07-07,4028506424156.8
2016-07-08,4013996543430.16
2016-07-09,3994509630499.95
2016-07-10,4088868335512.52
2016-07-11,4135040534315.51
2016-07-12,4149668309299.35
2016-07-13,4212527805333.55
2016-07-14,4154046720215.92
2016-07-15,4066936496767.1
2016-07-16,4122387870133.69
2016-07-17,4159190067861.03
2016-07-18,4220815085035.67
2016-07-19,4170270547671.08
2016-07-20,4050905882049.07
2016-07-21,4253501348323.73
2016-07-22,4106183773148.0
2016-07-23,4285633579025.14
2016-07-24,4181079550338.17
2016-07-25,4049352589527.4
2016-07-26,3847382216846.2
2016-07-27,3662506172720.27
2016-07-28,3916288700542.91
2016-07-29,3814684711102.2
2016-07-30,3783979392238.54
2016-07-31,3799350762006.08
2016-08-01,3754489135403.35
2016-08-02,3463559509451.07
2016-08-03,3366317201379.15
2016-08-04,3659011406623.94
2016-08-05,3739879999269.09
2016-08-06,3663659754981.03
2016-08-07,3765178719983.66
2016-08-08,3842350456633.6
2016-08-09,4021507586692.22
2016-08-10,4122562967626.33
2016-08-11,4220777410835.08
2016-08-12,4176657540235.75
2016-08-13,4164961534680.78
2016-08-14,4181827802103.02
2016-08-15,4191312964200.07
2016-08-16,4311467001002.5
2016-08-17,4272427822471.63
2016-08-18,4311005806435.51
2016-08-19,4344724283827.02
2016-08-20,4443554165416.91
2016-08-21,4443461205883.72
2016-08-22,4529754309348.9
2016-08-23,4576358785049.54
2016-08-24,4584626272511.25
2016-08-25,4747924486832.99
2016-08-26,4865058890345.23
2016-08-27,4850915690196.91
2016-08-28,4803862003068.15
2016-08-29,4741539612496.93
2016-08-30,4756061669910.25
2016-08-31,4852661195097.93
2016-09-01,4890022555295.6
2016-09-02,4942092698155.2
2016-09-03,4713759914823.24
2016-09-04,4591617797283.87
2016-09-05,4754976681660.69
2016-09-06,4726440653740.11
2016-09-07,4858537791063.02
2016-09-08,4762777907419.45
2016-09-09,4796319426582.18
2016-09-10,4840211355394.76
2016-09-11,5017838422886.88
2016-09-12,4995054708188.58
2016-09-13,4976092417939.89
2016-09-14,5112885961038.84
2016-09-15,5102690697681.43
2016-09-16,5096075601037.79
2016-09-17,5273315823388.58
2016-09-18,4593266923957.72
2016-09-19,4639187266931.27
2016-09-20,5331614733560.77
2016-09-21,5465456672045.96
2016-09-22,4654065058774.22
2016-09-23,5236510593201.15
2016-09-24,5036411111651.81
2016-09-25,5450279959494.54
2016-09-26,5097277680100.2
2016-09-27,4997901480378.29
2016-09-28,5749170958596.51
2016-09-29,5931000798314.63
2016-09-30,5795648594014.87
2016-10-01,5093060858048.29
2016-10-02,5338082191727.94
2016-10-03,5845952716958.55
2016-10-04,6082274327244.94
2016-10-05,5433407756042.63
2016-10-06,5759914525620.91
2016-10-07,4751714628412.29
2016-10-08,5454985427159.93
2016-10-09,5943167018409.98
2016-10-10,6039663216424.03
2016-10-11,6275842022334.01
2016-10-12,5753307417136.97
2016-10-13,5796029629059.3
2016-10-14,6468477377128.82
2016-10-15,6656973951795.14
2016-10-16,6666526791807.99
2016-10-17,6352379329735.84
2016-10-18,6570370047409.83
2016-10-19,6123182881940.93
2016-10-20,6736344911993.09
2016-10-21,7205946854332.09
2016-10-22,7254523200226.35
2016-10-23,7095912760392.03
2016-10-24,7135485625311.27
2016-10-25,7298942862960.14
2016-10-26,7387769875551.34
2016-10-27,7292704127352.3
2016-10-28,6990274894079.69
2016-10-29,5558295985586.65
2016-10-30,5348494421393.28
2016-10-31,5756523068806.39
2016-11-01,4945161594571.97
2016-11-02,4457393765523.91
2016-11-03,4234582477841.45
2016-11-04,3900645261523.57
2016-11-05,3676914187458.67
2016-11-06,3616483168223.36
2016-11-07,4266702248519.21
2016-11-08,4785691881760.24
2016-11-09,4689378307481.1
2016-11-10,4314980334080.05
2016-11-11,4199284213154.56
2016-11-12,4256020196738.96
2016-11-13,4634558105783.84
2016-11-14,4780418493727.15
2016-11-15,4836863219702.61
2016-11-16,4750976521919.32
2016-11-17,4498682131213.12
2016-11-18,4825613595535.32
2016-11-19,5114376771465.0
2016-11-20,5591303059880.38
2016-11-21,5934085679021.01
2016-11-22,5549269286401.55
2016-11-23,5094431016276.4
2016-11-24,4651926034331.8
2016-11-25,4662533523801.84
2016-11-26,4735773466722.9
2016-11-27,4507070395202.56
2016-11-28,4726813974250.07
2016-11-29,4779148134270.07
2016-11-30,4856646334685.12
2016-12-01,4926091779686.64
2016-12-02,5007519140848.52
2016-12-03,5287607054760.43
2016-12-04,5236147575908.86
2016-12-05,5111863072071.76
2016-12-06,5015771547095.16
2016-12-07,5172575515203.83
2016-12-08,5410147146799.43
2016-12-09,5550000800902.89
2016-12-10,5691607709994.17
2016-12-11,5853558679740.51
2016-12-12,5609823914376.97
2016-12-13,5774808366176.7
2016-12-14,5743690697710.69
2016-12-15,5730760611739.51
2016-12-16,5912223892803.82
2016-12-17,5977541716800.68
2016-12-18,6189269202818.34
2016-12-19,6203798635896.5
2016-12-20,6354926566033.74
2016-12-21,6327045973170.28
2016-12-22,6100162376193.7
2016-12-23,5647694040521.05
2016-12-24,5346668649806.95
2016-12-25,5578394030600.58
2016-12-26,5791989739780.23
2016-12-27,5616928912788.2
2016-12-28,5567261308590.15
2016-12-29,5522787456795.1
2016-12-30,5540667879261.38
2016-12-31,5620545952792.11
2017-01-01,5646215566101.34
2017-01-02,5646488469873.93
2017-01-03,5623616054367.66
2017-01-04,6200868950828.31
2017-01-05,6344418243419.66
2017-01-06,6382001840440.8
2017-01-07,6602630894634.38
2017-01-08,6639890719442.8
2017-01-09,6852048204930.36
2017-01-10,6887983442256.56
2017-01-11,6935249860458.46
2017-01-12,7000115701468.74
2017-01-13,7158860723011.64
2017-01-14,7193215991183.72
2017-01-15,7300239638535.97
2017-01-16,7288260809878.32
2017-01-17,7207109428581.45
2017-01-18,7159035072978.03
2017-01-19,7629466954781.33
2017-01-20,7374995030433.78
2017-01-21,7576557893440.31
2017-01-22,7635462965866.55
2017-01-23,7775499645285.01
2017-01-24,7672638863837.85
2017-01-25,7649682986698.13
2017-01-26,7855077309024.99
2017-01-27,7802541627238.1
2017-01-28,7827528257784.59
2017-01-29,7629858523360.77
2017-01-30,7822633462405.55
2017-01-31,7848588382753.26
2017-02-01,7754987847044.94
2017-02-02,7971425258587.62
2017-02-03,7779855491418.6
2017-02-04,7921554695128.29
2017-02-05,8308843638347.22
2017-02-06,8341482391804.27
2017-02-07,8286351857470.71
2017-02-08,8438866389100.39
2017-02-09,8446464594231.06
2017-02-10,8695201061516.4
2017-02-11,8712411390948.49
2017-02-12,8865042320333.98
2017-02-13,8950446075032.49
2017-02-14,9060160531260.65
2017-02-15,9121744347561.92
2017-02-16,9102963337189.21
2017-02-17,9270544303200.7
2017-02-18,9368302204149.56
2017-02-19,9553383783987.98
2017-02-20,9538699497789.61
2017-02-21,9821995153705.47
2017-02-22,9701240486110.42
2017-02-23,9731242479323.09
2017-02-24,9749983658028.58
2017-02-25,9982479477092.86
2017-02-26,10382298688281.9
2017-02-27,10444416044101.9
2017-02-28,10916044692782.4
2017-03-01,10522012814087.0
2017-03-02,10708886375814.7
2017-03-03,11132191553427.2
2017-03-04,10992222464415.1
2017-03-05,11514553306889.9
2017-03-06,11506844347642.6
2017-03-07,11473019167132.4
2017-03-08,11865605475652.0
2017-03-09,11923845384790.3
2017-03-10,11913886418856.2
2017-03-11,12153549533763.7
2017-03-12,12175042542762.4
2017-03-13,12591663709071.2
2017-03-14,12406987384472.9
2017-03-15,12742489502575.4
2017-03-16,12882601425768.8
2017-03-17,13480378885559.3
2017-03-18,13694351183835.5
2017-03-19,13139770119509.4
2017-03-20,13987164872428.5
2017-03-21,13752682803556.6
2017-03-22,14014330898456.2
2017-03-23,14428790920875.6
2017-03-24,14438254639222.0
2017-03-25,14562898799608.6
2017-03-26,15302774654036.4
2017-03-27,15939573237754.0
2017-03-28,15666769599158.0
2017-03-29,16144578459575.3
2017-03-30,16198625985049.9
2017-03-31,16587047683185.1
2017-04-01,16378407474782.1
2017-04-02,16366480961082.6
2017-04-03,15551875873455.2
2017-04-04,16508511541453.4
2017-04-05,17052461793548.3
2017-04-06,16914196792800.3
2017-04-07,17165538923796.1
2017-04-08,17338058379887.1
2017-04-09,16977617995226.8
2017-04-10,17062527871566.8
2017-04-11,17651698128279.7
2017-04-12,17452538438999.6
2017-04-13,17080963812407.2
2017-04-14,18555278779076.7
2017-04-15,18023412351253.5
2017-04-16,18352356958887.6
2017-04-17,18682825184453.1
2017-04-18,19155094655993.6
2017-04-19,19091543597131.3
2017-04-20,19247445176951.2
2017-04-21,19773011361162.6
2017-04-22,19904587149698.2
2017-04-23,20247091442672.4
2017-04-24,19536574356128.8
2017-04-25,20350984734556.2
2017-04-26,20148949786503.1
2017-04-27,20470264581260.3
2017-04-28,21647401450746.9
2017-04-29,22284306880838.4
2017-04-30,21711156424060.0
2017-05-01,21871349134467.7
2017-05-02,21789397465226.0
2017-05-03,22188168295140.9
2017-05-04,21986688182497.1
2017-05-05,22963174534850.8
2017-05-06,22937022935993.1
2017-05-07,23384465825309.5
2017-05-08,23083374729339.5
2017-05-09,23985578376536.6
2017-05-10,23760189344790.5
2017-05-11,24356089228958.6
2017-05-12,24961089819875.3
2017-05-13,24452718462975.4
2017-05-14,25289906238126.5
2017-05-15,25869752440332.4
2017-05-16,26334925878621.6
2017-05-17,25136631904005.4
2017-05-18,26177241937183.2
2017-05-19,27086289269328.3
2017-05-20,27896814753400.0
2017-05-21,28381139743139.1
2017-05-22,29292308681965.9
2017-05-23,28131300556801.7
2017-05-24,28816183110027.3
2017-05-25,28944041620943.5
2017-05-26,28994832892398.7
2017-05-27,29782008284174.2
2017-05-28,29592419072283.5
2017-05-29,31461241687651.3
2017-05-30,33121627256075.8
2017-05-31,32532343390909.0
2017-06-01,34216055857604.7
2017-06-02,33798331615979.8
2017-06-03,34666849722050.3
2017-06-04,35678318831539.0
2017-06-05,36388903182140.5
2017-06-06,37085730226078.1
2017-06-07,38273668073940.2
2017-06-08,38609250275440.7
2017-06-09,38592124094668.6
2017-06-10,40848306645667.6
2017-06-11,41421165565882.4
2017-06-12,40970903444606.5
2017-06-13,42363917980112.1
2017-06-14,43671015037999.0
2017-06-15,44703575181895.1
2017-06-16,45487073147120.7
2017-06-17,46481249041737.1
2017-06-18,47619169617858.4
2017-06-19,47854328392004.0
2017-06-20,48687149048095.2
2017-06-21,49522645970007.2
2017-06-22,49893810228683.8
2017-06-23,49856958831148.5
2017-06-24,50774225409041.5
2017-06-25,51551796451309.4
2017-06-26,53051635831839.9
2017-06-27,53814929298189.8
2017-06-28,54519740957995.5
2017-06-29,55972835386307.5
2017-06-30,56612510243272.7
2017-07-01,57519911583900.2
2017-07-02,58338897994319.8
2017-07-03,59217762851013.4
2017-07-04,60317453754033.1
2017-07-05,58977729428169.9
2017-07-06,60523457920853.5
2017-07-07,61024028761401.5
2017-07-08,62158772167910.4
2017-07-09,63088047112068.9
2017-07-10,63662391151672.5
2017-07-11,63475196459916.2
2017-07-12,61857639528369.8
2017-07-13,63026123937183.2
2017-07-14,61568290790089.4
2017-07-15,64298506768738.0
2017-07-16,65825846029105.7
2017-07-17,62104303973900.8
2017-07-18,63866215761764.2
2017-07-19,66184411145740.5
2017-07-20,68047639204963.6
2017-07-21,68546674268636.7
2017-07-22,68744407927726.4
2017-07-23,70821214542323.1
2017-07-24,68992430582452.9
2017-07-25,72022464509212.4
2017-07-26,71587077465903.7
2017-07-27,70866293507483.8
2017-07-28,71601514005838.5
2017-07-29,72179815546120.1
2017-07-30,73969143484382.3
2017-07-31,74867167667000.1
2017-08-01,75898433365980.0
2017-08-02,75141709096080.4
2017-08-03,71545555843070.8
2017-08-04,74327807573047.3
2017-08-05,73949497309469.8
2017-08-06,74545657626436.1
2017-08-07,76747205071931.1
2017-08-08,77355127469142.9
2017-08-09,79045492940598.7
2017-08-10,76905642422852.9
2017-08-11,77843257613655.7
2017-08-12,80464978290539.7
2017-08-13,80754351830841.4
2017-08-14,82694774748544.1
2017-08-15,82832663566658.6
2017-08-16,82513782225011.1
2017-08-17,83326521569935.2
2017-08-18,83502868644650.5
2017-08-19,87534806045802.0
2017-08-20,86123252119726.9
2017-08-21,87315384284694.0
2017-08-22,87313202222594.9
2017-08-23,89915181256352.5
2017-08-24,88417929253741.0
2017-08-25,88515317344796.0
2017-08-26,88997050467839.6
2017-08-27,88594492272360.0
2017-08-28,85032418674744.7
2017-08-29,90252985362618.2
2017-08-30,91096433010696.5
2017-08-31,88936986983582.3
2017-09-01,91028648653612.1
2017-09-02,91278007214431.8
2017-09-03,92098969848155.3
2017-09-04,91525880828922.4
2017-09-05,91800100777612.8
2017-09-06,90577561145429.5
2017-09-07,92449368894577.2
2017-09-08,97647463025715.9
2017-09-09,95582533293771.5
2017-09-10,94619643360319.5
2017-09-11,94934370538823.5
2017-09-12,98976006842960.2
2017-09-13,95020234682126.3
2017-09-14,96654411774492.6
2017-09-15,98985772533790.4
2017-09-16,98116227542296.4
2017-09-17,100284788721828.0
2017-09-18,96720798247480.7
2017-09-19,99885272765452.1
2017-09-20,99140845262871.2
2017-09-21,101329373924105.0
2017-09-22,101912153585572.0
2017-09-23,98726050063304.5
2017-09-24,100058088238309.0
2017-09-25,95432643120721.5
2017-09-26,96595454939450.5
2017-09-27,97814108863795.7
2017-09-28,95704150722843.5
2017-09-29,91567010110338.1
2017-09-30,91005824486885.8
2017-10-01,94879778124555.0
2017-10-02,93941378970286.9
2017-10-03,93949751089662.0
2017-10-04,96612497219154.0
2017-10-05,101102321594016.0
2017-10-06,95917118481123.3
2017-10-07,94162827812808.5
2017-10-08,96897653523650.6
2017-10-09,97697647347089.9
