Date,transactions/transfers_volume_to_exchanges_mean
2011-08-17,0.0075
2011-08-18,2.8463123833333337
2011-08-19,9.8978545
2011-08-20,0.03
2011-08-21,0.9095
2011-08-22,0.01859174
2011-08-23,24.151
2011-08-24,0.0
2011-08-25,0.0
2011-08-26,3.0
2011-08-27,0.0
2011-08-28,0.0
2011-08-29,8.45652174
2011-08-30,0.0
2011-08-31,3.01
2011-09-01,5.0
2011-09-02,0.09
2011-09-03,0.0
2011-09-04,1.579637515
2011-09-05,0.0
2011-09-06,20.5
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,3.03
2011-09-10,0.0
2011-09-11,5.02
2011-09-12,0.0
2011-09-13,3.03
2011-09-14,1.0
2011-09-15,0.3
2011-09-16,0.0
2011-09-17,3.0
2011-09-18,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,4.01
2011-09-23,0.0
2011-09-24,0.0
2011-09-25,11.79
2011-09-26,7.15153978
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,3.01
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.0
2011-10-03,4.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,11.873516456666666
2011-10-07,67.66666666666667
2011-10-08,25.4999232
2011-10-09,50.025
2011-10-10,105.94516726
2011-10-11,57.5
2011-10-12,51.505
2011-10-13,0.0
2011-10-14,0.0
2011-10-15,0.0
2011-10-16,0.0
2011-10-17,10.24
2011-10-18,5.0
2011-10-19,0.0
2011-10-20,0.059
2011-10-21,3.02
2011-10-22,0.0
2011-10-23,0.0
2011-10-24,0.0
2011-10-25,3.0
2011-10-26,20.062
2011-10-27,0.1395
2011-10-28,0.0
2011-10-29,0.0
2011-10-30,2.005
2011-10-31,2.320025983333333
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,3.02
2011-11-04,12.686666666666667
2011-11-05,18.491333333333333
2011-11-06,2.88
2011-11-07,3.07
2011-11-08,0.0
2011-11-09,1.085915925
2011-11-10,40.0
2011-11-11,10.755
2011-11-12,0.0
2011-11-13,0.01
2011-11-14,14.528319542307692
2011-11-15,4.986666666666667
2011-11-16,0.0
2011-11-17,2.7751607233333337
2011-11-18,15.502
2011-11-19,17.657374516666668
2011-11-20,11.85212355
2011-11-21,15.274875
2011-11-22,6.03417364
2011-11-23,0.0
2011-11-24,9.618938225
2011-11-25,12.72459142
2011-11-26,20.0
2011-11-27,22.697048875
2011-11-28,23.495010877142857
2011-11-29,13.008693563333333
2011-11-30,9.634209903999999
2011-12-01,7.367924884
2011-12-02,10.035645955
2011-12-03,5.0
2011-12-04,4.23
2011-12-05,45.58072087
2011-12-06,17.671226025
2011-12-07,8.86944943
2011-12-08,9.05590753
2011-12-09,11.2938795
2011-12-10,8.668426
2011-12-11,26.982832
2011-12-12,26.779706685
2011-12-13,5.90146605375
2011-12-14,26.786071306666667
2011-12-15,25.0023853575
2011-12-16,12.138860892
2011-12-17,0.0
2011-12-18,3.1252018566666666
2011-12-19,30.0
2011-12-20,7.963166666666667
2011-12-21,59.08488365857143
2011-12-22,4.965035115
2011-12-23,35.14
2011-12-24,0.265
2011-12-25,10.541666666666666
2011-12-26,3.15775
2011-12-27,6.126299529
2011-12-28,8.5877
2011-12-29,5.714071407142858
2011-12-30,16.893333333333334
2011-12-31,1.79
2012-01-01,13.6404
2012-01-02,4.564138617999999
2012-01-03,17.578
2012-01-04,4.443905485555556
2012-01-05,9.20753793125
2012-01-06,2.8144444444444443
2012-01-07,3.177081428571429
2012-01-08,2.5680516955555555
2012-01-09,5.8592918225
2012-01-10,8.123285714285714
2012-01-11,16.37877111111111
2012-01-12,14.241092301666667
2012-01-13,4.6516057525
2012-01-14,2.485986
2012-01-15,13.236666666666666
2012-01-16,2.360456233333333
2012-01-17,11.2164727625
2012-01-18,8.411731368571429
2012-01-19,0.36977731999999996
2012-01-20,10.096619267142856
2012-01-21,1.485392609
2012-01-22,0.7215648375
2012-01-23,1.0573641042857143
2012-01-24,4.735417626666667
2012-01-25,6.6456331761904766
2012-01-26,3.408985154117647
2012-01-27,8.137512890476192
2012-01-28,6.890588319411765
2012-01-29,1.61565468625
2012-01-30,4.205032562666667
2012-01-31,3.5562079529166666
2012-02-01,12.7399835985
2012-02-02,6.875201880909091
2012-02-03,18.306642281538462
2012-02-04,2.5661382204761902
2012-02-05,4.280805242173913
2012-02-06,7.701672785517241
2012-02-07,4.848117723461538
2012-02-08,8.604262411111112
2012-02-09,2.392510315
2012-02-10,10.76946220935484
2012-02-11,7.107952319375
2012-02-12,9.0039268578125
2012-02-13,4.556116447931034
2012-02-14,5.343897284888889
2012-02-15,3.6752075485294116
2012-02-16,7.629170680961538
2012-02-17,11.555335892790698
2012-02-18,7.372939062068965
2012-02-19,2.112822395238095
2012-02-20,5.824257224888889
2012-02-21,10.191111671944444
2012-02-22,8.777791511886793
2012-02-23,13.240244568484849
2012-02-24,15.131431191612903
2012-02-25,14.703757656875
2012-02-26,18.4384602925
2012-02-27,18.314038940384616
2012-02-28,17.61648491137931
2012-02-29,4.921130530740741
2012-03-01,11.081129603243243
2012-03-02,21.598032909444445
2012-03-03,10.562301126551723
2012-03-04,20.092706769655173
2012-03-05,24.264752822407406
2012-03-06,15.556095126976743
2012-03-07,21.200593657333332
2012-03-08,15.402558770434782
2012-03-09,20.84076236111111
2012-03-10,14.609785229473683
2012-03-11,10.646873771875
2012-03-12,35.94564286956522
2012-03-13,92.39411380952382
2012-03-14,31.69880954617647
2012-03-15,24.279161315
2012-03-16,15.036589552
2012-03-17,31.40280946153846
2012-03-18,53.93321615384615
2012-03-19,42.84696160000001
2012-03-20,23.779640052631578
2012-03-21,21.6357932375
2012-03-22,31.608969883030305
2012-03-23,12.583238975833334
2012-03-24,13.267858492926829
2012-03-25,3.3578925485185183
2012-03-26,8.938246096250001
2012-03-27,17.139078888163265
2012-03-28,8.80262676725
2012-03-29,7.471388006
2012-03-30,18.584577434375
2012-03-31,7.646179634102564
2012-04-01,8.948288762545454
2012-04-02,14.731683255208333
2012-04-03,17.69015717948718
2012-04-04,12.705168380714285
2012-04-05,27.270324901960784
2012-04-06,24.832052576451613
2012-04-07,19.4159963090625
2012-04-08,14.193000000000001
2012-04-09,8.509664133461538
2012-04-10,17.11091491935484
2012-04-11,27.7099901912
2012-04-12,46.81481446962963
2012-04-13,23.95640314030303
2012-04-14,45.29212471871795
2012-04-15,8.457798364166667
2012-04-16,27.932014922173913
2012-04-17,41.294381664
2012-04-18,73.98651387695652
2012-04-19,30.809272222222223
2012-04-20,36.59410575
2012-04-21,32.03967286125
2012-04-22,39.120907626666664
2012-04-23,62.53531538461539
2012-04-24,79.43157406608695
2012-04-25,82.44772753266668
2012-04-26,37.200931194666666
2012-04-27,67.69626099714286
2012-04-28,69.93440825666667
2012-04-29,21.265000909090908
2012-04-30,36.20124778
2012-05-01,68.4677331
2012-05-02,54.625485305714285
2012-05-03,67.46049268894737
2012-05-04,46.06587088857143
2012-05-05,92.5144398423077
2012-05-06,35.19211906789474
2012-05-07,44.96173001333333
2012-05-08,36.13719573416667
2012-05-09,38.4041745924
2012-05-10,66.9653125
2012-05-11,42.93416912857143
2012-05-12,44.9010328375
2012-05-13,60.83554225857143
