Date,blockchain/block_count
2015-07-30,6911.0
2015-07-31,6863.0
2015-08-01,5293.0
2015-08-02,5358.0
2015-08-03,5280.0
2015-08-04,5368.0
2015-08-05,5235.0
2015-08-06,5116.0
2015-08-07,5189.0
2015-08-08,5256.0
2015-08-09,5123.0
2015-08-10,5255.0
2015-08-11,5280.0
2015-08-12,5124.0
2015-08-13,5286.0
2015-08-14,5809.0
2015-08-15,5382.0
2015-08-16,5132.0
2015-08-17,5347.0
2015-08-18,4948.0
2015-08-19,5192.0
2015-08-20,4024.0
2015-08-21,5088.0
2015-08-22,5271.0
2015-08-23,5013.0
2015-08-24,5184.0
2015-08-25,5097.0
2015-08-26,5003.0
2015-08-27,4708.0
2015-08-28,4653.0
2015-08-29,4329.0
2015-08-30,4155.0
2015-08-31,4122.0
2015-09-01,3938.0
2015-09-02,3577.0
2015-09-03,3383.0
2015-09-04,4443.0
2015-09-05,4921.0
2015-09-06,4978.0
2015-09-07,4834.0
2015-09-08,4923.0
2015-09-09,5035.0
2015-09-10,5003.0
2015-09-11,5141.0
2015-09-12,5026.0
2015-09-13,4971.0
2015-09-14,4851.0
2015-09-15,4842.0
2015-09-16,4956.0
2015-09-17,4808.0
2015-09-18,4889.0
2015-09-19,5078.0
2015-09-20,5305.0
2015-09-21,5075.0
2015-09-22,5051.0
2015-09-23,5165.0
2015-09-24,5021.0
2015-09-25,5126.0
2015-09-26,4930.0
2015-09-27,4773.0
2015-09-28,4738.0
2015-09-29,4640.0
2015-09-30,4757.0
2015-10-01,5210.0
2015-10-02,5143.0
2015-10-03,5077.0
2015-10-04,4886.0
2015-10-05,5009.0
2015-10-06,4806.0
2015-10-07,5004.0
2015-10-08,5152.0
2015-10-09,4905.0
2015-10-10,4896.0
2015-10-11,5073.0
2015-10-12,5148.0
2015-10-13,5108.0
2015-10-14,4934.0
2015-10-15,4926.0
2015-10-16,4883.0
2015-10-17,5056.0
2015-10-18,4945.0
2015-10-19,4975.0
2015-10-20,4990.0
2015-10-21,4990.0
2015-10-22,4835.0
2015-10-23,5263.0
2015-10-24,5171.0
2015-10-25,5096.0
2015-10-26,4908.0
2015-10-27,5220.0
2015-10-28,4967.0
2015-10-29,5158.0
2015-10-30,5232.0
2015-10-31,5129.0
2015-11-01,5158.0
2015-11-02,5024.0
2015-11-03,5085.0
2015-11-04,5125.0
2015-11-05,5103.0
2015-11-06,5142.0
2015-11-07,4922.0
2015-11-08,5021.0
2015-11-09,5024.0
2015-11-10,5053.0
2015-11-11,5028.0
2015-11-12,5079.0
2015-11-13,5119.0
2015-11-14,5127.0
2015-11-15,5195.0
2015-11-16,5039.0
2015-11-17,5163.0
2015-11-18,5075.0
2015-11-19,4977.0
2015-11-20,4721.0
2015-11-21,5035.0
2015-11-22,5049.0
2015-11-23,5089.0
2015-11-24,5001.0
2015-11-25,4940.0
2015-11-26,4940.0
2015-11-27,5174.0
2015-11-28,5008.0
2015-11-29,5050.0
2015-11-30,5080.0
2015-12-01,5078.0
2015-12-02,4824.0
2015-12-03,5205.0
2015-12-04,5008.0
2015-12-05,5006.0
2015-12-06,4913.0
2015-12-07,4971.0
2015-12-08,4911.0
2015-12-09,5208.0
2015-12-10,5144.0
2015-12-11,5062.0
2015-12-12,5076.0
2015-12-13,5280.0
2015-12-14,4999.0
2015-12-15,5070.0
2015-12-16,4982.0
2015-12-17,5060.0
2015-12-18,5020.0
2015-12-19,5038.0
2015-12-20,4947.0
2015-12-21,4976.0
2015-12-22,5129.0
2015-12-23,5112.0
2015-12-24,5018.0
2015-12-25,5080.0
2015-12-26,5004.0
2015-12-27,5018.0
2015-12-28,5081.0
2015-12-29,4981.0
2015-12-30,5028.0
2015-12-31,5040.0
2016-01-01,4885.0
2016-01-02,5095.0
2016-01-03,5134.0
2016-01-04,5096.0
2016-01-05,5126.0
2016-01-06,5090.0
2016-01-07,4981.0
2016-01-08,5176.0
2016-01-09,5099.0
2016-01-10,5093.0
2016-01-11,5107.0
2016-01-12,4930.0
2016-01-13,5002.0
2016-01-14,5090.0
2016-01-15,5084.0
2016-01-16,5046.0
2016-01-17,5036.0
2016-01-18,5072.0
2016-01-19,4972.0
2016-01-20,5038.0
2016-01-21,4963.0
2016-01-22,5007.0
2016-01-23,4928.0
2016-01-24,5168.0
2016-01-25,4881.0
2016-01-26,5152.0
2016-01-27,4983.0
2016-01-28,5059.0
2016-01-29,4981.0
2016-01-30,5017.0
2016-01-31,4872.0
2016-02-01,5015.0
2016-02-02,4955.0
2016-02-03,5199.0
2016-02-04,5062.0
2016-02-05,5046.0
2016-02-06,4987.0
2016-02-07,5087.0
2016-02-08,5071.0
2016-02-09,5055.0
2016-02-10,4961.0
2016-02-11,5019.0
2016-02-12,5033.0
2016-02-13,5093.0
2016-02-14,4990.0
2016-02-15,4975.0
2016-02-16,5025.0
2016-02-17,4857.0
2016-02-18,4999.0
2016-02-19,5033.0
2016-02-20,5051.0
2016-02-21,5055.0
2016-02-22,5103.0
2016-02-23,4969.0
2016-02-24,5029.0
2016-02-25,5128.0
2016-02-26,5055.0
2016-02-27,4992.0
2016-02-28,5029.0
2016-02-29,4820.0
2016-03-01,5052.0
2016-03-02,5086.0
2016-03-03,5014.0
2016-03-04,4994.0
2016-03-05,5138.0
2016-03-06,4907.0
2016-03-07,5026.0
2016-03-08,5017.0
2016-03-09,4989.0
2016-03-10,5196.0
2016-03-11,5065.0
2016-03-12,5023.0
2016-03-13,5186.0
2016-03-14,5108.0
2016-03-15,5979.0
2016-03-16,6025.0
2016-03-17,6082.0
2016-03-18,5962.0
2016-03-19,6082.0
2016-03-20,6027.0
2016-03-21,5994.0
2016-03-22,6071.0
2016-03-23,5974.0
2016-03-24,6101.0
2016-03-25,6066.0
2016-03-26,6095.0
2016-03-27,6046.0
2016-03-28,5999.0
2016-03-29,6010.0
2016-03-30,6047.0
2016-03-31,6021.0
2016-04-01,6081.0
2016-04-02,5936.0
2016-04-03,6035.0
2016-04-04,6086.0
2016-04-05,6033.0
2016-04-06,6004.0
2016-04-07,5953.0
2016-04-08,6102.0
2016-04-09,5933.0
2016-04-10,6065.0
2016-04-11,5937.0
2016-04-12,6015.0
2016-04-13,6015.0
2016-04-14,6021.0
2016-04-15,6059.0
2016-04-16,6019.0
2016-04-17,6015.0
2016-04-18,6055.0
2016-04-19,5969.0
2016-04-20,6050.0
2016-04-21,5990.0
2016-04-22,6031.0
2016-04-23,6051.0
2016-04-24,5981.0
2016-04-25,6104.0
2016-04-26,5952.0
2016-04-27,6062.0
