Date,transactions/transfers_to_exchanges_count
2012-06-01,10.0
2012-06-02,24.0
2012-06-03,11.0
2012-06-04,7.0
2012-06-05,30.0
2012-06-06,38.0
2012-06-07,39.0
2012-06-08,14.0
2012-06-09,15.0
2012-06-10,11.0
2012-06-11,12.0
2012-06-12,58.0
2012-06-13,32.0
2012-06-14,31.0
2012-06-15,24.0
2012-06-16,19.0
2012-06-17,28.0
2012-06-18,24.0
2012-06-19,25.0
2012-06-20,22.0
2012-06-21,30.0
2012-06-22,52.0
2012-06-23,41.0
2012-06-24,9.0
2012-06-25,38.0
2012-06-26,64.0
2012-06-27,51.0
2012-06-28,36.0
2012-06-29,40.0
2012-06-30,49.0
2012-07-01,29.0
2012-07-02,61.0
2012-07-03,44.0
2012-07-04,112.0
2012-07-05,34.0
2012-07-06,48.0
2012-07-07,30.0
2012-07-08,43.0
2012-07-09,58.0
2012-07-10,67.0
2012-07-11,51.0
2012-07-12,59.0
2012-07-13,67.0
2012-07-14,40.0
2012-07-15,43.0
2012-07-16,69.0
2012-07-17,64.0
2012-07-18,72.0
2012-07-19,60.0
2012-07-20,68.0
2012-07-21,40.0
2012-07-22,35.0
2012-07-23,46.0
2012-07-24,54.0
2012-07-25,54.0
2012-07-26,35.0
2012-07-27,55.0
2012-07-28,61.0
2012-07-29,38.0
2012-07-30,34.0
2012-07-31,40.0
2012-08-01,55.0
2012-08-02,90.0
2012-08-03,75.0
2012-08-04,67.0
2012-08-05,80.0
2012-08-06,55.0
2012-08-07,51.0
2012-08-08,91.0
2012-08-09,68.0
2012-08-10,76.0
2012-08-11,36.0
2012-08-12,73.0
2012-08-13,102.0
2012-08-14,104.0
2012-08-15,110.0
2012-08-16,313.0
2012-08-17,525.0
2012-08-18,516.0
2012-08-19,287.0
2012-08-20,394.0
2012-08-21,392.0
2012-08-22,435.0
2012-08-23,289.0
2012-08-24,300.0
2012-08-25,226.0
2012-08-26,188.0
2012-08-27,184.0
2012-08-28,124.0
2012-08-29,116.0
2012-08-30,202.0
2012-08-31,166.0
2012-09-01,111.0
2012-09-02,104.0
2012-09-03,141.0
2012-09-04,127.0
2012-09-05,186.0
2012-09-06,136.0
2012-09-07,125.0
2012-09-08,112.0
2012-09-09,116.0
2012-09-10,121.0
2012-09-11,139.0
2012-09-12,156.0
2012-09-13,149.0
2012-09-14,173.0
2012-09-15,141.0
2012-09-16,147.0
2012-09-17,129.0
2012-09-18,214.0
2012-09-19,223.0
2012-09-20,217.0
2012-09-21,92.0
2012-09-22,181.0
2012-09-23,160.0
2012-09-24,176.0
2012-09-25,149.0
2012-09-26,189.0
2012-09-27,239.0
2012-09-28,217.0
2012-09-29,225.0
2012-09-30,241.0
2012-10-01,269.0
2012-10-02,106.0
2012-10-03,116.0
2012-10-04,176.0
2012-10-05,206.0
2012-10-06,186.0
2012-10-07,218.0
2012-10-08,285.0
2012-10-09,238.0
2012-10-10,272.0
2012-10-11,262.0
2012-10-12,281.0
2012-10-13,165.0
2012-10-14,208.0
2012-10-15,249.0
2012-10-16,227.0
2012-10-17,218.0
2012-10-18,249.0
2012-10-19,196.0
2012-10-20,173.0
2012-10-21,189.0
2012-10-22,213.0
2012-10-23,224.0
2012-10-24,257.0
2012-10-25,221.0
2012-10-26,263.0
2012-10-27,193.0
2012-10-28,172.0
2012-10-29,185.0
2012-10-30,161.0
2012-10-31,251.0
2012-11-01,219.0
2012-11-02,181.0
2012-11-03,193.0
2012-11-04,142.0
2012-11-05,197.0
2012-11-06,167.0
2012-11-07,216.0
2012-11-08,176.0
2012-11-09,180.0
2012-11-10,125.0
2012-11-11,120.0
2012-11-12,131.0
2012-11-13,108.0
2012-11-14,139.0
2012-11-15,193.0
2012-11-16,278.0
2012-11-17,435.0
2012-11-18,320.0
2012-11-19,358.0
2012-11-20,247.0
2012-11-21,232.0
2012-11-22,332.0
2012-11-23,259.0
2012-11-24,242.0
2012-11-25,166.0
2012-11-26,205.0
2012-11-27,201.0
2012-11-28,245.0
2012-11-29,206.0
2012-11-30,195.0
2012-12-01,184.0
2012-12-02,155.0
2012-12-03,209.0
2012-12-04,215.0
2012-12-05,215.0
2012-12-06,235.0
2012-12-07,142.0
2012-12-08,153.0
2012-12-09,110.0
2012-12-10,163.0
2012-12-11,148.0
2012-12-12,170.0
2012-12-13,185.0
2012-12-14,215.0
2012-12-15,155.0
2012-12-16,178.0
2012-12-17,193.0
2012-12-18,219.0
2012-12-19,176.0
2012-12-20,205.0
2012-12-21,107.0
2012-12-22,184.0
2012-12-23,158.0
2012-12-24,169.0
2012-12-25,142.0
2012-12-26,154.0
2012-12-27,217.0
2012-12-28,221.0
2012-12-29,190.0
2012-12-30,194.0
2012-12-31,223.0
2013-01-01,200.0
2013-01-02,229.0
2013-01-03,198.0
2013-01-04,373.0
2013-01-05,305.0
2013-01-06,267.0
2013-01-07,298.0
2013-01-08,251.0
2013-01-09,317.0
2013-01-10,323.0
2013-01-11,270.0
2013-01-12,241.0
2013-01-13,212.0
2013-01-14,248.0
2013-01-15,292.0
2013-01-16,301.0
2013-01-17,311.0
2013-01-18,306.0
2013-01-19,262.0
2013-01-20,220.0
2013-01-21,254.0
2013-01-22,209.0
2013-01-23,259.0
2013-01-24,362.0
2013-01-25,261.0
2013-01-26,162.0
