Date,market/marketcap_usd
2015-08-08,89835100.18623409
2015-08-09,55072452.79812666
2015-08-10,48788613.042786
2015-08-11,57453602.41862398
2015-08-12,80790167.32663517
2015-08-13,104558789.57857223
2015-08-14,145026549.33405373
2015-08-15,124819551.87887527
2015-08-16,99757425.64262255
2015-08-17,100335806.11619644
2015-08-18,87114443.49331631
2015-08-19,90781339.7568792
2015-08-20,98153846.73387909
2015-08-21,108548298.43338765
2015-08-22,103180011.42006761
2015-08-23,98496924.2992736
2015-08-24,94843318.22630405
2015-08-25,87069730.02112488
2015-08-26,83161368.86182894
2015-08-27,84646511.57335609
2015-08-28,85107512.08553104
2015-08-29,85669951.7500444
2015-08-30,92758004.01968743
2015-08-31,96698918.75424492
2015-09-01,99150965.7527513
2015-09-02,96542064.36037138
2015-09-03,92783074.08477895
2015-09-04,92725500.10425553
2015-09-05,95032818.1014963
2015-09-06,97485245.27909179
2015-09-07,93044930.3772088
2015-09-08,91480787.01916671
2015-09-09,89854780.50794935
2015-09-10,87164978.78625438
2015-09-11,76827540.5347673
2015-09-12,75309907.753248
2015-09-13,71840523.30360608
2015-09-14,66517232.46109054
2015-09-15,67558368.8180293
2015-09-16,67578946.46361332
2015-09-17,64173459.55149068
2015-09-18,63401081.92026601
2015-09-19,62589925.71671236
2015-09-20,65776712.48985459
2015-09-21,68056171.19826429
2015-09-22,65774633.034204334
2015-09-23,65881016.87410047
2015-09-24,63393563.03608152
2015-09-25,56716687.894943014
2015-09-26,54187555.674267925
2015-09-27,54952173.644470006
2015-09-28,47972830.697013915
2015-09-29,45679416.06160584
2015-09-30,49584491.92013466
2015-10-01,51287421.65527982
2015-10-02,49599761.171008915
2015-10-03,51245654.02045469
2015-10-04,50136894.058316015
2015-10-05,48875904.45350904
2015-10-06,46003520.24308626
2015-10-07,46795431.06397101
2015-10-08,44574700.969026096
2015-10-09,48709267.42794766
2015-10-10,47322811.5343047
2015-10-11,46613378.335698366
2015-10-12,47256999.32104462
2015-10-13,45483224.05594293
2015-10-14,42041796.77398172
2015-10-15,40052591.06494312
2015-10-16,40517114.156308286
2015-10-17,39842422.62403629
2015-10-18,39515869.2495635
2015-10-19,37142138.86508359
2015-10-20,36193369.87648734
2015-10-21,33037798.08928369
2015-10-22,34104484.95126084
2015-10-23,40856321.49605559
2015-10-24,40850894.29567371
2015-10-25,46403417.52245306
2015-10-26,47899556.02671788
2015-10-27,60528808.9426808
2015-10-28,65833872.56446245
2015-10-29,80008146.69151947
2015-10-30,84398508.45440453
2015-10-31,71763680.98780917
2015-11-01,71493437.63171382
2015-11-02,79014838.36289047
2015-11-03,74553574.87268147
2015-11-04,69052255.70153731
2015-11-05,69147439.680404
2015-11-06,67253104.93705846
2015-11-07,68033870.13857399
2015-11-08,71542937.9398767
2015-11-09,77101526.25457591
2015-11-10,73512905.70220378
2015-11-11,63098772.97867934
2015-11-12,63424994.047242254
2015-11-13,65956584.26479552
2015-11-14,66805116.007188186
2015-11-15,67629979.31368977
2015-11-16,68601006.4807985
2015-11-17,71407425.16660017
2015-11-18,73347619.0833722
2015-11-19,73195646.18319234
2015-11-20,69150880.59307319
2015-11-21,70930506.58800554
2015-11-22,72589156.01081654
2015-11-23,71708496.80720708
2015-11-24,70141811.25346053
2015-11-25,65684044.81041731
2015-11-26,64841524.43788986
2015-11-27,66076811.78546463
2015-11-28,67766393.18526533
2015-11-29,66463400.8579596
2015-11-30,65401401.12976486
2015-12-01,65608658.041174196
2015-12-02,63558922.65659467
2015-12-03,61107173.95736105
2015-12-04,61568845.755978346
2015-12-05,63776310.33746557
2015-12-06,64246792.72349355
2015-12-07,60959163.86254886
2015-12-08,59759498.9513875
2015-12-09,59503193.73880949
2015-12-10,61430108.23287634
2015-12-11,64533019.95434748
2015-12-12,73399382.49187961
2015-12-13,73215717.90679596
2015-12-14,74723758.02679709
2015-12-15,76248493.69610576
2015-12-16,75187809.53397118
2015-12-17,71937015.15331817
2015-12-18,69639514.49894615
2015-12-19,68436336.3278761
2015-12-20,69036983.27263102
2015-12-21,68049863.26259622
2015-12-22,67710352.83215782
2015-12-23,65264585.31599299
2015-12-24,65521558.16261808
2015-12-25,65920327.238983
2015-12-26,66239809.74982882
2015-12-27,64878630.00250243
2015-12-28,64740455.20455859
2015-12-29,64304409.49186642
2015-12-30,67787533.45693508
2015-12-31,72450652.34036665
2016-01-01,71470351.8391214
2016-01-02,72525316.04014388
2016-01-03,73072972.71466495
