Date,blockchain/utxo_loss_count
2011-03-13,26267.0
2011-03-14,25556.0
2011-03-15,30512.0
2011-03-16,36163.0
2011-03-17,38404.0
2011-03-18,38534.0
2011-03-19,40106.0
2011-03-20,41159.0
2011-03-21,40569.0
2011-03-22,37407.0
2011-03-23,33514.0
2011-03-24,29900.0
2011-03-25,26342.0
2011-03-26,35413.0
2011-03-27,43958.0
2011-03-28,47872.0
2011-03-29,49566.0
2011-03-30,50708.0
2011-03-31,51617.0
2011-04-01,53693.0
2011-04-02,52489.0
2011-04-03,54309.0
2011-04-04,61112.0
2011-04-05,59628.0
2011-04-06,58464.0
2011-04-07,57193.0
2011-04-08,58215.0
2011-04-09,59746.0
2011-04-10,62423.0
2011-04-11,53988.0
2011-04-12,32201.0
2011-04-13,13644.0
2011-04-14,6293.0
2011-04-15,9893.0
2011-04-16,4308.0
2011-04-17,0.0
2011-04-18,453.0
2011-04-19,328.0
2011-04-20,6864.0
2011-04-21,0.0
2011-04-22,208.0
2011-04-23,359.0
2011-04-24,1714.0
2011-04-25,3738.0
2011-04-26,999.0
2011-04-27,1786.0
2011-04-28,976.0
2011-04-29,185.0
2011-04-30,1536.0
2011-05-01,4690.0
2011-05-02,4304.0
2011-05-03,2398.0
2011-05-04,4501.0
2011-05-05,8841.0
2011-05-06,5487.0
2011-05-07,1498.0
2011-05-08,157.0
2011-05-09,2492.0
2011-05-10,480.0
2011-05-11,3554.0
2011-05-12,247.0
2011-05-13,582.0
2011-05-14,7800.0
2011-05-15,6716.0
2011-05-16,5791.0
2011-05-17,18424.0
2011-05-18,23577.0
2011-05-19,26504.0
2011-05-20,41205.0
2011-05-21,35952.0
2011-05-22,30098.0
2011-05-23,18871.0
2011-05-24,11065.0
2011-05-25,2884.0
2011-05-26,2138.0
2011-05-27,10145.0
2011-05-28,19436.0
2011-05-29,14059.0
2011-05-30,2174.0
2011-05-31,10501.0
2011-06-01,900.0
2011-06-02,519.0
2011-06-03,646.0
2011-06-04,0.0
2011-06-05,13519.0
2011-06-06,9088.0
2011-06-07,157.0
2011-06-08,2818.0
2011-06-09,13884.0
2011-06-10,32038.0
2011-06-11,65118.0
2011-06-12,51888.0
2011-06-13,46752.0
2011-06-14,54918.0
2011-06-15,62131.0
2011-06-16,105645.0
2011-06-17,108737.0
2011-06-18,97394.0
2011-06-19,102761.0
2011-06-20,95237.0
2011-06-21,88834.0
2011-06-22,83843.0
2011-06-23,82561.0
2011-06-24,68478.0
2011-06-25,110668.0
2011-06-26,186589.0
2011-06-27,190063.0
2011-06-28,183137.0
2011-06-29,191854.0
2011-06-30,222776.0
2011-07-01,242334.0
2011-07-02,259609.0
2011-07-03,261060.0
2011-07-04,287539.0
2011-07-05,297315.0
2011-07-06,271011.0
2011-07-07,276724.0
2011-07-08,289910.0
2011-07-09,290346.0
2011-07-10,271182.0
2011-07-11,324276.0
2011-07-12,341122.0
2011-07-13,358144.0
2011-07-14,345109.0
2011-07-15,387462.0
2011-07-16,389904.0
2011-07-17,416162.0
2011-07-18,391682.0
2011-07-19,366709.0
2011-07-20,393771.0
2011-07-21,411390.0
2011-07-22,402731.0
2011-07-23,389459.0
2011-07-24,338780.0
2011-07-25,344714.0
2011-07-26,370555.0
2011-07-27,412949.0
2011-07-28,483629.0
2011-07-29,484658.0
2011-07-30,480921.0
2011-07-31,512805.0
2011-08-01,539347.0
2011-08-02,555837.0
2011-08-03,563521.0
2011-08-04,556116.0
2011-08-05,571610.0
2011-08-06,625303.0
2011-08-07,602551.0
2011-08-08,599255.0
2011-08-09,557080.0
2011-08-10,551702.0
2011-08-11,574284.0
2011-08-12,571458.0
2011-08-13,544446.0
2011-08-14,532219.0
2011-08-15,524734.0
2011-08-16,534989.0
2011-08-17,533472.0
2011-08-18,549364.0
2011-08-19,508055.0
2011-08-20,522561.0
2011-08-21,541987.0
2011-08-22,574362.0
2011-08-23,574254.0
2011-08-24,608132.0
2011-08-25,663948.0
2011-08-26,709927.0
2011-08-27,698471.0
2011-08-28,679344.0
2011-08-29,682793.0
2011-08-30,699292.0
2011-08-31,737349.0
2011-09-01,734841.0
2011-09-02,710505.0
2011-09-03,719981.0
2011-09-04,825357.0
2011-09-05,847123.0
2011-09-06,865514.0
2011-09-07,851509.0
2011-09-08,882472.0
2011-09-09,887369.0
2011-09-10,890537.0
2011-09-11,875652.0
2011-09-12,873772.0
2011-09-13,880039.0
2011-09-14,884744.0
2011-09-15,900388.0
2011-09-16,898475.0
2011-09-17,903043.0
2011-09-18,882282.0
2011-09-19,872812.0
2011-09-20,852792.0
2011-09-21,871744.0
2011-09-22,887874.0
2011-09-23,880559.0
2011-09-24,897665.0
2011-09-25,917629.0
2011-09-26,942307.0
2011-09-27,938449.0
2011-09-28,959845.0
2011-09-29,961501.0
2011-09-30,924417.0
2011-10-01,924859.0
2011-10-02,926750.0
2011-10-03,925248.0
2011-10-04,941396.0
2011-10-05,957165.0
2011-10-06,981760.0
2011-10-07,991697.0
2011-10-08,992168.0
2011-10-09,990110.0
2011-10-10,996902.0
2011-10-11,997571.0
2011-10-12,979201.0
2011-10-13,994434.0
2011-10-14,998961.0
2011-10-15,1009580.0
2011-10-16,1013936.0
2011-10-17,1019488.0
2011-10-18,1023668.0
2011-10-19,1024220.0
2011-10-20,1019985.0
2011-10-21,1012772.0
2011-10-22,1005559.0
2011-10-23,1004878.0
2011-10-24,1027418.0
2011-10-25,1019446.0
2011-10-26,1015067.0
2011-10-27,1001692.0
2011-10-28,994504.0
2011-10-29,987561.0
2011-10-30,997900.0
2011-10-31,995258.0
2011-11-01,1003882.0
2011-11-02,999115.0
2011-11-03,1009045.0
2011-11-04,1019767.0
2011-11-05,1029369.0
2011-11-06,1031504.0
2011-11-07,1019250.0
2011-11-08,1020671.0
2011-11-09,1042209.0
2011-11-10,1046011.0
2011-11-11,1015488.0
2011-11-12,1023327.0
2011-11-13,1027791.0
2011-11-14,1083759.0
2011-11-15,1077877.0
2011-11-16,1064281.0
2011-11-17,1082520.0
2011-11-18,1094562.0
2011-11-19,1087444.0
2011-11-20,1091669.0
2011-11-21,1072496.0
2011-11-22,1068642.0
2011-11-23,1069414.0
2011-11-24,1057286.0
2011-11-25,1052695.0
2011-11-26,1056595.0
2011-11-27,1055232.0
2011-11-28,1044286.0
2011-11-29,1035084.0
2011-11-30,1001586.0
2011-12-01,995358.0
2011-12-02,982039.0
2011-12-03,1043729.0
2011-12-04,1041264.0
2011-12-05,1028567.0
2011-12-06,1002206.0
2011-12-07,1025288.0
2011-12-08,1008201.0
2011-12-09,1016959.0
2011-12-10,987571.0
2011-12-11,959024.0
2011-12-12,963245.0
2011-12-13,963255.0
2011-12-14,984951.0
2011-12-15,964831.0
2011-12-16,961086.0
2011-12-17,973072.0
2011-12-18,967531.0
2011-12-19,939590.0
2011-12-20,928294.0
2011-12-21,936345.0
2011-12-22,937781.0
2011-12-23,932170.0
2011-12-24,928470.0
2011-12-25,906913.0
2011-12-26,924794.0
2011-12-27,916557.0
2011-12-28,905566.0
2011-12-29,912084.0
2011-12-30,902888.0
2011-12-31,893218.0
2012-01-01,839956.0
2012-01-02,846258.0
2012-01-03,879846.0
2012-01-04,798533.0
2012-01-05,753770.0
2012-01-06,767964.0
2012-01-07,764534.0
2012-01-08,752431.0
2012-01-09,789634.0
2012-01-10,777292.0
2012-01-11,748484.0
2012-01-12,761684.0
2012-01-13,789416.0
2012-01-14,762828.0
2012-01-15,741928.0
2012-01-16,780718.0
2012-01-17,844912.0
2012-01-18,828489.0
2012-01-19,800666.0
2012-01-20,800320.0
2012-01-21,823783.0
2012-01-22,808838.0
2012-01-23,802442.0
2012-01-24,814716.0
2012-01-25,863820.0
2012-01-26,909723.0
2012-01-27,911539.0
2012-01-28,862383.0
2012-01-29,907880.0
2012-01-30,887049.0
2012-01-31,909322.0
2012-02-01,823021.0
2012-02-02,824565.0
2012-02-03,836391.0
2012-02-04,853104.0
2012-02-05,870090.0
2012-02-06,913821.0
2012-02-07,862115.0
2012-02-08,882371.0
2012-02-09,843553.0
2012-02-10,833539.0
2012-02-11,896310.0
2012-02-12,925262.0
2012-02-13,973867.0
2012-02-14,1038673.0
2012-02-15,1045090.0
2012-02-16,1047139.0
2012-02-17,1037001.0
2012-02-18,1054653.0
2012-02-19,1036024.0
2012-02-20,1035458.0
2012-02-21,1044687.0
2012-02-22,1022001.0
2012-02-23,957720.0
2012-02-24,954768.0
2012-02-25,1008582.0
2012-02-26,978803.0
2012-02-27,972763.0
2012-02-28,992906.0
2012-02-29,1002804.0
2012-03-01,984647.0
2012-03-02,1042085.0
2012-03-03,1055590.0
2012-03-04,1013299.0
2012-03-05,944836.0
2012-03-06,942303.0
2012-03-07,979650.0
2012-03-08,977650.0
2012-03-09,1017970.0
2012-03-10,966970.0
2012-03-11,1000087.0
2012-03-12,1068288.0
2012-03-13,909842.0
2012-03-14,893455.0
2012-03-15,905317.0
2012-03-16,904156.0
2012-03-17,946995.0
2012-03-18,951270.0
2012-03-19,1107733.0
2012-03-20,1066315.0
2012-03-21,1093330.0
2012-03-22,1103254.0
2012-03-23,1115046.0
2012-03-24,1118381.0
2012-03-25,1138821.0
2012-03-26,1129146.0
2012-03-27,1052160.0
2012-03-28,1059708.0
2012-03-29,1088221.0
2012-03-30,1026554.0
2012-03-31,1006073.0
2012-04-01,1078377.0
2012-04-02,953004.0
2012-04-03,967487.0
2012-04-04,988995.0
2012-04-05,988207.0
2012-04-06,964180.0
2012-04-07,1141693.0
2012-04-08,1089441.0
2012-04-09,1043617.0
2012-04-10,1052367.0
2012-04-11,974692.0
2012-04-12,1010251.0
2012-04-13,967316.0
2012-04-14,947761.0
2012-04-15,944857.0
2012-04-16,949435.0
2012-04-17,945545.0
2012-04-18,914959.0
2012-04-19,921664.0
2012-04-20,873658.0
2012-04-21,904637.0
2012-04-22,918032.0
2012-04-23,985750.0
2012-04-24,957905.0
2012-04-25,933387.0
2012-04-26,956922.0
2012-04-27,950615.0
2012-04-28,1010494.0
2012-04-29,1062755.0
2012-04-30,1029084.0
2012-05-01,981917.0
2012-05-02,970165.0
2012-05-03,930194.0
2012-05-04,983160.0
2012-05-05,976558.0
2012-05-06,994177.0
2012-05-07,960410.0
2012-05-08,1000811.0
2012-05-09,1007779.0
2012-05-10,1156980.0
2012-05-11,1064131.0
2012-05-12,1075209.0
2012-05-13,1126874.0
2012-05-14,1011344.0
2012-05-15,1000897.0
2012-05-16,992272.0
2012-05-17,932276.0
2012-05-18,917424.0
2012-05-19,922498.0
2012-05-20,954531.0
2012-05-21,958723.0
2012-05-22,945263.0
2012-05-23,915065.0
2012-05-24,931260.0
2012-05-25,940909.0
2012-05-26,961732.0
2012-05-27,920825.0
2012-05-28,914164.0
2012-05-29,916843.0
2012-05-30,926285.0
2012-05-31,887281.0
2012-06-01,873686.0
2012-06-02,884563.0
2012-06-03,1018935.0
2012-06-04,881201.0
2012-06-05,842046.0
2012-06-06,841213.0
2012-06-07,807686.0
2012-06-08,804545.0
2012-06-09,837823.0
2012-06-10,866786.0
2012-06-11,842305.0
2012-06-12,785787.0
2012-06-13,771329.0
2012-06-14,763490.0
2012-06-15,726429.0
2012-06-16,743777.0
2012-06-17,786190.0
2012-06-18,769494.0
2012-06-19,754737.0
2012-06-20,716025.0
2012-06-21,727594.0
2012-06-22,754493.0
2012-06-23,795059.0
2012-06-24,817419.0
2012-06-25,828019.0
2012-06-26,778590.0
2012-06-27,732030.0
2012-06-28,742201.0
2012-06-29,725707.0
2012-06-30,719057.0
2012-07-01,767531.0
2012-07-02,706240.0
2012-07-03,857912.0
2012-07-04,852210.0
2012-07-05,755073.0
2012-07-06,737058.0
2012-07-07,706159.0
2012-07-08,708011.0
2012-07-09,690566.0
2012-07-10,676814.0
2012-07-11,684257.0
2012-07-12,662758.0
2012-07-13,673620.0
2012-07-14,692492.0
2012-07-15,671529.0
2012-07-16,555662.0
2012-07-17,532908.0
2012-07-18,527466.0
2012-07-19,557229.0
2012-07-20,582398.0
2012-07-21,554510.0
2012-07-22,656101.0
2012-07-23,635553.0
2012-07-24,619520.0
2012-07-25,562581.0
2012-07-26,548014.0
2012-07-27,552903.0
2012-07-28,597032.0
2012-07-29,633786.0
2012-07-30,530156.0
2012-07-31,513338.0
2012-08-01,505897.0
2012-08-02,480172.0
2012-08-03,449125.0
2012-08-04,466257.0
2012-08-05,443070.0
2012-08-06,486289.0
2012-08-07,453098.0
2012-08-08,430065.0
2012-08-09,439281.0
2012-08-10,413606.0
2012-08-11,400872.0
2012-08-12,405641.0
2012-08-13,393959.0
2012-08-14,397419.0
2012-08-15,374547.0
2012-08-16,356396.0
2012-08-17,503553.0
2012-08-18,532424.0
2012-08-19,1018846.0
2012-08-20,709360.0
2012-08-21,723404.0
2012-08-22,757372.0
2012-08-23,699188.0
2012-08-24,657962.0
2012-08-25,655564.0
2012-08-26,657166.0
2012-08-27,604378.0
2012-08-28,623971.0
2012-08-29,682632.0
2012-08-30,685395.0
2012-08-31,782146.0
2012-09-01,809846.0
2012-09-02,768340.0
2012-09-03,721562.0
2012-09-04,757133.0
2012-09-05,580642.0
2012-09-06,537046.0
2012-09-07,560085.0
2012-09-08,585123.0
2012-09-09,593127.0
2012-09-10,573627.0
2012-09-11,522837.0
2012-09-12,520408.0
2012-09-13,504608.0
2012-09-14,447389.0
2012-09-15,495899.0
2012-09-16,451256.0
2012-09-17,443388.0
2012-09-18,430834.0
2012-09-19,418546.0
2012-09-20,459607.0
2012-09-21,486548.0
2012-09-22,493404.0
2012-09-23,497692.0
2012-09-24,526449.0
2012-09-25,490052.0
2012-09-26,444490.0
2012-09-27,473813.0
2012-09-28,573319.0
2012-09-29,468713.0
2012-09-30,535312.0
2012-10-01,560883.0
2012-10-02,401488.0
