Date,transactions/transfers_count
2016-03-26,28160.0
2016-03-27,29588.0
2016-03-28,33167.0
2016-03-29,32015.0
2016-03-30,35243.0
2016-03-31,30676.0
2016-04-01,32710.0
2016-04-02,28848.0
2016-04-03,29204.0
2016-04-04,33763.0
2016-04-05,30614.0
2016-04-06,31351.0
2016-04-07,31346.0
2016-04-08,33537.0
2016-04-09,31461.0
2016-04-10,31707.0
2016-04-11,29902.0
2016-04-12,32228.0
2016-04-13,31259.0
2016-04-14,31608.0
2016-04-15,30767.0
2016-04-16,30057.0
2016-04-17,31699.0
2016-04-18,33048.0
2016-04-19,32242.0
2016-04-20,32047.0
2016-04-21,31556.0
2016-04-22,30842.0
2016-04-23,31289.0
2016-04-24,33348.0
2016-04-25,32031.0
2016-04-26,31529.0
2016-04-27,32321.0
2016-04-28,32484.0
2016-04-29,34303.0
2016-04-30,38806.0
2016-05-01,36165.0
2016-05-02,40153.0
2016-05-03,36513.0
2016-05-04,35684.0
2016-05-05,35901.0
2016-05-06,36797.0
2016-05-07,34436.0
2016-05-08,38398.0
2016-05-09,36647.0
2016-05-10,39063.0
2016-05-11,38340.0
2016-05-12,42181.0
2016-05-13,45307.0
2016-05-14,43697.0
2016-05-15,38247.0
2016-05-16,35986.0
2016-05-17,38493.0
2016-05-18,44169.0
2016-05-19,41833.0
2016-05-20,40839.0
2016-05-21,39737.0
2016-05-22,36765.0
2016-05-23,42002.0
2016-05-24,41233.0
2016-05-25,41264.0
2016-05-26,47634.0
2016-05-27,45260.0
2016-05-28,46661.0
2016-05-29,39172.0
2016-05-30,38026.0
2016-05-31,39431.0
2016-06-01,37378.0
2016-06-02,37206.0
2016-06-03,37573.0
2016-06-04,34570.0
2016-06-05,35681.0
2016-06-06,36349.0
2016-06-07,37097.0
2016-06-08,37799.0
2016-06-09,36847.0
2016-06-10,36706.0
2016-06-11,33533.0
2016-06-12,39354.0
2016-06-13,40782.0
2016-06-14,43488.0
2016-06-15,39956.0
2016-06-16,38357.0
2016-06-17,51100.0
2016-06-18,47276.0
2016-06-19,43969.0
2016-06-20,39601.0
2016-06-21,41968.0
2016-06-22,42480.0
2016-06-23,38216.0
2016-06-24,39511.0
2016-06-25,34397.0
2016-06-26,38901.0
2016-06-27,37041.0
2016-06-28,40070.0
2016-06-29,38352.0
2016-06-30,37938.0
2016-07-01,37369.0
2016-07-02,37570.0
2016-07-03,37218.0
2016-07-04,37092.0
2016-07-05,36467.0
2016-07-06,35865.0
2016-07-07,38363.0
2016-07-08,38389.0
2016-07-09,36804.0
2016-07-10,37280.0
2016-07-11,36688.0
2016-07-12,37682.0
2016-07-13,33621.0
2016-07-14,39375.0
2016-07-15,38166.0
2016-07-16,35537.0
2016-07-17,32642.0
2016-07-18,35679.0
2016-07-19,41323.0
2016-07-20,41314.0
2016-07-21,39051.0
2016-07-22,43435.0
2016-07-23,40049.0
2016-07-24,53779.0
2016-07-25,50585.0
2016-07-26,58396.0
2016-07-27,46163.0
2016-07-28,45530.0
2016-07-29,43001.0
2016-07-30,39342.0
2016-07-31,43274.0
2016-08-01,43266.0
2016-08-02,45642.0
2016-08-03,46477.0
2016-08-04,44807.0
2016-08-05,41661.0
2016-08-06,40399.0
2016-08-07,41283.0
2016-08-08,41077.0
2016-08-09,44700.0
2016-08-10,42768.0
2016-08-11,45971.0
2016-08-12,40663.0
2016-08-13,38530.0
2016-08-14,39635.0
2016-08-15,40779.0
2016-08-16,42718.0
2016-08-17,41220.0
2016-08-18,42031.0
2016-08-19,40837.0
2016-08-20,39070.0
2016-08-21,40708.0
2016-08-22,40784.0
2016-08-23,44246.0
2016-08-24,41565.0
2016-08-25,43771.0
2016-08-26,41054.0
2016-08-27,42254.0
2016-08-28,40932.0
2016-08-29,40205.0
2016-08-30,41521.0
2016-08-31,43438.0
2016-09-01,44283.0
2016-09-02,42221.0
2016-09-03,41718.0
2016-09-04,41016.0
2016-09-05,40794.0
2016-09-06,42897.0
2016-09-07,39548.0
2016-09-08,45603.0
2016-09-09,43522.0
2016-09-10,40513.0
2016-09-11,41923.0
2016-09-12,41938.0
2016-09-13,40605.0
2016-09-14,43872.0
2016-09-15,43157.0
2016-09-16,46302.0
2016-09-17,42548.0
2016-09-18,35776.0
2016-09-19,39497.0
2016-09-20,50686.0
2016-09-21,40687.0
2016-09-22,37437.0
2016-09-23,33659.0
2016-09-24,37425.0
2016-09-25,36645.0
2016-09-26,38964.0
2016-09-27,37697.0
2016-09-28,37191.0
2016-09-29,38565.0
2016-09-30,34297.0
2016-10-01,39072.0
2016-10-02,41729.0
2016-10-03,38867.0
2016-10-04,43962.0
2016-10-05,30129.0
2016-10-06,29632.0
2016-10-07,35544.0
2016-10-08,34094.0
2016-10-09,40431.0
2016-10-10,41154.0
2016-10-11,35314.0
2016-10-12,21972.0
2016-10-13,17152.0
2016-10-14,30260.0
2016-10-15,22231.0
2016-10-16,30885.0
2016-10-17,33686.0
2016-10-18,43020.0
2016-10-19,26304.0
2016-10-20,38303.0
2016-10-21,52990.0
2016-10-22,35897.0
2016-10-23,34219.0
2016-10-24,38657.0
2016-10-25,37003.0
2016-10-26,37611.0
2016-10-27,37638.0
2016-10-28,37244.0
2016-10-29,35300.0
2016-10-30,33629.0
2016-10-31,41278.0
2016-11-01,39262.0
2016-11-02,38430.0
2016-11-03,37845.0
2016-11-04,29803.0
2016-11-05,34927.0
2016-11-06,31889.0
2016-11-07,38541.0
2016-11-08,38264.0
2016-11-09,37393.0
2016-11-10,35054.0
2016-11-11,35784.0
2016-11-12,36727.0
2016-11-13,38609.0
2016-11-14,35893.0
2016-11-15,38120.0
2016-11-16,35925.0
2016-11-17,35045.0
2016-11-18,37614.0
2016-11-19,34980.0
2016-11-20,36793.0
2016-11-21,35963.0
2016-11-22,46960.0
2016-11-23,59474.0
2016-11-24,31823.0
2016-11-25,45313.0
2016-11-26,31508.0
2016-11-27,32100.0
2016-11-28,34663.0
2016-11-29,33299.0
2016-11-30,32063.0
2016-12-01,31015.0
2016-12-02,34465.0
2016-12-03,34841.0
2016-12-04,34389.0
2016-12-05,34681.0
2016-12-06,39298.0
2016-12-07,33288.0
2016-12-08,34257.0
2016-12-09,36218.0
2016-12-10,35532.0
2016-12-11,34174.0
2016-12-12,34874.0
2016-12-13,35098.0
2016-12-14,35487.0
2016-12-15,35540.0
2016-12-16,36052.0
2016-12-17,33312.0
2016-12-18,31362.0
2016-12-19,37538.0
2016-12-20,36289.0
2016-12-21,37237.0
2016-12-22,43174.0
2016-12-23,36795.0
2016-12-24,33347.0
2016-12-25,31947.0
2016-12-26,30682.0
2016-12-27,33490.0
2016-12-28,34321.0
2016-12-29,36343.0
2016-12-30,34493.0
2016-12-31,35052.0
2017-01-01,33364.0
2017-01-02,33281.0
2017-01-03,34517.0
2017-01-04,41443.0
2017-01-05,40695.0
2017-01-06,37477.0
2017-01-07,37307.0
2017-01-08,35642.0
2017-01-09,38665.0
2017-01-10,37198.0
2017-01-11,38099.0
2017-01-12,39262.0
2017-01-13,38174.0
2017-01-14,35268.0
2017-01-15,34575.0
2017-01-16,37928.0
2017-01-17,37704.0
2017-01-18,37778.0
