Date,transactions/transfers_volume_exchanges_net
2012-03-15,301.6018456500001
2012-03-16,-1570.01457082
2012-03-17,247.8867139
2012-03-18,84.61408530999995
2012-03-19,1022.5993711200001
2012-03-20,229.93219580999997
2012-03-21,336.84406277
2012-03-22,-579.2653604499999
2012-03-23,-186.61582291999997
2012-03-24,525.47036592
2012-03-25,-113.54351276000001
2012-03-26,334.44902970000004
2012-03-27,532.88517763
2012-03-28,-1764.0971852100001
2012-03-29,266.93652481
2012-03-30,823.2661994499999
2012-03-31,45.22790573000003
2012-04-01,401.23808565999997
2012-04-02,-1266.95115207
2012-04-03,349.70233792999994
2012-04-04,263.3752802
2012-04-05,1091.10546207
2012-04-06,-1260.6723397300002
2012-04-07,523.99026772
2012-04-08,25.489204940000036
2012-04-09,160.55134185999998
2012-04-10,348.47320148000006
2012-04-11,353.91675083
2012-04-12,843.9426844000002
2012-04-13,132.76307653000003
2012-04-14,-1669.95306111
2012-04-15,101.49358037
2012-04-16,-2404.6124519600003
2012-04-17,-1895.49030211
2012-04-18,1033.93495987
2012-04-19,-349.60173999999995
2012-04-20,-369.3410849999999
2012-04-21,24.78662903999998
2012-04-22,526.31086489
2012-04-23,299.13081892000014
2012-04-24,-1102.7611035700002
2012-04-25,431.00868750000006
2012-04-26,402.82007753000005
2012-04-27,-224.55397302000006
2012-04-28,787.0480012300001
2012-04-29,-36.61277089999999
2012-04-30,-33.44261233999998
2012-05-01,-1443.86904015
2012-05-02,605.60596403
2012-05-03,711.6880180600001
2012-05-04,-224.02487087999998
2012-05-05,326.8604045100001
2012-05-06,-101.41337395000005
2012-05-07,559.83166695
2012-05-08,-231.92400020000002
2012-05-09,599.95294051
2012-05-10,-1234.9089999999999
2012-05-11,241.97509067
2012-05-12,264.80889405
2012-05-13,-360.6537202
2012-05-14,244.10786369999994
2012-05-15,-211.55920823000002
2012-05-16,-208.10809056999994
2012-05-17,424.50336125
2012-05-18,-1220.14122286
2012-05-19,646.52153114
2012-05-20,-1155.30099939
2012-05-21,219.66763247999984
2012-05-22,341.6601333000001
2012-05-23,-549.61112034
2012-05-24,1120.38818956
2012-05-25,1310.81702896
2012-05-26,-1564.73532137
2012-05-27,597.17650007
2012-05-28,20.931003809999996
2012-05-29,331.0070629800002
2012-05-30,-1910.6563041099998
2012-05-31,1175.6998589099999
2012-06-01,-510.99972581
2012-06-02,403.37848703
2012-06-03,1001.4126999999999
2012-06-04,-1578.2932969100002
2012-06-05,754.7401978799999
2012-06-06,-67.43065092999996
2012-06-07,4317.80360847
2012-06-08,-2876.6450836699996
2012-06-09,-1425.32515161
2012-06-10,-24.890349170000036
2012-06-11,2712.3863148499995
2012-06-12,4574.024493859999
2012-06-13,-7405.11772585
2012-06-14,831.9184142799986
2012-06-15,181.43346698000005
2012-06-16,672.18063628
2012-06-17,-1761.8249255499998
2012-06-18,-763.3880194200001
2012-06-19,4338.65554154
2012-06-20,-1176.6310911699998
2012-06-21,5439.734450970001
2012-06-22,-5537.988838750001
2012-06-23,1607.4559605999998
2012-06-24,-102.29220524000004
2012-06-25,4650.34884483
2012-06-26,-8440.00022858
2012-06-27,55.01866981999956
2012-06-28,-1003.0844142999999
2012-06-29,2292.06105174
2012-06-30,947.8707416299999
2012-07-01,255.54764270999996
2012-07-02,-1423.5215763300002
2012-07-03,-1446.5702652100001
2012-07-04,812.5343259899992
2012-07-05,395.61623967000014
2012-07-06,159.42098339000017
2012-07-07,-1512.6150832600001
2012-07-08,131.96582706999993
2012-07-09,-207.91649337
2012-07-10,-58.26913737000018
2012-07-11,-39.82798262000006
2012-07-12,2350.6059795700003
2012-07-13,794.2757772500001
2012-07-14,-1211.7039536300001
2012-07-15,3126.6208003399997
2012-07-16,-3337.48094161
2012-07-17,240.95248421999986
2012-07-18,2114.1228574799998
2012-07-19,1234.15484886
2012-07-20,-4895.28566833
2012-07-21,1091.64514713
2012-07-22,1046.68222711
2012-07-23,74.90973794999991
2012-07-24,2656.99178218
2012-07-25,-2528.1454621699995
2012-07-26,248.24871499000005
2012-07-27,1223.38442402
2012-07-28,895.1373899399999
2012-07-29,95.66840738000008
2012-07-30,-1469.3756658700001
2012-07-31,-3924.45809494
2012-08-01,1154.4518951100001
2012-08-02,519.2603076600003
2012-08-03,662.44425584
2012-08-04,407.09887492999997
2012-08-05,-2666.172455169999
2012-08-06,-240.15437236999992
2012-08-07,753.49447756
2012-08-08,870.20932481
2012-08-09,1115.90453211
2012-08-10,-1362.6317297300002
2012-08-11,-1058.36145741
2012-08-12,15.511284909999972
2012-08-13,1569.67668401
2012-08-14,1084.06978292
2012-08-15,-147.53704973000004
2012-08-16,-140.20299593999994
2012-08-17,1482.2673635499996
2012-08-18,-3974.29311499
2012-08-19,1473.5313266800001
2012-08-20,-968.3377866899998
2012-08-21,1284.3130669500001
2012-08-22,2567.8791233600004
2012-08-23,64.01133221000009
2012-08-24,-946.5122389200001
2012-08-25,-167.22468771000013
2012-08-26,83.41569256999992
2012-08-27,377.7930550599999
2012-08-28,-1512.5098246800003
2012-08-29,-1922.6918318999997
2012-08-30,2196.30722232
2012-08-31,129.90289065000002
2012-09-01,-309.17720697
2012-09-02,-138.18551185
2012-09-03,1120.68067761
2012-09-04,-966.7100811599998
2012-09-05,-1189.17451457
2012-09-06,327.53717119999965
2012-09-07,1426.9208433
2012-09-08,-2218.55387739
2012-09-09,-837.50891654
2012-09-10,1099.29942245
2012-09-11,-1165.5578114600003
2012-09-12,700.2796898700001
2012-09-13,345.84964921000005
2012-09-14,-524.1719739100001
2012-09-15,159.75358064000005
2012-09-16,-682.3845255900001
2012-09-17,104.34883247999994
2012-09-18,567.04814781
2012-09-19,593.4325254300002
2012-09-20,23.316976709999835
2012-09-21,-1130.0057572300002
2012-09-22,565.2506113200001
2012-09-23,437.78295001000015
2012-09-24,-1172.46724898
2012-09-25,211.48268538999992
2012-09-26,777.7900929400002
2012-09-27,-608.1221284100002
2012-09-28,-369.98747992000017
2012-09-29,202.83917326
2012-09-30,128.65911966999994
2012-10-01,527.2263952199999
2012-10-02,716.10233291225
2012-10-03,-360.14741783000045
2012-10-04,-519.9931405899997
2012-10-05,1680.9709718000004
2012-10-06,828.16222404
2012-10-07,1746.9463917200005
2012-10-08,-4819.84730785
2012-10-09,8.290783229999988
2012-10-10,571.12429109
2012-10-11,-485.7765334400001
2012-10-12,779.6513999699999
2012-10-13,444.59390402999986
2012-10-14,639.70768432
2012-10-15,-2105.5928236400005
2012-10-16,2088.5922909
2012-10-17,-1212.2041013399999
2012-10-18,1254.77758214
2012-10-19,-1701.9482186199998
