Date,transactions/transfers_volume_adjusted_median
2011-10-27,18.21974877
2011-10-28,19.84351798
2011-10-29,19.826
2011-10-30,14.91
2011-10-31,13.52051
2011-11-01,17.44111
2011-11-02,19.175
2011-11-03,16.74988061
2011-11-04,18.6511656
2011-11-05,18.46819863
2011-11-06,19.23
2011-11-07,19.29024046
2011-11-08,19.8
2011-11-09,16.92981682
2011-11-10,15.55589997
2011-11-11,19.99
2011-11-12,21.41358987
2011-11-13,14.41598509
2011-11-14,20.0115
2011-11-15,20.6320228
2011-11-16,20.5903567
2011-11-17,27.99
2011-11-18,20.01
2011-11-19,5.3995
2011-11-20,5.620405
2011-11-21,5.1995
2011-11-22,7.196
2011-11-23,9.0
2011-11-24,5.91
2011-11-25,6.834214
2011-11-26,6.94347906
2011-11-27,5.0
2011-11-28,6.0
2011-11-29,6.42090009
2011-11-30,5.495028
2011-12-01,6.49
2011-12-02,7.3
2011-12-03,5.1
2011-12-04,4.84
2011-12-05,3.79024161
2011-12-06,2.56
2011-12-07,5.57
2011-12-08,5.25
2011-12-09,6.20000671
2011-12-10,8.31
2011-12-11,5.54398571
2011-12-12,5.02
2011-12-13,5.01092313
2011-12-14,5.03
2011-12-15,6.3235
2011-12-16,9.0744
2011-12-17,4.74977611
2011-12-18,3.38604945
2011-12-19,7.03742146
2011-12-20,7.84264
2011-12-21,5.09
2011-12-22,5.39
2011-12-23,4.1
2011-12-24,3.072
2011-12-25,3.73363368
2011-12-26,3.42468
2011-12-27,3.6095
2011-12-28,4.57112724
2011-12-29,4.61441353
2011-12-30,4.0
2011-12-31,4.32
2012-01-01,4.0293861
2012-01-02,4.0
2012-01-03,4.0
2012-01-04,5.0104988
2012-01-05,5.05386718
2012-01-06,5.39541278
2012-01-07,4.26
2012-01-08,3.99132313
2012-01-09,3.55
2012-01-10,3.617
2012-01-11,3.1
2012-01-12,2.60759226
2012-01-13,3.254586
2012-01-14,2.79
2012-01-15,2.99
2012-01-16,2.07
2012-01-17,3.28605439
2012-01-18,5.001
2012-01-19,3.07
2012-01-20,3.0
2012-01-21,3.33
2012-01-22,2.56819263
2012-01-23,2.5
2012-01-24,3.12
2012-01-25,3.80221263
2012-01-26,3.04602196
2012-01-27,3.5195
2012-01-28,3.02941199
2012-01-29,2.704
2012-01-30,3.00287376
2012-01-31,4.44
2012-02-01,3.36061026
2012-02-02,3.9
2012-02-03,4.6
2012-02-04,3.30059017
2012-02-05,3.14
2012-02-06,3.82
2012-02-07,4.16010659
2012-02-08,3.5805
2012-02-09,2.94996437
2012-02-10,2.05329288
2012-02-11,2.07190173
2012-02-12,2.83
2012-02-13,3.30942999
2012-02-14,2.5505
2012-02-15,1.14
2012-02-16,1.27
2012-02-17,4.599
2012-02-18,4.02160092
2012-02-19,2.4995
2012-02-20,3.34
2012-02-21,4.48742867
2012-02-22,5.19
2012-02-23,3.65316488
2012-02-24,4.9495
2012-02-25,4.21397363
2012-02-26,3.16
2012-02-27,3.9995
2012-02-28,4.22832
2012-02-29,4.17510735
2012-03-01,6.20464
2012-03-02,5.12
2012-03-03,4.62014441
2012-03-04,5.0
2012-03-05,4.1924417
2012-03-06,4.42077
2012-03-07,4.349
2012-03-08,4.5495
2012-03-09,5.0
2012-03-10,3.981
2012-03-11,3.31418023
2012-03-12,4.44944655
2012-03-13,4.945919
2012-03-14,5.05
2012-03-15,4.01998309
