Date,indicators/realized_profit
2010-07-17,0.0
2010-07-18,84.7329375
2010-07-19,215.1101076
2010-07-20,44.2679751666667
2010-07-21,9.8383281
2010-07-22,75.5203498333333
2010-07-23,12.463099765942
2010-07-24,9.30195991666665
2010-07-25,17.6110352833333
2010-07-26,18.6427366666667
2010-07-27,33.4651630277777
2010-07-28,151.531598338889
2010-07-29,71.3225044777778
2010-07-30,127.994982188889
2010-07-31,26.6161878666667
2010-08-01,84.594154288889
2010-08-02,66.4634138333334
2010-08-03,37.9525997055555
2010-08-04,3.1696593
2010-08-05,22.0998415444445
2010-08-06,17.5487059333333
2010-08-07,11.16048955
2010-08-08,3.95289870000001
2010-08-09,282.800761298291
2010-08-10,90.8035011694446
2010-08-11,133.232137101068
2010-08-12,14.8141546681159
2010-08-13,46.6723612777779
2010-08-14,14.8916110904762
2010-08-15,6.94272223333334
2010-08-16,52.3721753611111
2010-08-17,105.947677966667
2010-08-18,117.378129244444
2010-08-19,35.5549743999999
2010-08-20,8.70683653333334
2010-08-21,14.2273958
2010-08-22,5.43945803333332
2010-08-23,21.5649532333334
2010-08-24,18.7223105
2010-08-25,10.2347877666667
2010-08-26,5.58120266666665
2010-08-27,30.9561067666667
2010-08-28,9.7180981109711
2010-08-29,3.89937467777778
2010-08-30,3.23989246990399
2010-08-31,44.2023638777778
2010-09-01,4.74687542222223
2010-09-02,7.53303180011904
2010-09-03,6.21997146666666
2010-09-04,3.62898059999999
2010-09-05,100.529733908333
2010-09-06,14.48051689712
2010-09-07,0.498927500000001
2010-09-08,4.27480084999997
2010-09-09,6.85681405927162
2010-09-10,1.5937908
2010-09-11,3.24663373333333
2010-09-12,4.66024945004999
2010-09-13,30.1050172777778
2010-09-14,14.39380995
2010-09-15,73.764640179627
2010-09-16,17.3364136027778
2010-09-17,2.67380266666667
2010-09-18,5.62369449999999
2010-09-19,35.024939791408
2010-09-20,23.3109076666666
2010-09-21,19.2163383002289
2010-09-22,12.1797717333333
2010-09-23,44.1090796044442
2010-09-24,3.7143955333334
2010-09-25,15.0278794416667
2010-09-26,9.84462064722222
2010-09-27,1.77670709999999
2010-09-28,4.29450075000002
2010-09-29,12.6508712166666
2010-09-30,6.22402729999999
2010-10-01,40.283058375
2010-10-02,18.8375453833336
2010-10-03,4.24270973333336
2010-10-04,2.65265470000001
2010-10-05,69.8843541000549
2010-10-06,81.7389958722108
2010-10-07,184.712485720109
2010-10-08,1096.05233029167
2010-10-09,2646.8874294303
2010-10-10,1978.32565716667
2010-10-11,1018.10581782368
2010-10-12,288.145495703226
2010-10-13,260.048936931883
2010-10-14,637.653270896774
2010-10-15,2337.38221660833
2010-10-16,475.756877522805
2010-10-17,115.602636861111
2010-10-18,366.927598493279
2010-10-19,192.036720504167
2010-10-20,443.176399949999
2010-10-21,2355.59741710978
2010-10-22,251.342844407901
2010-10-23,216.698685811905
2010-10-24,2444.22583281667
2010-10-25,1870.16275366667
2010-10-26,3410.35699708334
2010-10-27,4369.77770253333
2010-10-28,7412.89115715
2010-10-29,1385.27820011786
2010-10-30,1390.48809877665
2010-10-31,2735.83476659564
2010-11-01,477.208986019048
2010-11-02,1994.21520033571
2010-11-03,1307.9853152
2010-11-04,10484.2269198046
2010-11-05,1563.54230741905
2010-11-06,4764.37373705513
2010-11-07,5160.54584244008
2010-11-08,34279.2967026651
2010-11-09,1903.75887158333
2010-11-10,633.114694412191
2010-11-11,830.979006740259
2010-11-12,429.362766545454
2010-11-13,1947.69066776818
2010-11-14,1316.81576705628
2010-11-15,1043.75524165606
2010-11-16,1131.94619243333
2010-11-17,948.496371823809
2010-11-18,1006.02318459435
2010-11-19,2303.68645784026
2010-11-20,2373.46716641818
2010-11-21,699.351917269694
2010-11-22,460.055812335714
2010-11-23,750.839211106667
2010-11-24,545.051967916759
2010-11-25,1817.4106926834
2010-11-26,717.688239950001
2010-11-27,386.764790361905
2010-11-28,319.506380872022
2010-11-29,389.460194328688
2010-11-30,691.254703366667
2010-12-01,213.684095790476
2010-12-02,3135.74662160089
2010-12-03,453.93162859375
2010-12-04,752.088328456705
2010-12-05,841.989261114361
2010-12-06,5216.85701573333
2010-12-07,1897.43561668217
2010-12-08,625.556985800724
2010-12-09,431.283353928471
2010-12-10,406.402810683333
2010-12-11,724.72009926078
2010-12-12,272.356786841006
2010-12-13,2228.88660106401
2010-12-14,175.934859053832
2010-12-15,2216.97433580854
2010-12-16,603.159741520619
2010-12-17,294.156242489064
2010-12-18,917.290519712378
2010-12-19,386.967646500046
2010-12-20,591.257199100764
2010-12-21,664.178576289811
2010-12-22,262.558684918941
2010-12-23,397.416432645
2010-12-24,105.07804638717
2010-12-25,428.524257333333
2010-12-26,433.704688854627
2010-12-27,755.42475544325
2010-12-28,743.540400613848
2010-12-29,5952.15444670904
2010-12-30,1337.00434520324
2010-12-31,564.553722877567
2011-01-01,339.86188515
2011-01-02,1440.83827926136
2011-01-03,1165.33101524295
2011-01-04,310.93879166589
2011-01-05,565.47695749336
2011-01-06,122.826332009778
2011-01-07,905.338605562515
2011-01-08,1086.83499698333
2011-01-09,775.279472751233
2011-01-10,5293.25963803773
2011-01-11,2797.06264966162
2011-01-12,646.51381646702
2011-01-13,11201.4478182753
2011-01-14,3163.47805596135
2011-01-15,1766.51155820765
2011-01-16,4373.41463952718
2011-01-17,2933.93315271779
2011-01-18,1853.86067848092
2011-01-19,3078.12644189225
2011-01-20,1798.87757381162
2011-01-21,2424.23472475365
2011-01-22,3738.77975889429
2011-01-23,7982.15571919375
2011-01-24,3958.83725829289
