Date,indicators/cvdd
2010-07-17,9.58372142857143e-09
2010-07-18,2.88076543660724e-05
2010-07-19,4.02362213597864e-05
2010-07-20,4.20964954873099e-05
2010-07-21,6.10990642230791e-05
2010-07-22,6.58202992010965e-05
2010-07-23,7.23011096773509e-05
2010-07-24,0.000111425723399569
2010-07-25,0.000121802142054323
2010-07-26,0.000204390323165241
2010-07-27,0.000230903637069159
2010-07-28,0.000235057414093718
2010-07-29,0.000235734465020817
2010-07-30,0.000237497324870219
2010-07-31,0.000246015558170725
2010-08-01,0.000258998064416284
2010-08-02,0.000260226154925978
2010-08-03,0.000266135426512703
2010-08-04,0.000279818686436989
2010-08-05,0.000281599373299648
2010-08-06,0.000286065132818097
2010-08-07,0.000303489288667325
2010-08-08,0.000311798307238343
2010-08-09,0.000324163165542042
2010-08-10,0.000333072198226852
2010-08-11,0.000338128029937636
2010-08-12,0.000338611886481201
2010-08-13,0.00034587066160495
2010-08-14,0.000346031314228666
2010-08-15,0.000348243514546897
2010-08-16,0.00035569256367614
2010-08-17,0.00035800224859875
2010-08-18,0.000367498147333137
2010-08-19,0.000368681342445279
2010-08-20,0.000369961745256679
2010-08-21,0.000377891587452186
2010-08-22,0.000386135556391752
2010-08-23,0.000386274312117812
2010-08-24,0.000388002026210109
2010-08-25,0.000388146407366074
2010-08-26,0.000388268126068381
2010-08-27,0.000395876913059393
2010-08-28,0.000396269704502262
2010-08-29,0.000397126435122214
2010-08-30,0.000398017905087253
2010-08-31,0.000415155150161674
2010-09-01,0.00041916952531065
2010-09-02,0.000420647752847399
2010-09-03,0.000427184088061672
2010-09-04,0.000428266929322107
2010-09-05,0.000464718032143459
2010-09-06,0.000469490771922304
2010-09-07,0.000474093863240786
2010-09-08,0.000474846836766403
2010-09-09,0.000489975225911202
2010-09-10,0.000489773754480723
2010-09-11,0.000490535390286887
2010-09-12,0.000495704754928524
2010-09-13,0.00050287457160766
2010-09-14,0.000505026836133846
2010-09-15,0.000517360379773879
2010-09-16,0.00053107131456705
2010-09-17,0.000692988406036601
2010-09-18,0.000696871610846797
2010-09-19,0.000699449596001127
2010-09-20,0.000704300759712939
2010-09-21,0.000705216374191617
2010-09-22,0.00070921282996053
2010-09-23,0.000722853484568475
2010-09-24,0.000723173621028038
2010-09-25,0.00072793749118167
2010-09-26,0.000728955565754146
2010-09-27,0.000780045980593196
2010-09-28,0.00109112486411952
2010-09-29,0.00110281042889179
2010-09-30,0.00110783862451396
2010-10-01,0.00123251773871068
2010-10-02,0.00140929920545167
2010-10-03,0.00141241043304173
2010-10-04,0.00143490312691719
2010-10-05,0.00153762730679123
2010-10-06,0.00154152609567849
2010-10-07,0.00155124503641125
2010-10-08,0.00158640446930034
2010-10-09,0.00161503130626421
2010-10-10,0.00164005068093895
2010-10-11,0.00165004900975377
2010-10-12,0.00165654827276248
2010-10-13,0.0017588148402016
2010-10-14,0.00177821757094346
2010-10-15,0.00182521669447164
2010-10-16,0.00192676486725065
2010-10-17,0.00193009653276243
2010-10-18,0.00193112919481895
2010-10-19,0.00193547085945111
2010-10-20,0.00194141871124075
2010-10-21,0.00197291898481369
2010-10-22,0.00197671695111534
2010-10-23,0.00199170900494891
2010-10-24,0.00202746096116147
2010-10-25,0.00204644550613836
2010-10-26,0.00206353919630784
2010-10-27,0.00210766593281673
2010-10-28,0.00223958424344196
2010-10-29,0.00225801382222913
2010-10-30,0.0022812842115165
2010-10-31,0.00230348069989577
2010-11-01,0.00232498336951151
2010-11-02,0.00235813265951166
2010-11-03,0.00236922262411049
2010-11-04,0.00247951902202211
2010-11-05,0.00255529022964842
2010-11-06,0.00301200511381514
2010-11-07,0.00304102021225457
2010-11-08,0.00355150905258318
2010-11-09,0.00359312126561979
2010-11-10,0.00359523665013461
2010-11-11,0.00359723003584367
2010-11-12,0.00359682374725132
2010-11-13,0.00363235186272593
2010-11-14,0.0036974162484832
2010-11-15,0.00429326118652972
2010-11-16,0.00431781580276062
2010-11-17,0.00432258304584393
2010-11-18,0.00433155618196181
2010-11-19,0.00439163545084715
2010-11-20,0.00443183623089212
2010-11-21,0.00443882372071419
2010-11-22,0.00444562276469338
2010-11-23,0.00449203482410853
2010-11-24,0.00454505764347806
2010-11-25,0.00462432209145749
2010-11-26,0.00469786246168828
2010-11-27,0.00472894131788755
2010-11-28,0.00473375072685065
2010-11-29,0.00474293324657913
2010-11-30,0.00479106529334393
2010-12-01,0.00480920508859363
2010-12-02,0.00493423464827422
2010-12-03,0.00493912324209542
