Date,transactions/transfers_volume_to_exchanges_sum
2012-05-03,1281.74936109
2012-05-04,644.92219244
2012-05-05,2405.3754359
2012-05-06,668.65026229
2012-05-07,1888.39266056
2012-05-08,867.29269762
2012-05-09,960.10436481
2012-05-10,1071.445
2012-05-11,901.6175517
2012-05-12,538.81239405
2012-05-13,425.84879581
2012-05-14,1078.13283755
2012-05-15,293.40489354
2012-05-16,582.91919566
2012-05-17,992.93330653
2012-05-18,1188.06155306
2012-05-19,920.68753114
2012-05-20,710.38706855
2012-05-21,1530.84730032
2012-05-22,1263.21791935
2012-05-23,286.54511298
2012-05-24,1713.4700284
2012-05-25,1502.50847412
2012-05-26,1370.26066428
2012-05-27,1509.03520007
2012-05-28,51.84358775
2012-05-29,3346.42940901
2012-05-30,2981.6430289
2012-05-31,1608.56554396
2012-06-01,200.88211261
2012-06-02,485.54030673
2012-06-03,1191.4233
2012-06-04,600.79783198
2012-06-05,2818.9094136
2012-06-06,2265.78109997
2012-06-07,5930.89826344
2012-06-08,2228.16030055
2012-06-09,2318.55359615
2012-06-10,587.48306929
2012-06-11,6586.89802327
2012-06-12,12717.03089617
2012-06-13,4222.50289513
2012-06-14,13609.90595879
2012-06-15,2446.98836049
2012-06-16,1478.05299207
2012-06-17,1254.19371789
2012-06-18,1245.12026384
2012-06-19,5777.52712421
2012-06-20,2127.99002357
2012-06-21,6222.24145097
2012-06-22,10742.82461142
2012-06-23,2390.06947176
2012-06-24,571.57678412
2012-06-25,6582.97906055
2012-06-26,7157.46200139
2012-06-27,14185.65489951
2012-06-28,2870.10600861
2012-06-29,3751.26227462
2012-06-30,1063.64564385
2012-07-01,460.63268528
2012-07-02,11447.26251327
2012-07-03,1400.52889613
2012-07-04,6056.5148371
2012-07-05,2249.77015767
2012-07-06,1772.16876986
2012-07-07,136.84180166
2012-07-08,1511.93661394
2012-07-09,955.07726068
2012-07-10,1417.87957367
2012-07-11,571.88696651
2012-07-12,3700.10002685
2012-07-13,2811.32819654
2012-07-14,299.8534011
2012-07-15,3384.01217079
2012-07-16,2827.88705359
2012-07-17,5806.22365129
2012-07-18,4460.53526577
2012-07-19,2436.04778895
2012-07-20,2124.52521088
2012-07-21,2582.70962224
2012-07-22,1688.90418727
2012-07-23,1931.26145531
2012-07-24,3693.64879736
2012-07-25,5802.26799792
2012-07-26,768.73203144
2012-07-27,5276.46215571
2012-07-28,1591.00419986
2012-07-29,804.05096114
2012-07-30,1569.99641478
2012-07-31,415.10553769
2012-08-01,2691.33551341
2012-08-02,3794.73518267
2012-08-03,1595.65235915
2012-08-04,822.30100704
2012-08-05,5813.92056457
2012-08-06,1493.16752644
2012-08-07,1261.6202101
2012-08-08,3016.99605268
2012-08-09,2908.28187209
2012-08-10,2001.40145416
2012-08-11,662.60219362
2012-08-12,554.23915729
2012-08-13,3742.32678551
2012-08-14,2210.1117063
2012-08-15,802.11111233
2012-08-16,1846.70976182
2012-08-17,5766.83523386
2012-08-18,2555.24243447
2012-08-19,2745.05633913
2012-08-20,1755.67913849
2012-08-21,2737.06889588
2012-08-22,7029.39588377
2012-08-23,2308.38941506
2012-08-24,1955.82611641
2012-08-25,990.41011407
2012-08-26,1399.89060839
2012-08-27,2872.88318391
2012-08-28,2251.53832312
2012-08-29,23719.1098025
2012-08-30,3462.36997976
2012-08-31,1593.58336109
2012-09-01,424.44550991
2012-09-02,1213.06613354
2012-09-03,1610.99529982
2012-09-04,2297.97188688
2012-09-05,1716.31073214
2012-09-06,2844.4014549
2012-09-07,2290.43705748
2012-09-08,1764.44228631
2012-09-09,964.36178438
2012-09-10,1737.93735869
2012-09-11,3386.60748005
2012-09-12,2062.02225141
2012-09-13,2040.25638089
2012-09-14,1691.95250151
