Date,supply/profit_relative
2010-07-18,0.999025371272769
2010-07-19,0.987182822671643
2010-07-20,0.982571694056877
2010-07-21,0.986866829703369
2010-07-22,0.969227458745875
2010-07-23,0.972241391448686
2010-07-24,0.959349044567808
2010-07-25,0.944972909080564
2010-07-26,0.950288635944831
2010-07-27,0.972737397649654
2010-07-28,0.948273436618128
2010-07-29,0.986643981872431
2010-07-30,0.977240792318275
2010-07-31,0.982863854865126
2010-08-01,0.966794798816898
2010-08-02,0.941994340776996
2010-08-03,0.937188719939012
2010-08-04,0.919394371995358
2010-08-05,0.947246706883729
2010-08-06,0.969353425975561
2010-08-07,0.913331420420256
2010-08-08,0.94007817308876
2010-08-09,0.985439030246804
2010-08-10,0.983089677226214
2010-08-11,0.964226234044573
2010-08-12,0.978619778733533
2010-08-13,0.952525553922296
2010-08-14,0.959262640728699
2010-08-15,0.949816366340215
2010-08-16,0.947070578167621
2010-08-17,0.977613793931951
2010-08-18,0.963884562291805
2010-08-19,0.947554786194055
2010-08-20,0.932294804850222
2010-08-21,0.950169591401835
2010-08-22,0.943211079286723
2010-08-23,0.924651953248394
2010-08-24,0.921034011891168
2010-08-25,0.917028782703155
2010-08-26,0.904389858647559
2010-08-27,0.92231244465281
2010-08-28,0.909933685906598
2010-08-29,0.896496045124481
2010-08-30,0.924879913031099
2010-08-31,0.850952675816302
2010-09-01,0.889098314649891
2010-09-02,0.895297839672608
2010-09-03,0.856436910047119
2010-09-04,0.894424439579291
2010-09-05,0.872529590167816
2010-09-06,0.868661144401765
2010-09-07,0.866686075273023
2010-09-08,0.866549669243845
2010-09-09,0.847665878267143
2010-09-10,0.892660904756181
2010-09-11,0.912540344057023
2010-09-12,0.861702309590595
2010-09-13,0.89972007690446
2010-09-14,0.88013953272643
2010-09-15,0.823130910182537
2010-09-16,0.870823597256435
2010-09-17,0.79410494911543
2010-09-18,0.84391564349079
2010-09-19,0.910374346728447
2010-09-20,0.896061900353956
2010-09-21,0.903783169743199
2010-09-22,0.889179147874332
2010-09-23,0.886690992194027
2010-09-24,0.880637240789124
2010-09-25,0.878791960215231
2010-09-26,0.882658898196627
2010-09-27,0.878443069498739
2010-09-28,0.846849731520656
2010-09-29,0.83966301356607
2010-09-30,0.844486862333743
2010-10-01,0.861708213873148
2010-10-02,0.789030663527718
2010-10-03,0.761816686256747
2010-10-04,0.775290401370991
2010-10-05,0.792088847445191
2010-10-06,0.921535543519517
2010-10-07,0.966846494570394
2010-10-08,0.995400965081176
2010-10-09,0.9937494780298
2010-10-10,0.981287941851931
2010-10-11,0.981940254983281
2010-10-12,0.976472474878521
2010-10-13,0.99366226637164
2010-10-14,0.989580455329991
2010-10-15,0.983756225247815
2010-10-16,0.965275377318562
2010-10-17,0.967433069380721
2010-10-18,0.973394512499565
2010-10-19,0.931699385267
2010-10-20,0.930865069307136
2010-10-21,0.991960722799986
2010-10-22,0.98773343986756
2010-10-23,0.968424934027857
2010-10-24,0.991384016116663
2010-10-25,0.98983890322728
2010-10-26,0.989675369845229
2010-10-27,0.998293228811634
2010-10-28,0.962531347816725
2010-10-29,0.993134667993037
2010-10-30,0.999686218635165
2010-10-31,0.987927713093269
2010-11-01,0.992866134500954
2010-11-02,0.986737097460951
2010-11-03,0.981637823695156
2010-11-04,0.993486468757321
2010-11-05,0.999930989583333
2010-11-06,0.998131824943935
2010-11-07,0.988309386037757
2010-11-08,0.92200460757258
2010-11-09,0.906099577986746
2010-11-10,0.918040949346226
2010-11-11,0.908205112170937
2010-11-12,0.930472023457844
2010-11-13,0.926049787712424
2010-11-14,0.924334978286187
2010-11-15,0.907043148669049
2010-11-16,0.88236202373629
2010-11-17,0.899856743874364
2010-11-18,0.906273314794456
2010-11-19,0.91934919077135
2010-11-20,0.933300919994841
2010-11-21,0.919455844350962
2010-11-22,0.93425796222696
2010-11-23,0.924599890893921
2010-11-24,0.925311097113085
2010-11-25,0.909000475251745
2010-11-26,0.94741669307415
2010-11-27,0.927045434572645
2010-11-28,0.883249610662033
2010-11-29,0.845383836979307
2010-11-30,0.833603225440839
2010-12-01,0.85384990818236
2010-12-02,0.878219060898973
2010-12-03,0.875115601604773
2010-12-04,0.821759392225344
2010-12-05,0.807977621727369
2010-12-06,0.825795598285751
2010-12-07,0.862705659891221
2010-12-08,0.862067036190764
2010-12-09,0.801680739099202
2010-12-10,0.81953024328216
2010-12-11,0.855379233078035
2010-12-12,0.839488513557582
2010-12-13,0.860065253385476
2010-12-14,0.888370051275169
2010-12-15,0.870212014793988
2010-12-16,0.889292282661107
2010-12-17,0.864543468855634
2010-12-18,0.865577348151437
2010-12-19,0.858896386443032
2010-12-20,0.904272044706161
2010-12-21,0.840130179085336
2010-12-22,0.877587508799521
2010-12-23,0.871662267079907
2010-12-24,0.86454970537573
2010-12-25,0.873438596694897
2010-12-26,0.904747990609339
2010-12-27,0.906390537780939
2010-12-28,0.937856583307474
2010-12-29,0.960908866628182
2010-12-30,0.963520100151624
2010-12-31,0.959388280051788
2011-01-01,0.956478710819059
2011-01-02,0.956013284959925
2011-01-03,0.943007095561148
2011-01-04,0.949331754281713
2011-01-05,0.945742535409524
2011-01-06,0.944640237029397
2011-01-07,0.964253844092916
2011-01-08,0.964740632498132
2011-01-09,0.964885301193722
2011-01-10,0.957741803872768
2011-01-11,0.946270389691714
2011-01-12,0.93691776095509
2011-01-13,0.921037536512769
2011-01-14,0.985726554949494
2011-01-15,0.978988808621298
2011-01-16,0.974472809455927
2011-01-17,0.960025669842432
2011-01-18,0.898312601707584
