Date,transactions/transfers_rate
2015-08-07,0.022928240740740742
2015-08-08,0.017974537037037035
2015-08-09,0.014398148148148148
2015-08-10,0.01765046296296296
2015-08-11,0.03803240740740741
2015-08-12,0.02096064814814815
2015-08-13,0.03013888888888889
2015-08-14,0.03542824074074074
2015-08-15,0.025219907407407406
2015-08-16,0.027233796296296298
2015-08-17,0.028449074074074075
2015-08-18,0.027916666666666666
2015-08-19,0.036828703703703704
2015-08-20,0.025729166666666668
2015-08-21,0.04474537037037037
2015-08-22,0.040636574074074075
2015-08-23,0.047280092592592596
2015-08-24,0.05099537037037037
2015-08-25,0.049837962962962966
2015-08-26,0.04712962962962963
2015-08-27,0.06357638888888889
2015-08-28,0.05423611111111111
2015-08-29,0.04717592592592593
2015-08-30,0.05210648148148148
2015-08-31,0.05935185185185185
2015-09-01,0.05856481481481481
2015-09-02,0.059097222222222225
2015-09-03,0.053391203703703705
2015-09-04,0.058194444444444444
2015-09-05,0.06255787037037037
2015-09-06,0.06297453703703704
2015-09-07,0.06342592592592593
2015-09-08,0.06438657407407407
2015-09-09,0.06368055555555556
2015-09-10,0.060300925925925924
2015-09-11,0.07280092592592592
2015-09-12,0.06305555555555556
2015-09-13,0.0681712962962963
2015-09-14,0.06292824074074074
2015-09-15,0.06163194444444445
2015-09-16,0.0637037037037037
2015-09-17,0.05803240740740741
2015-09-18,0.06427083333333333
2015-09-19,0.05837962962962963
2015-09-20,0.07234953703703703
2015-09-21,0.07125
2015-09-22,0.07774305555555555
2015-09-23,0.08394675925925926
2015-09-24,0.07084490740740741
2015-09-25,0.06591435185185185
2015-09-26,0.06759259259259259
2015-09-27,0.06572916666666667
2015-09-28,0.06940972222222222
2015-09-29,0.06510416666666667
2015-09-30,0.06650462962962964
2015-10-01,0.0730787037037037
2015-10-02,0.06877314814814815
2015-10-03,0.06953703703703704
2015-10-04,0.07560185185185185
2015-10-05,0.06978009259259259
2015-10-06,0.07268518518518519
2015-10-07,0.07953703703703703
2015-10-08,0.07825231481481482
2015-10-09,0.076875
2015-10-10,0.07508101851851852
2015-10-11,0.06912037037037037
2015-10-12,0.07371527777777778
2015-10-13,0.07623842592592593
2015-10-14,0.07689814814814815
2015-10-15,0.0714236111111111
2015-10-16,0.07532407407407407
2015-10-17,0.07262731481481481
2015-10-18,0.07101851851851852
2015-10-19,0.07339120370370371
2015-10-20,0.06645833333333333
2015-10-21,0.06984953703703704
2015-10-22,0.062141203703703705
2015-10-23,0.07241898148148149
