Date,indicators/cdd_supply_adjusted
2009-08-16,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,0.0
2009-08-20,0.0
2009-08-21,0.0
2009-08-22,0.0
2009-08-23,0.0
2009-08-24,0.0
2009-08-25,0.0
2009-08-26,0.035740473339770845
2009-08-27,0.0
2009-08-28,0.0
2009-08-29,0.0
2009-08-30,6.723491588962441e-05
2009-08-31,0.0006225928669097539
2009-09-01,0.0
2009-09-02,0.0
2009-09-03,0.0022269741518443262
2009-09-04,0.0
2009-09-05,0.0
2009-09-06,0.0
2009-09-07,0.0014644472472784896
2009-09-08,0.0
2009-09-09,0.0
2009-09-10,0.0
2009-09-11,0.0
2009-09-12,0.0
2009-09-13,0.0
2009-09-14,0.0
2009-09-15,0.0
2009-09-16,1.8131318432932064e-05
2009-09-17,0.05266544105467238
2009-09-18,0.0
2009-09-19,0.0
2009-09-20,0.0
2009-09-21,0.003244320519515454
2009-09-22,0.016690181845844986
2009-09-23,0.0
2009-09-24,0.0
2009-09-25,0.0032192939139570813
2009-09-26,0.0
2009-09-27,0.0012579990779966695
2009-09-28,0.0
2009-09-29,0.00562658134992242
2009-09-30,0.0
2009-10-01,0.0
2009-10-02,0.0017155056037359254
2009-10-03,0.0
2009-10-04,0.0
2009-10-05,0.0
2009-10-06,0.0025455245967290164
2009-10-07,0.0
2009-10-08,0.0
2009-10-09,0.0
2009-10-10,0.0
2009-10-11,0.0
2009-10-12,0.2628349605886021
2009-10-13,0.0
2009-10-14,0.0
2009-10-15,0.0
2009-10-16,0.04509923765911119
2009-10-17,0.0
2009-10-18,0.000762443274761226
2009-10-19,0.0
2009-10-20,0.05089731837604043
2009-10-21,0.007873021920041714
2009-10-22,0.05537092549265612
2009-10-23,0.0
2009-10-24,0.02097155100130369
2009-10-25,0.0
2009-10-26,0.0
2009-10-27,0.026622520343525743
2009-10-28,0.0
2009-10-29,0.00833205047623906
2009-10-30,0.0
2009-10-31,0.0
2009-11-01,0.0
2009-11-02,0.0
2009-11-03,0.0
2009-11-04,0.09484071798527718
2009-11-05,0.0
2009-11-06,0.0
2009-11-07,0.0
2009-11-08,0.0
2009-11-09,0.0
2009-11-10,0.0
2009-11-11,0.014199921188630475
2009-11-12,0.0
2009-11-13,0.0011738829333015357
2009-11-14,0.0
2009-11-15,0.0
2009-11-16,0.0
2009-11-17,0.0
2009-11-18,0.0
2009-11-19,0.13019224800178325
2009-11-20,0.0
2009-11-21,0.0
2009-11-22,0.0
2009-11-23,0.0
2009-11-24,0.0
2009-11-25,0.0
2009-11-26,0.0
2009-11-27,0.0
2009-11-28,0.0
2009-11-29,0.0
2009-11-30,0.0
2009-12-01,0.7816079325533648
2009-12-02,0.0
2009-12-03,0.0
2009-12-04,0.0
2009-12-05,0.0063926062417767274
2009-12-06,0.00016276536268102008
