Date,transactions/transfers_volume_from_exchanges_mean
2011-08-17,0.0
2011-08-18,0.48990826
2011-08-19,0.0
2011-08-20,4.039014445
2011-08-21,0.0
2011-08-22,0.245
2011-08-23,10.0
2011-08-24,0.0
2011-08-25,12.0755
2011-08-26,0.0
2011-08-27,0.0
2011-08-28,0.0
2011-08-29,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-03,0.0
2011-09-04,16.22671303
2011-09-05,0.0
2011-09-06,0.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-10,0.0
2011-09-11,0.0
2011-09-12,16.02
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-17,0.0
2011-09-18,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,1.1796
2011-09-22,0.0
2011-09-23,0.0
2011-09-24,0.0
2011-09-25,0.0
2011-09-26,0.0
2011-09-27,21.454545
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,6.6252505
2011-10-07,14.14
2011-10-08,0.0
2011-10-09,0.0
2011-10-10,132.5
2011-10-11,25.745
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-15,0.0
2011-10-16,0.0
2011-10-17,6.94
2011-10-18,0.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-21,0.0
2011-10-22,0.0
2011-10-23,0.0
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,6.0
2011-10-27,115.0
2011-10-28,0.0
2011-10-29,11.405024185
2011-10-30,0.0
2011-10-31,3.75
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,44.65422535
2011-11-05,22.097
2011-11-06,7.436
2011-11-07,0.12
2011-11-08,2.76
2011-11-09,0.0
2011-11-10,13.90433081
2011-11-11,0.0
2011-11-12,20.51
2011-11-13,0.0
2011-11-14,20.0
2011-11-15,2.7924607025
2011-11-16,14.404479425555555
2011-11-17,1.0
2011-11-18,11.0
2011-11-19,0.0
2011-11-20,15.295421143999999
2011-11-21,17.0054058875
2011-11-22,10.17227894
2011-11-23,0.0
2011-11-24,0.0
2011-11-25,52.0033164975
2011-11-26,105.874126355
2011-11-27,10.0
2011-11-28,23.46334343
2011-11-29,44.503098611666665
2011-11-30,10.074875
2011-12-01,34.666666666666664
2011-12-02,6.4
2011-12-03,0.0
2011-12-04,7.274909625
2011-12-05,7.058730626666667
2011-12-06,15.230595955
2011-12-07,15.340435600000001
2011-12-08,25.0
2011-12-09,5.06
2011-12-10,5.22051
2011-12-11,8.878273265
2011-12-12,11.105845200000001
2011-12-13,16.368539326666667
2011-12-14,13.3104289125
2011-12-15,18.5452352075
2011-12-16,38.53405676
2011-12-17,0.0
2011-12-18,18.006404813333333
2011-12-19,52.073869345
2011-12-20,16.965686758
2011-12-21,35.59230726
2011-12-22,61.5523555
2011-12-23,20.91111111
2011-12-24,0.0
2011-12-25,0.0
2011-12-26,31.97
2011-12-27,7.58358514
2011-12-28,10.20414415
2011-12-29,9.49855814
2011-12-30,2.4170019933333333
2011-12-31,38.75
2012-01-01,0.767911655
2012-01-02,17.525
2012-01-03,17.146975425
2012-01-04,140.35975251666667
2012-01-05,11.15053713
2012-01-06,9.666666666666666
2012-01-07,3.0
2012-01-08,0.0
2012-01-09,14.661705266666667
2012-01-10,7.624214285714286
2012-01-11,9.47716872
2012-01-12,25.83742616
2012-01-13,8.7585537825
2012-01-14,0.0
2012-01-15,7.05
2012-01-16,4.424532172
2012-01-17,9.34
2012-01-18,20.39402625375
2012-01-19,11.71
2012-01-20,1.7136434
2012-01-21,0.0
2012-01-22,0.488465815
2012-01-23,10.1015
2012-01-24,17.952671755
2012-01-25,5.65
2012-01-26,80.88829179199999
2012-01-27,20.220124784
2012-01-28,0.0
2012-01-29,0.927423215
2012-01-30,5.970501973999999
2012-01-31,35.739076096666665
2012-02-01,5.28
2012-02-02,5.252069809583333
2012-02-03,70.8815299975
2012-02-04,9.20122655
2012-02-05,9.902884916
2012-02-06,6.13879273
2012-02-07,8.067347328
2012-02-08,6.63
2012-02-09,15.624644226000001
2012-02-10,15.211244070000001
2012-02-11,181.60683740000002
2012-02-12,92.88115
2012-02-13,15.661131875999999
2012-02-14,33.78718069666667
2012-02-15,9.1709560325
2012-02-16,11.11109304
2012-02-17,6.197521114166666
2012-02-18,16.843409306
2012-02-19,4.2684
2012-02-20,28.23256957
2012-02-21,24.23133085875
2012-02-22,6.880183045
2012-02-23,44.4098428
2012-02-24,54.75118929599999
2012-02-25,44.914294362
2012-02-26,12.34728474
2012-02-27,133.261459285
2012-02-28,20.290907338333334
2012-02-29,11.975951904
2012-03-01,15.4728532925
2012-03-02,17.5919760875
2012-03-03,8.1897999375
2012-03-04,41.83839412
2012-03-05,167.55858501272726
2012-03-06,257.06492378166666
2012-03-07,15.820155695294117
2012-03-08,20.209379537777778
2012-03-09,250.178725
2012-03-10,15.166666666666666
2012-03-11,41.337283245
2012-03-12,114.63408507300001
2012-03-13,51.29078689470588
2012-03-14,179.035802986
2012-03-15,77.62578554
2012-03-16,404.222451476
2012-03-17,17.816645455555555
2012-03-18,88.07396067
2012-03-19,16.19155629333333
2012-03-20,14.792064346
2012-03-21,9.32862903
2012-03-22,180.26237406555555
2012-03-23,112.53823021
2012-03-24,18.51183229
2012-03-25,68.06887052333333
2012-03-26,2.5645349055555555
2012-03-27,20.461979192666668
2012-03-28,211.62022559000002
2012-03-29,10.639665143333334
2012-03-30,7.643724155555556
2012-03-31,42.16218333333333
2012-04-01,30.305932093333336
2012-04-02,58.06093965647059
2012-04-03,20.012576004117648
2012-04-04,22.520149315833333
2012-04-05,27.243737084545455
2012-04-06,16.114809282539685
2012-04-07,12.16520177125
2012-04-08,32.2963493825
2012-04-09,15.1749814025
2012-04-10,22.7456451275
2012-04-11,18.824055774999998
2012-04-12,22.108279277894734
2012-04-13,59.79983882727272
2012-04-14,202.13799559647057
2012-04-15,0.0
2012-04-16,217.64634251214287
2012-04-17,170.086120961875
2012-04-18,41.73467870625
2012-04-19,41.09857454545455
2012-04-20,78.6588
2012-04-21,23.153075385
2012-04-22,12.100549902000001
2012-04-23,147.42082012
2012-04-24,101.02370024448277
2012-04-25,53.713815032666666
2012-04-26,31.00903731782609
2012-04-27,87.303475
2012-04-28,17.388299283333335
2012-04-29,252.22139545
2012-04-30,20.489381914285712
2012-05-01,155.59663803
2012-05-02,31.830166050000003
2012-05-03,27.14577823952381
2012-05-04,57.929804221333335
2012-05-05,188.95591194454545
2012-05-06,110.00909089142858
2012-05-07,83.035062100625
2012-05-08,49.96439535545455
2012-05-09,30.012618691666663
2012-05-10,144.147125
2012-05-11,29.983748228636365
2012-05-12,54.80069999999999
2012-05-13,87.38916844555555
2012-05-14,75.82045216818182
2012-05-15,45.90582743363637
2012-05-16,43.94596034611111
2012-05-17,35.52687158
2012-05-18,109.46376254181818
2012-05-19,68.5415
2012-05-20,266.52686684857144
2012-05-21,109.26497232000001
2012-05-22,61.43718573666667
2012-05-23,49.18566078352941
2012-05-24,49.42348657
2012-05-25,23.961430645
2012-05-26,419.28514080714285
2012-05-27,91.18587
2012-05-28,10.304194646666668
2012-05-29,137.06465209227272
2012-05-30,257.4894385794737
2012-05-31,54.10821063125
2012-06-01,59.323486535
2012-06-02,13.693636616666666
2012-06-03,23.751325
2012-06-04,155.6493663492857
2012-06-05,86.007050655
2012-06-06,97.2171562875
2012-06-07,62.042102114230765
2012-06-08,243.08597067714285
2012-06-09,311.98989564666664
2012-06-10,102.06223641000001
2012-06-11,242.15698177625
2012-06-12,428.57928433210526
2012-06-13,322.98946169388887
2012-06-14,440.62026015551726
2012-06-15,98.50238667434783
2012-06-16,89.54137286555556
2012-06-17,301.601864344
2012-06-18,100.425414163
2012-06-19,71.9435791335
2012-06-20,220.308074316
2012-06-21,65.20891666666667
2012-06-22,814.0406725085
2012-06-23,46.036088891764706
2012-06-24,84.23362367
2012-06-25,66.64242123172414
2012-06-26,305.83259274450984
2012-06-27,428.20109786939395
2012-06-28,148.9688624196154
2012-06-29,72.960061144
2012-06-30,14.4718627775
2012-07-01,25.63563032125
2012-07-02,390.0237602909091
2012-07-03,123.78692005826088
2012-07-04,201.6915581196154
2012-07-05,80.61538773913044
2012-07-06,70.11946897695653
2012-07-07,71.71551673565217
2012-07-08,49.28467095964286
2012-07-09,40.10323289827586
2012-07-10,39.89591110918919
2012-07-11,21.846962468928574
2012-07-12,36.472812088648645
2012-07-13,45.84210043840909
2012-07-14,100.77049031533333
2012-07-15,36.77019577857143
2012-07-16,137.00817767111113
2012-07-17,118.4100248312766
2012-07-18,37.845361424032255
2012-07-19,40.063098003
2012-07-20,250.70753140035714
2012-07-21,93.191529694375
2012-07-22,26.75924834
2012-07-23,61.87839057866667
2012-07-24,31.413848944848482
2012-07-25,208.26033650225
2012-07-26,19.277159868518517
2012-07-27,126.6586791153125
2012-07-28,36.6245689431579
2012-07-29,44.27390961
2012-07-30,112.56933632037037
2012-07-31,197.25289239227274
2012-08-01,34.92917314318182
2012-08-02,66.84642602061224
2012-08-03,22.761173251463415
2012-08-04,13.840071070333332
2012-08-05,385.4587736245454
2012-08-06,41.26956901928571
2012-08-07,21.1719055225
2012-08-08,52.36065189926829
2012-08-09,40.73584863590909
2012-08-10,86.25726112538462
2012-08-11,107.560228189375
2012-08-12,24.487630562727272
2012-08-13,58.72027301351351
2012-08-14,28.1510480845
2012-08-15,43.16582554818182
2012-08-16,36.79468069925926
2012-08-17,60.34602634239437
2012-08-18,118.718828172
2012-08-19,26.49010442604167
2012-08-20,87.87151371548387
2012-08-21,25.94206837375
2012-08-22,87.48072079235294
2012-08-23,56.10945207125
2012-08-24,60.465382402708336
2012-08-25,37.343058121935485
2012-08-26,45.395686752413795
2012-08-27,37.24015117686567
2012-08-28,75.280962956
2012-08-29,641.04504086
2012-08-30,38.365538104242425
2012-08-31,29.87103000897959
2012-09-01,21.577138731764705
2012-09-02,50.046357236666665
2012-09-03,11.143514141136363
2012-09-04,58.29789228642857
2012-09-05,59.29561727979592
2012-09-06,41.94773806166667
2012-09-07,17.2703242836
2012-09-08,113.79989039142858
2012-09-09,60.062356697333335
2012-09-10,19.352664734545456
2012-09-11,60.69553722013334
2012-09-12,38.906930329714285
2012-09-13,40.34301742095238
2012-09-14,61.55901320611112
2012-09-15,17.009227525555556
2012-09-16,44.119687775625
