Date,fees/gas_price_mean
2015-08-07,604684154870.464
2015-08-08,322713574988.924
2015-08-09,475467129047.558
2015-08-10,421654904253.764
2015-08-11,77838819161.93271
2015-08-12,444902379011.10004
2015-08-13,268683475202.317
2015-08-14,193455494453.19202
2015-08-15,144368937208.076
2015-08-16,120940093311.21901
2015-08-17,132149993345.25201
2015-08-18,146513014268.086
2015-08-19,194583349947.896
2015-08-20,99011782800.5684
2015-08-21,79543407700.6012
2015-08-22,552841333007.351
2015-08-23,73439482806.3752
2015-08-24,92409814704.7595
2015-08-25,76432335617.0544
2015-08-26,60481160548.979294
2015-08-27,59307091957.5234
2015-08-28,92879907334.8047
2015-08-29,56211090684.309
2015-08-30,55155494457.3985
2015-08-31,58423521568.6372
2015-09-01,56671549652.132706
2015-09-02,59243651401.3349
2015-09-03,55051483460.6937
2015-09-04,58779015464.0627
2015-09-05,54768144366.024796
2015-09-06,55089818551.796196
2015-09-07,53594260637.1136
2015-09-08,64932639811.4813
2015-09-09,53779997783.543
2015-09-10,54630657670.010895
2015-09-11,55713802957.5907
2015-09-12,61830202468.130104
2015-09-13,52313524792.0558
2015-09-14,53772389657.340996
2015-09-15,53191101493.8029
2015-09-16,111518559317.772
2015-09-17,55637920882.987495
2015-09-18,55703151966.4469
2015-09-19,51639660974.3055
2015-09-20,52910345407.0586
2015-09-21,51171380285.4159
2015-09-22,51465441495.7052
2015-09-23,51732832046.216606
2015-09-24,54262646752.5652
2015-09-25,52300197415.1313
2015-09-26,55315658061.2225
2015-09-27,51025979901.8613
2015-09-28,52683661381.644
2015-09-29,55437141860.1854
2015-09-30,51461473059.149704
2015-10-01,51474669294.3881
2015-10-02,52567714346.7564
2015-10-03,52502578427.1993
2015-10-04,50733256095.4247
2015-10-05,50742818442.6117
2015-10-06,51375494164.5537
2015-10-07,51181314265.3872
2015-10-08,56971870131.0192
2015-10-09,61962572207.5657
2015-10-10,64893302980.240295
2015-10-11,56318375319.3653
2015-10-12,51359902693.7557
2015-10-13,53219625155.7854
2015-10-14,57976429614.8075
2015-10-15,54823147993.340996
2015-10-16,53404946236.5907
2015-10-17,53619552702.7955
2015-10-18,52006592112.0651
2015-10-19,52456819761.0774
2015-10-20,53767556518.0802
2015-10-21,53588794315.1524
2015-10-22,57253941420.6145
2015-10-23,51207267003.1896
2015-10-24,50749518370.07291
2015-10-25,51635339669.976295
2015-10-26,54585998169.6817
2015-10-27,53525777571.3346
2015-10-28,54787998286.0064
2015-10-29,52364630377.69579
2015-10-30,54017718700.3347
2015-10-31,53753181786.591095
2015-11-01,50751088484.486496
2015-11-02,53162663704.2734
2015-11-03,51578536571.675
2015-11-04,52243136362.368095
2015-11-05,52990311400.4861
2015-11-06,52184810512.77441
2015-11-07,51944373853.4954
2015-11-08,52414324287.6865
2015-11-09,51918274052.1372
2015-11-10,52237284910.2233
2015-11-11,52560853806.3954
2015-11-12,59050838844.277504
2015-11-13,51534479320.6107
2015-11-14,51216461485.2943
2015-11-15,51537798825.4297
2015-11-16,56768038418.2761
2015-11-17,56303859554.1734
2015-11-18,53515892028.410805
2015-11-19,54119551224.1362
2015-11-20,54384895827.8574
2015-11-21,54039631829.965294
2015-11-22,53793371732.5882
2015-11-23,55629754774.5829
2015-11-24,58042755370.1683
2015-11-25,54235748106.018
2015-11-26,53986356287.4389
2015-11-27,53456555141.668495
2015-11-28,54312682972.7502
2015-11-29,53321187419.1297
