Date,addresses/min_100_count
2009-01-03,0.0
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,0.0
2009-01-09,0.0
2009-01-10,0.0
2009-01-11,0.0
2009-01-12,0.0
2009-01-13,0.0
2009-01-14,0.0
2009-01-15,1.0
2009-01-16,3.0
2009-01-17,3.0
2009-01-18,4.0
2009-01-19,5.0
2009-01-20,6.0
2009-01-21,7.0
2009-01-22,7.0
2009-01-23,8.0
2009-01-24,9.0
2009-01-25,9.0
2009-01-26,9.0
2009-01-27,10.0
2009-01-28,10.0
2009-01-29,10.0
2009-01-30,10.0
2009-01-31,11.0
2009-02-01,12.0
2009-02-02,12.0
2009-02-03,12.0
2009-02-04,12.0
2009-02-05,12.0
2009-02-06,12.0
2009-02-07,15.0
2009-02-08,15.0
2009-02-09,15.0
2009-02-10,15.0
2009-02-11,17.0
2009-02-12,17.0
2009-02-13,17.0
2009-02-14,17.0
2009-02-15,18.0
2009-02-16,18.0
2009-02-17,18.0
2009-02-18,18.0
2009-02-19,18.0
2009-02-20,18.0
2009-02-21,18.0
2009-02-22,19.0
2009-02-23,19.0
2009-02-24,19.0
2009-02-25,19.0
2009-02-26,19.0
2009-02-27,19.0
2009-02-28,19.0
2009-03-01,19.0
2009-03-02,19.0
2009-03-03,19.0
2009-03-04,19.0
2009-03-05,19.0
2009-03-06,19.0
2009-03-07,19.0
2009-03-08,19.0
2009-03-09,19.0
2009-03-10,19.0
2009-03-11,19.0
2009-03-12,20.0
2009-03-13,19.0
2009-03-14,19.0
2009-03-15,19.0
2009-03-16,19.0
2009-03-17,19.0
2009-03-18,19.0
2009-03-19,19.0
2009-03-20,19.0
2009-03-21,19.0
2009-03-22,19.0
2009-03-23,19.0
2009-03-24,19.0
2009-03-25,19.0
2009-03-26,19.0
2009-03-27,19.0
2009-03-28,19.0
2009-03-29,19.0
2009-03-30,19.0
2009-03-31,19.0
2009-04-01,19.0
2009-04-02,19.0
2009-04-03,19.0
2009-04-04,19.0
2009-04-05,19.0
2009-04-06,19.0
2009-04-07,19.0
2009-04-08,19.0
2009-04-09,19.0
2009-04-10,19.0
2009-04-11,20.0
2009-04-12,19.0
2009-04-13,19.0
2009-04-14,19.0
2009-04-15,19.0
2009-04-16,19.0
2009-04-17,19.0
2009-04-18,19.0
2009-04-19,19.0
2009-04-20,20.0
2009-04-21,20.0
2009-04-22,20.0
2009-04-23,20.0
2009-04-24,20.0
2009-04-25,20.0
2009-04-26,20.0
2009-04-27,20.0
2009-04-28,20.0
2009-04-29,20.0
2009-04-30,20.0
2009-05-01,20.0
2009-05-02,21.0
2009-05-03,21.0
2009-05-04,21.0
2009-05-05,21.0
2009-05-06,21.0
2009-05-07,21.0
2009-05-08,21.0
2009-05-09,21.0
2009-05-10,21.0
2009-05-11,21.0
2009-05-12,21.0
2009-05-13,21.0
2009-05-14,22.0
2009-05-15,22.0
2009-05-16,22.0
2009-05-17,22.0
2009-05-18,22.0
2009-05-19,22.0
2009-05-20,22.0
2009-05-21,22.0
2009-05-22,22.0
2009-05-23,22.0
2009-05-24,22.0
2009-05-25,22.0
2009-05-26,22.0
2009-05-27,22.0
2009-05-28,22.0
2009-05-29,22.0
2009-05-30,22.0
2009-05-31,22.0
2009-06-01,22.0
2009-06-02,22.0
2009-06-03,22.0
2009-06-04,22.0
2009-06-05,22.0
2009-06-06,22.0
2009-06-07,22.0
2009-06-08,22.0
2009-06-09,22.0
2009-06-10,22.0
2009-06-11,22.0
2009-06-12,22.0
2009-06-13,22.0
2009-06-14,22.0
2009-06-15,22.0
2009-06-16,22.0
2009-06-17,22.0
2009-06-18,22.0
2009-06-19,22.0
2009-06-20,22.0
2009-06-21,22.0
2009-06-22,22.0
2009-06-23,22.0
2009-06-24,22.0
2009-06-25,22.0
2009-06-26,22.0
2009-06-27,22.0
2009-06-28,22.0
2009-06-29,22.0
2009-06-30,23.0
2009-07-01,23.0
2009-07-02,23.0
2009-07-03,23.0
2009-07-04,23.0
2009-07-05,23.0
2009-07-06,23.0
2009-07-07,23.0
2009-07-08,23.0
2009-07-09,23.0
2009-07-10,23.0
2009-07-11,23.0
2009-07-12,23.0
2009-07-13,23.0
2009-07-14,23.0
2009-07-15,23.0
2009-07-16,23.0
2009-07-17,23.0
2009-07-18,23.0
2009-07-19,23.0
2009-07-20,23.0
2009-07-21,23.0
2009-07-22,23.0
2009-07-23,23.0
2009-07-24,23.0
2009-07-25,23.0
2009-07-26,23.0
2009-07-27,23.0
2009-07-28,23.0
2009-07-29,24.0
2009-07-30,24.0
2009-07-31,24.0
2009-08-01,24.0
2009-08-02,24.0
2009-08-03,24.0
2009-08-04,24.0
2009-08-05,24.0
2009-08-06,24.0
2009-08-07,24.0
2009-08-08,24.0
2009-08-09,24.0
2009-08-10,24.0
2009-08-11,24.0
2009-08-12,24.0
2009-08-13,24.0
2009-08-14,24.0
2009-08-15,24.0
2009-08-16,24.0
2009-08-17,24.0
2009-08-18,24.0
2009-08-19,24.0
2009-08-20,24.0
2009-08-21,24.0
2009-08-22,24.0
2009-08-23,24.0
2009-08-24,24.0
2009-08-25,24.0
2009-08-26,24.0
2009-08-27,24.0
2009-08-28,24.0
2009-08-29,24.0
2009-08-30,24.0
2009-08-31,25.0
2009-09-01,25.0
2009-09-02,25.0
2009-09-03,25.0
2009-09-04,25.0
2009-09-05,25.0
2009-09-06,25.0
2009-09-07,25.0
2009-09-08,25.0
2009-09-09,25.0
2009-09-10,25.0
2009-09-11,25.0
2009-09-12,25.0
2009-09-13,25.0
2009-09-14,25.0
2009-09-15,25.0
2009-09-16,25.0
2009-09-17,25.0
2009-09-18,25.0
2009-09-19,25.0
2009-09-20,25.0
2009-09-21,25.0
2009-09-22,25.0
2009-09-23,25.0
2009-09-24,25.0
2009-09-25,25.0
2009-09-26,25.0
2009-09-27,25.0
2009-09-28,25.0
2009-09-29,25.0
2009-09-30,25.0
