Date,supply/active_6m_12m
2012-02-15,2347340.20833738
2012-02-16,2345635.17535666
2012-02-17,2346966.10733317
2012-02-18,2341234.28929682
2012-02-19,2342435.15525893
2012-02-20,2337903.64634603
2012-02-21,2396481.98817841
2012-02-22,2396148.72932955
2012-02-23,2396913.05992159
2012-02-24,2396373.34410129
2012-02-25,2399933.80691862
2012-02-26,2398695.64127789
2012-02-27,2401844.59515342
2012-02-28,2378595.97729718
2012-02-29,2190605.65786999
2012-03-01,2048495.67743077
2012-03-02,2048548.41374851
2012-03-03,2045532.78782903
2012-03-04,2049139.97431497
2012-03-05,2048575.49053915
2012-03-06,2048106.75305151
2012-03-07,2054046.72589486
2012-03-08,2056958.61284109
2012-03-09,2059454.15397587
2012-03-10,2058177.48756414
2012-03-11,2036735.45367389
2012-03-12,2038261.50740005
2012-03-13,2023707.78321861
2012-03-14,2018924.45007384
2012-03-15,2012923.05632372
2012-03-16,2010048.7918717
2012-03-17,2000897.32771684
2012-03-18,1995821.96904651
2012-03-19,1996624.70730652
2012-03-20,1991045.75517337
2012-03-21,1986383.57496452
2012-03-22,1981632.80706158
2012-03-23,1978395.82133084
2012-03-24,1977186.20537945
2012-03-25,1980011.09293052
2012-03-26,1981575.81280257
2012-03-27,1983001.28716116
2012-03-28,1983842.13398049
2012-03-29,1980292.26319321
2012-03-30,1931934.24994448
2012-03-31,1932604.93578749
2012-04-01,1915226.55822095
2012-04-02,1918089.43745409
2012-04-03,1908020.98244532
2012-04-04,1909592.48487546
2012-04-05,1912797.92444118
2012-04-06,1917314.81021034
2012-04-07,1917732.533819
2012-04-08,1922751.58196331
2012-04-09,1923137.62088947
2012-04-10,1923307.79777505
2012-04-11,1920953.56044251
2012-04-12,1923052.97488903
2012-04-13,1927621.7688101
2012-04-14,1944874.27455546
2012-04-15,1948238.54436488
2012-04-16,1953107.54350386
2012-04-17,1955570.09470662
2012-04-18,1956942.30328884
2012-04-19,1958618.03845553
2012-04-20,1970305.13815237
2012-04-21,1970310.10117166
2012-04-22,1971113.73505358
2012-04-23,1972226.62506493
2012-04-24,1969778.73826468
2012-04-25,1972545.47123268
2012-04-26,1980698.46519661
2012-04-27,1976446.22591445
2012-04-28,1974859.21952151
2012-04-29,1975365.04991528
2012-04-30,1962759.87405245
2012-05-01,1960926.16302661
2012-05-02,1961308.15799687
2012-05-03,1899697.51183794
2012-05-04,1898869.35797972
2012-05-05,1901779.96439768
2012-05-06,1896028.57426323
2012-05-07,1897218.89938168
2012-05-08,1890353.05229271
2012-05-09,1882633.65052716
2012-05-10,1883853.13233201
2012-05-11,1880717.84824405
2012-05-12,1883414.36070998
2012-05-13,1883039.09929504
2012-05-14,2083120.86412903
2012-05-15,2080197.26355826
2012-05-16,2072665.64386358
2012-05-17,2069189.42652796
2012-05-18,2063984.06938759
2012-05-19,2065766.10677414
2012-05-20,2057719.5810736
2012-05-21,2050814.04703138
2012-05-22,2047949.12182491
2012-05-23,2042086.63018411
2012-05-24,2061667.62404668
2012-05-25,2058303.99102491
2012-05-26,2055681.64776881
2012-05-27,2055049.92030925
2012-05-28,2046995.20278608
2012-05-29,2040776.99032896
2012-05-30,2031225.17866233
2012-05-31,1993440.81796202
2012-06-01,1987833.22520641
2012-06-02,1929411.75274049
2012-06-03,1920045.6951043
2012-06-04,1922194.75406496
2012-06-05,1928791.39375726
2012-06-06,1925277.17182666
2012-06-07,1897053.19862218
2012-06-08,1874955.69329666
2012-06-09,1860982.02640244
2012-06-10,1852572.21976138
2012-06-11,1852145.87216112
2012-06-12,1844938.37017071
2012-06-13,1739542.05825382
2012-06-14,1709364.61451554
2012-06-15,1659569.40768371
2012-06-16,1654657.9023288
2012-06-17,1676483.80941996
2012-06-18,1675671.02568298
2012-06-19,1685597.44331829
2012-06-20,1664126.37933043
2012-06-21,1648674.99263732
2012-06-22,1645440.19793165
2012-06-23,1619011.2216055
2012-06-24,1610077.8909881
2012-06-25,1590320.2997696
2012-06-26,1543775.30402452
2012-06-27,1534123.99400679
2012-06-28,1529139.67689274
2012-06-29,1563737.7998931
2012-06-30,1553971.85759661
2012-07-01,1517078.2473535
2012-07-02,1519822.20219453
2012-07-03,1518579.25715623
2012-07-04,1503244.04550822
2012-07-05,1503471.37862574
2012-07-06,1507493.6714862
2012-07-07,1546001.92996576
2012-07-08,1553122.28445274
2012-07-09,1537645.17760646
2012-07-10,1531287.30217798
2012-07-11,1553685.88615273
2012-07-12,1557708.8908262
2012-07-13,1559515.39680496
2012-07-14,1563278.95893013
2012-07-15,1567913.06560224
2012-07-16,1568950.95157685
2012-07-17,1573002.46152602
2012-07-18,1575124.07781351
2012-07-19,1577456.40887574
2012-07-20,1586029.34962591
2012-07-21,1587413.40146052
2012-07-22,1589954.89306362
2012-07-23,1594252.07437409
2012-07-24,1601805.35627034
2012-07-25,1603629.23213789
2012-07-26,1601785.96467686
2012-07-27,1593338.80454768
2012-07-28,1599126.53618034
2012-07-29,1592439.19471128
2012-07-30,1601552.44538797
2012-07-31,1603865.6942174
2012-08-01,1603451.94806195
2012-08-02,1614498.76871287
2012-08-03,1611820.63000749
2012-08-04,1612005.71814247
2012-08-05,1607360.12124138
2012-08-06,1607053.99053825
2012-08-07,1556313.61586607
2012-08-08,1542350.65633909
2012-08-09,1542411.18515821
2012-08-10,1540418.90654257
2012-08-11,1538794.95961423
