Date,blockchain/block_interval_mean
2015-07-30,4.46042540876863
2015-07-31,12.5771528486085
2015-08-01,16.3389382202909
2015-08-02,16.1200074654722
2015-08-03,16.3666666666667
2015-08-04,16.0964977645306
2015-08-05,16.5054441260745
2015-08-06,16.886630179828
2015-08-07,16.6498361919445
2015-08-08,16.4408295281583
2015-08-09,16.8643373023619
2015-08-10,16.4376784015224
2015-08-11,16.3668560606061
2015-08-12,16.8579234972678
2015-08-13,16.3393870601589
2015-08-14,14.882423825099
2015-08-15,16.0442214790041
2015-08-16,16.8429462197974
2015-08-17,16.1602767907238
2015-08-18,17.4607922392886
2015-08-19,16.6434899845917
2015-08-20,21.4691848906561
2015-08-21,16.9811320754717
2015-08-22,16.3868336179093
2015-08-23,17.2417713943746
2015-08-24,16.6655092592593
2015-08-25,16.9499705709241
2015-08-26,17.2706376174295
2015-08-27,18.3481308411215
2015-08-28,18.5736084246723
2015-08-29,19.958650958651
2015-08-30,20.7872442839952
2015-08-31,20.9667637069384
2015-09-01,21.9385474860335
2015-09-02,24.1537601341907
2015-09-03,25.5427135678392
2015-09-04,19.4364168354715
2015-09-05,17.5659418817314
2015-09-06,17.3529529931699
2015-09-07,17.876499793132
2015-09-08,17.5512898639041
2015-09-09,17.1582919563059
2015-09-10,17.2662402558465
2015-09-11,16.8008169616806
2015-09-12,17.2007560684441
2015-09-13,17.3769865218266
2015-09-14,17.8144712430427
2015-09-15,17.8401486988848
2015-09-16,17.4305891848265
2015-09-17,17.9729617304493
2015-09-18,17.6688484352628
2015-09-19,17.019692792438
2015-09-20,16.2872761545712
2015-09-21,17.0256157635468
2015-09-22,17.1039398138982
2015-09-23,16.7275895450145
2015-09-24,17.205337582155
2015-09-25,16.8587592664846
2015-09-26,17.5210953346856
2015-09-27,18.0976325162372
2015-09-28,18.2384972562263
2015-09-29,18.6211206896552
2015-09-30,18.1673323523229
2015-10-01,16.5840690978887
2015-10-02,16.7981722729924
2015-10-03,17.0196966712626
2015-10-04,17.6839950880066
2015-10-05,17.2465561988421
2015-10-06,17.980024968789
2015-10-07,17.2651878497202
2015-10-08,16.7690217391304
2015-10-09,17.6156982670744
2015-10-10,17.6454248366013
2015-10-11,17.0303567908535
2015-10-12,16.777972027972
2015-10-13,16.9162098668755
2015-10-14,17.513781921362
2015-10-15,17.5444579780755
2015-10-16,17.6940405488429
2015-10-17,17.0876186708861
2015-10-18,17.4721941354904
2015-10-19,17.361608040201
2015-10-20,17.3162324649299
2015-10-21,17.3134268537074
2015-10-22,17.8742502585315
2015-10-23,16.4161124833745
2015-10-24,16.7103074840456
2015-10-25,16.9511381475667
2015-10-26,17.5984107579462
2015-10-27,16.5572796934866
2015-10-28,17.3952083752768
2015-10-29,16.752811167119
2015-10-30,16.5103211009174
2015-10-31,16.8483135114057
2015-11-01,16.750484683986
2015-11-02,17.1984474522293
2015-11-03,16.9905604719764
2015-11-04,16.857756097561
2015-11-05,16.9329805996473
2015-11-06,16.8018280824582
2015-11-07,17.5503860219423
2015-11-08,17.211113324039
2015-11-09,17.1984474522293
2015-11-10,17.0979616069662
2015-11-11,17.1835719968178
2015-11-12,17.0086631226619
2015-11-13,16.8773197890213
2015-11-14,16.8546908523503
2015-11-15,16.6296438883542
2015-11-16,17.1498313157372
2015-11-17,16.7329072244819
2015-11-18,17.0258128078818
2015-11-19,17.3572433192686
2015-11-20,18.3033255666172
2015-11-21,17.1598808341609
2015-11-22,17.1111111111111
2015-11-23,16.9746512084889
2015-11-24,17.2773445310938
