Date,transactions/count
2015-08-07,2035.0
2015-08-08,2344.0
2015-08-09,1312.0
2015-08-10,2027.0
2015-08-11,4955.0
2015-08-12,2009.0
2015-08-13,2834.0
2015-08-14,3166.0
2015-08-15,2269.0
2015-08-16,2438.0
2015-08-17,2512.0
2015-08-18,2493.0
2015-08-19,3215.0
2015-08-20,2301.0
2015-08-21,3906.0
2015-08-22,3574.0
2015-08-23,4187.0
2015-08-24,4432.0
2015-08-25,4470.0
2015-08-26,4153.0
2015-08-27,5550.0
2015-08-28,4757.0
2015-08-29,4138.0
2015-08-30,4571.0
2015-08-31,5194.0
2015-09-01,5141.0
2015-09-02,5189.0
2015-09-03,4766.0
2015-09-04,5624.0
2015-09-05,5509.0
2015-09-06,5516.0
2015-09-07,5696.0
2015-09-08,5611.0
2015-09-09,5599.0
2015-09-10,5331.0
2015-09-11,6456.0
2015-09-12,5582.0
2015-09-13,6044.0
2015-09-14,5570.0
2015-09-15,5406.0
2015-09-16,5866.0
2015-09-17,5365.0
2015-09-18,5782.0
2015-09-19,5199.0
2015-09-20,6380.0
2015-09-21,6303.0
2015-09-22,6802.0
2015-09-23,7376.0
2015-09-24,6218.0
2015-09-25,5846.0
2015-09-26,5904.0
2015-09-27,5747.0
2015-09-28,6115.0
2015-09-29,5737.0
2015-09-30,5866.0
2015-10-01,6419.0
2015-10-02,6052.0
2015-10-03,6112.0
2015-10-04,6624.0
2015-10-05,6240.0
2015-10-06,6456.0
2015-10-07,7113.0
2015-10-08,6926.0
2015-10-09,6761.0
2015-10-10,6529.0
2015-10-11,6023.0
2015-10-12,6571.0
2015-10-13,6815.0
2015-10-14,6818.0
2015-10-15,6472.0
2015-10-16,6769.0
2015-10-17,6564.0
2015-10-18,6462.0
2015-10-19,6597.0
2015-10-20,5894.0
2015-10-21,6174.0
2015-10-22,5962.0
2015-10-23,6861.0
2015-10-24,6354.0
2015-10-25,5813.0
2015-10-26,5910.0
2015-10-27,6750.0
2015-10-28,7340.0
2015-10-29,7780.0
2015-10-30,7909.0
2015-10-31,7522.0
2015-11-01,6893.0
2015-11-02,6543.0
2015-11-03,7393.0
2015-11-04,7033.0
2015-11-05,7488.0
2015-11-06,7874.0
2015-11-07,10975.0
2015-11-08,12394.0
2015-11-09,7688.0
2015-11-10,8142.0
2015-11-11,10217.0
2015-11-12,9368.0
2015-11-13,7886.0
2015-11-14,7206.0
2015-11-15,7166.0
2015-11-16,7436.0
2015-11-17,7145.0
2015-11-18,7363.0
2015-11-19,8872.0
2015-11-20,6347.0
2015-11-21,6820.0
2015-11-22,7083.0
2015-11-23,8260.0
2015-11-24,7149.0
2015-11-25,7097.0
2015-11-26,7278.0
2015-11-27,6639.0
2015-11-28,6792.0
2015-11-29,6849.0
2015-11-30,8957.0
2015-12-01,6782.0
2015-12-02,6496.0
2015-12-03,6946.0
2015-12-04,6878.0
2015-12-05,6772.0
2015-12-06,9080.0
2015-12-07,7138.0
2015-12-08,6690.0
2015-12-09,7000.0
2015-12-10,7416.0
2015-12-11,8097.0
2015-12-12,8202.0
2015-12-13,7411.0
2015-12-14,15525.0
2015-12-15,20359.0
2015-12-16,10294.0
2015-12-17,9599.0
2015-12-18,9029.0
2015-12-19,9273.0
2015-12-20,9591.0
2015-12-21,12061.0
2015-12-22,21023.0
2015-12-23,22737.0
2015-12-24,13492.0
