Date,market/price_drawdown_relative
2017-06-17,-0.10044222302488348
2017-06-18,-0.1416724425744602
2017-06-19,-0.12438864863281784
2017-06-20,-0.1463777736560028
2017-06-21,-0.21141774944600078
2017-06-22,-0.21979851030389375
2017-06-23,-0.20261233733904727
2017-06-24,-0.2565576891162371
2017-06-25,-0.32108515477805855
2017-06-26,-0.377554008805412
2017-06-27,-0.30061891699288323
2017-06-28,-0.22953620273924447
2017-06-29,-0.28297392543709776
2017-06-30,-0.3114646075148625
2017-07-01,-0.36091939435945986
2017-07-02,-0.30640295986801636
2017-07-03,-0.32393080625164716
2017-07-04,-0.34103400138621776
2017-07-05,-0.3489266573601335
2017-07-06,-0.35040561515858515
2017-07-07,-0.4133711451916786
2017-07-08,-0.4017200816111365
2017-07-09,-0.4207805773304567
2017-07-10,-0.49480656403447965
2017-07-11,-0.5331130353290314
2017-07-12,-0.45253180003319105
2017-07-13,-0.4979255542430956
2017-07-14,-0.5170787898903715
2017-07-15,-0.5880687642160547
2017-07-16,-0.6235588703300564
2017-07-17,-0.534899499204389
2017-07-18,-0.4460204808809316
2017-07-19,-0.5266749319093686
2017-07-20,-0.44091002274568747
2017-07-21,-0.4695568983863252
2017-07-22,-0.43374464304889826
2017-07-23,-0.44005583919872693
2017-07-24,-0.44866112830324967
2017-07-25,-0.5029188672061852
2017-07-26,-0.5057303513378955
2017-07-27,-0.5049249782793326
2017-07-28,-0.5331813700127883
2017-07-29,-0.4982721087107197
2017-07-30,-0.5224967541025216
2017-07-31,-0.5086492185440806
2017-08-01,-0.4490467311615919
2017-08-02,-0.46870759588820443
2017-08-03,-0.4532297900172789
2017-08-04,-0.4652957427492018
2017-08-05,-0.3814246805353533
2017-08-06,-0.35493522848189607
2017-08-07,-0.34232747932875807
2017-08-08,-0.2771801204642852
2017-08-09,-0.2794644513212998
2017-08-10,-0.2709323779493735
2017-08-11,-0.24627331921083195
2017-08-12,-0.24891884768198969
2017-08-13,-0.2789568222419633
2017-08-14,-0.2715669142985444
2017-08-15,-0.30134619327000967
2017-08-16,-0.26562179681169873
2017-08-17,-0.2655046516395443
2017-08-18,-0.28658590157853114
2017-08-19,-0.2847066977752176
2017-08-20,-0.27471030975135935
2017-08-21,-0.21889551626853565
2017-08-22,-0.23301150951316407
2017-08-23,-0.22455265187383455
2017-08-24,-0.2076837470835733
2017-08-25,-0.1913810439587258
2017-08-26,-0.1913810439587258
2017-08-27,-0.15297695168737846
2017-08-28,-0.1506340482442866
2017-08-29,-0.09075334107793076
2017-08-30,-0.06280933647022069
2017-08-31,-0.052222341536749206
2017-09-01,-0.04297763503421603
2017-09-02,-0.13730390386286173
2017-09-03,-0.14070599490418478
2017-09-04,-0.26684694007048215
2017-09-05,-0.2256216015697452
2017-09-06,-0.17235959663012368
2017-09-07,-0.18235110360514228
2017-09-08,-0.24942159571248657
2017-09-09,-0.26050157657877515
2017-09-10,-0.2681599422083816
2017-09-11,-0.27200620869412395
2017-09-12,-0.2816755664457178
2017-09-13,-0.3264250222087721
2017-09-14,-0.4552163768950671
2017-09-15,-0.3691732479475188
2017-09-16,-0.3771635248982299
2017-09-17,-0.3654246024385719
2017-09-18,-0.2737633862764429
2017-09-19,-0.30819430479221366
2017-09-20,-0.30903872624149464
2017-09-21,-0.3688950281636517
2017-09-22,-0.3572146782900709
2017-09-23,-0.30262502806603087
2017-09-24,-0.3096293331511074
2017-09-25,-0.282881185509142
2017-09-26,-0.2954694104669211
2017-09-27,-0.2437351738141491
2017-09-28,-0.26194636703534835
2017-09-29,-0.28434061911223474
2017-09-30,-0.26470904067866097
2017-10-01,-0.26147778634673
2017-10-02,-0.2770678563409703
2017-10-03,-0.2885822505539989
2017-10-04,-0.288645704188916
2017-10-05,-0.2818024737155519
2017-10-06,-0.2542489530150238
2017-10-07,-0.2390054374884074
2017-10-08,-0.24634165389458873
2017-10-09,-0.27751691283422975
2017-10-10,-0.2715864384939034
2017-10-11,-0.26175600613059713
2017-10-12,-0.26153635893280736
2017-10-13,-0.17828518992161024
2017-10-14,-0.17480500209885086
2017-10-15,-0.1791393734685709
2017-10-16,-0.18654880560734877
2017-10-17,-0.22833058367582015
2017-10-18,-0.23414391284399172
2017-10-19,-0.24830383552817825
2017-10-20,-0.2584173687241913
2017-10-21,-0.2691947245624139
2017-10-22,-0.28169997168991656
2017-10-23,-0.30389898181321195
2017-10-24,-0.27675546921522487
2017-10-25,-0.27554985015180056
2017-10-26,-0.2774583402481524
2017-10-27,-0.2760721223776561
2017-10-28,-0.2817585442759939
2017-10-29,-0.2603990745531398
2017-10-30,-0.25214033991624096
2017-10-31,-0.2590030945849643
2017-11-01,-0.29276042836084604
2017-11-02,-0.30512900612083516
2017-11-03,-0.2546443179710455
2017-11-04,-0.2670519441217527
2017-11-05,-0.2767066587268271
2017-11-06,-0.2738512451555589
2017-11-07,-0.28658102052969125
2017-11-08,-0.24776692015580293
2017-11-09,-0.217543465739918
2017-11-10,-0.2726944365805323
2017-11-11,-0.23377783418100861
2017-11-12,-0.2514423499321532
2017-11-13,-0.231322666614602
2017-11-14,-0.18209728906547418
2017-11-15,-0.19093686851430636
2017-11-16,-0.19365073166922098
2017-11-17,-0.19085389068403003
2017-11-18,-0.154548649413786
2017-11-19,-0.1333404922049648
2017-11-20,-0.10107675937405414
2017-11-21,-0.11919033161845793
2017-11-22,-0.07072639768833522
2017-11-23,-0.03887832341643438
2017-11-24,-0.014406697983146421
2017-11-25,-0.03193240973273237
2017-11-26,-0.024069885409217062
2017-11-27,-0.02396737818968564
2017-11-28,-0.04276500108384873
2017-11-29,-0.14730140072485043
2017-11-30,-0.14313644823195215
2017-12-01,-0.09202860221373299
2017-12-02,-0.10445685179743358
2017-12-03,-0.09109609168380839
2017-12-04,-0.08423547849936319
2017-12-05,-0.09953962190224308
2017-12-06,-0.17530806151435008
2017-12-07,-0.168839259476932
2017-12-08,-0.11294348124204134
2017-12-09,-0.07246938975413841
2017-12-10,-0.13697717700068568
2017-12-11,-0.013477327124849836
2017-12-12,-0.004370756205969939
2017-12-13,-0.06927851335163737
2017-12-14,-0.0749181092512693
2017-12-15,-0.08762575132774297
2017-12-16,-0.07619019855193854
2017-12-17,-0.04419185226802891
2017-12-18,-0.013786156714174158
2017-12-19,-0.05761458778741768
2017-12-20,-0.07763095582927582
2017-12-21,-0.08478737637760547
2017-12-22,-0.22269272679623198
2017-12-23,-0.17377710956932724
2017-12-24,-0.20800976565194018
2017-12-25,-0.16085279337186265
2017-12-26,-0.1327811418088526
2017-12-27,-0.14919056354800275
2017-12-28,-0.17097936983038842
2017-12-29,-0.14370543041972994
2017-12-30,-0.1953130388005353
2017-12-31,-0.15303429472590413
2018-01-01,-0.13757890913437887
2018-01-02,-0.012096718575428933
2018-01-03,-0.008053957297159409
2018-01-04,-0.04894079751952429
2018-01-05,-0.0468496940906058
2018-01-06,-0.011409859551280377
2018-01-07,-0.007448549963186113
2018-01-08,-0.07288926504563442
2018-01-09,-0.00481176510453718
2018-01-10,-0.0967007403308674
2018-01-11,-0.17580069731027115
2018-01-12,-0.0876707606244218
2018-01-13,-0.02574967543314355
2018-01-14,-0.04264265788186472
2018-01-15,-0.10369082910092509
2018-01-16,-0.24775763419306562
2018-01-17,-0.2811164817939491
2018-01-18,-0.27728934166141583
2018-01-19,-0.2687441764741537
2018-01-20,-0.1908847812327762
2018-01-21,-0.26483527791521666
2018-01-22,-0.2967196545847448
2018-01-23,-0.30749203207749554
2018-01-24,-0.2531508710796482
2018-01-25,-0.2635313719768766
2018-01-26,-0.26091228307586456
2018-01-27,-0.22110579681339493
2018-01-28,-0.13730340974926947
2018-01-29,-0.1788916658561306
2018-01-30,-0.25929403008428176
2018-01-31,-0.2245227351858664
2018-02-01,-0.27880610143401463
2018-02-02,-0.3559310804657976
2018-02-03,-0.31651647079885037
2018-02-04,-0.41913739221631574
2018-02-05,-0.5109478761839115
2018-02-06,-0.4431433577621873
2018-02-07,-0.470705814856634
2018-02-08,-0.4269706952426465
2018-02-09,-0.38125786748650625
2018-02-10,-0.399502683226977
2018-02-11,-0.42780801429926696
2018-02-12,-0.3903175469088974
2018-02-13,-0.4072316737782401
2018-02-14,-0.3507098182002716
2018-02-15,-0.3452672443322381
2018-02-16,-0.3337364869531877
2018-02-17,-0.31321089304165306
2018-02-18,-0.34801883826914604
2018-02-19,-0.33478384058798405
2018-02-20,-0.3689299654500168
2018-02-21,-0.40092852199090234
2018-02-22,-0.4270954473243146
2018-02-23,-0.3909074762442435
2018-02-24,-0.40759324337087177
2018-02-25,-0.4045660671518607
2018-02-26,-0.38729459957401036
2018-02-27,-0.38109787470380196
2018-02-28,-0.39724375429055536
2018-03-01,-0.3852612111242206
2018-03-02,-0.39607799190027737
2018-03-03,-0.3958158010845678
2018-03-04,-0.3891531941466606
