Date,fees/gas_used_median
2015-08-07,21000.0
2015-08-08,21000.0
2015-08-09,21000.0
2015-08-10,21000.0
2015-08-11,21000.0
2015-08-12,21000.0
2015-08-13,21000.0
2015-08-14,21000.0
2015-08-15,21000.0
2015-08-16,21000.0
2015-08-17,21000.0
2015-08-18,21000.0
2015-08-19,21000.0
2015-08-20,21000.0
2015-08-21,21000.0
2015-08-22,21000.0
2015-08-23,21000.0
2015-08-24,21000.0
2015-08-25,21000.0
2015-08-26,21000.0
2015-08-27,21000.0
2015-08-28,21000.0
2015-08-29,21000.0
2015-08-30,21000.0
2015-08-31,21000.0
2015-09-01,21000.0
2015-09-02,21000.0
2015-09-03,21000.0
2015-09-04,21000.0
2015-09-05,21000.0
2015-09-06,21000.0
2015-09-07,21000.0
2015-09-08,21000.0
2015-09-09,21000.0
2015-09-10,21000.0
2015-09-11,21000.0
2015-09-12,21000.0
2015-09-13,21000.0
2015-09-14,21000.0
2015-09-15,21000.0
2015-09-16,21000.0
2015-09-17,21000.0
2015-09-18,21000.0
2015-09-19,21000.0
2015-09-20,21000.0
2015-09-21,21000.0
2015-09-22,21000.0
2015-09-23,21000.0
2015-09-24,21000.0
2015-09-25,21000.0
2015-09-26,21000.0
2015-09-27,21000.0
2015-09-28,21000.0
2015-09-29,21000.0
2015-09-30,21000.0
2015-10-01,21000.0
2015-10-02,21000.0
2015-10-03,21000.0
2015-10-04,21000.0
2015-10-05,21000.0
2015-10-06,21000.0
2015-10-07,21000.0
2015-10-08,21000.0
2015-10-09,21000.0
2015-10-10,21000.0
2015-10-11,21000.0
2015-10-12,21000.0
2015-10-13,21000.0
2015-10-14,21000.0
2015-10-15,21000.0
2015-10-16,21000.0
2015-10-17,21000.0
2015-10-18,21000.0
2015-10-19,21000.0
2015-10-20,21000.0
2015-10-21,21000.0
2015-10-22,21000.0
2015-10-23,21000.0
2015-10-24,21000.0
2015-10-25,21000.0
2015-10-26,21000.0
2015-10-27,21000.0
2015-10-28,21000.0
2015-10-29,21000.0
2015-10-30,21000.0
2015-10-31,21000.0
2015-11-01,21000.0
2015-11-02,21000.0
2015-11-03,21000.0
2015-11-04,21000.0
2015-11-05,21000.0
2015-11-06,21000.0
2015-11-07,21000.0
2015-11-08,21000.0
2015-11-09,21000.0
2015-11-10,21000.0
2015-11-11,21000.0
2015-11-12,21000.0
2015-11-13,21000.0
2015-11-14,21000.0
2015-11-15,21000.0
2015-11-16,21000.0
2015-11-17,21000.0
2015-11-18,21000.0
2015-11-19,21000.0
2015-11-20,21000.0
2015-11-21,21000.0
2015-11-22,21000.0
2015-11-23,21000.0
2015-11-24,21000.0
2015-11-25,21000.0
2015-11-26,21000.0
2015-11-27,21000.0
2015-11-28,21000.0
2015-11-29,21000.0
2015-11-30,21000.0
2015-12-01,21000.0
2015-12-02,21000.0
2015-12-03,21000.0
2015-12-04,21000.0
2015-12-05,21000.0
2015-12-06,21000.0
2015-12-07,21000.0
2015-12-08,21000.0
2015-12-09,21000.0
2015-12-10,21000.0
2015-12-11,21000.0
2015-12-12,21000.0
2015-12-13,21000.0
2015-12-14,87179.0
2015-12-15,74690.0
2015-12-16,21000.0
2015-12-17,21000.0
2015-12-18,21000.0
2015-12-19,21000.0
2015-12-20,21000.0
2015-12-21,21000.0
2015-12-22,45525.0
2015-12-23,59754.0
2015-12-24,21000.0
2015-12-25,21000.0
2015-12-26,21000.0
2015-12-27,59690.0
2015-12-28,21000.0
2015-12-29,21000.0
2015-12-30,59754.0
2015-12-31,21000.0
2016-01-01,21000.0
2016-01-02,21000.0
2016-01-03,21000.0
2016-01-04,21000.0
2016-01-05,59626.0
2016-01-06,59562.0
2016-01-07,59626.0
2016-01-08,21000.0
2016-01-09,21000.0
2016-01-10,21000.0
2016-01-11,21000.0
2016-01-12,21000.0
2016-01-13,54743.0
2016-01-14,21000.0
2016-01-15,21000.0
2016-01-16,21000.0
2016-01-17,21000.0
2016-01-18,21000.0
2016-01-19,21000.0
2016-01-20,21000.0
2016-01-21,21000.0
2016-01-22,21000.0
2016-01-23,21000.0
2016-01-24,21000.0
2016-01-25,21000.0
2016-01-26,21000.0
2016-01-27,21000.0
2016-01-28,21000.0
2016-01-29,21000.0
2016-01-30,21000.0
2016-01-31,21000.0
2016-02-01,21000.0
2016-02-02,21000.0
2016-02-03,21000.0
2016-02-04,21000.0
2016-02-05,21000.0
2016-02-06,59690.0
2016-02-07,21000.0
2016-02-08,21000.0
2016-02-09,21000.0
2016-02-10,21000.0
2016-02-11,21000.0
2016-02-12,21000.0
2016-02-13,21000.0
2016-02-14,21000.0
2016-02-15,21000.0
2016-02-16,21000.0
2016-02-17,21000.0
2016-02-18,21000.0
2016-02-19,21000.0
2016-02-20,21000.0
2016-02-21,21000.0
2016-02-22,21000.0
2016-02-23,21000.0
2016-02-24,21000.0
2016-02-25,21000.0
2016-02-26,21000.0
2016-02-27,21000.0
2016-02-28,21000.0
2016-02-29,21000.0
2016-03-01,21000.0
2016-03-02,21000.0
2016-03-03,21000.0
2016-03-04,21000.0
2016-03-05,21000.0
2016-03-06,21000.0
2016-03-07,21000.0
2016-03-08,21000.0
2016-03-09,21000.0
2016-03-10,21000.0
2016-03-11,21000.0
2016-03-12,21000.0
2016-03-13,21000.0
2016-03-14,21000.0
2016-03-15,21000.0
2016-03-16,21000.0
2016-03-17,21000.0
2016-03-18,21000.0
2016-03-19,21000.0
2016-03-20,21000.0
2016-03-21,21000.0
2016-03-22,21000.0
2016-03-23,21000.0
2016-03-24,21000.0
2016-03-25,21000.0
2016-03-26,21000.0
2016-03-27,21000.0
2016-03-28,21000.0
2016-03-29,21000.0
2016-03-30,21000.0
2016-03-31,21000.0
2016-04-01,21000.0
2016-04-02,21000.0
2016-04-03,21000.0
2016-04-04,21000.0
2016-04-05,21000.0
2016-04-06,21000.0
2016-04-07,21000.0
2016-04-08,21000.0
2016-04-09,21000.0
2016-04-10,21000.0
2016-04-11,21000.0
2016-04-12,21000.0
2016-04-13,21000.0
2016-04-14,21000.0
2016-04-15,21000.0
2016-04-16,21000.0
2016-04-17,21000.0
2016-04-18,21000.0
2016-04-19,21000.0
2016-04-20,21000.0
2016-04-21,21000.0
2016-04-22,21000.0
2016-04-23,21000.0
2016-04-24,21000.0
2016-04-25,21000.0
2016-04-26,21000.0
2016-04-27,21000.0
2016-04-28,21000.0
2016-04-29,21000.0
2016-04-30,21000.0
2016-05-01,21000.0
2016-05-02,21000.0
2016-05-03,21000.0
2016-05-04,21000.0
2016-05-05,21000.0
2016-05-06,21000.0
2016-05-07,21000.0
2016-05-08,21000.0
2016-05-09,21000.0
2016-05-10,21000.0
2016-05-11,21000.0
2016-05-12,21000.0
2016-05-13,21000.0
2016-05-14,21000.0
2016-05-15,21000.0
2016-05-16,21000.0
2016-05-17,21000.0
2016-05-18,21000.0
2016-05-19,21000.0
2016-05-20,21000.0
2016-05-21,21000.0
2016-05-22,21000.0
2016-05-23,21000.0
2016-05-24,21000.0
2016-05-25,21000.0
2016-05-26,21000.0
2016-05-27,21000.0
2016-05-28,21000.0
2016-05-29,21000.0
2016-05-30,21000.0
2016-05-31,21000.0
2016-06-01,21000.0
2016-06-02,21000.0
2016-06-03,21000.0
2016-06-04,21000.0
2016-06-05,21000.0
2016-06-06,21000.0
2016-06-07,21000.0
2016-06-08,21000.0
2016-06-09,21000.0
2016-06-10,21000.0
2016-06-11,21000.0
2016-06-12,21000.0
2016-06-13,21000.0
2016-06-14,21000.0
2016-06-15,21000.0
