Date,addresses/new_non_zero_count
2016-04-04,1149.0
2016-04-05,1152.0
2016-04-06,1069.0
2016-04-07,1057.0
2016-04-08,754.0
2016-04-09,909.0
2016-04-10,1192.0
2016-04-11,996.0
2016-04-12,1192.0
2016-04-13,1176.0
2016-04-14,952.0
2016-04-15,799.0
2016-04-16,763.0
2016-04-17,862.0
2016-04-18,888.0
2016-04-19,831.0
2016-04-20,961.0
2016-04-21,1002.0
2016-04-22,998.0
2016-04-23,953.0
2016-04-24,1025.0
2016-04-25,1048.0
2016-04-26,1137.0
2016-04-27,1209.0
2016-04-28,1029.0
2016-04-29,1032.0
2016-04-30,1968.0
2016-05-01,1444.0
2016-05-02,3921.0
2016-05-03,1505.0
2016-05-04,1583.0
2016-05-05,1477.0
2016-05-06,1268.0
2016-05-07,1279.0
2016-05-08,1603.0
2016-05-09,1682.0
2016-05-10,1510.0
2016-05-11,2388.0
2016-05-12,2956.0
2016-05-13,2434.0
2016-05-14,2218.0
2016-05-15,2383.0
2016-05-16,1514.0
2016-05-17,2245.0
2016-05-18,4882.0
2016-05-19,3771.0
2016-05-20,5117.0
2016-05-21,2772.0
2016-05-22,1988.0
2016-05-23,2653.0
2016-05-24,2446.0
2016-05-25,3290.0
2016-05-26,2608.0
2016-05-27,3858.0
2016-05-28,11023.0
2016-05-29,2629.0
2016-05-30,2287.0
2016-05-31,2599.0
2016-06-01,2216.0
2016-06-02,1840.0
2016-06-03,1938.0
2016-06-04,1757.0
2016-06-05,1638.0
2016-06-06,1731.0
2016-06-07,6115.0
2016-06-08,1985.0
2016-06-09,1831.0
2016-06-10,1738.0
2016-06-11,1604.0
2016-06-12,2037.0
2016-06-13,2741.0
2016-06-14,3228.0
2016-06-15,2607.0
2016-06-16,3080.0
2016-06-17,7279.0
2016-06-18,4437.0
2016-06-19,3571.0
2016-06-20,2735.0
2016-06-21,2823.0
2016-06-22,3206.0
2016-06-23,2109.0
2016-06-24,2024.0
2016-06-25,1615.0
2016-06-26,1560.0
2016-06-27,1759.0
2016-06-28,2273.0
2016-06-29,1890.0
2016-06-30,1661.0
2016-07-01,1683.0
2016-07-02,2111.0
2016-07-03,2135.0
2016-07-04,2188.0
2016-07-05,2709.0
2016-07-06,2246.0
2016-07-07,2372.0
2016-07-08,2198.0
2016-07-09,2117.0
2016-07-10,2124.0
2016-07-11,2141.0
2016-07-12,2284.0
2016-07-13,2094.0
2016-07-14,2211.0
2016-07-15,2182.0
2016-07-16,1631.0
2016-07-17,1226.0
2016-07-18,2092.0
2016-07-19,2123.0
2016-07-20,2010.0
2016-07-21,2564.0
2016-07-22,3004.0
2016-07-23,2775.0
2016-07-24,3621.0
2016-07-25,3761.0
2016-07-26,4566.0
2016-07-27,4155.0
2016-07-28,2937.0
2016-07-29,4550.0
2016-07-30,2208.0
2016-07-31,2503.0
2016-08-01,2472.0
2016-08-02,3606.0
2016-08-03,2952.0
2016-08-04,2699.0
2016-08-05,2138.0
2016-08-06,1825.0
2016-08-07,1757.0
2016-08-08,1836.0
2016-08-09,2851.0
2016-08-10,2284.0
2016-08-11,2316.0
2016-08-12,1913.0
2016-08-13,1548.0
2016-08-14,1656.0
2016-08-15,1652.0
2016-08-16,1739.0
2016-08-17,1642.0
2016-08-18,1711.0
2016-08-19,1626.0
2016-08-20,1695.0
2016-08-21,1841.0
2016-08-22,1513.0
2016-08-23,2107.0
2016-08-24,1796.0
2016-08-25,2129.0
2016-08-26,1924.0
2016-08-27,1444.0
2016-08-28,1621.0
2016-08-29,1813.0
2016-08-30,1820.0
