Date,transactions/transfers_volume_mean
2015-08-07,1013.941711475
2015-08-08,8746.2772288312
2015-08-09,936.855365430503
2015-08-10,1095.66157938394
2015-08-11,452.129194644738
2015-08-12,412.726366108766
2015-08-13,686.563307989109
2015-08-14,749.895158478193
2015-08-15,2125.39190498028
2015-08-16,726.132127382887
2015-08-17,913.247564999808
2015-08-18,642.089102413449
2015-08-19,361.27647778096
2015-08-20,187.739075082014
2015-08-21,151.781582071355
2015-08-22,140.83259900299
2015-08-23,121.869022954152
2015-08-24,104.922983040345
2015-08-25,94.3926405974255
2015-08-26,107.904837048863
2015-08-27,49.658070255368
2015-08-28,64.1169715417535
2015-08-29,105.604773253406
2015-08-30,92.3849621256786
2015-08-31,75.0486005002825
2015-09-01,280.598611458724
2015-09-02,54.3581098141441
2015-09-03,120.698603025938
2015-09-04,35.1130338270458
2015-09-05,30.985360410857
2015-09-06,54.4448632455117
2015-09-07,36.9566415827319
2015-09-08,47.3991360250201
2015-09-09,208.258095689677
2015-09-10,39.5400308735896
2015-09-11,115.491400628472
2015-09-12,39.9657066530477
2015-09-13,38.0616366315203
2015-09-14,49.1863601042344
2015-09-15,113.321570430734
2015-09-16,100.88550945011
2015-09-17,58.9819817036483
2015-09-18,73.4389366788654
2015-09-19,77.4666832001466
2015-09-20,21.0480696406972
2015-09-21,25.6189924931164
2015-09-22,28.9755835025353
2015-09-23,18.0764121664991
2015-09-24,50.1099818039503
2015-09-25,116.174812160096
2015-09-26,43.0382554484808
2015-09-27,67.4240919386208
2015-09-28,119.018479494876
2015-09-29,71.8607550830512
2015-09-30,88.7155690171188
2015-10-01,85.2865306042132
2015-10-02,25.049734526966
2015-10-03,20.4683012653494
2015-10-04,42.4891826123212
2015-10-05,27.1876957626717
2015-10-06,80.6753445104189
2015-10-07,45.1390874589846
2015-10-08,46.358025209396
2015-10-09,33.7622781115993
2015-10-10,19.8071652264458
2015-10-11,25.6043165613342
2015-10-12,42.5300559113327
2015-10-13,62.4266482551771
2015-10-14,149.383181219089
2015-10-15,129.612445656027
2015-10-16,55.3347542997541
2015-10-17,38.8610310917833
2015-10-18,29.5495716991053
2015-10-19,81.1722857286243
2015-10-20,87.3558444650192
2015-10-21,115.498600350824
2015-10-22,115.338593068566
2015-10-23,123.532264344721
2015-10-24,17.4173362335159
2015-10-25,48.2761664097069
2015-10-26,127.46498708293
2015-10-27,296.863153718978
2015-10-28,151.951706364123
2015-10-29,75.0553879474733
2015-10-30,161.292673272571
2015-10-31,39.0861942495232
2015-11-01,22.3471089777709
2015-11-02,56.5483368578476
2015-11-03,85.3137349842642
2015-11-04,118.685229325562
2015-11-05,48.1771017089785
2015-11-06,132.212039533133
2015-11-07,54.9423989567573
2015-11-08,78.0476294973355
2015-11-09,128.909980761676
2015-11-10,126.527403234403
2015-11-11,41.9315498211534
2015-11-12,39.9215830233633
2015-11-13,67.719022306772
2015-11-14,41.276803035238
2015-11-15,25.4986668115122
2015-11-16,61.6303137958975
2015-11-17,168.843806595514
2015-11-18,28.1089653638294
2015-11-19,39.2377868133538
2015-11-20,32.139886242236
2015-11-21,20.4943404993904
2015-11-22,37.591060288689
2015-11-23,98.0369403009469
2015-11-24,57.5493235930577
2015-11-25,27.7067123292017
2015-11-26,138.411908084193
2015-11-27,108.321109014034
2015-11-28,18.7471089004553
2015-11-29,29.1302382411452
2015-11-30,36.3387662077015
2015-12-01,34.607377344123
2015-12-02,48.6034839042677
2015-12-03,33.5300825041783
2015-12-04,26.3219400209213
2015-12-05,22.459074833901
2015-12-06,28.0622462880223
2015-12-07,65.9656541460681
2015-12-08,27.8142345014773
2015-12-09,36.6336247276064
2015-12-10,30.9736588665197
2015-12-11,41.2111142354604
2015-12-12,61.9070051270582
2015-12-13,46.3473491775595
2015-12-14,20.5227048762377
2015-12-15,39.6199012583438
2015-12-16,145.838466639615
2015-12-17,47.5909947343289
2015-12-18,27.9147854875146
2015-12-19,25.3019169249542
2015-12-20,24.0032996708871
2015-12-21,26.0365262909181
2015-12-22,11.4769036098013
2015-12-23,15.3457676278964
2015-12-24,12.4484392309224
2015-12-25,7.38110482290798
2015-12-26,15.8506905448765
2015-12-27,7.56137230646905
2015-12-28,40.22120286252
2015-12-29,27.5400617383205
2015-12-30,23.3568499553494
2015-12-31,39.4438068217387
2016-01-01,43.0415685983299
2016-01-02,29.4089631298987
2016-01-03,41.1154222749714
2016-01-04,17.004134149686
2016-01-05,92.79107135636
2016-01-06,20.9448951310048
2016-01-07,33.1782710362896
2016-01-08,18.6786079166835
2016-01-09,19.1529915656665
2016-01-10,14.3004057097776
2016-01-11,48.2783965838784
2016-01-12,93.7222326045907
2016-01-13,36.5133071041311
2016-01-14,32.6267341963455
2016-01-15,99.4925041820056
2016-01-16,59.402743700609
2016-01-17,43.004321647165
2016-01-18,225.354400484351
2016-01-19,130.726516646732
2016-01-20,59.6528492001722
2016-01-21,48.4078933910571
2016-01-22,93.5870433941939
2016-01-23,108.153408275293
2016-01-24,169.251280828096
2016-01-25,159.989718775805
2016-01-26,104.695469956106
2016-01-27,75.7797951313344
2016-01-28,56.9577292936993
2016-01-29,56.0155902710213
2016-01-30,69.7390436950086
2016-01-31,80.2116145585983
2016-02-01,43.7801120809215
2016-02-02,46.7723024573398
2016-02-03,44.8630914798291
2016-02-04,24.1317974484723
2016-02-05,39.4177014166947
2016-02-06,17.4349417046217
2016-02-07,65.2214978870684
2016-02-08,103.725829414731
2016-02-09,104.098945169448
2016-02-10,116.614114128951
2016-02-11,87.6913539490728
2016-02-12,118.535492209643
