Date,blockchain/block_height
2016-04-15,1343995.0
2016-04-16,1350014.0
2016-04-17,1356029.0
2016-04-18,1362084.0
2016-04-19,1368053.0
2016-04-20,1374103.0
2016-04-21,1380093.0
2016-04-22,1386124.0
2016-04-23,1392175.0
2016-04-24,1398156.0
2016-04-25,1404260.0
2016-04-26,1410212.0
2016-04-27,1416274.0
2016-04-28,1422304.0
2016-04-29,1428334.0
2016-04-30,1434392.0
2016-05-01,1440334.0
2016-05-02,1446414.0
2016-05-03,1452468.0
2016-05-04,1458448.0
2016-05-05,1464485.0
2016-05-06,1470507.0
2016-05-07,1476495.0
2016-05-08,1482546.0
2016-05-09,1488590.0
2016-05-10,1494602.0
2016-05-11,1500516.0
2016-05-12,1506615.0
2016-05-13,1512679.0
2016-05-14,1518637.0
2016-05-15,1524652.0
2016-05-16,1530613.0
2016-05-17,1536684.0
2016-05-18,1542747.0
2016-05-19,1548758.0
2016-05-20,1554795.0
2016-05-21,1560776.0
2016-05-22,1566860.0
2016-05-23,1572873.0
2016-05-24,1578883.0
2016-05-25,1584912.0
2016-05-26,1590931.0
2016-05-27,1596976.0
2016-05-28,1602995.0
2016-05-29,1608996.0
2016-05-30,1615003.0
2016-05-31,1620939.0
2016-06-01,1626978.0
2016-06-02,1633050.0
2016-06-03,1639079.0
2016-06-04,1645095.0
2016-06-05,1651058.0
2016-06-06,1657166.0
2016-06-07,1663156.0
2016-06-08,1669247.0
2016-06-09,1675339.0
2016-06-10,1681241.0
2016-06-11,1687355.0
2016-06-12,1693420.0
2016-06-13,1699504.0
2016-06-14,1705539.0
2016-06-15,1711546.0
2016-06-16,1717561.0
2016-06-17,1723410.0
2016-06-18,1729299.0
2016-06-19,1735521.0
2016-06-20,1741470.0
2016-06-21,1747469.0
2016-06-22,1753608.0
2016-06-23,1759611.0
2016-06-24,1765653.0
2016-06-25,1771651.0
2016-06-26,1777703.0
2016-06-27,1783755.0
2016-06-28,1789822.0
2016-06-29,1795813.0
2016-06-30,1801798.0
2016-07-01,1807925.0
2016-07-02,1813928.0
2016-07-03,1819973.0
2016-07-04,1826040.0
2016-07-05,1831989.0
2016-07-06,1838077.0
2016-07-07,1844113.0
2016-07-08,1850109.0
2016-07-09,1856235.0
2016-07-10,1862281.0
2016-07-11,1868310.0
2016-07-12,1874316.0
2016-07-13,1880402.0
2016-07-14,1886403.0
2016-07-15,1892391.0
2016-07-16,1898472.0
2016-07-17,1904501.0
2016-07-18,1910610.0
2016-07-19,1916580.0
2016-07-20,1922526.0
2016-07-21,1928680.0
2016-07-22,1934637.0
2016-07-23,1940730.0
2016-07-24,1946667.0
2016-07-25,1952697.0
2016-07-26,1958506.0
2016-07-27,1964681.0
2016-07-28,1970762.0
2016-07-29,1976741.0
2016-07-30,1982722.0
2016-07-31,1988751.0
2016-08-01,1994712.0
2016-08-02,2000606.0
2016-08-03,2006590.0
2016-08-04,2012782.0
2016-08-05,2018847.0
2016-08-06,2024825.0
2016-08-07,2030902.0
2016-08-08,2036961.0
2016-08-09,2043091.0
2016-08-10,2049145.0
2016-08-11,2055213.0
2016-08-12,2061227.0
2016-08-13,2067259.0
2016-08-14,2073293.0
2016-08-15,2079383.0
2016-08-16,2085437.0
2016-08-17,2091446.0
2016-08-18,2097546.0
2016-08-19,2103560.0
2016-08-20,2109615.0
2016-08-21,2115699.0
2016-08-22,2121777.0
2016-08-23,2127792.0
2016-08-24,2133845.0
2016-08-25,2139939.0
2016-08-26,2145945.0
2016-08-27,2152021.0
2016-08-28,2158056.0
2016-08-29,2164070.0
2016-08-30,2170096.0
2016-08-31,2176169.0
2016-09-01,2182158.0
2016-09-02,2188246.0
2016-09-03,2194195.0
2016-09-04,2200218.0
2016-09-05,2206294.0
2016-09-06,2212287.0
2016-09-07,2218405.0
2016-09-08,2224421.0
2016-09-09,2230495.0
2016-09-10,2236494.0
2016-09-11,2242587.0
2016-09-12,2248650.0
2016-09-13,2254653.0
2016-09-14,2260744.0
2016-09-15,2266775.0
2016-09-16,2272840.0
2016-09-17,2278884.0
2016-09-18,2284482.0
2016-09-19,2290891.0
2016-09-20,2297058.0
2016-09-21,2303120.0
2016-09-22,2308866.0
2016-09-23,2315092.0
2016-09-24,2320969.0
2016-09-25,2327236.0
2016-09-26,2333079.0
2016-09-27,2339132.0
2016-09-28,2345238.0
2016-09-29,2351364.0
2016-09-30,2357372.0
2016-10-01,2363152.0
2016-10-02,2369220.0
2016-10-03,2375424.0
2016-10-04,2381501.0
2016-10-05,2387318.0
2016-10-06,2393271.0
2016-10-07,2399158.0
2016-10-08,2405358.0
2016-10-09,2411407.0
2016-10-10,2417448.0
2016-10-11,2423498.0
2016-10-12,2429408.0
2016-10-13,2435522.0
2016-10-14,2441601.0
2016-10-15,2447628.0
2016-10-16,2453683.0
2016-10-17,2459642.0
2016-10-18,2465761.0
2016-10-19,2471535.0
2016-10-20,2477833.0
2016-10-21,2483930.0
2016-10-22,2489971.0
2016-10-23,2495964.0
2016-10-24,2502029.0
2016-10-25,2508057.0
2016-10-26,2514153.0
2016-10-27,2520171.0
2016-10-28,2526114.0
2016-10-29,2531782.0
2016-10-30,2537841.0
2016-10-31,2543933.0
2016-11-01,2549772.0
2016-11-02,2555724.0
2016-11-03,2561674.0
2016-11-04,2567578.0
2016-11-05,2573574.0
2016-11-06,2579628.0
2016-11-07,2585943.0
2016-11-08,2592102.0
2016-11-09,2598026.0
2016-11-10,2603992.0
2016-11-11,2609984.0
2016-11-12,2616070.0
2016-11-13,2622273.0
2016-11-14,2628340.0
2016-11-15,2634346.0
2016-11-16,2640391.0
2016-11-17,2646259.0
2016-11-18,2652548.0
2016-11-19,2658698.0
2016-11-20,2664877.0
2016-11-21,2670950.0
2016-11-22,2676872.0
2016-11-23,2682709.0
2016-11-24,2688623.0
2016-11-25,2694734.0
2016-11-26,2700672.0
2016-11-27,2706617.0
2016-11-28,2712659.0
2016-11-29,2718647.0
2016-11-30,2724708.0
2016-12-01,2730765.0
2016-12-02,2736840.0
2016-12-03,2743000.0
2016-12-04,2748983.0
2016-12-05,2754987.0
2016-12-06,2761076.0
2016-12-07,2767149.0
2016-12-08,2773274.0
2016-12-09,2779324.0
2016-12-10,2785399.0
2016-12-11,2791497.0
2016-12-12,2797496.0
2016-12-13,2803566.0
2016-12-14,2809646.0
2016-12-15,2815647.0
2016-12-16,2821722.0
2016-12-17,2827838.0
2016-12-18,2833934.0
2016-12-19,2839966.0
2016-12-20,2846035.0
2016-12-21,2852105.0
2016-12-22,2858061.0
2016-12-23,2864015.0
2016-12-24,2870021.0
2016-12-25,2876148.0
2016-12-26,2882214.0
2016-12-27,2888212.0
2016-12-28,2894268.0
2016-12-29,2900350.0
2016-12-30,2906413.0
2016-12-31,2912406.0
2017-01-01,2918517.0
2017-01-02,2924575.0
2017-01-03,2930610.0
2017-01-04,2936751.0
2017-01-05,2942842.0
2017-01-06,2948851.0
2017-01-07,2954959.0
2017-01-08,2961033.0
2017-01-09,2967115.0
2017-01-10,2973145.0
2017-01-11,2979192.0
2017-01-12,2985248.0
2017-01-13,2991354.0
2017-01-14,2997421.0
2017-01-15,3003506.0
2017-01-16,3009558.0
2017-01-17,3015560.0
2017-01-18,3021625.0
2017-01-19,3027783.0
2017-01-20,3033746.0
2017-01-21,3039792.0
2017-01-22,3045857.0
2017-01-23,3051905.0
2017-01-24,3057942.0
2017-01-25,3063952.0
2017-01-26,3070033.0
2017-01-27,3076018.0
2017-01-28,3082081.0
2017-01-29,3088041.0
2017-01-30,3094135.0
2017-01-31,3100153.0
2017-02-01,3106162.0
2017-02-02,3112209.0
2017-02-03,3118199.0
2017-02-04,3124277.0
2017-02-05,3130354.0
2017-02-06,3136404.0
2017-02-07,3142402.0
2017-02-08,3148469.0
2017-02-09,3154498.0
2017-02-10,3160538.0
2017-02-11,3166576.0
2017-02-12,3172635.0
2017-02-13,3178705.0
2017-02-14,3184728.0
2017-02-15,3190817.0
2017-02-16,3196869.0
2017-02-17,3202881.0
2017-02-18,3208880.0
2017-02-19,3214899.0
2017-02-20,3220914.0
2017-02-21,3226966.0
2017-02-22,3232934.0
2017-02-23,3238953.0
2017-02-24,3244964.0
2017-02-25,3251003.0
2017-02-26,3257092.0
2017-02-27,3263080.0
2017-02-28,3269187.0
2017-03-01,3275145.0
2017-03-02,3281206.0
2017-03-03,3287212.0
2017-03-04,3293197.0
2017-03-05,3299270.0
2017-03-06,3305247.0
2017-03-07,3311225.0
2017-03-08,3317241.0
2017-03-09,3323169.0
2017-03-10,3329122.0
2017-03-11,3335124.0
2017-03-12,3341043.0
2017-03-13,3347083.0
2017-03-14,3353044.0
2017-03-15,3359030.0
2017-03-16,3365020.0
2017-03-17,3371066.0
2017-03-18,3377057.0
2017-03-19,3383007.0
2017-03-20,3389073.0
2017-03-21,3395030.0
2017-03-22,3401038.0
2017-03-23,3406952.0
2017-03-24,3412865.0
2017-03-25,3418827.0
2017-03-26,3424808.0
2017-03-27,3430759.0
2017-03-28,3436659.0
2017-03-29,3442647.0
2017-03-30,3448557.0
2017-03-31,3454528.0
2017-04-01,3460454.0
2017-04-02,3466300.0
2017-04-03,3472279.0
2017-04-04,3478211.0
2017-04-05,3484197.0
2017-04-06,3490077.0
2017-04-07,3496023.0
2017-04-08,3501959.0
2017-04-09,3507756.0
2017-04-10,3513514.0
2017-04-11,3519363.0
2017-04-12,3525142.0
2017-04-13,3530940.0
2017-04-14,3536848.0
2017-04-15,3542569.0
2017-04-16,3548389.0
2017-04-17,3554250.0
2017-04-18,3560111.0
2017-04-19,3565829.0
2017-04-20,3571688.0
2017-04-21,3577566.0
2017-04-22,3583358.0
2017-04-23,3589222.0
2017-04-24,3594943.0
2017-04-25,3600840.0
2017-04-26,3606477.0
2017-04-27,3612119.0
2017-04-28,3617816.0
2017-04-29,3623442.0
2017-04-30,3629090.0
2017-05-01,3634714.0
2017-05-02,3640333.0
2017-05-03,3645982.0
2017-05-04,3651631.0
2017-05-05,3657306.0
2017-05-06,3662984.0
2017-05-07,3668702.0
2017-05-08,3674342.0
2017-05-09,3680014.0
2017-05-10,3685662.0
2017-05-11,3691364.0
2017-05-12,3697052.0
2017-05-13,3702643.0
2017-05-14,3708045.0
2017-05-15,3713446.0
2017-05-16,3718903.0
2017-05-17,3724228.0
2017-05-18,3729690.0
2017-05-19,3735114.0
2017-05-20,3740603.0
2017-05-21,3746040.0
2017-05-22,3751508.0
2017-05-23,3756927.0
2017-05-24,3762354.0
2017-05-25,3767819.0
2017-05-26,3773311.0
2017-05-27,3778750.0
2017-05-28,3784203.0
2017-05-29,3789782.0
2017-05-30,3795363.0
2017-05-31,3800775.0
2017-06-01,3806051.0
2017-06-02,3811138.0
2017-06-03,3816344.0
2017-06-04,3821504.0
2017-06-05,3826753.0
2017-06-06,3831961.0
2017-06-07,3837200.0
2017-06-08,3842409.0
2017-06-09,3847623.0
2017-06-10,3852955.0
2017-06-11,3858201.0
2017-06-12,3863438.0
2017-06-13,3868710.0
2017-06-14,3874003.0
2017-06-15,3879308.0
2017-06-16,3884644.0
2017-06-17,3889923.0
2017-06-18,3895270.0
2017-06-19,3900604.0
2017-06-20,3905571.0
2017-06-21,3910469.0
2017-06-22,3915413.0
2017-06-23,3920303.0
2017-06-24,3925242.0
2017-06-25,3930168.0
2017-06-26,3935133.0
2017-06-27,3940134.0
2017-06-28,3945095.0
2017-06-29,3950122.0
2017-06-30,3955158.0
