Date,fees/gas_price_median
2016-02-21,50000000000.0
2016-02-22,50000000000.0
2016-02-23,50000000000.0
2016-02-24,50000000000.0
2016-02-25,50000000000.0
2016-02-26,50000000000.0
2016-02-27,50000000000.0
2016-02-28,50000000000.0
2016-02-29,50000000000.0
2016-03-01,50000000000.0
2016-03-02,50000000000.0
2016-03-03,50000000000.0
2016-03-04,50000000000.0
2016-03-05,50000000000.0
2016-03-06,50000000000.0
2016-03-07,50000000000.0
2016-03-08,50000000000.0
2016-03-09,33278493447.000004
2016-03-10,20000000000.0
2016-03-11,20000000000.0
2016-03-12,20000000000.0
2016-03-13,20000000000.0
2016-03-14,20000000000.0
2016-03-15,20000000000.0
2016-03-16,20000000000.0
2016-03-17,20000000000.0
2016-03-18,20000000000.0
2016-03-19,20000000000.0
2016-03-20,20000000000.0
2016-03-21,20000000000.0
2016-03-22,20000000000.0
2016-03-23,20000000000.0
2016-03-24,20000000000.0
2016-03-25,20000000000.0
2016-03-26,20000000000.0
2016-03-27,20000000000.0
2016-03-28,20000000000.0
2016-03-29,20000000000.0
2016-03-30,20000000000.0
2016-03-31,20000000000.0
2016-04-01,20000000000.0
2016-04-02,20000000000.0
2016-04-03,20000000000.0
2016-04-04,20000000000.0
2016-04-05,20000000000.0
2016-04-06,20000000000.0
2016-04-07,20000000000.0
2016-04-08,20000000000.0
2016-04-09,20000000000.0
2016-04-10,20000000000.0
2016-04-11,20000000000.0
2016-04-12,20000000000.0
2016-04-13,20000000000.0
2016-04-14,20000000000.0
2016-04-15,20000000000.0
2016-04-16,20000000000.0
2016-04-17,20000000000.0
2016-04-18,20000000000.0
2016-04-19,20000000000.0
2016-04-20,20000000000.0
2016-04-21,20000000000.0
2016-04-22,20000000000.0
2016-04-23,20000000000.0
2016-04-24,20000000000.0
2016-04-25,20000000000.0
2016-04-26,20000000000.0
2016-04-27,20000000000.0
2016-04-28,20000000000.0
2016-04-29,20000000000.0
2016-04-30,20000000000.0
2016-05-01,20000000000.0
2016-05-02,20000000000.0
2016-05-03,20000000000.0
2016-05-04,20000000000.0
2016-05-05,20000000000.0
2016-05-06,20000000000.0
2016-05-07,20000000000.0
2016-05-08,20000000000.0
2016-05-09,20000000000.0
2016-05-10,20000000000.0
2016-05-11,20000000000.0
2016-05-12,20000000000.0
2016-05-13,20000000000.0
2016-05-14,20000000000.0
2016-05-15,20000000000.0
2016-05-16,20000000000.0
2016-05-17,20000000000.0
2016-05-18,20000000000.0
2016-05-19,20000000000.0
2016-05-20,20000000000.0
2016-05-21,20000000000.0
2016-05-22,20000000000.0
2016-05-23,20000000000.0
2016-05-24,20000000000.0
2016-05-25,20000000000.0
2016-05-26,20000000000.0
2016-05-27,20000000000.0
2016-05-28,20000000000.0
2016-05-29,20000000000.0
2016-05-30,20000000000.0
2016-05-31,20000000000.0
2016-06-01,20000000000.0
2016-06-02,20000000000.0
2016-06-03,20000000000.0
2016-06-04,20000000000.0
2016-06-05,20000000000.0
2016-06-06,20000000000.0
2016-06-07,20000000000.0
2016-06-08,20000000000.0
2016-06-09,20000000000.0
2016-06-10,20000000000.0
2016-06-11,20000000000.0
2016-06-12,20000000000.0
2016-06-13,20000000000.0
2016-06-14,20000000000.0
2016-06-15,20000000000.0
2016-06-16,20000000000.0
2016-06-17,22158209309.0
2016-06-18,22432863158.0
2016-06-19,20000000000.0
2016-06-20,20000000000.0
2016-06-21,20000000000.0
2016-06-22,20000000000.0
2016-06-23,20000000000.0
2016-06-24,20000000000.0
2016-06-25,20000000000.0
2016-06-26,20000000000.0
2016-06-27,20000000000.0
2016-06-28,20000000000.0
2016-06-29,20000000000.0
2016-06-30,20000000000.0
2016-07-01,20000000000.0
2016-07-02,20000000000.0
2016-07-03,20000000000.0
2016-07-04,20000000000.0
2016-07-05,20000000000.0
