Date,addresses/receiving_count
2016-03-19,9017.0
2016-03-20,9489.0
2016-03-21,9521.0
2016-03-22,9284.0
2016-03-23,9540.0
2016-03-24,9503.0
2016-03-25,9541.0
2016-03-26,9405.0
2016-03-27,10022.0
2016-03-28,10238.0
2016-03-29,10673.0
2016-03-30,11450.0
2016-03-31,10625.0
2016-04-01,10405.0
2016-04-02,10308.0
2016-04-03,10361.0
2016-04-04,11033.0
2016-04-05,11401.0
2016-04-06,11260.0
2016-04-07,11206.0
2016-04-08,10956.0
2016-04-09,11267.0
2016-04-10,11890.0
2016-04-11,11410.0
2016-04-12,11912.0
2016-04-13,11989.0
2016-04-14,11604.0
2016-04-15,11412.0
2016-04-16,11468.0
2016-04-17,12000.0
2016-04-18,11995.0
2016-04-19,11962.0
2016-04-20,12145.0
2016-04-21,12182.0
2016-04-22,12259.0
2016-04-23,12109.0
2016-04-24,12198.0
2016-04-25,12634.0
2016-04-26,12717.0
2016-04-27,12682.0
2016-04-28,12437.0
2016-04-29,12455.0
2016-04-30,14250.0
2016-05-01,13297.0
2016-05-02,16447.0
2016-05-03,13789.0
2016-05-04,13570.0
2016-05-05,13853.0
2016-05-06,13638.0
2016-05-07,13345.0
2016-05-08,13968.0
2016-05-09,14258.0
2016-05-10,14146.0
2016-05-11,15359.0
2016-05-12,15555.0
2016-05-13,16236.0
2016-05-14,14934.0
2016-05-15,15223.0
2016-05-16,14110.0
2016-05-17,15743.0
2016-05-18,18132.0
2016-05-19,16809.0
2016-05-20,16019.0
2016-05-21,15740.0
2016-05-22,14695.0
2016-05-23,16929.0
2016-05-24,16007.0
2016-05-25,16669.0
2016-05-26,16094.0
2016-05-27,18399.0
2016-05-28,22515.0
2016-05-29,17168.0
2016-05-30,15843.0
2016-05-31,16608.0
2016-06-01,16004.0
2016-06-02,16069.0
2016-06-03,15760.0
2016-06-04,15521.0
2016-06-05,15569.0
2016-06-06,16346.0
2016-06-07,16010.0
2016-06-08,16506.0
2016-06-09,16110.0
2016-06-10,16523.0
2016-06-11,13608.0
2016-06-12,17236.0
2016-06-13,18454.0
2016-06-14,19476.0
2016-06-15,17762.0
2016-06-16,15906.0
2016-06-17,22291.0
2016-06-18,21167.0
2016-06-19,19658.0
2016-06-20,18989.0
2016-06-21,18505.0
2016-06-22,20336.0
2016-06-23,17689.0
2016-06-24,18258.0
2016-06-25,16472.0
2016-06-26,20231.0
2016-06-27,17466.0
2016-06-28,18887.0
2016-06-29,17815.0
2016-06-30,18074.0
2016-07-01,17502.0
2016-07-02,18292.0
2016-07-03,17866.0
2016-07-04,18622.0
2016-07-05,18374.0
2016-07-06,17896.0
2016-07-07,18092.0
2016-07-08,18744.0
2016-07-09,18103.0
2016-07-10,18393.0
2016-07-11,17958.0
2016-07-12,18696.0
2016-07-13,16011.0
2016-07-14,18760.0
2016-07-15,18252.0
2016-07-16,17791.0
2016-07-17,15145.0
2016-07-18,16631.0
2016-07-19,13589.0
2016-07-20,19334.0
2016-07-21,18387.0
2016-07-22,20508.0
2016-07-23,18726.0
2016-07-24,21788.0
2016-07-25,21227.0
2016-07-26,24155.0
2016-07-27,21571.0
2016-07-28,20965.0
2016-07-29,19787.0
2016-07-30,18805.0
2016-07-31,19329.0
2016-08-01,19253.0
2016-08-02,16257.0
2016-08-03,19401.0
2016-08-04,19715.0
2016-08-05,18823.0
2016-08-06,17809.0
2016-08-07,18328.0
2016-08-08,18095.0
2016-08-09,20107.0
2016-08-10,18848.0
2016-08-11,19965.0
2016-08-12,18246.0
2016-08-13,18080.0
2016-08-14,17838.0
2016-08-15,18461.0
2016-08-16,18394.0
2016-08-17,18458.0
2016-08-18,18186.0
2016-08-19,18490.0
2016-08-20,17915.0
2016-08-21,18418.0
2016-08-22,18683.0
2016-08-23,19292.0
2016-08-24,18266.0
2016-08-25,19472.0
2016-08-26,18201.0
2016-08-27,18343.0
2016-08-28,18637.0
2016-08-29,19130.0
2016-08-30,18511.0
2016-08-31,19966.0
2016-09-01,19540.0
2016-09-02,19362.0
2016-09-03,18716.0
2016-09-04,18728.0
2016-09-05,18739.0
2016-09-06,18976.0
2016-09-07,17468.0
2016-09-08,20032.0
2016-09-09,18518.0
2016-09-10,18481.0
2016-09-11,18973.0
2016-09-12,19396.0
2016-09-13,18917.0
2016-09-14,18540.0
2016-09-15,19400.0
2016-09-16,19323.0
2016-09-17,19365.0
2016-09-18,18097.0
2016-09-19,19488.0
2016-09-20,21458.0
2016-09-21,17298.0
2016-09-22,15891.0
2016-09-23,16456.0
2016-09-24,16601.0
2016-09-25,16126.0
2016-09-26,15988.0
2016-09-27,15767.0
2016-09-28,17037.0
2016-09-29,15993.0
2016-09-30,15020.0
2016-10-01,18039.0
2016-10-02,17833.0
2016-10-03,16969.0
2016-10-04,13255.0
2016-10-05,14443.0
2016-10-06,13916.0
2016-10-07,17297.0
2016-10-08,15585.0
2016-10-09,17255.0
2016-10-10,18559.0
2016-10-11,15641.0
2016-10-12,10311.0
2016-10-13,8308.0
2016-10-14,14176.0
2016-10-15,10727.0
2016-10-16,12742.0
2016-10-17,15007.0
2016-10-18,16626.0
2016-10-19,12565.0
2016-10-20,17315.0
2016-10-21,21761.0
2016-10-22,15488.0
2016-10-23,14694.0
2016-10-24,17191.0
2016-10-25,16427.0
2016-10-26,16724.0
2016-10-27,16544.0
2016-10-28,16419.0
2016-10-29,15284.0
2016-10-30,13338.0
2016-10-31,17907.0
2016-11-01,15557.0
2016-11-02,18905.0
2016-11-03,16054.0
2016-11-04,11594.0
2016-11-05,14971.0
2016-11-06,13321.0
2016-11-07,15868.0
2016-11-08,15119.0
2016-11-09,15448.0
2016-11-10,14335.0
2016-11-11,15550.0
2016-11-12,14589.0
2016-11-13,15120.0
2016-11-14,14170.0
2016-11-15,15242.0
2016-11-16,14119.0
2016-11-17,14103.0
2016-11-18,14876.0
2016-11-19,14382.0
2016-11-20,14976.0
2016-11-21,14514.0
2016-11-22,14669.0
2016-11-23,15270.0
2016-11-24,14806.0
2016-11-25,11306.0
2016-11-26,13187.0
2016-11-27,14599.0
2016-11-28,14707.0
2016-11-29,13720.0
2016-11-30,14970.0
2016-12-01,13535.0
2016-12-02,15272.0
2016-12-03,13890.0
2016-12-04,12844.0
2016-12-05,14166.0
2016-12-06,15648.0
2016-12-07,13915.0
2016-12-08,14114.0
2016-12-09,13848.0
2016-12-10,13750.0
2016-12-11,13587.0
2016-12-12,14584.0
2016-12-13,13520.0
2016-12-14,13842.0
2016-12-15,13956.0
2016-12-16,14746.0
2016-12-17,13320.0
2016-12-18,12086.0
2016-12-19,15287.0
2016-12-20,15473.0
2016-12-21,14480.0
2016-12-22,21096.0
2016-12-23,16012.0
2016-12-24,14170.0
2016-12-25,13010.0
2016-12-26,12852.0
2016-12-27,13198.0
2016-12-28,13748.0
2016-12-29,13727.0
2016-12-30,13826.0
2016-12-31,14239.0
2017-01-01,12933.0
2017-01-02,13899.0
2017-01-03,13201.0
2017-01-04,15979.0
2017-01-05,16927.0
2017-01-06,15102.0
2017-01-07,15003.0
2017-01-08,14393.0
2017-01-09,15001.0
2017-01-10,14851.0
2017-01-11,14952.0
2017-01-12,15361.0
2017-01-13,14679.0
2017-01-14,14270.0
2017-01-15,14910.0
2017-01-16,15359.0
2017-01-17,16080.0
2017-01-18,15027.0
2017-01-19,14774.0
2017-01-20,15774.0
2017-01-21,14945.0
2017-01-22,15099.0
2017-01-23,14921.0
2017-01-24,15620.0
2017-01-25,14810.0
2017-01-26,14774.0
2017-01-27,14678.0
2017-01-28,14662.0
2017-01-29,14322.0
2017-01-30,15102.0
2017-01-31,14272.0
2017-02-01,14747.0
2017-02-02,14484.0
2017-02-03,14464.0
2017-02-04,15277.0
2017-02-05,15523.0
2017-02-06,14707.0
2017-02-07,14911.0
2017-02-08,15107.0
2017-02-09,15380.0
2017-02-10,15315.0
2017-02-11,14447.0
2017-02-12,15265.0
2017-02-13,16548.0
2017-02-14,17018.0
2017-02-15,17190.0
2017-02-16,16635.0
2017-02-17,16297.0
2017-02-18,15796.0
2017-02-19,15816.0
2017-02-20,16801.0
2017-02-21,16633.0
2017-02-22,16394.0
2017-02-23,16344.0
2017-02-24,17818.0
2017-02-25,17311.0
2017-02-26,17136.0
2017-02-27,18520.0
2017-02-28,20656.0
2017-03-01,21271.0
2017-03-02,22591.0
2017-03-03,22966.0
2017-03-04,20605.0
2017-03-05,19488.0
2017-03-06,21095.0
2017-03-07,19657.0
2017-03-08,19899.0
2017-03-09,21764.0
2017-03-10,20562.0
2017-03-11,22399.0
2017-03-12,23553.0
2017-03-13,30705.0
2017-03-14,26781.0
2017-03-15,28227.0
2017-03-16,38951.0
2017-03-17,38473.0
2017-03-18,32124.0
2017-03-19,28366.0
2017-03-20,29066.0
2017-03-21,29356.0
2017-03-22,27280.0
2017-03-23,27336.0
2017-03-24,31616.0
2017-03-25,30067.0
2017-03-26,27203.0
2017-03-27,29229.0
2017-03-28,28958.0
2017-03-29,29686.0
2017-03-30,34782.0
2017-03-31,35528.0
2017-04-01,27292.0
2017-04-02,31204.0
2017-04-03,35405.0
2017-04-04,31162.0
2017-04-05,29998.0
2017-04-06,35966.0
2017-04-07,28571.0
2017-04-08,26217.0
2017-04-09,25518.0
2017-04-10,27568.0
2017-04-11,27019.0
2017-04-12,28441.0
2017-04-13,30190.0
2017-04-14,28380.0
2017-04-15,27903.0
2017-04-16,25358.0
2017-04-17,26898.0
2017-04-18,30205.0
2017-04-19,29946.0
2017-04-20,32166.0
2017-04-21,27702.0
2017-04-22,27545.0
2017-04-23,27803.0
2017-04-24,30683.0
2017-04-25,29399.0
2017-04-26,36844.0
2017-04-27,38933.0
2017-04-28,36614.0
2017-04-29,34961.0
2017-04-30,35975.0
2017-05-01,40596.0
2017-05-02,38936.0
2017-05-03,36337.0
2017-05-04,45783.0
2017-05-05,43586.0
2017-05-06,37956.0
2017-05-07,42156.0
2017-05-08,46526.0
2017-05-09,44679.0
2017-05-10,44157.0
2017-05-11,46156.0
2017-05-12,40434.0
2017-05-13,37274.0
2017-05-14,39058.0
2017-05-15,44321.0
2017-05-16,44981.0
2017-05-17,50720.0
2017-05-18,49987.0
2017-05-19,58669.0
2017-05-20,43713.0
2017-05-21,52030.0
2017-05-22,66288.0
2017-05-23,72944.0
2017-05-24,69614.0
2017-05-25,70399.0
2017-05-26,64166.0
2017-05-27,57066.0
2017-05-28,55274.0
2017-05-29,59541.0
2017-05-30,72388.0
2017-05-31,87183.0
2017-06-01,76222.0
2017-06-02,68475.0
2017-06-03,67858.0
2017-06-04,67989.0
2017-06-05,76035.0
2017-06-06,81574.0
2017-06-07,79484.0
2017-06-08,75592.0
2017-06-09,82561.0
2017-06-10,89662.0
2017-06-11,98964.0
2017-06-12,115977.0
2017-06-13,113401.0
2017-06-14,106560.0
2017-06-15,109298.0
2017-06-16,99057.0
2017-06-17,96834.0
2017-06-18,99761.0
2017-06-19,113069.0
2017-06-20,126002.0
2017-06-21,74510.0
2017-06-22,115568.0
2017-06-23,113005.0
2017-06-24,103541.0
2017-06-25,92053.0
2017-06-26,124464.0
2017-06-27,101928.0
2017-06-28,106481.0
2017-06-29,103826.0
2017-06-30,99886.0
2017-07-01,92449.0
2017-07-02,91164.0
2017-07-03,110405.0
2017-07-04,104359.0
2017-07-05,101387.0
2017-07-06,101601.0
2017-07-07,108378.0
2017-07-08,94844.0
2017-07-09,87327.0
2017-07-10,109308.0
2017-07-11,111422.0
2017-07-12,104844.0
2017-07-13,97634.0
2017-07-14,97138.0
2017-07-15,89747.0
2017-07-16,97325.0
2017-07-17,94910.0
2017-07-18,103738.0
2017-07-19,103668.0
2017-07-20,100723.0
2017-07-21,97872.0
2017-07-22,82361.0
2017-07-23,93628.0
2017-07-24,97792.0
2017-07-25,96701.0
2017-07-26,89494.0
2017-07-27,93716.0
2017-07-28,97568.0
2017-07-29,84090.0
2017-07-30,92974.0
2017-07-31,102813.0
2017-08-01,90220.0
2017-08-02,92138.0
2017-08-03,89912.0
2017-08-04,98186.0
2017-08-05,96106.0
2017-08-06,96648.0
2017-08-07,104141.0
2017-08-08,121352.0
2017-08-09,109446.0
2017-08-10,126023.0
