Date,supply/active_more_1y_percent
2011-12-30,"0,301225601998633"
2011-12-31,"0,301098189800817"
2012-01-01,"0,300885357395301"
2012-01-02,"0,301379804299295"
2012-01-03,"0,301264067296905"
2012-01-04,"0,301126153297894"
2012-01-05,"0,302139143330362"
2012-01-06,"0,301927400591108"
2012-01-07,"0,301981167544402"
2012-01-08,"0,301753779157097"
2012-01-09,"0,301566412334485"
2012-01-10,"0,30181904071095"
2012-01-11,"0,301918355096451"
2012-01-12,"0,301648349816047"
2012-01-13,"0,302298196058809"
2012-01-14,"0,304677745266015"
2012-01-15,"0,304821152598025"
2012-01-16,"0,304869134450708"
2012-01-17,"0,307494530392792"
2012-01-18,"0,307428757373615"
2012-01-19,"0,307273346345511"
2012-01-20,"0,307288381289689"
2012-01-21,"0,307147406340577"
2012-01-22,"0,307211118016457"
2012-01-23,"0,307238563196137"
2012-01-24,"0,307107966196819"
2012-01-25,"0,307003649435785"
2012-01-26,"0,307534581818612"
2012-01-27,"0,307432086031078"
2012-01-28,"0,307303205173089"
2012-01-29,"0,307426363922297"
2012-01-30,"0,307242715747021"
2012-01-31,"0,307562981995181"
2012-02-01,"0,308612909958331"
2012-02-02,"0,308472819622778"
2012-02-03,"0,308835769619447"
2012-02-04,"0,308909124944069"
2012-02-05,"0,308891283377556"
2012-02-06,"0,308950646216617"
2012-02-07,"0,309142233298279"
2012-02-08,"0,309214944432919"
2012-02-09,"0,309374430758673"
2012-02-10,"0,310345778126508"
2012-02-11,"0,308501075533831"
2012-02-12,"0,308717587779282"
2012-02-13,"0,308792891353911"
2012-02-14,"0,309075176413092"
2012-02-15,"0,309361822355143"
2012-02-16,"0,309300830808053"
2012-02-17,"0,309217816404718"
2012-02-18,"0,309446552232241"
2012-02-19,"0,309454689265671"
2012-02-20,"0,310636688034506"
2012-02-21,"0,310610833823367"
2012-02-22,"0,310785342860088"
2012-02-23,"0,310859439109234"
2012-02-24,"0,3108027981842"
2012-02-25,"0,311066465728261"
2012-02-26,"0,311276045907342"
2012-02-27,"0,311335694413715"
2012-02-28,"0,314431232076515"
2012-02-29,"0,335202053246806"
2012-03-01,"0,352189919568259"
2012-03-02,"0,352299046387117"
2012-03-03,"0,35282128150077"
2012-03-04,"0,35270027958786"
2012-03-05,"0,352931016735477"
2012-03-06,"0,35312333263874"
2012-03-07,"0,352959618075399"
2012-03-08,"0,352765128959033"
2012-03-09,"0,352484066583848"
2012-03-10,"0,35235672320542"
2012-03-11,"0,354360183634697"
2012-03-12,"0,354274973387042"
2012-03-13,"0,355937613716864"
2012-03-14,"0,356560325860631"
2012-03-15,"0,357324662695746"
2012-03-16,"0,357392867811644"
2012-03-17,"0,358422768197178"
2012-03-18,"0,358363078895785"
2012-03-19,"0,358198341401084"
2012-03-20,"0,358619814180722"
2012-03-21,"0,358696686484821"
2012-03-22,"0,359350950259446"
2012-03-23,"0,35891431332457"
2012-03-24,"0,358789904587284"
2012-03-25,"0,358560120149741"
2012-03-26,"0,358677492584392"
2012-03-27,"0,358547758253061"
2012-03-28,"0,358382703645135"
2012-03-29,"0,358758297653039"
2012-03-30,"0,358605866827336"
2012-03-31,"0,358474996039035"
2012-04-01,"0,360671447958358"
2012-04-02,"0,360597741545098"
2012-04-03,"0,360526529234681"
2012-04-04,"0,360420226156634"
2012-04-05,"0,36005315727466"
