Date,indicators/nupl_more_155
2011-05-23,"0,9796740202479686"
2011-05-24,"0,9805196380795175"
2011-05-25,"0,9827314587624787"
2011-05-26,"0,983319743075401"
2011-05-27,"0,982751118890127"
2011-05-28,"0,9823329325333159"
2011-05-29,"0,9823505022445052"
2011-05-30,"0,9831315600717556"
2011-05-31,"0,9828431126017247"
2011-06-01,"0,9843870252229323"
2011-06-02,"0,9861487751846756"
2011-06-03,"0,9894792840721263"
2011-06-04,"0,991888204327388"
2011-06-05,"0,9908098117466697"
2011-06-06,"0,9915416468095456"
2011-06-07,"0,9933800381427199"
2011-06-08,"0,9948869463311615"
2011-06-09,"0,9946793247591617"
2011-06-10,"0,9935414203477227"
2011-06-11,"0,9894762745214053"
2011-06-12,"0,9916717347700609"
2011-06-13,"0,9918562122788477"
2011-06-14,"0,9917637300700497"
2011-06-15,"0,9923777340771534"
2011-06-16,"0,9916235458426083"
2011-06-17,"0,9904668550493805"
2011-06-18,"0,9906846745137714"
2011-06-19,"0,9909209079853625"
2011-06-20,"0,9907084621867782"
2011-06-21,"0,9905405666499195"
2011-06-22,"0,9904726677247659"
2011-06-23,"0,9905637579562798"
2011-06-24,"0,9906885130258815"
2011-06-25,"0,9902818731713685"
2011-06-26,"0,9891305643604846"
2011-06-27,"0,9896010382021625"
2011-06-28,"0,9896832715158652"
2011-06-29,"0,9896395435673446"
2011-06-30,"0,9890446289934295"
2011-07-01,"0,9884274348267008"
2011-07-02,"0,9884258324407431"
2011-07-03,"0,98838025664815"
2011-07-04,"0,9870040933585615"
2011-07-05,"0,985718155525115"
2011-07-06,"0,9872752744032048"
2011-07-07,"0,9872903462499103"
2011-07-08,"0,9863617188793218"
2011-07-09,"0,9862268364152927"
2011-07-10,"0,986203044787402"
2011-07-11,"0,9856141198876811"
2011-07-12,"0,9851229981040619"
2011-07-13,"0,9848846631452047"
2011-07-14,"0,9847372476740419"
2011-07-15,"0,9838321004153033"
2011-07-16,"0,9833574912511216"
2011-07-17,"0,982143491248078"
2011-07-18,"0,9826986448220895"
2011-07-19,"0,9823664746214937"
2011-07-20,"0,981794672803946"
2011-07-21,"0,9814423904029789"
2011-07-22,"0,9813706494346626"
2011-07-23,"0,9809960280426852"
2011-07-24,"0,9813495356845481"
2011-07-25,"0,9808617232842665"
2011-07-26,"0,9805323748404347"
2011-07-27,"0,9804076738556394"
2011-07-28,"0,9795851581970975"
2011-07-29,"0,9794805582986171"
2011-07-30,"0,9791939613122954"
2011-07-31,"0,9787267286113741"
2011-08-01,"0,9772811164439018"
2011-08-02,"0,9745065993739703"
2011-08-03,"0,9564898686027757"
2011-08-04,"0,9572284985727786"
2011-08-05,"0,9523252286013016"
2011-08-06,"0,9272345394133297"
2011-08-07,"0,9428744179034182"
2011-08-08,"0,9404640620922791"
2011-08-09,"0,9503727555125934"
2011-08-10,"0,9533370701444277"
2011-08-11,"0,9504196027800745"
2011-08-12,"0,9503726996246038"
2011-08-13,"0,9534849321571746"
2011-08-14,"0,9559199964356836"
2011-08-15,"0,9572223260914041"
2011-08-16,"0,9560599389842321"
2011-08-17,"0,9559948331429439"
2011-08-18,"0,9551299724999053"
2011-08-19,"0,9583777716702165"
2011-08-20,"0,9572176277773168"
2011-08-21,"0,9566597021961457"
2011-08-22,"0,9553253283296769"
2011-08-23,"0,9549325714627221"
2011-08-24,"0,9545361828145819"
2011-08-25,"0,9476689678110356"
2011-08-26,"0,9384724708422018"
2011-08-27,"0,9414564964613492"
2011-08-28,"0,9446334735894529"
2011-08-29,"0,943770838562223"
2011-08-30,"0,9425847840565506"
2011-08-31,"0,9383846619205707"
2011-09-01,"0,9384782359275273"
2011-09-02,"0,9413490675293373"
2011-09-03,"0,9398562222382199"
2011-09-04,"0,9374856421750838"
2011-09-05,"0,9328263282184135"
2011-09-06,"0,9254371233855097"
2011-09-07,"0,9285741093042978"
2011-09-08,"0,9217725875540224"
2011-09-09,"0,899541566720434"
2011-09-10,"0,8923133544785479"
2011-09-11,"0,9120297669253731"
2011-09-12,"0,9155249200377872"
2011-09-13,"0,9118168014539478"
2011-09-14,"0,9074073142069501"
2011-09-15,"0,8933435510000121"
2011-09-16,"0,8933534378360194"
2011-09-17,"0,8918998376438234"
2011-09-18,"0,9014732396000195"
2011-09-19,"0,9063051149089656"
2011-09-20,"0,9153260536942186"
2011-09-21,"0,9082944683405691"
2011-09-22,"0,9048588806276131"
2011-09-23,"0,9059169603094865"
2011-09-24,"0,903942410476186"
2011-09-25,"0,9004861830504893"
2011-09-26,"0,8899949388590729"
2011-09-27,"0,885342011665698"
2011-09-28,"0,8849332060979178"
2011-09-29,"0,8851497017270111"
2011-09-30,"0,8915250829658113"
2011-10-01,"0,887620019340834"
2011-10-02,"0,8851019822523439"
2011-10-03,"0,8834873788365412"
2011-10-04,"0,8805125700099456"
2011-10-05,"0,8761330244871047"
2011-10-06,"0,8395781648659297"
2011-10-07,"0,8204227386081714"
2011-10-08,"0,8064534862595533"
2011-10-09,"0,8096081772071001"
2011-10-10,"0,8052517851181203"
2011-10-11,"0,7996040003860725"
2011-10-12,"0,8007320337071564"
2011-10-13,"0,7877998946305438"
2011-10-14,"0,7797092904056825"
2011-10-15,"0,7636525990096885"
2011-10-16,"0,7416971799827363"
2011-10-17,"0,6420851952420846"
2011-10-18,"0,5971782484914473"
2011-10-19,"0,5485089502758759"
2011-10-20,"0,5657528925100844"
2011-10-21,"0,5971390930810199"
2011-10-22,"0,6702845004613451"
2011-10-23,"0,6563969203923328"
2011-10-24,"0,5666822829105441"
2011-10-25,"0,5963410032110044"
2011-10-26,"0,5846378112404993"
2011-10-27,"0,6038294754918196"
2011-10-28,"0,6184637266083624"
2011-10-29,"0,6539337068495035"
2011-10-30,"0,6124684250405478"
2011-10-31,"0,5947937265836291"
2011-11-01,"0,562770162400098"
2011-11-02,"0,5561479328096928"
2011-11-03,"0,5326590643913556"
2011-11-04,"0,5116247447287647"
2011-11-05,"0,34280359167598606"
2011-11-06,"0,29495546408408424"
2011-11-07,"0,24607197315905371"
2011-11-08,"0,23087460840618268"
2011-11-09,"0,17862523816353493"
2011-11-10,"-0,13169529090746224"
2011-11-11,"-0,19658900233276588"
2011-11-12,"-0,28946486915410863"
2011-11-13,"-0,34864889041611247"
2011-11-14,"-0,9503389428829787"
2011-11-15,"-0,8467291528565695"
2011-11-16,"-1,1486204764603074"
2011-11-17,"-1,5076837607152296"
2011-11-18,"-1,8074224335965754"
2011-11-19,"-1,7790465215951716"
2011-11-20,"-1,797936302656972"
2011-11-21,"-1,8434696425043664"
2011-11-22,"-1,826326689702432"
2011-11-23,"-1,8772208223193596"
2011-11-24,"-1,7987523616334484"
2011-11-25,"-1,7415468820209048"
2011-11-26,"-1,8178528673497696"
2011-11-27,"-1,8348365867146628"
2011-11-28,"-1,7718684182038134"
2011-11-29,"-1,6082247664919294"
2011-11-30,"-1,4814958065272674"
2011-12-01,"-1,3836856650215807"
2011-12-02,"-1,3942958763580737"
2011-12-03,"-1,6877855086364333"
2011-12-04,"-1,7152151551917605"
2011-12-05,"-1,6977060570361378"
2011-12-06,"-1,5474209445141476"
2011-12-07,"-1,588027649111881"
2011-12-08,"-1,5980379276066556"
2011-12-09,"-1,6360780165499396"
2011-12-10,"-1,5549785172136588"
2011-12-11,"-1,4061890784571678"
2011-12-12,"-1,4690487541872557"
2011-12-13,"-1,425623273473331"
2011-12-14,"-1,5327175749577826"
2011-12-15,"-1,4721821982338756"
2011-12-16,"-1,480126170697158"
2011-12-17,"-1,4863348495670503"
2011-12-18,"-1,4959365742825441"
2011-12-19,"-1,2640779460518092"
2011-12-20,"-1,0071440266818432"
2011-12-21,"-1,0621684899515316"
2011-12-22,"-1,0515879048233683"
2011-12-23,"-1,0402308074494968"
2011-12-24,"-1,043515179017065"
2011-12-25,"-0,902490093914492"
2011-12-26,"-1,0159419991215062"
2011-12-27,"-0,9638730484676925"
2011-12-28,"-0,9315507299325134"
2011-12-29,"-0,935997843432055"
2011-12-30,"-0,9129531689324109"
2011-12-31,"-0,7237092536239991"
2012-01-01,"-0,5475190292753509"
2012-01-02,"-0,5603523034632854"
2012-01-03,"-0,6746200083824909"
2012-01-04,"-0,46101856902461313"
2012-01-05,"-0,1702983351713363"
2012-01-06,"-0,2205250224621873"
2012-01-07,"-0,1985921457793065"
2012-01-08,"-0,14302491876979873"
2012-01-09,"-0,3144857547914488"
2012-01-10,"-0,26085857958704306"
2012-01-11,"-0,17803181382525102"
2012-01-12,"-0,22794652421716544"
2012-01-13,"-0,270924234749246"
2012-01-14,"-0,20980892165776321"
2012-01-15,"-0,16279766388685823"
