Date,supply/profit_sum
2010-07-18,"3444239,87"
2010-07-19,"3411999,99"
2010-07-20,"3404954,82"
2010-07-21,"3430053,04"
2010-07-22,"3377273,08"
2010-07-23,"3397205,87"
2010-07-24,"3361223,28"
2010-07-25,"3321768,77"
2010-07-26,"3352000,62"
2010-07-27,"3439258,98"
2010-07-28,"3360301,75"
2010-07-29,"3505151,41"
2010-07-30,"3480638,53"
2010-07-31,"3510642,26"
2010-08-01,"3464799,2"
2010-08-02,"3387317,45"
2010-08-03,"3380674,01"
2010-08-04,"3327655,99"
2010-08-05,"3438789,72"
2010-08-06,"3526168,49"
2010-08-07,"3329458,36"
2010-08-08,"3436314,75"
2010-08-09,"3611486,23"
2010-08-10,"3612264,71"
2010-08-11,"3554186,11"
2010-08-12,"3617859,46"
2010-08-13,"3531631,37"
2010-08-14,"3570087,77"
2010-08-15,"3544762,17"
2010-08-16,"3541475,72"
2010-08-17,"3661994,63"
2010-08-18,"3616976,82"
2010-08-19,"3562095,33"
2010-08-20,"3513725,89"
2010-08-21,"3589313,14"
2010-08-22,"3573025,05"
2010-08-23,"3512567,84"
2010-08-24,"3508725,12"
2010-08-25,"3503370,91"
2010-08-26,"3464581,89"
2010-08-27,"3541126,4"
2010-08-28,"3501333,83"
2010-08-29,"3456888,75"
2010-08-30,"3573227,3"
2010-08-31,"3295441,88"
2010-09-01,"3450146,0099989"
2010-09-02,"3481186,589999"
2010-09-03,"3337106,4199986"
2010-09-04,"3493219,3699989"
2010-09-05,"3414906,3099988"
2010-09-06,"3406628,4100004"
2010-09-07,"3405816,2700004"
2010-09-08,"3412429,2699988"
2010-09-09,"3343787,5900004"
2010-09-10,"3529179,5199988"
2010-09-11,"3615074,1999991"
2010-09-12,"3421302,8499985"
2010-09-13,"3579941,199999"
2010-09-14,"3510964,609999"
2010-09-15,"3290506,9700002"
2010-09-16,"3490696,38960242"
2010-09-17,"3191428,38"
2010-09-18,"3401612,9800005"
2010-09-19,"3679004,809999"
2010-09-20,"3630260,379999"
2010-09-21,"3669314,4799989"
2010-09-22,"3617758,7399989"
2010-09-23,"3618009,5899989"
2010-09-24,"3603347,4299989"
2010-09-25,"3604892,4999989"
2010-09-26,"3629802,3199989"
2010-09-27,"3622523,5299989"
2010-09-28,"3501215,529999"
2010-09-29,"3478387,9999988"
2010-09-30,"3504536,0299988"
2010-10-01,"3582638,069999"
2010-10-02,"3284419,04000048"
2010-10-03,"3175785,2199985"
2010-10-04,"3237884,06776574"
2010-10-05,"3313030,41776663"
2010-10-06,"3862339,769999"
2010-10-07,"4059981,8"
2010-10-08,"4187552,32"
2010-10-09,"4188455,3"
2010-10-10,"4144665,88"
2010-10-11,"4155227,48"
2010-10-12,"4139657,41"
2010-10-13,"4221276,04"
2010-10-14,"4214078,89"
2010-10-15,"4197982,94"
2010-10-16,"4131571,66999891"
2010-10-17,"4153867,37"
2010-10-18,"4191582,78"
2010-10-19,"4023963,05999891"
2010-10-20,"4032647,10999891"
2010-10-21,"4306547,88"
2010-10-22,"4295800,89"
2010-10-23,"4220299,02"
2010-10-24,"4330514,09"
2010-10-25,"4333811,67"
2010-10-26,"4345021,26"
2010-10-27,"4393488,5"
2010-10-28,"4246640,18"
2010-10-29,"4392733,95"
2010-10-30,"4434308,16"
2010-10-31,"4390992,91"
2010-11-01,"4421729,33"
2010-11-02,"4403116,95"
2010-11-03,"4389688,02"
2010-11-04,"4452657,33"
2010-11-05,"4492489,95"
2010-11-06,"4495286,3"
2010-11-07,"4462958,11"
2010-11-08,"4176219,87"
2010-11-09,"4114009,21891212"
2010-11-10,"4177545,34"
2010-11-11,"4142732,20891212"
2010-11-12,"4252164,1"
2010-11-13,"4242280,38"
2010-11-14,"4246256,24"
2010-11-15,"4175890,6"
2010-11-16,"4070953,66891212"
2010-11-17,"4162782,29"
2010-11-18,"4204111,28"
2010-11-19,"4271664,08"
2010-11-20,"4341902,54"
2010-11-21,"4283928,67"
2010-11-22,"4360508,9"
2010-11-23,"4321903,5"
2010-11-24,"4333416,93"
2010-11-25,"4265257,48"
