Date,blockchain/utxo_profit_relative
2010-07-18,"0,999269920734251"
2010-07-19,"0,989825984470327"
2010-07-20,"0,98465499663032"
2010-07-21,"0,988671632526381"
2010-07-22,"0,972984113353371"
2010-07-23,"0,973684210526316"
2010-07-24,"0,965131567713403"
2010-07-25,"0,958744777010318"
2010-07-26,"0,966509157382817"
2010-07-27,"0,972598024028366"
2010-07-28,"0,963015573301921"
2010-07-29,"0,983415880028302"
2010-07-30,"0,976699230211606"
2010-07-31,"0,981220576316198"
2010-08-01,"0,969021449335191"
2010-08-02,"0,957951621204323"
2010-08-03,"0,952373636503303"
2010-08-04,"0,934243872569864"
2010-08-05,"0,963221641142701"
2010-08-06,"0,971254592461559"
2010-08-07,"0,935722799250809"
2010-08-08,"0,958302927450148"
2010-08-09,"0,984521083351986"
2010-08-10,"0,98269640525122"
2010-08-11,"0,969019641478686"
2010-08-12,"0,980778430836523"
2010-08-13,"0,961520733393653"
2010-08-14,"0,965601337062555"
2010-08-15,"0,95846313603323"
2010-08-16,"0,958751298601768"
2010-08-17,"0,981000611787098"
2010-08-18,"0,969725671184281"
2010-08-19,"0,955078762475736"
2010-08-20,"0,948117814368692"
2010-08-21,"0,957292271934922"
2010-08-22,"0,952391512008734"
2010-08-23,"0,941547053515179"
2010-08-24,"0,938589737008709"
2010-08-25,"0,934312170665575"
2010-08-26,"0,922228661030815"
2010-08-27,"0,938492164769537"
2010-08-28,"0,930230582318057"
2010-08-29,"0,916603101957793"
2010-08-30,"0,940557013459748"
2010-08-31,"0,884433040493466"
2010-09-01,"0,91024376976167"
2010-09-02,"0,917310598984427"
2010-09-03,"0,889923951152589"
2010-09-04,"0,91288326966634"
2010-09-05,"0,902222897361892"
2010-09-06,"0,899617284575051"
2010-09-07,"0,89791487857828"
2010-09-08,"0,897856051575643"
2010-09-09,"0,883297572750436"
2010-09-10,"0,907431246342891"
2010-09-11,"0,92550778774639"
2010-09-12,"0,893126970096232"
2010-09-13,"0,915642383664768"
2010-09-14,"0,908302313214571"
2010-09-15,"0,862955777744615"
2010-09-16,"0,89956476409552"
2010-09-17,"0,841614648356221"
2010-09-18,"0,875215832115819"
2010-09-19,"0,923794041536726"
2010-09-20,"0,912032590335508"
2010-09-21,"0,91879953013583"
2010-09-22,"0,906650376436402"
2010-09-23,"0,910216258983319"
2010-09-24,"0,905357641914219"
2010-09-25,"0,902675201050386"
2010-09-26,"0,906199823049448"
2010-09-27,"0,905532908146492"
2010-09-28,"0,888216464939482"
2010-09-29,"0,882195247847878"
2010-09-30,"0,885388962765957"
2010-10-01,"0,891632214321151"
2010-10-02,"0,855157581272231"
2010-10-03,"0,849143838443883"
2010-10-04,"0,853538522505862"
2010-10-05,"0,857173500536259"
2010-10-06,"0,927335013258231"
2010-10-07,"0,967543902960878"
2010-10-08,"0,995417683127843"
