Date,supply/active_1w_1m
2009-07-26,"76750,0"
2009-07-27,"82549,67"
2009-07-28,"84474,67"
2009-07-29,"83794,67"
2009-07-30,"83799,67"
2009-07-31,"83699,67"
2009-08-01,"81299,67"
2009-08-02,"78599,67"
2009-08-03,"78199,67"
2009-08-04,"76599,67"
2009-08-05,"73599,67"
2009-08-06,"71049,67"
2009-08-07,"65150,14"
2009-08-08,"62200,14"
2009-08-09,"59150,14"
2009-08-10,"55700,14"
2009-08-11,"55800,14"
2009-08-12,"56250,14"
2009-08-13,"57250,14"
2009-08-14,"64799,67"
2009-08-15,"65549,67"
2009-08-16,"68499,67"
2009-08-17,"72049,67"
2009-08-18,"72399,67"
2009-08-19,"66299,53"
2009-08-20,"66599,53"
2009-08-21,"66749,53"
2009-08-22,"64549,53"
2009-08-23,"62049,53"
2009-08-24,"61499,53"
2009-08-25,"61349,53"
2009-08-26,"56500,0"
2009-08-27,"55950,0"
2009-08-28,"55800,0"
2009-08-29,"55550,0"
2009-08-30,"55600,0"
2009-08-31,"55400,0"
2009-09-01,"57150,0"
2009-09-02,"61499,53"
2009-09-03,"59149,53"
2009-09-04,"58699,53"
2009-09-05,"58399,53"
2009-09-06,"53899,53"
2009-09-07,"54499,53"
2009-09-08,"53799,53"
2009-09-09,"53699,53"
2009-09-10,"53949,53"
2009-09-11,"53749,53"
2009-09-12,"53349,53"
2009-09-13,"53599,53"
2009-09-14,"56849,53"
2009-09-15,"59349,53"
2009-09-16,"61198,53"
2009-09-17,"60148,53"
2009-09-18,"62398,53"
2009-09-19,"64548,53"
2009-09-20,"67198,53"
2009-09-21,"69998,53"
2009-09-22,"70548,53"
2009-09-23,"72999,53"
2009-09-24,"79449,53"
2009-09-25,"78401,0"
2009-09-26,"80601,0"
2009-09-27,"81051,0"
2009-09-28,"81201,0"
2009-09-29,"80151,0"
2009-09-30,"77851,0"
2009-10-01,"78151,0"
2009-10-02,"80201,0"
2009-10-03,"80801,0"
2009-10-04,"82551,0"
2009-10-05,"83251,0"
2009-10-06,"86401,0"
2009-10-07,"86351,0"
2009-10-08,"87251,0"
2009-10-09,"88601,0"
2009-10-10,"88301,0"
2009-10-11,"87901,0"
2009-10-12,"85651,0"
2009-10-13,"85351,0"
2009-10-14,"84851,0"
2009-10-15,"86301,0"
2009-10-16,"84150,0"
2009-10-17,"78750,0"
2009-10-18,"78300,0"
2009-10-19,"77450,0"
2009-10-20,"72400,0"
2009-10-21,"70900,0"
2009-10-22,"71150,0"
2009-10-23,"71800,0"
2009-10-24,"70150,0"
2009-10-25,"68850,0"
2009-10-26,"69850,0"
2009-10-27,"75500,12"
2009-10-28,"76399,88"
2009-10-29,"74699,88"
2009-10-30,"74899,88"
2009-10-31,"73699,88"
2009-11-01,"73299,88"
2009-11-02,"74149,88"
2009-11-03,"88399,88"
2009-11-04,"75799,88"
2009-11-05,"77749,88"
2009-11-06,"78099,88"
2009-11-07,"77049,88"
2009-11-08,"74999,88"
2009-11-09,"73349,88"
2009-11-10,"73649,88"
2009-11-11,"73549,88"
2009-11-12,"73749,88"
2009-11-13,"73699,88"
2009-11-14,"73799,88"
2009-11-15,"74549,88"
2009-11-16,"75349,88"
2009-11-17,"75349,88"
2009-11-18,"91399,88"
2009-11-19,"67299,76"
2009-11-20,"66100,0"
2009-11-21,"65500,0"
2009-11-22,"65550,0"
2009-11-23,"67400,0"
2009-11-24,"67850,0"
2009-11-25,"68600,0"
2009-11-26,"91600,0"
2009-11-27,"93050,0"
2009-11-28,"93250,0"
2009-11-29,"95900,0"
2009-11-30,"98950,0"
2009-12-01,"101850,0"
2009-12-02,"104850,0"
2009-12-03,"106300,0"
2009-12-04,"107150,0"
2009-12-05,"107650,0"
2009-12-06,"107900,0"
