Date,distribution/balance_exchanges
2015-08-07,"1432994,8192739"
2015-08-08,"2281565,8398278337"
2015-08-09,"2721995,858835145"
2015-08-10,"3424905,4049173486"
2015-08-11,"3698674,618813694"
2015-08-12,"3918536,2302150335"
2015-08-13,"4336287,635128643"
2015-08-14,"5270775,072409484"
2015-08-15,"5533821,375917215"
2015-08-16,"6025791,153392029"
2015-08-17,"6109275,125236745"
2015-08-18,"6310777,41243703"
2015-08-19,"6230039,177834321"
2015-08-20,"6197483,534209071"
2015-08-21,"6177502,971340571"
2015-08-22,"6172775,661913611"
2015-08-23,"6133885,140287562"
2015-08-24,"6119362,422481913"
2015-08-25,"6161613,710976357"
2015-08-26,"6186999,615838422"
2015-08-27,"6203110,387606375"
2015-08-28,"6220823,700761847"
2015-08-29,"6222830,833588896"
2015-08-30,"6273952,080128739"
2015-08-31,"6297077,289412716"
2015-09-01,"6425084,315632796"
2015-09-02,"6387112,348951707"
2015-09-03,"6439623,618203843"
2015-09-04,"6493054,240931673"
2015-09-05,"6476804,855662523"
2015-09-06,"6509793,63069769"
2015-09-07,"6560894,13664647"
2015-09-08,"6621766,012758236"
2015-09-09,"7566398,192025403"
2015-09-10,"7574678,305081836"
2015-09-11,"7493373,057357796"
2015-09-12,"7478758,688474083"
2015-09-13,"7459456,651490751"
2015-09-14,"7489481,820921315"
2015-09-15,"7503627,795677956"
2015-09-16,"7543447,5477725705"
2015-09-17,"7535488,556819359"
2015-09-18,"7573516,524054782"
2015-09-19,"7586479,2120076995"
2015-09-20,"7579255,69929127"
2015-09-21,"7621690,14990166"
2015-09-22,"7630169,725294316"
2015-09-23,"7642730,7481589485"
2015-09-24,"7693794,482102475"
2015-09-25,"7688308,921295419"
2015-09-26,"7692848,2526237285"
2015-09-27,"7675138,690557927"
2015-09-28,"7817478,224486522"
2015-09-29,"7771396,648996657"
2015-09-30,"7848144,758680391"
2015-10-01,"7819610,19673801"
2015-10-02,"7846733,756896"
2015-10-03,"7851206,000076551"
2015-10-04,"7861267,760629211"
2015-10-05,"7838295,781657962"
2015-10-06,"7669056,09475016"
2015-10-07,"7671056,3990671905"
2015-10-08,"7737924,631131982"
2015-10-09,"7732120,44852432"
2015-10-10,"7728861,165014669"
2015-10-11,"7684309,832407227"
2015-10-12,"7679329,088270176"
2015-10-13,"7680964,145908044"
2015-10-14,"7727879,415409383"
2015-10-15,"7722209,526712114"
2015-10-16,"7705693,420450984"
2015-10-17,"7738397,890863383"
2015-10-18,"7741857,488628363"
2015-10-19,"7697426,93597823"
2015-10-20,"7667462,134951438"
2015-10-21,"7887905,2705667"
2015-10-22,"7906737,341166929"
2015-10-23,"8043564,160328227"
2015-10-24,"8044238,4514468685"
2015-10-25,"8039585,56198987"
2015-10-26,"7949899,649741239"
2015-10-27,"7978918,528311653"
2015-10-28,"8006473,343877337"
2015-10-29,"8117583,210610412"
2015-10-30,"8442327,197838286"
2015-10-31,"8424972,535169184"
2015-11-01,"8409244,598528668"
2015-11-02,"8402785,758410746"
2015-11-03,"8367260,8009853875"
2015-11-04,"8359605,965595842"
2015-11-05,"8387996,218441315"
2015-11-06,"8427299,941827018"
2015-11-07,"8485108,67747673"
2015-11-08,"8526842,483153656"
2015-11-09,"8783626,336210404"
2015-11-10,"8799460,187421333"
2015-11-11,"8706080,31524378"
2015-11-12,"8662193,399954606"
2015-11-13,"8662395,04259748"
2015-11-14,"8605646,68074169"
2015-11-15,"8584023,701797083"
2015-11-16,"8544926,108847689"
2015-11-17,"8585722,2875587"
2015-11-18,"8561984,738992851"
2015-11-19,"8560575,461627338"
2015-11-20,"8554530,868075438"
2015-11-21,"8548846,923057936"
2015-11-22,"8526059,498781685"
2015-11-23,"8825285,551054735"
2015-11-24,"8817762,144502379"
2015-11-25,"8804346,01223823"
2015-11-26,"9457791,178089764"
2015-11-27,"9427742,41257022"
2015-11-28,"9443174,677107073"
2015-11-29,"9382800,853710927"
2015-11-30,"9393771,401603376"
2015-12-01,"9402301,503584497"
2015-12-02,"9409731,473687746"
2015-12-03,"9356500,404480709"
2015-12-04,"9349014,805201352"
2015-12-05,"9380292,200844623"
2015-12-06,"9398136,647066891"
2015-12-07,"9346054,532431167"
2015-12-08,"9397111,605465816"
2015-12-09,"9410403,307677548"
2015-12-10,"9309291,549171258"
2015-12-11,"9305122,934223548"
2015-12-12,"9328489,35108146"
2015-12-13,"9339261,895224014"
2015-12-14,"9252334,705830786"
2015-12-15,"9364971,316843161"
2015-12-16,"10312104,048407532"
2015-12-17,"10392276,300622478"
2015-12-18,"10460718,441194817"
2015-12-19,"10461461,892134868"
2015-12-20,"10443308,906116398"
2015-12-21,"10426643,908412065"
2015-12-22,"10444605,975281015"
2015-12-23,"10427080,270344514"
2015-12-24,"10398715,84181593"
2015-12-25,"10403988,868908407"
2015-12-26,"10389431,838818947"
2015-12-27,"10401063,564573413"
2015-12-28,"10373881,98590233"
2015-12-29,"10373663,604583304"
2015-12-30,"10301942,293574916"
2015-12-31,"10339464,829051198"
2016-01-01,"10305440,971821476"
2016-01-02,"10282319,959149823"
2016-01-03,"10237587,483762853"
2016-01-04,"10207530,20833952"
2016-01-05,"10525537,745874565"
2016-01-06,"10528190,339814208"
2016-01-07,"10452313,088937744"
2016-01-08,"10389292,132229075"
