Date,indicators/puell_multiple
2011-12-26,"0,746373931695617"
2011-12-27,"0,604629921795001"
2011-12-28,"0,663565546988776"
2011-12-29,"0,602251432453993"
2011-12-30,"0,616294512926111"
2011-12-31,"0,694186167525526"
2012-01-01,"0,7791368990742"
2012-01-02,"0,819761531817083"
2012-01-03,"0,821784692414029"
2012-01-04,"0,778932075448803"
2012-01-05,"0,926744797763227"
2012-01-06,"1,19055546793025"
2012-01-07,"1,24517031863391"
2012-01-08,"1,15659776401243"
2012-01-09,"1,10465362091029"
2012-01-10,"0,90715626006335"
2012-01-11,"1,04287512472507"
2012-01-12,"1,05314556158486"
2012-01-13,"0,928506399966715"
2012-01-14,"0,973001750506308"
2012-01-15,"0,946742259729298"
2012-01-16,"1,19802908551115"
2012-01-17,"1,02450597530264"
2012-01-18,"0,745119971768456"
2012-01-19,"0,908590644679504"
2012-01-20,"0,914801577604292"
2012-01-21,"1,01821083762432"
2012-01-22,"0,827461414926654"
2012-01-23,"1,04088500458897"
2012-01-24,"0,852061468925231"
2012-01-25,"0,879055164718837"
2012-01-26,"0,756061573947074"
2012-01-27,"0,721799561009878"
2012-01-28,"0,768524498382465"
2012-01-29,"0,886781525810046"
2012-01-30,"0,907326772566759"
2012-01-31,"0,792502474187124"
2012-02-01,"0,75711297718437"
2012-02-02,"0,911800978856856"
2012-02-03,"0,895451867631387"
2012-02-04,"0,882495761052774"
2012-02-05,"0,770639231516377"
2012-02-06,"0,77537964506978"
2012-02-07,"0,721214092733041"
2012-02-08,"0,771789163021284"
2012-02-09,"0,779171344303143"
2012-02-10,"0,761300295404668"
2012-02-11,"0,820769569024991"
2012-02-12,"0,838710335440568"
2012-02-13,"0,692748549539651"
2012-02-14,"0,61710738546336"
2012-02-15,"0,584539581233182"
2012-02-16,"0,546421910436708"
2012-02-17,"0,627959840054666"
2012-02-18,"0,68509434684786"
2012-02-19,"0,630803005907427"
2012-02-20,"0,568659590301968"
2012-02-21,"0,519386606781051"
2012-02-22,"0,655881575499664"
2012-02-23,"0,730264672991758"
2012-02-24,"0,685336941859195"
2012-02-25,"0,74990014049372"
2012-02-26,"0,676865993228033"
2012-02-27,"0,701120212845247"
2012-02-28,"0,721413927745702"
2012-02-29,"0,794876567103597"
2012-03-01,"0,679320195326399"
2012-03-02,"0,579383212713198"
2012-03-03,"0,482127213518653"
2012-03-04,"0,588428835390663"
2012-03-05,"0,647842950314878"
2012-03-06,"0,61568046177827"
2012-03-07,"0,69293749680785"
2012-03-08,"0,690779207068953"
2012-03-09,"0,744151494049214"
2012-03-10,"0,720420280952225"
2012-03-11,"0,591904637707162"
2012-03-12,"0,727717734434046"
2012-03-13,"0,724348479417007"
2012-03-14,"0,658445223069972"
2012-03-15,"0,578972458397255"
2012-03-16,"0,729319180333935"
2012-03-17,"0,812167907196642"
2012-03-18,"0,749213514972785"
2012-03-19,"0,652468653889958"
2012-03-20,"0,683210731352345"
2012-03-21,"0,676045053897483"
2012-03-22,"0,673858203027711"
2012-03-23,"0,524968728769933"
2012-03-24,"0,760077880491245"
2012-03-25,"0,635160393956117"
2012-03-26,"0,616749118856316"
2012-03-27,"0,642566252263123"
2012-03-28,"0,63276178379405"
2012-03-29,"0,588873088015589"
2012-03-30,"0,646719303207701"
2012-03-31,"0,723364804015153"
2012-04-01,"0,597019772403297"
2012-04-02,"0,493719166489092"
2012-04-03,"0,572016326073393"
2012-04-04,"0,589920696389581"
2012-04-05,"0,500324122988433"
2012-04-06,"0,584294072401655"
2012-04-07,"0,53964648138253"
2012-04-08,"0,616252624321524"
2012-04-09,"0,60324935765822"
2012-04-10,"0,613721787217133"
2012-04-11,"0,5927793159533"
2012-04-12,"0,535953031076036"
2012-04-13,"0,5167521909463"
2012-04-14,"0,59460248186516"
2012-04-15,"0,453217618704667"
2012-04-16,"0,636033447763332"
2012-04-17,"0,574915035314793"
2012-04-18,"0,569230392982304"
2012-04-19,"0,691544143275637"
2012-04-20,"0,681038010632328"
2012-04-21,"0,695816988220229"
2012-04-22,"0,621653600542546"
2012-04-23,"0,594635916740987"
2012-04-24,"0,59516428869773"
2012-04-25,"0,551815116171835"
2012-04-26,"0,671547135460414"
2012-04-27,"0,58394275196152"
2012-04-28,"0,643958175537086"
2012-04-29,"0,749950195990055"
2012-04-30,"0,74894253254971"
2012-05-01,"0,714612189787271"
2012-05-02,"0,646387425092055"
2012-05-03,"0,675779351378873"
2012-05-04,"0,695990599015038"
2012-05-05,"0,715439845706462"
2012-05-06,"0,699975878244602"
2012-05-07,"0,725982104937148"
2012-05-08,"0,749229019708547"
2012-05-09,"0,709083010712162"
2012-05-10,"0,549370012773231"
2012-05-11,"0,59738190414985"
2012-05-12,"0,537986531509729"
2012-05-13,"0,591330699239272"
2012-05-14,"0,588678308370111"
2012-05-15,"0,556081473952044"
2012-05-16,"0,525613182987561"
2012-05-17,"0,507729408507155"
2012-05-18,"0,637347985864916"
2012-05-19,"0,656910645193607"
2012-05-20,"0,609341474520255"
2012-05-21,"0,555716723410307"
2012-05-22,"0,508569886058859"
2012-05-23,"0,580781045189471"
2012-05-24,"0,560763171770169"
2012-05-25,"0,545996770460626"
2012-05-26,"0,640180042038252"
2012-05-27,"0,716995605696038"
2012-05-28,"0,642726335370274"
2012-05-29,"0,571969556511472"
2012-05-30,"0,597815494902395"
2012-05-31,"0,632071486775123"
2012-06-01,"0,709886440175051"
2012-06-02,"0,749117871761953"
2012-06-03,"0,720173202521516"
2012-06-04,"0,73673040662765"
2012-06-05,"0,725992200635369"
2012-06-06,"0,767508260258027"
2012-06-07,"0,711377652863192"
2012-06-08,"0,748890130793183"
2012-06-09,"0,91876780176603"
2012-06-10,"0,884250297305678"
2012-06-11,"0,750165814745613"
2012-06-12,"0,86210668651861"
2012-06-13,"0,871882973195574"
2012-06-14,"0,928512327696445"
2012-06-15,"0,972117192244501"
2012-06-16,"1,03233293256947"
2012-06-17,"1,07782385351838"
2012-06-18,"1,13878852163939"
2012-06-19,"0,989585387747581"
2012-06-20,"1,0086894939116"
2012-06-21,"0,972636481718599"
2012-06-22,"0,985031829997094"
2012-06-23,"1,15516546894491"
2012-06-24,"0,917622347171309"
2012-06-25,"1,06772646338641"
2012-06-26,"1,05341917088685"
2012-06-27,"1,17591927627208"
2012-06-28,"1,00974666818888"
2012-06-29,"1,09062601475961"
2012-06-30,"0,996578102917153"
2012-07-01,"1,07389087819797"
2012-07-02,"1,16389111011111"
2012-07-03,"1,2101187478035"
2012-07-04,"1,1250570887601"
2012-07-05,"1,10553827363181"
2012-07-06,"1,19256863057576"
2012-07-07,"1,2970782210533"
2012-07-08,"1,2122134280745"
2012-07-09,"1,30571230973797"
2012-07-10,"1,25661608558837"
2012-07-11,"1,12816665169939"
2012-07-12,"1,28373926693308"
2012-07-13,"1,48554140290183"
2012-07-14,"1,46146672927378"
2012-07-15,"1,26627214022413"
2012-07-16,"1,41432834696492"
2012-07-17,"1,73109237042836"
2012-07-18,"1,68358115410826"
2012-07-19,"1,49214821946926"
2012-07-20,"1,48476088123295"
2012-07-21,"1,50693063826071"
2012-07-22,"1,65300245379369"
2012-07-23,"1,49885505161516"
2012-07-24,"1,71006542035711"
2012-07-25,"1,67996079579841"
2012-07-26,"1,83031866761411"
2012-07-27,"1,96291305650369"
2012-07-28,"1,69199849431601"
2012-07-29,"1,81887207688948"
2012-07-30,"1,95510601935225"
2012-07-31,"1,5064373240403"
2012-08-01,"1,58546457337296"
2012-08-02,"2,02904857448336"
2012-08-03,"2,16532448160548"
2012-08-04,"2,16399147067"
2012-08-05,"1,83298707362496"
2012-08-06,"1,90575490382506"
2012-08-07,"2,21519160520321"
2012-08-08,"2,27857590710585"
2012-08-09,"2,38105315822759"
2012-08-10,"2,19457627252104"
2012-08-11,"2,39342973756009"
2012-08-12,"2,28683003910256"
2012-08-13,"2,32183050596265"
2012-08-14,"2,33847770746797"
2012-08-15,"2,58083400011743"
2012-08-16,"2,52121215601996"
2012-08-17,"2,3870580814987"
2012-08-18,"2,20238311502288"
2012-08-19,"2,0844384513733"
