Date,mining/marketcap_thermocap_ratio
2010-07-18,"3,7792482453096156e-07"
2010-07-19,"5,290561297396524e-07"
2010-07-20,"4,617357597629261e-07"
2010-07-21,"4,0642297947818135e-07"
2010-07-22,"3,916373823407416e-07"
2010-07-23,"3,6374311859654893e-07"
2010-07-24,"3,273690860552352e-07"
2010-07-25,"3,2797548572485785e-07"
2010-07-26,"2,853822470038205e-07"
2010-07-27,"3,347489929864583e-07"
2010-07-28,"3,259623098658058e-07"
2010-07-29,"3,3676080831539544e-07"
2010-07-30,"3,62745222969586e-07"
2010-07-31,"3,594426055573719e-07"
2010-08-01,"3,4048168764833624e-07"
2010-08-02,"3,4108943772657387e-07"
2010-08-03,"3,4066551377266723e-07"
2010-08-04,"3,314979451748523e-07"
2010-08-05,"3,2912793514026914e-07"
2010-08-06,"3,392919159534467e-07"
2010-08-07,"3,3179517998072606e-07"
2010-08-08,"3,2394980264334255e-07"
2010-08-09,"3,4687026582153015e-07"
2010-08-10,"3,7048556286111754e-07"
2010-08-11,"3,7472238080341484e-07"
2010-08-12,"3,494832416151961e-07"
2010-08-13,"3,542847062983877e-07"
2010-08-14,"3,543810473012308e-07"
2010-08-15,"3,5264167533392707e-07"
2010-08-16,"3,464723931650706e-07"
2010-08-17,"3,457448764930106e-07"
2010-08-18,"3,713277323418877e-07"
2010-08-19,"3,538246799085396e-07"
2010-08-20,"3,4416143646259243e-07"
2010-08-21,"3,401718721429796e-07"
2010-08-22,"3,276592644009634e-07"
2010-08-23,"3,3745312085513025e-07"
2010-08-24,"3,381262155979863e-07"
2010-08-25,"3,328829383163271e-07"
2010-08-26,"3,295245114480944e-07"
2010-08-27,"3,2724935484494994e-07"
2010-08-28,"3,2924752003248384e-07"
2010-08-29,"3,257892523830125e-07"
2010-08-30,"3,177782784899681e-07"
2010-08-31,"3,197618737894675e-07"
2010-09-01,"3,068534508728453e-07"
2010-09-02,"3,051130727483393e-07"
2010-09-03,"3,123954439523172e-07"
2010-09-04,"3,0627823250382415e-07"
2010-09-05,"3,0982198359511264e-07"
2010-09-06,"3,0689720637392085e-07"
2010-09-07,"3,044483377112011e-07"
2010-09-08,"3,0171676647298516e-07"
2010-09-09,"3,0336318254066244e-07"
2010-09-10,"2,97279201852976e-07"
2010-09-11,"3,0580081155413015e-07"
2010-09-12,"3,024652780144152e-07"
2010-09-13,"3,014736628889675e-07"
2010-09-14,"3,077933921536893e-07"
2010-09-15,"2,979239593896526e-07"
2010-09-16,"2,992123298619522e-07"
2010-09-17,"2,9251701005856606e-07"
2010-09-18,"2,890151037860371e-07"
2010-09-19,"2,95057038747599e-07"
2010-09-20,"2,9892315995023656e-07"
2010-09-21,"3,0050024109105053e-07"
2010-09-22,"2,9563561820917754e-07"
2010-09-23,"2,9471098199980003e-07"
2010-09-24,"2,94124698322737e-07"
2010-09-25,"2,918360986571326e-07"
2010-09-26,"2,914715948501997e-07"
2010-09-27,"2,906372967361981e-07"
2010-09-28,"2,8893608142341183e-07"
2010-09-29,"2,879853555536649e-07"
2010-09-30,"2,8705187744938475e-07"
2010-10-01,"2,870821795745065e-07"
2010-10-02,"2,846460328740404e-07"
2010-10-03,"2,83229810143304e-07"
2010-10-04,"2,819224545507906e-07"
2010-10-05,"2,828599148549759e-07"
2010-10-06,"2,867000054228758e-07"
2010-10-07,"2,9086985118686515e-07"
2010-10-08,"3,4704224589073276e-07"
2010-10-09,"3,8435747037310495e-07"
2010-10-10,"4,236047732648488e-07"
2010-10-11,"4,275197853819818e-07"
2010-10-12,"4,1664561971953565e-07"
2010-10-13,"4,257485481326878e-07"
2010-10-14,"4,5275735148765197e-07"
2010-10-15,"4,5325032348787946e-07"
2010-10-16,"4,495733063713524e-07"
2010-10-17,"4,5220740819161645e-07"
2010-10-18,"4,450042241904383e-07"
2010-10-19,"4,3364329668654535e-07"
2010-10-20,"4,2545383853383504e-07"
2010-10-21,"4,3491870167849026e-07"
2010-10-22,"4,4987999840412826e-07"
2010-10-23,"4,647266672206806e-07"
2010-10-24,"5,110857589151614e-07"
2010-10-25,"4,81755864533948e-07"
2010-10-26,"6,618650259687184e-07"
2010-10-27,"7,213630365426802e-07"
2010-10-28,"7,688671522514993e-07"
2010-10-29,"7,536643216060978e-07"
2010-10-30,"7,672277021525251e-07"
2010-10-31,"7,836057342083444e-07"
2010-11-01,"7,671374862652569e-07"
2010-11-02,"7,642527602148592e-07"
2010-11-03,"7,153629785263068e-07"
2010-11-04,"8,094379178344034e-07"
2010-11-05,"9,004483014869568e-07"
2010-11-06,"1,0311989156956923e-06"
2010-11-07,"1,3424075938058705e-06"
2010-11-08,"1,1979327023498102e-06"
2010-11-09,"9,494398828575386e-07"
2010-11-10,"6,849994460202414e-07"
2010-11-11,"8,245825044454527e-07"
2010-11-12,"8,516362729359045e-07"
2010-11-13,"9,833181344185907e-07"
2010-11-14,"9,833773747146483e-07"
2010-11-15,"9,688097569723783e-07"
2010-11-16,"9,02193950508955e-07"
2010-11-17,"8,466325458178972e-07"
2010-11-18,"8,457107787936088e-07"
2010-11-19,"9,028184832410399e-07"
2010-11-20,"9,201634569637041e-07"
2010-11-21,"9,138948123513939e-07"
2010-11-22,"8,982656340121254e-07"
2010-11-23,"9,189514477904875e-07"
2010-11-24,"9,076970823607987e-07"
2010-11-25,"9,0122262368556e-07"
2010-11-26,"8,945755097806818e-07"
2010-11-27,"8,9118103610607e-07"
2010-11-28,"8,738685395534e-07"
2010-11-29,"8,166503535675801e-07"
2010-11-30,"6,682097817929848e-07"
