Date,supply/active_1d_1w
2009-01-03,"0,0"
2009-01-09,"50,0"
2009-01-10,"700,0"
2009-01-11,"3750,0"
2009-01-12,"8350,0"
2009-01-13,"13100,0"
2009-01-14,"19189,0"
2009-01-15,"25300,0"
2009-01-16,"31150,0"
2009-01-17,"33700,0"
2009-01-18,"34350,0"
2009-01-19,"34336,0"
2009-01-20,"34611,0"
2009-01-21,"34800,0"
2009-01-22,"33225,0"
2009-01-23,"32475,0"
2009-01-24,"31675,0"
2009-01-25,"37075,0"
2009-01-26,"39450,0"
2009-01-27,"39450,0"
2009-01-28,"39400,0"
2009-01-29,"39600,0"
2009-01-30,"41900,0"
2009-01-31,"37600,0"
2009-02-01,"36200,0"
2009-02-02,"36300,0"
2009-02-03,"37700,0"
2009-02-04,"39500,0"
2009-02-05,"38800,0"
2009-02-06,"39250,0"
2009-02-07,"37400,0"
2009-02-08,"39350,0"
2009-02-09,"39500,0"
2009-02-10,"41400,0"
2009-02-11,"41300,0"
2009-02-12,"42300,04"
2009-02-13,"42300,04"
2009-02-14,"41250,04"
2009-02-15,"40450,04"
2009-02-16,"37300,04"
2009-02-17,"39000,04"
2009-02-18,"38000,0"
2009-02-19,"37450,0"
2009-02-20,"38600,0"
2009-02-21,"38350,0"
2009-02-22,"37100,0"
2009-02-23,"36350,0"
2009-02-24,"36250,0"
2009-02-25,"35850,0"
2009-02-26,"34100,0"
2009-02-27,"32200,0"
2009-02-28,"33850,0"
2009-03-01,"33100,0"
2009-03-02,"33350,0"
2009-03-03,"33300,0"
2009-03-04,"32850,0"
2009-03-05,"33750,0"
2009-03-06,"32550,0"
2009-03-07,"33200,0"
2009-03-08,"32800,0"
2009-03-09,"34800,0"
2009-03-10,"35100,0"
2009-03-11,"34450,0"
2009-03-12,"34150,0"
2009-03-13,"33900,0"
2009-03-14,"35150,0"
2009-03-15,"33850,0"
2009-03-16,"34000,0"
2009-03-17,"37550,0"
2009-03-18,"37200,0"
2009-03-19,"38000,0"
2009-03-20,"37300,0"
2009-03-21,"38300,0"
2009-03-22,"34450,0"
2009-03-23,"32700,0"
2009-03-24,"33850,0"
2009-03-25,"32950,0"
2009-03-26,"31700,0"
2009-03-27,"32750,0"
2009-03-28,"35000,0"
2009-03-29,"36050,0"
2009-03-30,"35600,0"
2009-03-31,"35100,0"
2009-04-01,"36700,0"
2009-04-02,"35450,0"
2009-04-03,"36400,0"
2009-04-04,"35550,0"
2009-04-05,"34850,0"
2009-04-06,"36750,0"
2009-04-07,"35100,0"
2009-04-08,"34600,0"
2009-04-09,"34150,0"
2009-04-10,"33550,0"
2009-04-11,"33050,0"
2009-04-12,"31650,0"
2009-04-13,"32750,0"
2009-04-14,"33650,0"
2009-04-15,"34650,0"
2009-04-16,"35500,0"
2009-04-17,"36300,0"
2009-04-18,"35800,0"
2009-04-19,"35600,0"
2009-04-20,"35550,0"
2009-04-21,"41400,0"
2009-04-22,"42050,0"
2009-04-23,"42150,0"
2009-04-24,"40300,0"
2009-04-25,"39750,0"
2009-04-26,"38700,0"
2009-04-27,"33400,0"
2009-04-28,"32450,0"
2009-04-29,"31850,0"
2009-04-30,"35700,0"
2009-05-01,"36700,0"
2009-05-02,"36850,0"
2009-05-03,"37550,0"
2009-05-04,"36250,0"
2009-05-05,"38100,0"
2009-05-06,"38350,0"
2009-05-07,"38950,0"
2009-05-08,"39400,0"
2009-05-09,"38100,0"
2009-05-10,"36900,0"
2009-05-11,"33500,0"
2009-05-12,"32350,0"
2009-05-13,"32000,0"
2009-05-14,"31400,0"
2009-05-15,"33150,0"
2009-05-16,"36650,0"
2009-05-17,"38450,0"
2009-05-18,"38700,0"
2009-05-19,"38100,0"
2009-05-20,"36800,0"
2009-05-21,"35750,0"
2009-05-22,"32600,0"
2009-05-23,"29700,0"
2009-05-24,"24950,0"
2009-05-25,"24050,0"
2009-05-26,"25200,0"
2009-05-27,"25450,0"
2009-05-28,"27300,0"
2009-05-29,"28100,0"
2009-05-30,"34850,0"
2009-05-31,"35550,0"
2009-06-01,"35100,0"
2009-06-02,"32650,0"
2009-06-03,"32450,0"
2009-06-04,"31250,0"
2009-06-05,"26250,0"
2009-06-06,"22300,0"
2009-06-07,"18900,0"
2009-06-08,"16100,0"
2009-06-09,"14650,0"
2009-06-10,"15650,0"
2009-06-11,"16450,0"
2009-06-12,"19400,0"
2009-06-13,"22300,0"
2009-06-14,"25400,0"
2009-06-15,"24900,0"
