Date,indicators/net_realized_profit_loss
2011-01-21,"2299,64410077098"
2011-01-22,"3649,38015436334"
2011-01-23,"7925,61482446375"
2011-01-24,"3540,05607840534"
2011-01-25,"2005,72312770545"
2011-01-26,"4353,71347132143"
2011-01-27,"70899,5443576457"
2011-01-28,"1334,28748008594"
2011-01-29,"2873,78689088112"
2011-01-30,"2337,86713071885"
2011-01-31,"13464,8474940861"
2011-02-01,"23653,4770876348"
2011-02-02,"28289,6474176847"
2011-02-03,"5896,95753668387"
2011-02-04,"7511,4022462607"
2011-02-05,"14796,5228275654"
2011-02-06,"20437,2981926505"
2011-02-07,"37986,0734476402"
2011-02-08,"4407,34752550788"
2011-02-09,"25548,2679134852"
2011-02-10,"12980,5727898588"
2011-02-11,"11085,867025903"
2011-02-12,"7192,93058043356"
2011-02-13,"7115,55676410047"
2011-02-14,"7468,62311970006"
2011-02-15,"2988,58909778664"
2011-02-16,"2235,85453111438"
2011-02-17,"2205,86506678468"
2011-02-18,"5298,25016003665"
2011-02-19,"1575,49916774559"
2011-02-20,"4732,44534097638"
2011-02-21,"741,422833709393"
2011-02-22,"3445,12125105071"
2011-02-23,"1187,93776365657"
2011-02-24,"3822,72154553974"
2011-02-25,"1138,84628756979"
2011-02-26,"4420,52565422712"
2011-02-27,"17760,4892641064"
2011-02-28,"12693,9451537207"
2011-03-01,"182378,317900398"
2011-03-02,"346,087622300131"
2011-03-03,"48,3583584672031"
2011-03-04,"2931,34685277699"
2011-03-05,"1887,04958014505"
2011-03-06,"-5142,75110637407"
2011-03-07,"-757,563928013019"
2011-03-08,"4055,24938288768"
2011-03-09,"-660,778904595242"
2011-03-10,"2099,08847791876"
2011-03-11,"683,483302134626"
2011-03-12,"12550,0719437202"
2011-03-13,"6174,8163160332"
2011-03-14,"12349,2007636354"
2011-03-15,"4401,68225253302"
2011-03-16,"6088,32700740328"
2011-03-17,"3532,26200532402"
2011-03-18,"-1394,47195493785"
2011-03-19,"-431,773215583723"
2011-03-20,"-270,387734681141"
2011-03-21,"1208,88558425675"
2011-03-22,"-2141,86804767425"
2011-03-23,"5428,24553926564"
2011-03-24,"13557,7826231646"
2011-03-25,"1446,13749266613"
2011-03-26,"11891,5537841765"
2011-03-27,"2313,84091189506"
2011-03-28,"-1513,37532254947"
