Date,transactions/contract_calls_internal_count
2016-03-28,48236.0
2016-03-29,9179.0
2016-03-30,32041.0
2016-03-31,8656.0
2016-04-01,37426.0
2016-04-02,6743.0
2016-04-03,7030.0
2016-04-04,37614.0
2016-04-05,47279.0
2016-04-06,13558.0
2016-04-07,25301.0
2016-04-08,47113.0
2016-04-09,14738.0
2016-04-10,7198.0
2016-04-11,6518.0
2016-04-12,26499.0
2016-04-13,19231.0
2016-04-14,15574.0
2016-04-15,39038.0
2016-04-16,4152.0
2016-04-17,3629.0
2016-04-18,16458.0
2016-04-19,13551.0
2016-04-20,15060.0
2016-04-21,11350.0
2016-04-22,4419.0
2016-04-23,3447.0
2016-04-24,25188.0
2016-04-25,24406.0
2016-04-26,10509.0
2016-04-27,5149.0
2016-04-28,17310.0
2016-04-29,13598.0
2016-04-30,9268.0
2016-05-01,17433.0
2016-05-02,5114.0
2016-05-03,5639.0
2016-05-04,15746.0
2016-05-05,15580.0
2016-05-06,66503.0
2016-05-07,7426.0
2016-05-08,26978.0
2016-05-09,8104.0
2016-05-10,8545.0
2016-05-11,8626.0
2016-05-12,39853.0
2016-05-13,12434.0
2016-05-14,33216.0
2016-05-15,23572.0
2016-05-16,25323.0
2016-05-17,9148.0
2016-05-18,20501.0
2016-05-19,17581.0
2016-05-20,19782.0
2016-05-21,18216.0
2016-05-22,4950.0
2016-05-23,5134.0
2016-05-24,6004.0
2016-05-25,16290.0
2016-05-26,9226.0
2016-05-27,8698.0
2016-05-28,30588.0
2016-05-29,6191.0
2016-05-30,11217.0
2016-05-31,4929.0
2016-06-01,4318.0
2016-06-02,4744.0
2016-06-03,4093.0
2016-06-04,8655.0
2016-06-05,3042.0
2016-06-06,4013.0
2016-06-07,38565.0
2016-06-08,15192.0
2016-06-09,6854.0
2016-06-10,7132.0
2016-06-11,3820.0
2016-06-12,3258.0
2016-06-13,7595.0
2016-06-14,22425.0
2016-06-15,19810.0
2016-06-16,5360.0
2016-06-17,132172.0
2016-06-18,5151.0
2016-06-19,4005.0
2016-06-20,18986.0
2016-06-21,56277.0
2016-06-22,16455.0
2016-06-23,4419.0
2016-06-24,13486.0
2016-06-25,3293.0
2016-06-26,2625.0
2016-06-27,4298.0
2016-06-28,3941.0
2016-06-29,2974.0
2016-06-30,2360.0
2016-07-01,3310.0
2016-07-02,4640.0
2016-07-03,5116.0
2016-07-04,6990.0
2016-07-05,7891.0
2016-07-06,3646.0
2016-07-07,2991.0
2016-07-08,17422.0
2016-07-09,3589.0
2016-07-10,2156.0
2016-07-11,7114.0
2016-07-12,3201.0
2016-07-13,4449.0
2016-07-14,22930.0
2016-07-15,3680.0
2016-07-16,2595.0
2016-07-17,2453.0
2016-07-18,6408.0
2016-07-19,7757.0
2016-07-20,6715.0
2016-07-21,9428.0
2016-07-22,4207.0
2016-07-23,9698.0
2016-07-24,8162.0
2016-07-25,9351.0
2016-07-26,6213.0
2016-07-27,7513.0
2016-07-28,51732.0
2016-07-29,73060.0
2016-07-30,26812.0
2016-07-31,5545.0
2016-08-01,9694.0
2016-08-02,9211.0
2016-08-03,11379.0
2016-08-04,8800.0
2016-08-05,6158.0
2016-08-06,6110.0
2016-08-07,10987.0
2016-08-08,113158.0
2016-08-09,10182.0
2016-08-10,7532.0
2016-08-11,7992.0
2016-08-12,6397.0
2016-08-13,7947.0
2016-08-14,5658.0
2016-08-15,8449.0
2016-08-16,8157.0
2016-08-17,7882.0
2016-08-18,11158.0
2016-08-19,11528.0
2016-08-20,6672.0
2016-08-21,8229.0
2016-08-22,10562.0
2016-08-23,19464.0
2016-08-24,7033.0
2016-08-25,6543.0
2016-08-26,7766.0
2016-08-27,5211.0
2016-08-28,8514.0
2016-08-29,8238.0
2016-08-30,8723.0
2016-08-31,8793.0
2016-09-01,6616.0
2016-09-02,12891.0
2016-09-03,5999.0
2016-09-04,5592.0
2016-09-05,6349.0
2016-09-06,6895.0
2016-09-07,8523.0
2016-09-08,8223.0
2016-09-09,6393.0
2016-09-10,5691.0
2016-09-11,6923.0
2016-09-12,9492.0
2016-09-13,7188.0
2016-09-14,6546.0
2016-09-15,5874.0
2016-09-16,7250.0
2016-09-17,14347.0
2016-09-18,14697.0
2016-09-19,70575.0
2016-09-20,10082.0
2016-09-21,9421.0
2016-09-22,122070.0
2016-09-23,4057.0
2016-09-24,3956.0
2016-09-25,11606.0
2016-09-26,6985731.0
2016-09-27,4266.0
2016-09-28,11067.0
2016-09-29,11924.0
2016-09-30,8542.0
2016-10-01,173960.0
2016-10-02,321933.0
2016-10-03,15997.0
2016-10-04,28198.0
2016-10-05,6270.0
2016-10-06,12364.0
2016-10-07,6762.0
2016-10-08,8322.0
2016-10-09,11577.0
2016-10-10,29774.0
2016-10-11,2354407.0
2016-10-12,7408301.0
2016-10-13,5301858.0
2016-10-14,3118865.0
2016-10-15,700952.0
2016-10-16,1168019.0
2016-10-17,1061310.0
2016-10-18,867121.0
2016-10-19,6154.0
2016-10-20,5201.0
2016-10-21,12457.0
2016-10-22,7912.0
2016-10-23,5634.0
2016-10-24,9158.0
2016-10-25,8867.0
2016-10-26,7811.0
2016-10-27,8178.0
2016-10-28,8176.0
2016-10-29,5466.0
2016-10-30,4805.0
2016-10-31,6090.0
2016-11-01,8216.0
2016-11-02,5952.0
2016-11-03,5992.0
2016-11-04,4370.0
2016-11-05,4205.0
2016-11-06,4906.0
2016-11-07,6168.0
2016-11-08,9557.0
2016-11-09,16257.0
2016-11-10,9120.0
2016-11-11,10186.0
2016-11-12,6819.0
2016-11-13,11200.0
2016-11-14,8132.0
2016-11-15,9009.0
2016-11-16,9354.0
2016-11-17,7200.0
2016-11-18,6382.0
2016-11-19,6017.0
2016-11-20,6829.0
2016-11-21,8245.0
2016-11-22,5636.0
2016-11-23,4376.0
2016-11-24,3476.0
2016-11-25,3130.0
2016-11-26,3572.0
2016-11-27,5820.0
2016-11-28,3815.0
2016-11-29,4636.0
2016-11-30,18575.0
2016-12-01,10023.0
2016-12-02,3837.0
2016-12-03,3692.0
2016-12-04,7254.0
2016-12-05,6168.0
2016-12-06,8319.0
2016-12-07,5617.0
2016-12-08,5656.0
2016-12-09,6547.0
2016-12-10,3987.0
2016-12-11,6200.0
2016-12-12,4782.0
2016-12-13,5796.0
2016-12-14,5847.0
2016-12-15,4512.0
2016-12-16,4228.0
2016-12-17,3673.0
2016-12-18,4091.0
2016-12-19,6299.0
2016-12-20,4670.0
2016-12-21,6913.0
2016-12-22,7043.0
2016-12-23,4548.0
2016-12-24,4469.0
2016-12-25,2675.0
2016-12-26,4254.0
2016-12-27,5450.0
2016-12-28,3578.0
2016-12-29,4511.0
2016-12-30,3779.0
2016-12-31,4813.0
2017-01-01,2912.0
2017-01-02,5428.0
2017-01-03,28075.0
2017-01-04,6157.0
2017-01-05,5294.0
2017-01-06,5541.0
2017-01-07,5052.0
2017-01-08,8394.0
2017-01-09,6345.0
2017-01-10,9451.0
2017-01-11,5138.0
2017-01-12,6436.0
2017-01-13,5391.0
2017-01-14,3347.0
2017-01-15,3874.0
2017-01-16,4470.0
2017-01-17,6864.0
2017-01-18,7337.0
2017-01-19,6884.0
2017-01-20,9626.0
2017-01-21,6816.0
2017-01-22,5722.0
2017-01-23,7696.0
2017-01-24,8208.0
2017-01-25,10326.0
2017-01-26,9335.0
2017-01-27,7766.0
2017-01-28,7046.0
2017-01-29,6982.0
2017-01-30,9121.0
2017-01-31,6322.0
2017-02-01,9459.0
2017-02-02,9181.0
2017-02-03,9184.0
2017-02-04,7629.0
2017-02-05,6725.0
2017-02-06,5929.0
2017-02-07,7595.0
2017-02-08,7512.0
2017-02-09,20049.0
2017-02-10,28975.0
2017-02-11,16572.0
2017-02-12,13626.0
2017-02-13,14524.0
