Date,indicators/nvt
2015-08-07,35.98489134043566
2015-08-08,5.3234212245902714
2015-08-09,62.06629266244462
2015-08-10,43.30813065691776
2015-08-11,48.72521729686078
2015-08-12,96.88742328191972
2015-08-13,40.522477720303904
2015-08-14,31.574764320323617
2015-08-15,15.65591886857931
2015-08-16,42.45213087063755
2015-08-17,32.32473717578533
2015-08-18,46.86939664805765
2015-08-19,63.1662802671581
2015-08-20,174.04315497207156
2015-08-21,123.83109592663233
2015-08-22,147.00809583636902
2015-08-23,146.06518874894766
2015-08-24,157.35487708971525
2015-08-25,179.0369867269461
2015-08-26,165.67699233818058
2015-08-27,266.9671232037882
2015-08-28,242.45234293841114
2015-08-29,169.2848983908956
2015-08-30,175.24958991561408
2015-08-31,189.45236247169146
2015-09-01,51.365999086660956
2015-09-02,262.83071701734394
2015-09-03,131.0506084507218
2015-09-04,413.42665772716623
2015-09-05,435.975734489607
2015-09-06,246.56677329675406
2015-09-07,360.78501434066504
2015-09-08,277.20171386324006
2015-09-09,63.81311369572555
2015-09-10,355.0706093242863
2015-09-11,100.72814934521661
2015-09-12,336.18878953454345
2015-09-13,326.63319355797233
2015-09-14,273.9118284513075
2015-09-15,121.43236432501931
2015-09-16,132.0125998568744
2015-09-17,247.9531225032372
2015-09-18,179.87572254481023
2015-09-19,187.80082558430934
2015-09-20,557.9449407548059
2015-09-21,465.63980876735343
2015-09-22,377.4497519615948
2015-09-23,560.5273826549709
2015-09-24,239.68233273442326
2015-09-25,111.15690162241798
2015-09-26,292.70329771930454
2015-09-27,192.2010551819785
2015-09-28,103.14308461997646
2015-09-29,182.18724479800503
2015-09-30,144.51561950053076
2015-10-01,136.8537990285665
2015-10-02,495.2958401983011
2015-10-03,599.7144874287299
2015-10-04,265.81637703336696
2015-10-05,450.2383005774547
2015-10-06,145.71590469627216
2015-10-07,238.08126011435158
2015-10-08,235.71255771253826
2015-10-09,329.56232606480415
2015-10-10,575.376040908664
2015-10-11,483.6605827803372
2015-10-12,273.12650749047936
2015-10-13,179.9823394777554
2015-10-14,74.59471522692618
2015-10-15,92.59495865948338
2015-10-16,205.72791602363478
2015-10-17,303.92451558536214
2015-10-18,408.8920657084507
2015-10-19,144.08931575966622
2015-10-20,147.90930770235298
2015-10-21,106.47535710245815
2015-10-22,119.89008005928417
2015-10-23,96.08728094610746
2015-10-24,744.0589278263458
2015-10-25,284.10298330288447
2015-10-26,103.91856908707256
2015-10-27,39.282495624094594
2015-10-28,76.22239143139792
2015-10-29,143.76367666275465
2015-10-30,61.56811710515803
2015-10-31,269.4710694834387
2015-11-01,512.0428650025561
2015-11-02,211.92878790381826
2015-11-03,125.38539246634053
2015-11-04,92.63515824504863
2015-11-05,216.81988772998508
2015-11-06,79.57124983719142
2015-11-07,175.31488058775622
2015-11-08,83.31302564920675
2015-11-09,78.91774456715575
2015-11-10,83.89369157198553
2015-11-11,248.1328024304156
2015-11-12,266.3180544977577
2015-11-13,160.57245399904906
2015-11-14,263.9964031548897
2015-11-15,426.64402817254427
2015-11-16,172.08355114689994
2015-11-17,64.77057245503212
2015-11-18,376.77902801916963
2015-11-19,273.33077530409423
2015-11-20,385.6358399808022
2015-11-21,559.768245382884
2015-11-22,293.27820746530034
2015-11-23,109.723882394106
2015-11-24,190.8938029497154
2015-11-25,399.0937887189726
2015-11-26,77.46706994652878
2015-11-27,110.77559406589367
2015-11-28,623.4867007404954
2015-11-29,395.5005786247061
2015-11-30,319.6059986307218
2015-12-01,337.5928200462845
2015-12-02,255.68793122036354
2015-12-03,340.65907524003455
2015-12-04,449.1399557037035
2015-12-05,524.1107989266866
2015-12-06,315.3086012010142
2015-12-07,167.14442548281406
2015-12-08,425.83957554936734
2015-12-09,308.2147168692042
2015-12-10,348.9701581666704
2015-12-11,236.89602745444185
2015-12-12,156.06414072851248
2015-12-13,233.90303850509656
2015-12-14,245.1535537143053
2015-12-15,141.46786369456916
2015-12-16,51.92243290181006
2015-12-17,172.4064247361946
2015-12-18,319.38656635140234
2015-12-19,332.7273676718968
2015-12-20,369.08793608802387
2015-12-21,323.96087164250247
2015-12-22,319.38351021732825
2015-12-23,529.3334331738475
2015-12-24,604.8153823934433
2015-12-25,1107.4529214049287
2015-12-26,523.313521584301
2015-12-27,957.6599441754375
2015-12-28,172.1004732595812
2015-12-29,265.8032907715407
2015-12-30,353.70827026873513
2015-12-31,195.45831959484002
2016-01-01,221.06160304391233
2016-01-02,293.91166631609974
2016-01-03,205.5480837865013
2016-01-04,494.71874286618794
2016-01-05,73.60540825836354
2016-01-06,291.3775993961032
2016-01-07,217.94616066341757
2016-01-08,389.0054788875913
2016-01-09,362.40307571507736
2016-01-10,542.3214906280408
2016-01-11,151.50132299972915
2016-01-12,77.20382350735308
2016-01-13,180.73940359607596
2016-01-14,230.13746338865633
2016-01-15,80.9700491380193
2016-01-16,134.05384824363537
2016-01-17,206.49499353964913
2016-01-18,33.81690549206073
2016-01-19,61.780892610613016
2016-01-20,127.76381067901764
2016-01-21,154.95478814839322
2016-01-22,83.49267653989837
2016-01-23,67.10575635755723
2016-01-24,39.98181462679944
2016-01-25,35.90313864827526
2016-01-26,53.170657675277404
2016-01-27,65.26203324403076
2016-01-28,83.40244393405415
2016-01-29,89.07714540117797
2016-01-30,77.73496653511148
2016-01-31,70.28233676185857
2016-02-01,128.34180040767697
2016-02-02,124.37405298731005
2016-02-03,124.19721917922195
2016-02-04,233.60837943043433
2016-02-05,133.74347178222612
2016-02-06,329.58725094090386
2016-02-07,86.15828873278807
2016-02-08,52.389151273061366
