Date,transactions/transfers_volume_to_exchanges_sum
2015-08-07,1432994.8192739
2015-08-08,861551.779751589
2015-08-09,534051.727119676
2015-08-10,876757.97619884
2015-08-11,454735.11952737
2015-08-12,366976.640936944
2015-08-13,683335.994775631
2015-08-14,1166503.43324455
2015-08-15,521918.68412277
2015-08-16,657096.809611
2015-08-17,297328.105673405
2015-08-18,493556.586615168
2015-08-19,227164.570558003
2015-08-20,81527.8448670025
2015-08-21,204068.43722303
2015-08-22,89846.6544994711
2015-08-23,108137.523008931
2015-08-24,126248.247041192
2015-08-25,100021.203933332
2015-08-26,135872.966263075
2015-08-27,92162.306173342
2015-08-28,84939.6032699624
2015-08-29,44958.6998984382
2015-08-30,124730.047467963
2015-08-31,150050.300719207
2015-09-01,218139.23523629
2015-09-02,69312.0767270896
2015-09-03,128021.830320677
2015-09-04,95692.9176647227
2015-09-05,47570.185145508
2015-09-06,86381.2388760074
2015-09-07,88229.0288359505
2015-09-08,121473.560321366
2015-09-09,1004480.44009361
2015-09-10,71583.2787919939
2015-09-11,169936.726464227
2015-09-12,51765.8815047769
2015-09-13,37516.294185118
2015-09-14,95040.7946494841
2015-09-15,123064.996312221
2015-09-16,111815.573314775
2015-09-17,60544.4237764172
2015-09-18,120518.506417697
2015-09-19,29856.0953017879
2015-09-20,28702.3624050695
2015-09-21,67130.4554319408
2015-09-22,40167.5152172656
2015-09-23,43740.8630034828
2015-09-24,154254.581414889
2015-09-25,182395.572042584
2015-09-26,91776.3470683486
2015-09-27,103323.211213329
2015-09-28,280431.321532676
2015-09-29,60156.3717600254
2015-09-30,143810.033410534
2015-10-01,101526.995354568
2015-10-02,52124.6634875703
2015-10-03,28106.3416313513
2015-10-04,38311.8323923578
2015-10-05,45893.1937957912
2015-10-06,73791.0866325189
2015-10-07,88212.8169266403
2015-10-08,134668.155595912
2015-10-09,82987.4880023872
2015-10-10,31054.1494012302
2015-10-11,26601.6184128183
2015-10-12,100115.036549709
2015-10-13,115654.017252057
2015-10-14,414501.277120961
2015-10-15,64516.7366124892
2015-10-16,103434.33257323
2015-10-17,88094.4289500598
2015-10-18,41031.2066253285
2015-10-19,80752.4252336577
2015-10-20,111830.101015249
2015-10-21,330244.477750164
2015-10-22,156362.796843239
2015-10-23,292190.89721135
2015-10-24,27234.131055762
2015-10-25,65796.5906863324
2015-10-26,283260.521663549
2015-10-27,229908.644892638
2015-10-28,309492.944718028
2015-10-29,236778.935378856
2015-10-30,580273.699435856
2015-10-31,61618.965873778
2015-11-01,32408.1288434587
2015-11-02,106200.698103788
2015-11-03,124723.655123831
2015-11-04,262213.417462215
2015-11-05,128166.171150413
2015-11-06,102378.295086048
2015-11-07,135547.549256192
2015-11-08,93682.3508540555
2015-11-09,375819.291160694
2015-11-10,62467.1114172185
2015-11-11,25767.5520334532
2015-11-12,48955.4597918033
2015-11-13,30799.7096076326
2015-11-14,42521.8333762266
2015-11-15,51318.8875309718
2015-11-16,70984.206071405
2015-11-17,130150.317713656
2015-11-18,36236.5607048415
2015-11-19,47004.4125721874
2015-11-20,30883.84674856
2015-11-21,34655.9734403165
2015-11-22,54838.3203171496
2015-11-23,411738.267088768
2015-11-24,54191.8855651752
2015-11-25,49870.0318272161
2015-11-26,748266.345490928
2015-11-27,30155.4461793875
2015-11-28,45588.2214989222
2015-11-29,39587.0727312803
2015-11-30,83936.9342590085
2015-12-01,81437.5173430196
2015-12-02,72211.3935235062
2015-12-03,27739.3840493349
2015-12-04,41160.1965245429
2015-12-05,55360.1114295223
2015-12-06,71449.1631188309
2015-12-07,108172.006304365
2015-12-08,73036.9766083017
2015-12-09,43861.1758963006
2015-12-10,29328.1764700683
2015-12-11,79793.290356501
2015-12-12,223646.193874513
2015-12-13,61247.143289259
2015-12-14,75492.9731389721
2015-12-15,192533.955418806
2015-12-16,1120894.20223377
2015-12-17,143509.583937634
2015-12-18,89989.8097447202
2015-12-19,39507.8992860707
2015-12-20,66348.1468713992
2015-12-21,59903.7877942225
2015-12-22,56097.4577029271
2015-12-23,37149.0273079775
2015-12-24,25388.0214667383
2015-12-25,20876.2231821651
2015-12-26,36010.7741304199
2015-12-27,27833.2230968018
2015-12-28,42193.1077971461
2015-12-29,25606.6698387245
2015-12-30,33740.8896224918
2015-12-31,134839.637813653
2016-01-01,65606.2068031777
2016-01-02,58695.3426562497
2016-01-03,49153.8226061001
2016-01-04,28160.291433728
2016-01-05,352868.247793595
2016-01-06,58131.6283233053
