Date,addresses/min_point_zero_1_count
2015-07-30,9202.0
2015-07-31,9358.0
2015-08-01,9473.0
2015-08-02,9560.0
2015-08-03,9636.0
2015-08-04,9693.0
2015-08-05,9746.0
2015-08-06,9787.0
2015-08-07,10027.0
2015-08-08,10188.0
2015-08-09,10315.0
2015-08-10,10455.0
2015-08-11,10566.0
2015-08-12,10724.0
2015-08-13,10949.0
2015-08-14,11164.0
2015-08-15,11366.0
2015-08-16,11536.0
2015-08-17,11685.0
2015-08-18,11848.0
2015-08-19,12004.0
2015-08-20,12374.0
2015-08-21,12239.0
2015-08-22,12357.0
2015-08-23,12523.0
2015-08-24,12615.0
2015-08-25,12714.0
2015-08-26,12772.0
2015-08-27,12876.0
2015-08-28,12941.0
2015-08-29,12979.0
2015-08-30,13068.0
2015-08-31,13128.0
2015-09-01,13189.0
2015-09-02,13273.0
2015-09-03,13333.0
2015-09-04,13400.0
2015-09-05,13442.0
2015-09-06,13460.0
2015-09-07,13530.0
2015-09-08,13560.0
2015-09-09,13623.0
2015-09-10,13654.0
2015-09-11,13727.0
2015-09-12,13777.0
2015-09-13,13893.0
2015-09-14,13965.0
2015-09-15,14073.0
2015-09-16,14134.0
2015-09-17,14157.0
2015-09-18,14204.0
2015-09-19,14228.0
2015-09-20,14251.0
2015-09-21,14265.0
2015-09-22,14267.0
2015-09-23,14355.0
2015-09-24,14408.0
2015-09-25,14433.0
2015-09-26,14455.0
2015-09-27,14470.0
2015-09-28,14531.0
2015-09-29,14544.0
2015-09-30,14578.0
2015-10-01,14583.0
2015-10-02,14611.0
2015-10-03,14690.0
2015-10-04,14733.0
2015-10-05,14781.0
2015-10-06,14829.0
2015-10-07,14865.0
2015-10-08,14871.0
2015-10-09,14915.0
2015-10-10,14951.0
2015-10-11,14944.0
2015-10-12,14963.0
2015-10-13,15096.0
2015-10-14,15219.0
2015-10-15,15352.0
2015-10-16,15351.0
2015-10-17,15371.0
2015-10-18,15427.0
2015-10-19,15576.0
2015-10-20,15595.0
2015-10-21,15795.0
2015-10-22,15885.0
2015-10-23,15888.0
2015-10-24,16172.0
2015-10-25,16294.0
2015-10-26,16526.0
2015-10-27,16583.0
2015-10-28,16623.0
2015-10-29,16776.0
2015-10-30,17131.0
2015-10-31,17358.0
2015-11-01,17809.0
2015-11-02,17993.0
2015-11-03,18228.0
2015-11-04,18453.0
2015-11-05,18535.0
2015-11-06,18541.0
2015-11-07,18879.0
2015-11-08,19418.0
2015-11-09,19608.0
2015-11-10,19618.0
2015-11-11,19817.0
2015-11-12,19775.0
2015-11-13,19905.0
2015-11-14,19864.0
2015-11-15,19915.0
2015-11-16,19951.0
2015-11-17,20018.0
2015-11-18,20044.0
2015-11-19,20082.0
2015-11-20,20212.0
2015-11-21,20159.0
2015-11-22,20619.0
2015-11-23,20635.0
2015-11-24,20778.0
2015-11-25,20796.0
2015-11-26,20889.0
2015-11-27,21217.0
2015-11-28,20896.0
2015-11-29,20924.0
2015-11-30,21053.0
2015-12-01,21123.0
2015-12-02,21169.0
2015-12-03,21214.0
2015-12-04,21301.0
2015-12-05,21369.0
2015-12-06,21316.0
2015-12-07,21349.0
2015-12-08,21384.0
2015-12-09,21412.0
2015-12-10,21453.0
2015-12-11,21485.0
2015-12-12,21831.0
2015-12-13,21890.0
2015-12-14,21962.0
2015-12-15,22017.0
2015-12-16,22013.0
2015-12-17,22114.0
2015-12-18,22231.0
2015-12-19,22283.0
2015-12-20,22359.0
2015-12-21,22453.0
2015-12-22,22497.0
2015-12-23,22538.0
2015-12-24,22569.0
2015-12-25,22614.0
2015-12-26,22660.0
2015-12-27,22742.0
2015-12-28,22812.0
2015-12-29,22835.0
2015-12-30,23528.0
2015-12-31,22998.0
2016-01-01,23056.0
2016-01-02,23109.0
2016-01-03,23197.0
2016-01-04,23269.0
2016-01-05,23358.0
2016-01-06,23472.0
2016-01-07,23559.0
2016-01-08,23654.0
2016-01-09,23869.0
2016-01-10,23828.0
2016-01-11,23959.0
2016-01-12,24065.0
2016-01-13,24152.0
2016-01-14,24251.0
2016-01-15,24422.0
2016-01-16,24578.0
2016-01-17,24747.0
2016-01-18,24960.0
2016-01-19,25097.0
2016-01-20,25043.0
2016-01-21,25252.0
2016-01-22,25483.0
2016-01-23,25750.0
2016-01-24,26132.0
2016-01-25,26539.0
2016-01-26,27008.0
2016-01-27,27357.0
2016-01-28,27706.0
2016-01-29,28066.0
2016-01-30,28557.0
2016-01-31,28932.0
2016-02-01,29198.0
2016-02-02,29462.0
2016-02-03,29965.0
2016-02-04,30181.0
2016-02-05,30699.0
2016-02-06,30801.0
2016-02-07,30996.0
2016-02-08,31194.0
2016-02-09,31483.0
2016-02-10,31789.0
2016-02-11,33130.0
2016-02-12,34009.0
2016-02-13,34352.0
2016-02-14,34848.0
2016-02-15,35238.0
2016-02-16,35630.0
2016-02-17,36116.0
2016-02-18,36372.0
2016-02-19,36755.0
2016-02-20,37020.0
2016-02-21,38299.0
2016-02-22,38506.0
2016-02-23,38791.0
2016-02-24,39111.0
2016-02-25,39500.0
2016-02-26,39797.0
2016-02-27,40117.0
2016-02-28,40498.0
2016-02-29,40712.0
2016-03-01,41082.0
2016-03-02,41908.0
2016-03-03,42759.0
2016-03-04,43501.0
2016-03-05,44377.0
2016-03-06,45208.0
2016-03-07,45773.0
2016-03-08,46230.0
2016-03-09,46862.0
2016-03-10,47391.0
2016-03-11,47856.0
2016-03-12,48569.0
2016-03-13,49429.0
2016-03-14,50409.0
2016-03-15,51146.0
2016-03-16,51870.0
2016-03-17,52451.0
2016-03-18,52825.0
2016-03-19,53260.0
2016-03-20,53868.0
2016-03-21,54106.0
2016-03-22,54535.0
2016-03-23,55067.0
2016-03-24,55639.0
2016-03-25,56180.0
2016-03-26,56677.0
2016-03-27,56936.0
2016-03-28,57633.0
2016-03-29,57629.0
2016-03-30,58363.0
2016-03-31,59107.0
2016-04-01,59559.0
2016-04-02,60056.0
2016-04-03,61021.0
2016-04-04,61054.0
2016-04-05,61501.0
2016-04-06,61812.0
2016-04-07,62159.0
2016-04-08,62491.0
2016-04-09,62861.0
2016-04-10,63178.0
2016-04-11,63571.0
2016-04-12,64108.0
2016-04-13,64438.0
2016-04-14,64689.0
2016-04-15,65174.0
2016-04-16,65585.0
2016-04-17,65828.0
2016-04-18,66331.0
2016-04-19,66577.0
2016-04-20,66949.0
2016-04-21,67457.0
2016-04-22,67754.0
2016-04-23,68073.0
2016-04-24,68347.0
2016-04-25,68660.0
2016-04-26,68984.0
2016-04-27,69336.0
2016-04-28,69771.0
2016-04-29,68001.0
2016-04-30,68482.0
2016-05-01,68866.0
2016-05-02,69435.0
2016-05-03,69667.0
2016-05-04,70196.0
2016-05-05,70823.0
2016-05-06,71346.0
2016-05-07,71743.0
2016-05-08,72217.0
2016-05-09,72685.0
2016-05-10,73154.0
2016-05-11,73936.0
2016-05-12,75679.0
2016-05-13,76030.0
2016-05-14,76782.0
2016-05-15,78378.0
2016-05-16,78736.0
2016-05-17,80098.0
2016-05-18,83147.0
2016-05-19,85263.0
2016-05-20,88940.0
2016-05-21,90166.0
2016-05-22,91238.0
2016-05-23,91984.0
2016-05-24,92950.0
2016-05-25,94582.0
2016-05-26,95551.0
2016-05-27,96843.0
2016-05-28,100017.0
2016-05-29,100911.0
2016-05-30,101485.0
2016-05-31,102294.0
2016-06-01,103152.0
2016-06-02,103645.0
2016-06-03,104366.0
2016-06-04,105122.0
2016-06-05,105790.0
2016-06-06,106407.0
2016-06-07,111324.0
2016-06-08,112053.0
2016-06-09,112883.0
2016-06-10,113478.0
2016-06-11,114394.0
2016-06-12,114942.0
2016-06-13,115940.0
2016-06-14,117188.0
2016-06-15,118211.0
2016-06-16,119107.0
2016-06-17,122240.0
2016-06-18,122686.0
