Date,indicators/velocity
2015-08-07,0.027789440588815
2015-08-08,0.18784912142227994
2015-08-09,0.016111804928298626
2015-08-10,0.023090352431091747
2015-08-11,0.020523253778581444
2015-08-12,0.010321257043757208
2015-08-13,0.024677661788162254
2015-08-14,0.03167086189005482
2015-08-15,0.06387360642286878
2015-08-16,0.023555943588491574
2015-08-17,0.030936059729175663
2015-08-18,0.02133588378593821
2015-08-19,0.015831231406544098
2015-08-20,0.00574570140469166
2015-08-21,0.008075516028643417
2015-08-22,0.0068023464579330005
2015-08-23,0.0068462582259676465
2015-08-24,0.006355062000587717
2015-08-25,0.00558543806104783
2015-08-26,0.006035841101936446
2015-08-27,0.003745779585138857
2015-08-28,0.004124521907606497
2015-08-29,0.005907201466316865
2015-08-30,0.005706147446516242
2015-08-31,0.005278371760338555
2015-09-01,0.019468131016255972
2015-09-02,0.003804730327368893
2015-09-03,0.007630639886544473
2015-09-04,0.0024188087084116685
2015-09-05,0.0022937056374724416
2015-09-06,0.0040556965021254325
2015-09-07,0.002771733747942666
2015-09-08,0.0036074813032842897
2015-09-09,0.015670760163313955
2015-09-10,0.002816341239572153
2015-09-11,0.009927711434196901
2015-09-12,0.0029745191723510754
2015-09-13,0.0030615382016357
2015-09-14,0.00365080984510228
2015-09-15,0.008235036891182107
2015-09-16,0.007575034512494878
2015-09-17,0.004033020394760079
2015-09-18,0.005559393929610941
2015-09-19,0.005324790223305331
2015-09-20,0.0017922915451964987
2015-09-21,0.0021475827048533726
2015-09-22,0.002649359271805136
2015-09-23,0.0017840341630830615
2015-09-24,0.004172189032839714
2015-09-25,0.008996292496500472
2015-09-26,0.0034164288813683815
2015-09-27,0.005202885067686995
2015-09-28,0.009695269476227423
2015-09-29,0.005488858460474123
2015-09-30,0.006919667254350505
2015-10-01,0.007307067886301517
2015-10-02,0.002018995353564106
2015-10-03,0.0016674601347175895
2015-10-04,0.003761995446482493
2015-10-05,0.002221046052096071
2015-10-06,0.006862668849254195
2015-10-07,0.0042002465860592935
2015-10-08,0.004242455343510139
2015-10-09,0.0030343274121792762
2015-10-10,0.001737993814307505
2015-10-11,0.0020675656350812597
2015-10-12,0.0036613070228449286
2015-10-13,0.005556100686887633
2015-10-14,0.013405775421997102
2015-10-15,0.010799724029009888
2015-10-16,0.00486078904277199
2015-10-17,0.0032902906765319285
2015-10-18,0.0024456331728212664
2015-10-19,0.00694013983429521
2015-10-20,0.006760899740078302
2015-10-21,0.009391844528285818
2015-10-22,0.008340973661086156
2015-10-23,0.01040720468051199
2015-10-24,0.001343979572856342
2015-10-25,0.0035198504020420374
2015-10-26,0.009622919260580926
2015-10-27,0.025456631105347412
2015-10-28,0.013119504403112638
2015-10-29,0.006955859944691256
2015-10-30,0.016242172848846506
2015-10-31,0.0037109735079054874
2015-11-01,0.0019529614966805717
2015-11-02,0.004718566127287247
2015-11-03,0.007975410694419193
2015-11-04,0.010795037423638775
2015-11-05,0.0046121230412467604
2015-11-06,0.012567353184046663
2015-11-07,0.00570402236619861
2015-11-08,0.012002925019318648
2015-11-09,0.012671421433604724
2015-11-10,0.011919847383780262
2015-11-11,0.004030099971487776
2015-11-12,0.0037549087758465115
2015-11-13,0.006227718236192132
2015-11-14,0.003787930396208044
2015-11-15,0.002343874363560945
2015-11-16,0.0058111306591200305
2015-11-17,0.01543911010967618
2015-11-18,0.0026540755340265973
2015-11-19,0.003658570824626132
2015-11-20,0.0025931199756998266
2015-11-21,0.0017864536051272356
2015-11-22,0.0034097316968848307
2015-11-23,0.009113786152846854
2015-11-24,0.0052385147372406675
2015-11-25,0.0025056766811877495
2015-11-26,0.012908710768204405
2015-11-27,0.009027259193980586
2015-11-28,0.0016038834490171672
2015-11-29,0.002528441307159018
2015-11-30,0.003128852412921752
2015-12-01,0.002962148305947083
2015-12-02,0.003911017603479118
2015-12-03,0.0029354861581050848
2015-12-04,0.002226477487252765
2015-12-05,0.001907993504518272
2015-12-06,0.003171496103154142
2015-12-07,0.0059828498444467765
2015-12-08,0.0023483021715628933
2015-12-09,0.0032444914057246847
2015-12-10,0.002865574538675578
2015-12-11,0.004221261161470143
2015-12-12,0.006407621861959881
2015-12-13,0.004275275799712242
2015-12-14,0.0040790760927144065
2015-12-15,0.007068743203467129
2015-12-16,0.01925949814198978
2015-12-17,0.005800247882468051
2015-12-18,0.0031310020688213873
2015-12-19,0.003005463623257172
2015-12-20,0.002709381429799726
2015-12-21,0.003086792534326555
2015-12-22,0.0031310320289220264
2015-12-23,0.0018891684094164759
2015-12-24,0.001653397101182658
2015-12-25,0.0009029729216221557
2015-12-26,0.001910900366137222
2015-12-27,0.001044211994123883
2015-12-28,0.0058105592684320395
2015-12-29,0.0037621806603572315
2015-12-30,0.002827188629884835
2015-12-31,0.005116180278602986
2016-01-01,0.004523625931552469
2016-01-02,0.0034023828061472993
2016-01-03,0.004865041704979746
2016-01-04,0.002021350543960452
2016-01-05,0.013585958201466443
2016-01-06,0.0034319728149060096
2016-01-07,0.004588289130471711
2016-01-08,0.00257065788085973
2016-01-09,0.002759358479579251
2016-01-10,0.0018439247149176035
2016-01-11,0.006600602425114055
2016-01-12,0.012952726362118031
2016-01-13,0.005532827817861135
2016-01-14,0.004345229087326818
2016-01-15,0.012350245685233904
2016-01-16,0.007459688872060994
2016-01-17,0.004842732421054992
2016-01-18,0.029571008507409773
2016-01-19,0.016186234250494064
2016-01-20,0.007826942501834973
2016-01-21,0.006453495319178811
2016-01-22,0.01197709836888668
2016-01-23,0.014901851261041385
2016-01-24,0.025011371027910005
