Date,indicators/liveliness
2016-05-20,0.434614031189697
2016-05-21,0.433822844122357
2016-05-22,0.432893357913481
2016-05-23,0.433121944913194
2016-05-24,0.433600794320283
2016-05-25,0.435113325329981
2016-05-26,0.435498224720158
2016-05-27,0.436485003360773
2016-05-28,0.439354205735759
2016-05-29,0.440559714084024
2016-05-30,0.440420562507529
2016-05-31,0.439753138040938
2016-06-01,0.438991307591516
2016-06-02,0.438185826667636
2016-06-03,0.436903332348703
2016-06-04,0.435672259314412
2016-06-05,0.434569735668459
2016-06-06,0.433335589467701
2016-06-07,0.432284200909373
2016-06-08,0.433997830944698
2016-06-09,0.435176027420098
2016-06-10,0.434576552507337
2016-06-11,0.434013115946555
2016-06-12,0.433412756731819
2016-06-13,0.433062593623359
2016-06-14,0.43259639153464
2016-06-15,0.431959856333569
2016-06-16,0.432454235825595
2016-06-17,0.441651893626862
2016-06-18,0.449188619064363
2016-06-19,0.454041156760416
2016-06-20,0.454357299116403
2016-06-21,0.45753477997347
2016-06-22,0.468989248752919
2016-06-23,0.468584084116316
2016-06-24,0.470645505479703
2016-06-25,0.47129064870904
2016-06-26,0.470257055192431
2016-06-27,0.469071164550189
2016-06-28,0.4690538500452
2016-06-29,0.469760124980987
2016-06-30,0.470262370771634
2016-07-01,0.469483098978029
2016-07-02,0.468137930228033
2016-07-03,0.466888452294407
2016-07-04,0.466864475534513
2016-07-05,0.473274197108891
2016-07-06,0.474621985175521
2016-07-07,0.474675848115651
2016-07-08,0.474853901880166
2016-07-09,0.473897158387747
2016-07-10,0.472821203109429
2016-07-11,0.472023432299888
2016-07-12,0.47159005320727
2016-07-13,0.471530116262022
2016-07-14,0.470766006259799
2016-07-15,0.470733941365304
2016-07-16,0.476390445489202
2016-07-17,0.475359146270489
2016-07-18,0.474745905602891
2016-07-19,0.479862897921008
2016-07-20,0.507317747440795
2016-07-21,0.515374475032688
2016-07-22,0.515057450956639
2016-07-23,0.51431834926817
2016-07-24,0.516993833059909
2016-07-25,0.527545146658447
2016-07-26,0.536281738151373
2016-07-27,0.547937843995373
2016-07-28,0.555085921440742
2016-07-29,0.558464694587817
2016-07-30,0.559764614526725
2016-07-31,0.560511681862873
2016-08-01,0.56421883079957
2016-08-02,0.569014323142115
2016-08-03,0.576254823339204
2016-08-04,0.58099534650753
2016-08-05,0.585895480714587
2016-08-06,0.590107679588975
2016-08-07,0.590484712701861
2016-08-08,0.591385182530719
2016-08-09,0.593211272268384
2016-08-10,0.596703671068643
2016-08-11,0.601976099780552
2016-08-12,0.603745648696739
2016-08-13,0.603304262956906
2016-08-14,0.602783550764077
2016-08-15,0.602454837213183
2016-08-16,0.601051193877272
2016-08-17,0.600157788860582
2016-08-18,0.599415620194518
2016-08-19,0.59853199188649
2016-08-20,0.597099627019789
2016-08-21,0.596120288339079
2016-08-22,0.595276184490463
2016-08-23,0.595537043314137
2016-08-24,0.594476767522513
2016-08-25,0.593728792422837
2016-08-26,0.592669968307253
2016-08-27,0.591348550004418
2016-08-28,0.589891612033406
2016-08-29,0.589291972928028
2016-08-30,0.588352821558865
2016-08-31,0.587127075631471
2016-09-01,0.586069666925501
2016-09-02,0.585164828990967
2016-09-03,0.584107117236005
2016-09-04,0.582784813301693
2016-09-05,0.581995699328517
2016-09-06,0.580950357182025
2016-09-07,0.579743028487828
2016-09-08,0.579123234811456
2016-09-09,0.578520346301021
2016-09-10,0.577141990559902
2016-09-11,0.576138280032536
2016-09-12,0.575376864919273
2016-09-13,0.574870416946729
2016-09-14,0.573814040249857
2016-09-15,0.572814281087427
2016-09-16,0.572820694737639
2016-09-17,0.572972325432339
2016-09-18,0.571743443128833
2016-09-19,0.570409595508297
2016-09-20,0.569332653868443
2016-09-21,0.570166993015068
2016-09-22,0.57325028223981
2016-09-23,0.572298413426602
2016-09-24,0.572383703711133
2016-09-25,0.573234637730113
2016-09-26,0.572379760170966
2016-09-27,0.571322170665502
2016-09-28,0.570090022612244
2016-09-29,0.584880307013162
2016-09-30,0.585125673421392
2016-10-01,0.584432954807034
2016-10-02,0.583877869726431
2016-10-03,0.58322031983175
2016-10-04,0.581872802371091
2016-10-05,0.580731463249629
2016-10-06,0.579868493816294
2016-10-07,0.57879639385475
2016-10-08,0.577874567723735
2016-10-09,0.5766706223819
2016-10-10,0.575711780895612
2016-10-11,0.575929177664119
2016-10-12,0.577956090022305
2016-10-13,0.5765896073109
2016-10-14,0.575824567411141
2016-10-15,0.579475600306098
2016-10-16,0.578120128439369
2016-10-17,0.577080658634876
2016-10-18,0.576024189213255
2016-10-19,0.574828819493626
2016-10-20,0.573661262808066
2016-10-21,0.572807419884344
2016-10-22,0.57152892107899
2016-10-23,0.570220293413947
2016-10-24,0.5689473913847
2016-10-25,0.567969276841388
2016-10-26,0.567192755647985
2016-10-27,0.566619426949458
2016-10-28,0.567263439866921
2016-10-29,0.566675096449683
2016-10-30,0.567142491141732
2016-10-31,0.568441656784677
2016-11-01,0.567678261208561
2016-11-02,0.56706473981002
2016-11-03,0.56645793665559
2016-11-04,0.565509945337387
2016-11-05,0.564567364342914
2016-11-06,0.563291886913262
2016-11-07,0.562118180951908
2016-11-08,0.561045881413033
2016-11-09,0.559923834172909
2016-11-10,0.558810005431095
2016-11-11,0.558346002224686
2016-11-12,0.558161781752463
2016-11-13,0.557466541464567
2016-11-14,0.556689461659775
2016-11-15,0.555782260218395
2016-11-16,0.554869118170103
2016-11-17,0.554557789949006
2016-11-18,0.554217053225904
2016-11-19,0.553517484079225
2016-11-20,0.552911058610511
2016-11-21,0.552464067473952
2016-11-22,0.55187483605854
2016-11-23,0.551107626335389
2016-11-24,0.550315966960497
2016-11-25,0.549494649697613
2016-11-26,0.548645753582571
2016-11-27,0.548014816327306
2016-11-28,0.547080390772448
2016-11-29,0.547226643984601
2016-11-30,0.547165564243612
2016-12-01,0.546333245551938
2016-12-02,0.546175303433193
2016-12-03,0.546789357490224
2016-12-04,0.546108886908005
2016-12-05,0.545820838760537
2016-12-06,0.546780470366153
2016-12-07,0.546724897688203
2016-12-08,0.547988396152082
2016-12-09,0.547490401361922
2016-12-10,0.546464972465565
2016-12-11,0.546182732410589
2016-12-12,0.545153054871732
2016-12-13,0.544329528216058
2016-12-14,0.54355679311217
2016-12-15,0.542578880504701
2016-12-16,0.54160027634373
2016-12-17,0.541053921880383
2016-12-18,0.540440938021493
2016-12-19,0.539849510518598
2016-12-20,0.539203742884787
2016-12-21,0.53881451067008
2016-12-22,0.538364062352007
2016-12-23,0.538755982629598
2016-12-24,0.539875274834598
2016-12-25,0.538865307276157
2016-12-26,0.537950241051218
2016-12-27,0.537252017517751
2016-12-28,0.536740478594877
2016-12-29,0.536549310142657
2016-12-30,0.536404096266337
2016-12-31,0.535824938949918
2017-01-01,0.535973310007316
2017-01-02,0.53528877152416
2017-01-03,0.534621404345199
2017-01-04,0.534608256169248
2017-01-05,0.535437305107466
2017-01-06,0.535466271748663
2017-01-07,0.536339009490369
2017-01-08,0.535817808709835
2017-01-09,0.535599668308128
2017-01-10,0.535297280459722
2017-01-11,0.534676843344734
2017-01-12,0.534599429043092
2017-01-13,0.534584603699031
2017-01-14,0.534104476423308
2017-01-15,0.533256261413796
2017-01-16,0.53237405818989
2017-01-17,0.531705016929752
2017-01-18,0.531438487345122
2017-01-19,0.530822709166586
2017-01-20,0.53136932651071
2017-01-21,0.532129849430436
2017-01-22,0.531447795161073
2017-01-23,0.530993358670713
2017-01-24,0.530053229388206
2017-01-25,0.52962510963136
2017-01-26,0.529580836413092
2017-01-27,0.528870195585186
2017-01-28,0.527981247731742
2017-01-29,0.528314817814091
2017-01-30,0.527468246025617
2017-01-31,0.526529498121754
2017-02-01,0.525768815345689
2017-02-02,0.52531167721391
2017-02-03,0.525172329078383
2017-02-04,0.524702369274139
2017-02-05,0.52443922264161
2017-02-06,0.523718186899098
2017-02-07,0.523149602117863
2017-02-08,0.522615403199802
2017-02-09,0.521928760779064
2017-02-10,0.521783309465179
2017-02-11,0.521626380871995
2017-02-12,0.521231654387061
2017-02-13,0.520794825181269
2017-02-14,0.520439584072272
2017-02-15,0.520637734946608
2017-02-16,0.521151126954075
2017-02-17,0.521044368758535
2017-02-18,0.52022652433843
2017-02-19,0.519474216081806
2017-02-20,0.518727216862277
2017-02-21,0.518489890257918
2017-02-22,0.518083613571054
2017-02-23,0.517397525553669
2017-02-24,0.517019933927668
2017-02-25,0.516974194205797
2017-02-26,0.516310012801593
2017-02-27,0.518091080233148
2017-02-28,0.522150061837098
2017-03-01,0.522907207121736
2017-03-02,0.52500019886297
2017-03-03,0.528561004812971
2017-03-04,0.529200270596933
2017-03-05,0.528707912129503
2017-03-06,0.528411001972417
2017-03-07,0.529491305077608
2017-03-08,0.529857943227278
2017-03-09,0.530529021903264
2017-03-10,0.531464642063401
2017-03-11,0.531849926710873
2017-03-12,0.53189894864139
2017-03-13,0.533180100634982
2017-03-14,0.535393155944748
2017-03-15,0.538082869143455
2017-03-16,0.541317079281236
2017-03-17,0.546578643541906
2017-03-18,0.548575723566251
2017-03-19,0.548990009121274
2017-03-20,0.549525694095117
2017-03-21,0.551160172901098
2017-03-22,0.551611717813184
2017-03-23,0.552183230205581
2017-03-24,0.552353527983739
2017-03-25,0.55246472353183
2017-03-26,0.553321542104982
2017-03-27,0.55321648639501
2017-03-28,0.553189447105235
2017-03-29,0.5536231048041
2017-03-30,0.55586302129312
2017-03-31,0.557658075446359
2017-04-01,0.561403273136852
2017-04-02,0.561020703334577
2017-04-03,0.561571338347568
2017-04-04,0.56219252810394
2017-04-05,0.562350952969057
2017-04-06,0.562661161701811
2017-04-07,0.562961947611194
2017-04-08,0.562821742679768
2017-04-09,0.563227857644852
2017-04-10,0.56348400050522
2017-04-11,0.565334895270773
2017-04-12,0.565723329402146
2017-04-13,0.565410097797631
2017-04-14,0.56600147602852
2017-04-15,0.565430270739865
2017-04-16,0.564620074131009
2017-04-17,0.56377950034204
2017-04-18,0.563363751782897
2017-04-19,0.563323627417788
2017-04-20,0.56355549345451
2017-04-21,0.56311542593089
2017-04-22,0.563159115778967
2017-04-23,0.563444434992822
2017-04-24,0.562829920678322
2017-04-25,0.562617708053025
2017-04-26,0.565492485598379
2017-04-27,0.566083380806228
2017-04-28,0.565971024313252
2017-04-29,0.566030964802071
2017-04-30,0.566110279520411
2017-05-01,0.567858477497835
2017-05-02,0.571286530856261
2017-05-03,0.571217448133458
2017-05-04,0.571432731732862
2017-05-05,0.573267440525741
2017-05-06,0.575974859095404
2017-05-07,0.578771721642348
2017-05-08,0.579291497601978
2017-05-09,0.579463802366999
2017-05-10,0.580736756109537
2017-05-11,0.580478649247443
2017-05-12,0.580156476453957
2017-05-13,0.579879692489351
2017-05-14,0.579459457186999
2017-05-15,0.579372324800536
2017-05-16,0.579644427739373
2017-05-17,0.580071372809342
2017-05-18,0.580649034761915
2017-05-19,0.581863120262688
2017-05-20,0.582099038694048
2017-05-21,0.583287664747523
2017-05-22,0.586555773257092
2017-05-23,0.588261283586896
2017-05-24,0.589159484361554
2017-05-25,0.59069851813217
2017-05-26,0.591813447509306
2017-05-27,0.592383622835004
2017-05-28,0.593741370647923
2017-05-29,0.594075210493096
2017-05-30,0.594372504773451
2017-05-31,0.595932359415632
2017-06-01,0.596900092909976
2017-06-02,0.597056426808816
2017-06-03,0.597458949304119
2017-06-04,0.597477295338775
2017-06-05,0.597768937856621
2017-06-06,0.598048248962958
2017-06-07,0.598352377768274
2017-06-08,0.5996755460367
2017-06-09,0.599907541151043
2017-06-10,0.600032487370396
2017-06-11,0.600315635454456
2017-06-12,0.601411286200652
2017-06-13,0.603554159023227
2017-06-14,0.605191033644432
2017-06-15,0.605605003060125
2017-06-16,0.605751758907882
2017-06-17,0.605882809419921
2017-06-18,0.606016361925893
2017-06-19,0.605947115547063
2017-06-20,0.607575978638638
2017-06-21,0.608459511174126
2017-06-22,0.610558788591104
2017-06-23,0.612455095068799
2017-06-24,0.612358760459373
2017-06-25,0.612749781387322
2017-06-26,0.612759648588773
2017-06-27,0.612757569670193
2017-06-28,0.612512271104841
2017-06-29,0.613293459942169
2017-06-30,0.61919947823676
2017-07-01,0.620200207108988
2017-07-02,0.620354217635393
2017-07-03,0.621036594242876
2017-07-04,0.620850725148551
2017-07-05,0.620461843018267
2017-07-06,0.620160758169213
2017-07-07,0.619728933579278
2017-07-08,0.619508352266441
2017-07-09,0.619642347103797
2017-07-10,0.619193508677972
2017-07-11,0.619128541313205
2017-07-12,0.619638003394716
2017-07-13,0.6198858621732
2017-07-14,0.619888670425016
2017-07-15,0.620128338163639
2017-07-16,0.620303494521074
2017-07-17,0.620842540251025
2017-07-18,0.620643265982614
2017-07-19,0.620543840991775
2017-07-20,0.622632224058611
2017-07-21,0.622473119874399
2017-07-22,0.622344878992247
2017-07-23,0.622783619443729
2017-07-24,0.622411671216986
2017-07-25,0.622103624579983
2017-07-26,0.621687722115986
2017-07-27,0.62125145307432
2017-07-28,0.620945481994404
2017-07-29,0.621481537195229
2017-07-30,0.621154689353268
2017-07-31,0.620672194303767
2017-08-01,0.621168019786504
2017-08-02,0.62099293614712
2017-08-03,0.621135751562288
2017-08-04,0.621213481124447
2017-08-05,0.620769199949561
2017-08-06,0.620891855232665
2017-08-07,0.621499991590639
2017-08-08,0.621536503887737
2017-08-09,0.621733688681911
2017-08-10,0.623091137976194
2017-08-11,0.624250916736448
2017-08-12,0.624220723537443
2017-08-13,0.623900929343037
2017-08-14,0.623540799913956
2017-08-15,0.623394084172755
2017-08-16,0.624006903695054
2017-08-17,0.624027645558828
2017-08-18,0.623933338454377
2017-08-19,0.623587671506923
2017-08-20,0.623140044933253
2017-08-21,0.624008825409481
2017-08-22,0.623889741657033
2017-08-23,0.623667296229178
2017-08-24,0.624045477435153
2017-08-25,0.625097463388978
2017-08-26,0.625117142792854
2017-08-27,0.62536698931443
2017-08-28,0.625819483951724
2017-08-29,0.626703167848835
2017-08-30,0.6272252408522
2017-08-31,0.628329404085356
2017-09-01,0.628507007552358
2017-09-02,0.628732925979035
2017-09-03,0.629223252004771
2017-09-04,0.629057747358261
2017-09-05,0.629282524466936
2017-09-06,0.629094786104076
2017-09-07,0.629088974748267
2017-09-08,0.628736431662109
2017-09-09,0.628545432255254
2017-09-10,0.628382775685158
2017-09-11,0.62811295931615
2017-09-12,0.627825984035006
2017-09-13,0.628007749731473
2017-09-14,0.628806115264191
2017-09-15,0.629233620845457
2017-09-16,0.629333003381026
2017-09-17,0.629257965393959
2017-09-18,0.629264327646904
2017-09-19,0.628932434896068
2017-09-20,0.628653411034505
2017-09-21,0.628304423862503
2017-09-22,0.628091126093904
2017-09-23,0.627858203836031
2017-09-24,0.627723902468214
2017-09-25,0.627512648391786
2017-09-26,0.627587238523171
2017-09-27,0.628290350808811
2017-09-28,0.629220583516274
2017-09-29,0.629037491496906
2017-09-30,0.628775353837051
2017-10-01,0.629966744243854
2017-10-02,0.631471126187683
2017-10-03,0.632230774664283
2017-10-04,0.632266741189547
2017-10-05,0.631998549693683
2017-10-06,0.631726401434133
2017-10-07,0.631513501389649
2017-10-08,0.631265194340171
2017-10-09,0.631526853882446
2017-10-10,0.631850938730575
2017-10-11,0.631657885318058
2017-10-12,0.63152963239284
2017-10-13,0.631353517961795
2017-10-14,0.631133641087268
2017-10-15,0.630954535001674
2017-10-16,0.630647613130453
2017-10-17,0.630735015154451
2017-10-18,0.630422598610769
2017-10-19,0.629700292816184
2017-10-20,0.629023425863591
2017-10-21,0.628349449682024
2017-10-22,0.627561887003796
2017-10-23,0.627159895199735
2017-10-24,0.627083741264599
2017-10-25,0.626790711330726
2017-10-26,0.626063196705745
2017-10-27,0.625334046377017
2017-10-28,0.624938737196181
2017-10-29,0.624435307912786
2017-10-30,0.62386005675312
2017-10-31,0.623240496680912
2017-11-01,0.622643309456639
2017-11-02,0.622095156231414
2017-11-03,0.621422340662419
2017-11-04,0.620754568580283
2017-11-05,0.619998253987003
2017-11-06,0.619806980288967
2017-11-07,0.619481149767223
2017-11-08,0.620359235139308
2017-11-09,0.620834211567992
