Date,addresses/non_zero_count
2016-03-18,93537.0
2016-03-19,94252.0
2016-03-20,95075.0
2016-03-21,95738.0
2016-03-22,96492.0
2016-03-23,97302.0
2016-03-24,98080.0
2016-03-25,98842.0
2016-03-26,99568.0
2016-03-27,100192.0
2016-03-28,101210.0
2016-03-29,102279.0
2016-03-30,103579.0
2016-03-31,104416.0
2016-04-01,105063.0
2016-04-02,105749.0
2016-04-03,106470.0
2016-04-04,107144.0
2016-04-05,107850.0
2016-04-06,108478.0
2016-04-07,109131.0
2016-04-08,109636.0
2016-04-09,110006.0
2016-04-10,110628.0
2016-04-11,111206.0
2016-04-12,111916.0
2016-04-13,112444.0
2016-04-14,112843.0
2016-04-15,113396.0
2016-04-16,113930.0
2016-04-17,114472.0
2016-04-18,115039.0
2016-04-19,115500.0
2016-04-20,115986.0
2016-04-21,116656.0
2016-04-22,117209.0
2016-04-23,117653.0
2016-04-24,118133.0
2016-04-25,118689.0
2016-04-26,119223.0
2016-04-27,119799.0
2016-04-28,120343.0
2016-04-29,120892.0
2016-04-30,122083.0
2016-05-01,122933.0
2016-05-02,125981.0
2016-05-03,126544.0
2016-05-04,127652.0
2016-05-05,128594.0
2016-05-06,129434.0
2016-05-07,130193.0
2016-05-08,131242.0
2016-05-09,132326.0
2016-05-10,133151.0
2016-05-11,134829.0
2016-05-12,137146.0
2016-05-13,138477.0
2016-05-14,139927.0
2016-05-15,141931.0
2016-05-16,142627.0
2016-05-17,144081.0
2016-05-18,147879.0
2016-05-19,150585.0
2016-05-20,154689.0
2016-05-21,156565.0
2016-05-22,157930.0
2016-05-23,159233.0
2016-05-24,160536.0
2016-05-25,162674.0
2016-05-26,164363.0
2016-05-27,166983.0
2016-05-28,172902.0
2016-05-29,174787.0
2016-05-30,176091.0
2016-05-31,177542.0
2016-06-01,179089.0
2016-06-02,180228.0
2016-06-03,181402.0
2016-06-04,182488.0
2016-06-05,183486.0
2016-06-06,184578.0
2016-06-07,190007.0
2016-06-08,191173.0
2016-06-09,192401.0
2016-06-10,193401.0
2016-06-11,194535.0
2016-06-12,195724.0
2016-06-13,197346.0
2016-06-14,199326.0
2016-06-15,200903.0
2016-06-16,202423.0
2016-06-17,208282.0
2016-06-18,211363.0
2016-06-19,213550.0
2016-06-20,215060.0
2016-06-21,216623.0
2016-06-22,218014.0
2016-06-23,219235.0
2016-06-24,220241.0
2016-06-25,221016.0
2016-06-26,224143.0
2016-06-27,225098.0
2016-06-28,226217.0
2016-06-29,227321.0
2016-06-30,228175.0
2016-07-01,229206.0
2016-07-02,230501.0
2016-07-03,231815.0
2016-07-04,233111.0
2016-07-05,234800.0
2016-07-06,236177.0
2016-07-07,237628.0
2016-07-08,239103.0
2016-07-09,240638.0
2016-07-10,242027.0
2016-07-11,243408.0
2016-07-12,244938.0
2016-07-13,246016.0
2016-07-14,247462.0
2016-07-15,248704.0
2016-07-16,249889.0
2016-07-17,250463.0
2016-07-18,251755.0
2016-07-19,242614.0
2016-07-20,244396.0
2016-07-21,245582.0
2016-07-22,246712.0
2016-07-23,248399.0
2016-07-24,250397.0
2016-07-25,252606.0
2016-07-26,253678.0
2016-07-27,256198.0
2016-07-28,257037.0
2016-07-29,260718.0
2016-07-30,261964.0
2016-07-31,263390.0
2016-08-01,265783.0
2016-08-02,268655.0
2016-08-03,271327.0
2016-08-04,273465.0
2016-08-05,275219.0
2016-08-06,276528.0
2016-08-07,277687.0
2016-08-08,278989.0
2016-08-09,281505.0
2016-08-10,283344.0
2016-08-11,285252.0
2016-08-12,286687.0
2016-08-13,287911.0
2016-08-14,289254.0
2016-08-15,290589.0
2016-08-16,291565.0
2016-08-17,292759.0
2016-08-18,294161.0
2016-08-19,295477.0
2016-08-20,296703.0
2016-08-21,298143.0
2016-08-22,299289.0
2016-08-23,300939.0
2016-08-24,302333.0
2016-08-25,303756.0
2016-08-26,305388.0
2016-08-27,306484.0
2016-08-28,307717.0
2016-08-29,309081.0
2016-08-30,310488.0
2016-08-31,312048.0
2016-09-01,313658.0
2016-09-02,315271.0
2016-09-03,316640.0
2016-09-04,317997.0
2016-09-05,319107.0
2016-09-06,320474.0
2016-09-07,321689.0
2016-09-08,323442.0
2016-09-09,324820.0
2016-09-10,326213.0
2016-09-11,327572.0
2016-09-12,328961.0
2016-09-13,330466.0
2016-09-14,331823.0
2016-09-15,333224.0
2016-09-16,334334.0
2016-09-17,335664.0
2016-09-18,336851.0
2016-09-19,338596.0
2016-09-20,339612.0
2016-09-21,341734.0
2016-09-22,343155.0
2016-09-23,344503.0
2016-09-24,345612.0
2016-09-25,347254.0
2016-09-26,348730.0
2016-09-27,350210.0
2016-09-28,351602.0
2016-09-29,354793.0
2016-09-30,356047.0
2016-10-01,357723.0
2016-10-02,359272.0
2016-10-03,360647.0
